Wavelength,H2O_CH4_10_0.6_a_V3,H2O_40K,H2O_CH3OH_CO_NH3_120K_NASA,all
2.85208,0.23794290756035025,0.06539038938589581,0.055242473023484964,0.35857576996973106
2.854382,0.247820388045932,0.06786831345501088,0.05877794407867674,0.3744666455796196
2.8566830000000003,0.2579895399749929,0.07065322907646418,0.06258836342544506,0.3912311324769021
2.858985,0.2681498384706936,0.07324883819371665,0.06671504708613776,0.408113723750548
2.861286,0.27898103047213746,0.0759936339123958,0.07051415371250133,0.42548881809703465
2.863588,0.2903129333158441,0.0788237215725281,0.07453951474696009,0.4436761696353323
2.8658900000000003,0.3010132912465198,0.08187580602801045,0.07870407142813828,0.4615931687026685
2.868191,0.31259997622803803,0.08474512203752185,0.0828401003796001,0.48018519864516
2.870493,0.3243253649988668,0.08757164348407423,0.08700416520336941,0.4989011736863104
2.872795,0.33589139196921103,0.09061570395900173,0.0913202139664896,0.5178273098947024
2.875096,0.34754496955834,0.09376496773453696,0.09521277350054463,0.5365227107934216
2.877398,0.3595762936375061,0.09686995102478814,0.09924502053872804,0.5556912652010223
2.879699,0.3715392495368349,0.10009053907192177,0.10325660956573753,0.5748863981744942
2.882001,0.3833994072377029,0.1033200426530052,0.1072504917260265,0.5939699416167346
2.884303,0.3944445572120193,0.10642502594325637,0.11140865426088896,0.6122782374161647
2.886604,0.40724121141943787,0.1095915264177612,0.11533810310061172,0.6321708409378108
2.888906,0.41978160791681823,0.11266738563044305,0.1195788976801698,0.6520278912274311
2.891208,0.43152076869509626,0.1157551322217246,0.12309420258159658,0.6703701034984174
2.893509,0.4432540271844674,0.1189222270651594,0.12744173021888655,0.6896179844685133
2.895811,0.455005484397968,0.12207921763678445,0.13201649597908946,0.7091011980138419
2.898112,0.467031889903045,0.12550337704243858,0.1362430266937894,0.7287782936392729
2.900414,0.4782629619779266,0.12858131654637533,0.14044644011027088,0.7472907186345729
2.902716,0.4901221359639769,0.13140278585702286,0.14487364864780308,0.7663985704688028
2.905017,0.5010507157323835,0.13436244594389224,0.14971254183658672,0.7851257035128625
2.907319,0.5126757655917961,0.1373322103025714,0.1539213656845661,0.8039293415789335
2.909621,0.5225409496421553,0.14005887776888598,0.15862696551553715,0.8212267929265783
2.911922,0.5313963504320374,0.14319417387456648,0.16351160144334873,0.8381021257499526
2.9142240000000004,0.5439067436274745,0.14590925114674633,0.16841738723974312,0.8582333820139639
2.916525,0.5538353772835821,0.1486451313314757,0.17366648950755148,0.8761469981226093
2.918827,0.564136346998229,0.1514053806423345,0.17895346479584534,0.894495192436409
2.921129,0.5741510557008946,0.154043784322546,0.18413960931531426,0.9123344493387548
2.92343,0.5834737210292342,0.15648456033353694,0.1894944609260367,0.929452742288808
2.925732,0.5930310023416203,0.15877733848096115,0.19497326060380255,0.946781601426384
2.928034,0.6017378621940138,0.16145972546199167,0.20107229247419464,0.9642698801302002
2.930335,0.6097674343943486,0.16307908361174078,0.2061217006339886,0.978968218640078
2.932637,0.6195106378072999,0.16584408787403954,0.21379664364250453,0.999151369323844
2.9349380000000003,0.6271870563880425,0.1683407345644492,0.21989272436844315,1.0154205153209348
