Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,H2O_40K,CH3OH,all
2.85208,0.16436653784502064,0.08447874411856744,0.011899588951021858,0.2607448709146099
2.854382,0.17372977879852355,0.08768000833102928,0.012905001418987871,0.2743147885485407
2.8566830000000003,0.1822578747932768,0.09127787915556512,0.014194520191957456,0.2877302741407993
2.858985,0.1924292730599764,0.09463118230160036,0.015672461799333556,0.3027329171609103
2.861286,0.20140389191751584,0.0981772216715089,0.01714991272224506,0.3167310263112698
2.863588,0.21130246962189767,0.10183345087458806,0.018596941208351345,0.3317328617048371
2.8658900000000003,0.2214346131314293,0.10577648079327157,0.020608747513212573,0.3478198414379134
2.868191,0.2321491991004414,0.1094833896408752,0.0226225165559322,0.3642551052972488
2.870493,0.2428829217635729,0.11313501160354306,0.02461518616667401,0.38063311953379
2.872795,0.2537653218194784,0.11706767523130107,0.026583812238650414,0.3974168092894299
2.875096,0.2650397787625995,0.12113625245119293,0.028622115504600056,0.4147981467183925
2.877398,0.2761758626867033,0.12514762310264427,0.030993102837548706,0.43231658862689626
2.879699,0.2883836014814941,0.1293083451307624,0.03297792149685692,0.4506698681091134
2.882001,0.3003067432868168,0.1334805852599088,0.0352517533058147,0.4690390818525403
2.884303,0.31259250091147905,0.13749195591136015,0.037231174436012315,0.4873156312588515
2.886604,0.3244950339692885,0.14158280145990665,0.03937448417738642,0.5054523196065815
2.888906,0.3372184821363743,0.1455565463146656,0.04139266938028745,0.5241676978313273
2.891208,0.3504174035496577,0.14954564863746225,0.04348053177716172,0.5434435839642817
2.893509,0.3620530042587246,0.15363726205941064,0.04554680405759359,0.5612370703757289
2.895811,0.3753476091426052,0.157715821633527,0.047058602893027116,0.5801220336691593
2.898112,0.3885475119248178,0.16213954030179098,0.049178850464564994,0.5998659026911737
2.900414,0.4014539853971995,0.16611597271345652,0.05076228923183016,0.6183322473424862
2.902716,0.4141632037148119,0.16976106775220834,0.05277753032794359,0.6367018017949638
2.905017,0.4276221878943334,0.17358469335689866,0.05480601990460123,0.6560129011558333
2.907319,0.4400428837467609,0.17742137280942094,0.05736052322731039,0.6748247797834923
2.909621,0.4534743895962648,0.180943992040572,0.05961080218196736,0.6940291838188041
2.911922,0.4668803798536095,0.1849945242355195,0.06250976599882592,0.7143846700879549
2.9142240000000004,0.4803231714457994,0.18850216993533375,0.06506868548171649,0.7338940268628497
2.916525,0.4943611632935493,0.19203669120421404,0.06822771206481322,0.7546255665625766
2.918827,0.5083549935394853,0.1956026952825716,0.07081165645539839,0.7747693452774553
2.921129,0.5226530481534734,0.1990112853135426,0.07399767068404814,0.7956620041510641
2.92343,0.5392283693676715,0.20216455743838654,0.07781666787203227,0.8192095946780903
2.925732,0.5541191708148968,0.20512662908616106,0.0809850174599564,0.8402308173610142
2.928034,0.5708770266499262,0.20859204174887155,0.08480597738579893,0.8642750457845967
2.930335,0.5853723364186837,0.21068411283230934,0.08811760683738634,0.8841740560883794
2.932637,0.5985992268464493,0.21425625989788208,0.0919527966127023,0.9048082833570336
2.9349380000000003,0.611231898387584,0.2174817121225033,0.09534048215630277,0.9240540926663899
2.93724,0.6234190284348617,0.22042036363152015,0.09911482705800824,0.94295421912439
2.939542,0.6339039740744409,0.22322578910530988,0.10240339433975944,0.9595331575195102
2.941843,0.6430665250819223,0.2259916690989025,0.1063857894544555,0.9754439836352804
2.944145,0.6541672797245748,0.2284093185047399,0.10975826377965336,0.992334862008968
2.946447,0.6636006885565155,0.2310657765385637,0.113156744381475,1.0078232094765542
2.948748,0.6736067261586448,0.2337291454330046,0.11662293943941153,1.023958811031061
2.95105,0.6837859753767781,0.2362819405575739,0.11946351180498267,1.0395314277393346
2.953351,0.6915461501844319,0.2388017171258621,0.12225109024837695,1.052598957558671
2.955653,0.7009506086329611,0.239750424713892,0.12497586108030245,1.0656768944271555
2.957955,0.7068314619411957,0.24313559460610545,0.12731544460751665,1.077282501154818
2.960256,0.7122628482798564,0.2457574983368445,0.12962754980471328,1.0876478964214142
2.962558,0.7196505935788785,0.24700145324789946,0.13221198487976304,1.0988640317065408
2.96486,0.7239484988043126,0.2500130527300955,0.13448532600425625,1.1084468775386642
2.967161,0.7293533881818849,0.251724258606198,0.13694807133208514,1.118025718120168
2.969463,0.7330629627342631,0.2543580643746662,0.13860315003118195,1.1260241771401112
2.971764,0.7401396140827285,0.25639292888966353,0.14104872140274985,1.1375812643751422
2.974066,0.7455062300720622,0.2584715621885684,0.14350165304128673,1.1474794453019173
2.976368,0.7513154434484651,0.2612385939922638,0.14551296866168334,1.1580670061024123
2.978669,0.7564121829822684,0.26292561185620683,0.14770681890291126,1.1670446137413863
2.980971,0.7633789210106635,0.2652875904404075,0.15011411688624038,1.1787806283373117
2.983273,0.7712161332792594,0.26735816106859256,0.15287274494622324,1.1914470392940752
2.985574,0.7746396387887757,0.2694106866718333,0.15580752872899764,1.1998578541896068
2.987876,0.7831338775554715,0.2715184991600097,0.1587074739147854,1.2133598506302663
2.990177,0.7916241908464504,0.2736028915094287,0.16162851853255097,1.2268556008884302
2.992479,0.7965761784631966,0.2756872838588477,0.16539452179835828,1.2376579841204025
2.994781,0.8041435142762626,0.2777835782459959,0.16833077763452647,1.250257870156785
2.997082,0.8123148826652513,0.2799017570250978,0.17203446397332953,1.2642511036636788
2.999384,0.8178964184500797,0.28203260571533084,0.1758048833993182,1.2757339075647287
3.001686,0.8254897605397693,0.2841542399247413,0.17946048266059045,1.2891044831251008
3.003987,0.8332734882017239,0.2862724187038432,0.182616074452435,1.3021619813580019
