Wavelength,H2O_40K,CO_CH3OH_10K,H2O_CH3OH_CO_NH3_100K_NASA,all
2.85208,0.10996093346326744,0.00364315900318234,0.07354333636040003,0.18714742882684984
2.854382,0.11412782780737366,0.003919519350062976,0.07863176502575019,0.1966791121831868
2.8566830000000003,0.11881096128046305,0.004225364797243714,0.08384712954662958,0.20688345562433635
2.858985,0.12317575561980387,0.004573189031292399,0.08898403371586296,0.21673297836695926
2.861286,0.12779142318542694,0.00496049331489546,0.09493952422902126,0.2276914407293437
2.863588,0.1325505182728488,0.005383279668351188,0.09991600946272354,0.23784980740392356
2.8658900000000003,0.13768292471491775,0.005837550111957875,0.1048615103537376,0.2483819851806132
2.868191,0.1425079864674178,0.006318307171088384,0.10980751099221438,0.2586338046307205
2.870493,0.14726108458528714,0.006820053623652865,0.11500638384682425,0.26908752205576425
2.872795,0.1523799978458628,0.007335293257710614,0.11935668550974635,0.2790719766133197
2.875096,0.1576758217082391,0.007854031124007359,0.1243576583691216,0.2898875112013681
2.877398,0.16289718319867108,0.008368771010602395,0.1287394441221947,0.3000053983314682
2.879699,0.16831294645209866,0.008885010139585571,0.13324916522572247,0.3104471218174067
2.882001,0.17374370212940762,0.009412743460211162,0.13755398986953762,0.32071043545915645
2.884303,0.1789650636198396,0.009951970972479162,0.14158095492408407,0.3304979895164029
2.886604,0.1842898728350533,0.010489199494896309,0.14576334143953434,0.340542413769484
2.888906,0.18946225907413936,0.011007937361193059,0.15009715143618696,0.3505673478715194
2.891208,0.19465463521173396,0.011502187601816831,0.1540751412393874,0.36023196405293817
2.893509,0.19998044392187306,0.01197544844900664,0.15799116235721142,0.3699470547280911
2.895811,0.2052892612182799,0.012429718892613323,0.16192467463623034,0.3796436547471236
2.898112,0.21104735148366632,0.012862500195323328,0.16659631391767735,0.39050616559666707
2.900414,0.21622323595499127,0.013267295640121366,0.17056081053938454,0.4000513421344972
2.902716,0.2209678383659945,0.013642106237156584,0.1752239541139654,0.4098338987171165
2.905017,0.22594482334715954,0.013996427188220546,0.17934137345926296,0.4192826239946431
2.907319,0.2309387997420568,0.014342252432418375,0.18376613749412946,0.42904718966860456
2.909621,0.2355239827124543,0.014682580454526356,0.18823387981078926,0.43844044297776985
2.911922,0.2407963184440831,0.015005417315439359,0.19302595823075025,0.4488276939902727
2.9142240000000004,0.2453620112634348,0.015298769076052257,0.19791848589071664,0.4585792662302036
2.916525,0.24996268640517644,0.015552141039648063,0.20323429965160145,0.468749127096426
2.918827,0.2546043408388606,0.01575353926712166,0.2083522134172517,0.4787100935232339
2.921129,0.2590410988128321,0.015893968304144187,0.21330870875244548,0.4882437758694218
2.92343,0.26314552472409913,0.01597642663549194,0.2184875917085468,0.4976095430681378
2.925732,0.26700107639893483,0.016005911735792036,0.22403228980735448,0.5070392779420814
2.928034,0.27151179699738803,0.01598742107967164,0.2299727878966313,0.517472005973691
2.930335,0.2742349209217145,0.015924952646832434,0.23458995470464256,0.5247498282731895
2.932637,0.2788845713148022,0.015822504416976142,0.2417923151372713,0.5364993908690496
2.9349380000000003,0.2830829497490593,0.01568757260204346,0.2475149233328051,0.5462854456839079
2.93724,0.28690801682866945,0.015531651393676809,0.253348975212524,0.5557886434348702
2.939542,0.2905596715387179,0.015365735236055885,0.2595248543567389,0.5654502611315126
2.941843,0.2941598522601069,0.015197820088584103,0.2657152261773727,0.5750728985260637
2.944145,0.2973067620328146,0.015034902415739463,0.2715992528033629,0.583940917251917
2.946447,0.3007645147273301,0.014879980702298238,0.27733285544307634,0.5929773508727048
2.948748,0.3042312628761746,0.014721061009155306,0.2836721520075987,0.6026244758929287
2.95105,0.30755408375575743,0.014546149397205537,0.28957416954224663,0.6116744026952097
2.953351,0.310833926353547,0.014354746118986215,0.2953967272303231,0.6205853997028563
2.955653,0.3120688023339124,0.014168340315394032,0.2993937074371067,0.6256308500864132
2.957955,0.3164750757126584,0.014007421632400246,0.30607733000343873,0.6365598273484974
2.960256,0.3198878511355298,0.013873989059855707,0.3113341735637233,0.6450960137591089
2.962558,0.32150703291472194,0.013755548911192577,0.3149988217078024,0.6502614035337169
2.96486,0.32542705201224764,0.013640606994768444,0.3215660031153221,0.6606336621223382
2.967161,0.3276544264535623,0.013523666088493456,0.3270692221747246,0.6682473147167804
2.969463,0.3310826940477777,0.013400228465203187,0.33200372862155897,0.6764866511345399
2.971764,0.33373135560015993,0.013270294124897644,0.3372870587973674,0.684288708522425
2.974066,0.3364369883632916,0.013141359279517529,0.3426383546281049,0.6922167022709139
2.976368,0.3400386683270687,0.013022419383391687,0.34688121058654364,0.6999422982970039
2.978669,0.3422345586782323,0.01291047595174383,0.35137593926619,0.7065209738961662
2.980971,0.3453090050688465,0.012793035298006131,0.3568976489817129,0.7149996893485655
2.983273,0.3480041431352612,0.01265760373561074,0.3613758859950897,0.7220376328659617
2.985574,0.3506757930709282,0.012501682527244087,0.3664143399141685,0.7295918155123408
2.987876,0.3534194066412261,0.012326271167831604,0.3711889271729345,0.7369346049819921
2.990177,0.35613253561629826,0.012134368142149571,0.3759265331194597,0.7441934368779075
2.992479,0.3588456645913706,0.01193396940960141,0.3805292072510521,0.7513088412520241
2.994781,0.36157428573778705,0.01173307092959053,0.3852193371886195,0.758526693855997
2.997082,0.3643313924895781,0.011535170934355934,0.3899079678837988,0.7657745313077328
2.999384,0.3671049909076387,0.011332773211956916,0.3935951046637,0.7720328687832956
3.001686,0.36986659538659417,0.011118881297915485,0.3986685409051686,0.7796540175896782
