Wavelength,d_NH3_CH3OH_50_10K_I10m_Baselined,H2O_CH4_10_0.6_a_V3,CO_CH3OH_10K,all
2.85208,0.0013785879202879445,0.2409361295773761,0.0036307463652092173,0.2459454638628733
2.854382,0.0014378552477858726,0.2509378646262282,0.0039061651224054725,0.2562818849964196
2.8566830000000003,0.00149463235143935,0.2612349402230321,0.004210968520966246,0.2669405410954377
2.858985,0.0015548957684750587,0.271523051013996,0.004557607680113793,0.2776355544625849
2.861286,0.0016211357227374488,0.28249049486972605,0.0049435923760036615,0.28905522296846714
2.863588,0.0016938502589954115,0.2939649483001863,0.005364938250484732,0.3010237368096665
2.8658900000000003,0.0017730393772489462,0.3047999122473916,0.005817660945405881,0.3123906125700464
2.868191,0.0018621893908802832,0.3165323528681369,0.00629678001307821,0.3246913222720954
2.870493,0.0019627944341960944,0.3284052421137093,0.006796816961043922,0.3371648535089493
2.872795,0.002065889701356356,0.3401167648541613,0.007310301117769671,0.34949295567328725
2.875096,0.0021595221179077045,0.3519169395634757,0.00782727158787765,0.36190373326926106
2.877398,0.0022327346989345575,0.3640996126552977,0.008340257699834508,0.3746726050540667
2.879699,0.002296982474121387,0.3762130575242441,0.008854737946098036,0.3873647779444635
2.882001,0.0023667087417660088,0.38822241103649213,0.00938067322204604,0.3999697930003043
2.884303,0.002450380262939554,0.3994065043666896,0.009918063527678513,0.4117749481573076
2.886604,0.002542020500415343,0.4123641351189047,0.010453461654235429,0.4253596172735555
2.888906,0.0026326646483533504,0.4250622845465281,0.010970432124343408,0.4386653813192248
2.891208,0.002717332259064676,0.4369491190456294,0.011462998400775769,0.4511294497054698
2.893509,0.0027905448400915287,0.4488299770075039,0.011934646796914744,0.4635551686445102
2.895811,0.0028508082571272373,0.4607292626258275,0.012387369491835892,0.4759674403747906
2.898112,0.002910573629394056,0.4729069552699606,0.012818676261694766,0.4886362051610494
2.900414,0.00299075883718537,0.4842793095227984,0.013222092524495792,0.5004921608844795
2.902716,0.003093854104345632,0.4962876669455088,0.013595626101163407,0.5129771471510178
2.905017,0.0031720471330613864,0.5073537236654792,0.013948739842306523,0.524474510640847
2.907319,0.0031685608196791552,0.519125011778198,0.014293386822378509,0.5365869594202557
2.909621,0.003097340417727863,0.5291142957078278,0.014632555309992704,0.5468441914355484
2.911922,0.003069449910670015,0.538081093726926,0.014954292230695743,0.5561048358682918
2.9142240000000004,0.003191968923816993,0.5507488624236471,0.015246644510034263,0.5691874758574983
2.916525,0.003458920919942115,0.5608023941284637,0.015499153207861568,0.5797604682562674
2.918827,0.0037876304674096155,0.5712329457233303,0.015699865249724304,0.5907204414404642
2.921129,0.004118332193952678,0.5813736352627027,0.015839815829782434,0.6013317832864378
2.92343,0.004505312979380328,0.5908135758122466,0.01592199321664931,0.6112408820082762
2.925732,0.005037722837323901,0.6004910837165511,0.015951377858013826,0.6214801844118889
2.928034,0.005795746975574714,0.6093074722154446,0.015932950201564898,0.6310361693925842
2.930335,0.006842637079781815,0.6174380530675765,0.015870694605453633,0.640151384752812
2.932637,0.008237162432674245,0.6273038218945215,0.015768595427831145,0.6513095797550269
2.9349380000000003,0.009982809347634231,0.6350768066025899,0.0156341233402308,0.6606937392904549
2.93724,0.01202529094485275,0.6431859715296595,0.015478733372337076,0.6706899958468493
2.939542,0.014298367270067409,0.6510142392070749,0.015313382509065544,0.680625988986208
2.941843,0.01664664835538449,0.6556834089154201,0.015146039466718454,0.6874760967375231
2.944145,0.01887390456186125,0.6644704127729492,0.014983676872060262,0.6983279942068706
2.946447,0.02082175765299064,0.673507435104461,0.014829282993704312,0.7091584757511559
2.948748,0.022448371868185886,0.6765987989849622,0.014670904757197246,0.7137180756103454
2.95105,0.023738307819611372,0.6855332240940827,0.01449658908808569,0.7237681210017798
2.953351,0.0247084990294094,0.6920177669850325,0.014305837941600763,0.7310321039560427
2.955653,0.025427675675686774,0.6988549255723565,0.014120067242804738,0.7384026684908481
2.957955,0.025966062070857037,0.7035330600865417,0.013959696827222107,0.7434588189846209
2.960256,0.026348560453364672,0.7103786854349369,0.013826718873928437,0.7505539647622299
2.962558,0.026573178644134127,0.7144686290770628,0.01370868226370147,0.7547504899848984
2.96486,0.02663095183732539,0.7206179878385496,0.013594131966856734,0.7608430716427318
2.967161,0.026488012988653914,0.7250461038787519,0.01347758949093644,0.7650117063583423
2.969463,0.026104020471839608,0.7284123884716804,0.013354572433020571,0.7678709813765405
2.971764,0.02545706031705129,0.7342793558492063,0.01322508079310913,0.7729614969593668
2.974066,0.024568548449351264,0.7398918223498295,0.01309658524273547,0.7775569560419163
2.976368,0.023467869510104024,0.7442865693905163,0.012978050587739614,0.7807324894883599
2.978669,0.022213792782038614,0.7493123391533868,0.012866488559508218,0.7843926204949336
2.980971,0.0208994526369375,0.7545398170476578,0.012749448038819037,0.7881887177234144
2.983273,0.01961549322273869,0.7584972807812591,0.012614477906449805,0.7907272519104475
2.985574,0.01842267600124677,0.7605283073487931,0.012459087938556077,0.791410071288596
2.987876,0.017369809359812985,0.7668474993764713,0.012284274224675632,0.79650158296096
2.990177,0.016489266208415194,0.7721078482254892,0.012093025033421812,0.8006901394673261
2.992479,0.015767101293524474,0.7749800724076786,0.01189330908109686,0.8026404827822999
2.994781,0.01517741628715853,0.7794599851038455,0.01169309508400302,0.8063304964750071
2.997082,0.014695806995641754,0.7827709867274273,0.011495869355522518,0.8089626630785915
2.999384,0.014298865314836304,0.7870711052620248,0.011294161224122008,0.8126641318009831
3.001686,0.01396417923014212,0.7917905774920281,0.011080998063037022,0.8168357547852071
