Wavelength,H2O_CH3OH_CO_NH3_120K_NASA,CO_CH3OH_10K,CH3OH,all
2.85208,0.05548989686934427,0.003601700128011821,0.011981458135036305,0.0710730551323924
2.854382,0.059041202839186374,0.0038749155149515385,0.012993787841798476,0.07590990619593638
2.8566830000000003,0.06286868855821348,0.004177280463969813,0.014292178505229897,0.08133814752741317
2.858985,0.06701385509785945,0.0045211464844219715,0.01578028835235906,0.0873152899346405
2.861286,0.07082997742827966,0.004904043274436946,0.01726790413911401,0.09300192484183062
2.863588,0.07487336753083779,0.005322018351021035,0.01872488818266777,0.09892027406452658
2.8658900000000003,0.07905657671929815,0.005771119231180532,0.02075053571694053,0.10557823166741924
2.868191,0.08321113040605417,0.006246405311173314,0.02277815949271015,0.11223569520993763
2.870493,0.08739384553414034,0.006742441926883035,0.02478453867238861,0.11892082613341197
2.872795,0.09172922531785828,0.007251818172696503,0.026766708893730645,0.12574775238428545
2.875096,0.09563921911937892,0.0077646528411294624,0.028819035688210905,0.13222290764871927
2.877398,0.09968952606717604,0.008273535026568718,0.031206335416407494,0.13916939651015225
2.879699,0.10371908247925618,0.008783899393130613,0.033204809630098565,0.14570779150248536
2.882001,0.10773085271786467,0.009305627148299404,0.03549428540420098,0.15253076527036508
2.884303,0.11190763912146028,0.009838718292075088,0.037487324953775714,0.15923368236731106
2.886604,0.11585468745104688,0.010369833194353924,0.03964538066833753,0.16586990131373835
2.888906,0.12011447599751028,0.010882667862786884,0.041677450987475065,0.1726745948477722
2.891208,0.12364552549200965,0.01137129357288341,0.04377967787975082,0.17879649694464386
2.893509,0.12801252513967726,0.011839168747263,0.04586016611556122,0.18571186000250145
2.895811,0.1326077806802311,0.012288269627422495,0.047382366128511065,0.19227841643616467
2.898112,0.1368532414758423,0.012716125911490845,0.049517201005484866,0.199086568392818
2.900414,0.14107548143386547,0.013116314814603269,0.051111533833069815,0.20530333008153856
2.902716,0.14552251886215553,0.01348686009526292,0.053140639789962064,0.2121500187473805
2.905017,0.15038308482366175,0.013837148900579846,0.05518308537695807,0.21940331910119967
2.907319,0.15461075944580124,0.014179038679535154,0.057755163685110265,0.2265449618104467
2.909621,0.1593374350458958,0.014515493794374112,0.06002092456125049,0.2338738534015204
2.911922,0.1642439486222038,0.014834656796115628,0.06293983325210012,0.24201843867041956
2.9142240000000004,0.16917170679460294,0.01512467023577858,0.06551635810362022,0.24981273513400176
2.916525,0.1744443191082027,0.01537515884550451,0.0686971187928027,0.2585165967465099
2.918827,0.17975497407061686,0.015574265176312297,0.07129884072340767,0.2666280799703368
2.921129,0.18496434665631736,0.01571309614146611,0.07450677473317183,0.2751842175309553
2.92343,0.19034318195037286,0.015794616103211232,0.0783520466256706,0.2844898446792547
2.925732,0.19584652045873002,0.015823765665289792,0.08154219446196309,0.2932124805859829
2.928034,0.2019728690989696,0.01580548543144392,0.08538944259595871,0.3031677971263722
2.930335,0.20704489290063896,0.01574372788466731,0.08872385606152136,0.3115124768468276
2.932637,0.21475421097985653,0.01564244550795367,0.09258543194636916,0.32298208843417936
2.9349380000000003,0.22087759525785086,0.015509049206916196,0.09599642476993482,0.33238306923470184
2.93724,0.22695898440403706,0.015354902370161782,0.0997967371683802,0.3421106239425791
2.939542,0.2339608080273819,0.01519087432592311,0.10310792979635486,0.35225961214965984
2.941843,0.24052934070254195,0.015024870040187585,0.10711772379346653,0.3626719345361961
2.944145,0.24702821086493806,0.014863806358194188,0.11051340074543158,0.3724054179685638
2.946447,0.2532123645689605,0.0147106476421882,0.1139352628972299,0.3818582751083786
2.948748,0.2590926711428421,0.014553536443188506,0.1174253053806696,0.3910715129667002
2.95105,0.2660658392644826,0.014380615312214002,0.12028542088698793,0.4007318754636845
2.953351,0.2720054330832697,0.014191390188890473,0.12309217787289126,0.4092890011450514
2.955653,0.2761901244528527,0.01400710566930907,0.1258356951308953,0.416032925253057
2.957955,0.2838861029019665,0.013848018228812528,0.12819137499514227,0.4259254961259213
2.960256,0.2888128729536173,0.013716104108897693,0.1305193874784333,0.4330483645409483
2.962558,0.2937984361897993,0.013599011800209242,0.13312160346941249,0.44051905145942105
2.96486,0.3009697225214992,0.013485377914140279,0.13541058518314072,0.44986568561878015
2.967161,0.30614500494137903,0.01336976778657447,0.1378902742013151,0.4574050469292686
2.969463,0.3121809405331376,0.01324773487414389,0.13955673984353514,0.4649854152508166
2.971764,0.3172233207123542,0.013119279176848546,0.14201913674861208,0.4723617366378148
2.974066,0.3222607602878286,0.012991811600301623,0.1444889445593022,0.4797415164474324
2.976368,0.3274098575078752,0.01287422523123896,0.14651409803320076,0.4867981807723149
2.978669,0.3325540141241795,0.012763555707415277,0.14872304196630648,0.4940406117979013
2.980971,0.3376606221520437,0.012647451519475257,0.15114690216219484,0.5014549758337139
2.983273,0.34299598013316857,0.012513561158063569,0.15392450958601958,0.5094340508772517
2.985574,0.3481855903039005,0.01235941432130915,0.15687948468418678,0.5174244893093964
2.987876,0.3529404273453252,0.012185999129960434,0.15979938149578482,0.5249258079710704
2.990177,0.3581581989573873,0.011996279946262692,0.16274052290347404,0.5328950018071239
2.992479,0.3634965213007573,0.01179816173620333,0.1665324362755578,0.5418271193125185
2.994781,0.36819602358027015,0.011599549465769757,0.1694888935548476,0.5492844666008875
2.997082,0.3730926559490939,0.01140390155758146,0.17321806125940634,0.5577146187660817
2.999384,0.3773608435219189,0.011203807106025249,0.17701442117485805,0.5655790718028022
3.001686,0.3828765335396314,0.010992349265862142,0.18069517096274396,0.5745640537682375
