Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,H2O_CH3OH_CO_NH3_120K_NASA,CO_CH3OH_10K,all
2.85208,0.16027660603466087,0.05373941479092975,0.003488081039103566,0.21750410186469415
2.854382,0.1694068615062897,0.057178691403971776,0.003752677584319515,0.23033823049458102
2.8566830000000003,0.1777227529273624,0.06088543541082163,0.004045504140688703,0.2426536924788727
2.858985,0.18764105633745534,0.06489983869176523,0.0043785225773438595,0.25691941760656445
2.861286,0.1963923597949594,0.06859557777901297,0.004749340520458435,0.2697372780944308
2.863588,0.20604463123554048,0.07251141525830289,0.00515413017190996,0.2837101766657533
2.8658900000000003,0.2159246566644088,0.07656266109617531,0.00558906373357596,0.29807638149416005
2.868191,0.2263726316396989,0.08058615539765977,0.006049356457803345,0.31300814349516204
2.870493,0.23683926713083614,0.0846369227607669,0.006529745122173711,0.3280059350137768
2.872795,0.2474508804758621,0.08883553882635452,0.007023052605207426,0.34330947190742406
2.875096,0.25844479515837,0.09262218811901098,0.007519709411598304,0.35858669268897925
2.877398,0.26930377995706073,0.09654472424501524,0.008012538419866709,0.3738610426219427
2.879699,0.2812077536431866,0.1004471644308765,0.008506802852431041,0.3901617209264942
2.882001,0.2928342119654332,0.10433237952518663,0.009012072204597484,0.4061786636952173
2.884303,0.3048142631392432,0.10837740519111004,0.009528346476366035,0.4227200148067193
2.886604,0.31642062552134675,0.11219994009116467,0.01004270684907335,0.4386632724615848
2.888906,0.3288274761858125,0.11632534951766002,0.010539363655464231,0.4556921893589368
2.891208,0.3416979688978629,0.11974500866532438,0.01101257519835496,0.4724555527615422
2.893509,0.3530440410076383,0.1239742471158918,0.011465690801102707,0.4884839789246328
2.895811,0.3660078362989239,0.128424540908032,0.011900624362768708,0.5063330015697246
2.898112,0.3788792859605048,0.13253607456633335,0.012314983509526416,0.5237303440363645
2.900414,0.3914646077124309,0.1366251199106652,0.012702548069426813,0.540792275692523
2.902716,0.4038575826087027,0.14093187127321272,0.013061404143408662,0.557850858025324
2.905017,0.4169816669463669,0.14563910601432395,0.013400642752012836,0.5760214157127036
2.907319,0.42909329868063695,0.14973341458107414,0.013731747289606754,0.5925584605513179
2.909621,0.4421905884314437,0.15431098266078666,0.01405758860478227,0.6105591596970126
2.911922,0.4552629974944545,0.1590627155550716,0.014366683303171968,0.628692396352698
2.9142240000000004,0.4683712921648634,0.16383502286426488,0.014647547990408431,0.6468538630195368
2.916525,0.4820599767255924,0.16894130555964393,0.014890134696420159,0.6658914169816564
2.918827,0.4957055985574436,0.17408443081195174,0.01508296002683974,0.6848729893962351
2.921129,0.5096478747437863,0.1791294687373713,0.015217411435891602,0.7039947549170491
2.92343,0.5258107523159287,0.18433862350729174,0.01529635977216761,0.7254457355953879
2.925732,0.5403310260187649,0.18966835391807016,0.015324589783320847,0.7453239697201559
2.928034,0.5566718962036024,0.1956014410079034,0.015306886217004415,0.7675802234285102
2.930335,0.5708065192455994,0.20051346294856695,0.015247076871340776,0.7865670590655072
2.932637,0.5837042850192723,0.20797958318645066,0.0151489895444524,0.8068328577501753
2.9349380000000003,0.5960226178521558,0.213909799427692,0.015019801357818937,0.8249522186376667
2.93724,0.6079064955981389,0.21979934531388207,0.014870517231042484,0.8425763581430635
2.939542,0.6181305443832643,0.2265802896878431,0.014711663608959856,0.8594224976800672
2.941843,0.6270651036758818,0.232941611692628,0.014550896087815988,0.8745576114563258
2.944145,0.6378896382914702,0.2392354687555043,0.014394913314325209,0.8915200203612996
2.946447,0.6470883156545383,0.2452245373928787,0.014246586137079378,0.9065594391844964
2.948748,0.656845373068722,0.25091934404958793,0.014094431161711074,0.9218591482800209
2.95105,0.6667713320750601,0.2576725368871611,0.013926964993852878,0.9383708339560741
2.953351,0.6743384104884239,0.26342476051570746,0.01374370915873948,0.9515068801628708
2.955653,0.6835088578403387,0.2674774417778757,0.013565238071279174,0.9645515376894936
2.957955,0.6892433779025686,0.2749306431970961,0.013411169196849636,0.9775851902965144
2.960256,0.6945396150797755,0.2797019935567588,0.013283416434512096,0.9875250250710464
2.962558,0.7017435311462696,0.2845302824134932,0.013170017915133834,0.9994438314748968
2.96486,0.7059344916156123,0.2914753436319553,0.013059968719112731,1.0104698039666802
2.967161,0.7112048911554925,0.2964873667985684,0.012948005624030395,1.0206402635780911
2.969463,0.7148221603812295,0.30233289300634997,0.01282982235699904,1.0299848757445786
2.971764,0.7217227234465177,0.30721620646109504,0.01270541891801867,1.0416443488256315
2.974066,0.7269558019547038,0.3120947351681869,0.01258197242856891,1.0516325095514596
2.976368,0.7326204647011986,0.3170813991722387,0.012468095434425336,1.0621699593078626
2.978669,0.7375903820884645,0.32206327842863736,0.01236091708699609,1.0720145776040981
2.980971,0.7443837668063236,0.3270087936028725,0.012248475517148449,1.0836410359263444
2.983273,0.7520259657578409,0.3321758425934459,0.012118808855749673,1.0963206172070366
2.985574,0.7553642841954028,0.3372017415282529,0.011969524728973224,1.104535550452629
2.987876,0.7636471608576691,0.341806582669588,0.011801580086349718,1.117255323613607
2.990177,0.771926209721813,0.34685975466601776,0.011617845776471012,1.130403810164302
2.992479,0.7767549770533128,0.3520296745051829,0.011425977395582052,1.1402106289540777
2.994781,0.7841340148839103,0.3565809264728034,0.01123363053992778,1.1519485718966416
2.997082,0.7921020551506032,0.3613230898717822,0.011044154532865363,1.1644692995552508
2.999384,0.7975447056059944,0.3654566333692878,0.010850372252915168,1.1738517112281974
3.001686,0.8049491025991533,0.37079832564919896,0.010645585053362858,1.186393013301715
3.003987,0.812539147801252,0.3758950388492717,0.010428835984677821,1.1988630226352015
3.006289,0.8190325288412623,0.38055968933627055,0.010203952844982529,1.2097961710225154
3.0085900000000003,0.826348408002839,0.3853252979987495,0.009974284957634149,1.2216479909592226
3.010892,0.8342006573763271,0.3894105155449588,0.009738875373102055,1.233350048294388
3.013194,0.8412237099815345,0.3944947884011336,0.009498202566151562,1.2452167009488198
3.015495,0.8500979814537231,0.3985962740893633,0.009250831112486741,1.2579450866555733
3.0177970000000003,0.8573215149855948,0.40268484095893,0.008994847113046356,1.2690012030575712
3.020098,0.8647421801207742,0.4073035578684591,0.008728336668769168,1.2807740746580023
3.0224,0.872339880919118,0.4117973928642424,0.008455127577777655,1.2925924013611378
3.024702,0.8774332447958336,0.4157055747472874,0.008183353911082068,1.3013221734542029
3.027003,0.8810911843766221,0.4197166287048738,0.007920671264927355,1.3087284843464229
3.029305,0.8889625727407224,0.4233750467604275,0.00766468726548697,1.3200023067666369
3.031607,0.8957846659445,0.42715595435590026,0.00740678936698535,1.3303474096673855
3.0339080000000003,0.8994296867066249,0.4315670132172851,0.007143149771300018,1.33813984969521
3.03621,0.9042541477652368,0.434527815065018,0.006884294923267778,1.3456662577535228
3.038511,0.909154686311533,0.4383221199539194,0.006645536015378521,1.3541223422808308
3.040813,0.9143743675262904,0.4418661825405641,0.0064297438962241035,1.3626702939630786
3.043115,0.917424644155136,0.4450073693748186,0.006224478221906486,1.3686564917518609
3.045416,0.9229395443000892,0.4480997517830115,0.006015384749466396,1.3770546808325672
3.047718,0.9253907705227676,0.4513256286507257,0.0058062912770263046,1.3825226904505197
3.05002,0.9286085133194716,0.4544424132719493,0.005612508997076107,1.3886634355884973
3.052321,0.9312568711454576,0.4576946062517555,0.005446956728279147,1.3943984341254925
3.054623,0.9349372990402156,0.4594018042143785,0.005300543450094554,1.3996396467046888
3.056924,0.9345444712578967,0.4626975383978278,0.005157001020501814,1.4023990106762263
3.059226,0.9374196261226394,0.4651033095178022,0.005009630792786602,1.4075325664332283
3.061528,0.9392215620887936,0.46805167102163703,0.0048727870099081905,1.4121460201203386
3.063829,0.93838758057286,0.4699325553240671,0.004764173238183018,1.4130843091351102
3.066131,0.9406254070502108,0.471945977136488,0.004682354053315157,1.417253738240014
3.068433,0.939222519038324,0.4738278183884488,0.004606276565631005,1.4176566139924038
3.070734,0.9381248979267048,0.4753627654355605,0.00451536636022227,1.4180030297224877
3.073036,0.9370947417569944,0.476815414823039,0.004412015810915498,1.418322172390949
3.075337,0.9355191243548316,0.47831208388892604,0.004309622211139343,1.4181408304548968
3.077639,0.933454984217288,0.4790800358872472,0.004218712005730609,1.4167537321102657
3.079941,0.9285659290653592,0.4797412880129043,0.0041325865479749655,1.4124398036262384
3.082242,0.9270424654126148,0.4802436865164789,0.004040240918270303,1.411326392847364
3.084544,0.922362025258361,0.48170494844973294,0.003935933419432914,1.4080029071275268
3.086846,0.9183720241904482,0.481692508105835,0.0038172716776362476,1.4038818039739196
3.089147,0.9154748594865012,0.4816714552161613,0.0036856911171762366,1.4008320058198391
3.0914490000000003,0.9098479962464658,0.4805020628897459,0.003543584111879425,1.3938936432480913
3.09375,0.9010172659779206,0.4803771809760002,0.003398127783225449,1.384792574737146
3.096052,0.8995043287700132,0.4790862560591962,0.003254585353632709,1.3818451701828425
3.098354,0.8925114200750202,0.4790436718050836,0.0031124783483358976,1.3746675702284397
3.100655,0.8872400635856096,0.4776824110977792,0.002967500494447231,1.3678899751778357
3.102957,0.8801567231599732,0.475865163939135,0.002818694842436091,1.358840581941544
3.105259,0.8738576028746785,0.4749933829167418,0.0026694107156596428,1.35152039650708
