Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,d_NH3_CH3OH_50_10K_I10m_Baselined,H2O_40K,all
2.85208,0.16193442976918165,0.0013381172914945483,0.10636920592464594,0.2696417529853221
2.854382,0.17115912418980989,0.0013956447328557664,0.11039999421094708,0.28295476313361273
2.8566830000000003,0.17956103117180966,0.0014507550548320592,0.11493015936217375,0.2959419455888154
2.858985,0.1895819247178322,0.001509249343947247,0.11915238350376095,0.3102435575655404
2.861286,0.19842374742788832,0.0015735447195862552,0.12361728643159466,0.3236145785790692
2.863588,0.2081758572983072,0.0016441246056260687,0.12822093201212306,0.3380409139160563
2.8658900000000003,0.21815807693417105,0.001720989002066688,0.13318569522875925,0.35306476116499697
2.868191,0.22871412071201605,0.0018075218760470074,0.13785315276104962,0.3683747953491127
2.870493,0.2392890180210634,0.0019051734991979825,0.14245099725505422,0.3836451887753156
2.872795,0.2500103927648373,0.0020052422417338824,0.1474027080270118,0.3994183430335829
2.875096,0.2611180231863222,0.002096125930607067,0.1525255508514221,0.41573969996835136
2.877398,0.27208932807449737,0.002167189240523866,0.15757636351816168,0.4318328808331829
2.879699,0.2841164307100078,0.0022295509206549336,0.16281522807304838,0.4491612097037111
2.882001,0.2958631474968669,0.002297230263432837,0.16806859534424465,0.4662289731045444
2.884303,0.3079671145288179,0.0023784454747663216,0.1731194080109842,0.4834649680145685
2.886604,0.3196935275128437,0.002467395468131566,0.1782702894202596,0.5004312124012349
2.888906,0.33222870864306536,0.0025553786137428405,0.18327372654705465,0.5180578138038628
2.891208,0.34523232751008553,0.002637560672830295,0.18829650062892905,0.5361663888118449
2.893509,0.35669575790503144,0.002708623982747093,0.19344834888595844,0.5528527307737371
2.895811,0.3697936444280637,0.002767118271862281,0.19858376073117034,0.5711445234310963
2.898112,0.3827982301428378,0.002825129137100484,0.20415377064179185,0.5897771299217301
2.900414,0.395513728379175,0.002902960381295073,0.2091605917357257,0.6075772804961957
2.902716,0.4080348902169641,0.003003029123830973,0.21375021802382155,0.6247881373646167
2.905017,0.4212947237387863,0.003078926672517623,0.2185646364147154,0.6429382868260194
