Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,H2O_40K,H2O_CH3OH_CO_NH3_120K_NASA,all
2.85208,0.13957925615108693,0.00770772978897467,0.0557617871074343,0.20304877304749588
2.854382,0.14753047435272362,0.007999808936104741,0.059330493820116924,0.2148607771089453
2.8566830000000003,0.15477249155974832,0.008328073950227539,0.06317673351170741,0.22627729902168325
2.858985,0.16340999298002534,0.008634024930202839,0.06734221060121873,0.2393862285114469
2.861286,0.17103119520767104,0.008957560910401126,0.07117703122569853,0.2511657873437707
2.863588,0.179437018747217,0.009291150466424113,0.07524023319239227,0.26396840240603336
2.8658900000000003,0.1880411852206263,0.009650907343496051,0.07944393933266547,0.2771360318967878
2.868191,0.1971399589681862,0.00998912084380078,0.08361884956457258,0.2907479293765596
2.870493,0.2062549835023441,0.0103222900412527,0.08782205922366709,0.30439933276726394
2.872795,0.21549626414776385,0.010681101111539734,0.09217868156698793,0.3183560468262915
2.875096,0.2250704775750254,0.011052312759673263,0.09610783361542563,0.3322306239501243
2.877398,0.2345271853145781,0.011418304955549371,0.10017798631862156,0.34612347658874903
2.879699,0.2448939371036211,0.011797923775104248,0.10422728681231097,0.3609191476910363
2.882001,0.2550190105278727,0.012178593491086796,0.10825871398356626,0.37545631800252577
2.884303,0.2654520155238154,0.012544585686962905,0.11245596586851604,0.3904525670792944
2.886604,0.27555958810096143,0.012917829068189923,0.11642235400535822,0.4048997711745096
2.888906,0.2863642777544799,0.013280388335735645,0.12070301472833395,0.4203476808185495
2.891208,0.29757273695193426,0.013644348798518259,0.12425136571268885,0.4354684514631414
2.893509,0.30745363189037944,0.014017662239507123,0.12863976285144815,0.4501110569813347
2.895811,0.31874334502082396,0.014389784664544632,0.13325753429477885,0.4663906639801475
2.898112,0.3299526375919501,0.01479339895253128,0.13752379706357154,0.482269833608053
2.900414,0.3409127514352396,0.015156203429243457,0.14176672521696412,0.4978356800814472
2.902716,0.35170535717051843,0.0154887771187197,0.14623555230667706,0.5134296865959151
2.905017,0.3631346603909718,0.015837639702824806,0.15111993414298364,0.5300922342367803
2.907319,0.3736822542667726,0.016187693302881268,0.1553683235893422,0.545238271158996
2.909621,0.3850882230244185,0.016509092460343298,0.16011815902621404,0.5617154745109759
2.911922,0.3964725240666004,0.016878657704073482,0.16504871361214213,0.578399895382816
2.9142240000000004,0.4078880766214709,0.017198690696179537,0.17000061688875548,0.5950873842064061
2.916525,0.4198090703082241,0.017521175779950156,0.17529906402811954,0.6126293101162938
2.918827,0.43169256217975105,0.017846533313956404,0.18063574021824555,0.630174835711953
2.921129,0.4438343998895031,0.01815752859678451,0.18587063776673274,0.6478625662530203
2.92343,0.4579100812044222,0.01844522900879929,0.19127582835952286,0.6676311385727444
2.925732,0.4705552766118778,0.018715484540114784,0.19680613220935209,0.6860768933613447
2.928034,0.4847859654297321,0.019031664245319387,0.20296249882555475,0.7067801285006062
2.930335,0.4970953112474949,0.01922254206646496,0.20805937460635607,0.7243772279203159
2.932637,0.5083275215945926,0.019548460078565963,0.2158064669191969,0.7436824485923554
2.9349380000000003,0.5190551241834792,0.01984274610819414,0.22195985464832715,0.7608577249400005
2.93724,0.5294043751254167,0.02011086481677336,0.22807104147726576,0.7775862814194558
2.939542,0.5383081394338001,0.020366828156672543,0.23510717274217094,0.7937821403326436
2.941843,0.5460889327195753,0.020619183418836742,0.24170789001333334,0.8084160061517454
2.944145,0.5555156390069469,0.020839766579004413,0.24823860343829546,0.8245940090242467
2.946447,0.5635264434261098,0.021082138325105748,0.25445305835240906,0.8390616401036246
2.948748,0.5720235213827063,0.021325140609063688,0.26036217734160616,0.8537108393333761
2.95105,0.5806676897923568,0.021558054287316004,0.26736951269814524,0.8695952567778181
2.953351,0.5872575921012807,0.021787955395809005,0.27333820942878945,0.8823837569258792
2.955653,0.5952438119971285,0.02187451423156799,0.27754340501259883,0.8946617312412952
2.957955,0.6002378037247574,0.02218337269165984,0.28527709233361404,0.9076982687500312
2.960256,0.6048501103107503,0.02242259174847817,0.29022800264787,0.9175007047070984
2.962558,0.6111237473112661,0.0225360885626664,0.2952379942223942,0.9288978300963266
2.96486,0.6147735073064519,0.022810862948620857,0.3024444185316024,0.9400287887866752
2.967161,0.6193633128033089,0.022966991127891512,0.3076450588787575,0.949975362809958
2.969463,0.622513465282314,0.02320729611101844,0.31371056943925324,0.9594313308325856
2.971764,0.6285229228289027,0.02339295447990658,0.31877765634933103,0.9706935336581402
2.974066,0.6330802267525637,0.023582606255219872,0.3238397784476215,0.9805026114554052
2.976368,0.638013382202159,0.023835066607026837,0.3290141052923041,0.99086255410149
2.978669,0.6423415083661042,0.023988987903799382,0.33418346732519943,1.000513963595103
2.980971,0.6482576280614629,0.02420449173123332,0.3393150967885116,1.0117772165812078
2.983273,0.6549129502036146,0.024393407879047244,0.3446765970375739,1.0239829551202355
2.985574,0.6578201742573208,0.024580677622457817,0.34989163533891204,1.0322924872186907
2.987876,0.665033440072672,0.0247729916687212,0.35466977020297125,1.0444762019443643
2.990177,0.6722433723933364,0.024963168892248318,0.3599131079314967,1.0571196492170816
2.992479,0.6764485759407065,0.025153346115775445,0.36527758706763136,1.0668795091241132
2.994781,0.6828747203231426,0.02534460926561116,0.3700001160396733,1.0782194456284269
2.997082,0.6898138062005061,0.02553786911865944,0.3749207410020269,1.0902724163211923
2.999384,0.6945536189582683,0.025732284957778163,0.37920984190504103,1.0994957458210874
3.001686,0.7010018477430041,0.025925860079754743,0.3847525577843383,1.1116802656070972
