Wavelength,H2O_CH4_10_0.6_a_V3,HNCO_NH3,H2O_CH3OH_CO_NH3_100K_NASA,all
2.85208,0.2208139235471192,0.00032179702520385774,0.06717159152627646,0.2883073120985995
2.854382,0.2299803460437772,0.00033549051563806445,0.07181916217964622,0.3021349987390615
2.8566830000000003,0.2394174432013513,0.00034918400607227115,0.07658267105202557,0.3163492982594492
2.858985,0.24884632426466485,0.0003628774965064778,0.08127451732446596,0.3304837190856373
2.861286,0.2588978026930537,0.00037657098694068457,0.08671402817461399,0.3459884018546084
2.863588,0.2694139468968434,0.0003902644773748913,0.09125935409940834,0.3610635654736266
2.8658900000000003,0.2793440097100489,0.000403957967809098,0.09577638014397198,0.37552434782183
2.868191,0.2900965948486692,0.0004176514582433047,0.1002938626382168,0.3908081089451293
2.870493,0.30097789879737097,0.0004313449486775114,0.10504230867111856,0.4064515524171671
2.872795,0.3117113130493833,0.00044503843911171815,0.1090157031454442,0.4211720546339393
2.875096,0.3225259753446387,0.0004587319295459249,0.1135833951046144,0.436568102378799
2.877398,0.3336911909950097,0.00047242541998013157,0.11758554590885192,0.4517491623238417
2.879699,0.34479296013970223,0.00048611891041433817,0.12170454783146127,0.4669836268815778
2.882001,0.3557993313010364,0.0004993559511674048,0.12563640538480314,0.481935092637007
2.884303,0.3660493653407213,0.0005130494416016113,0.1293144769154311,0.4958768916977541
2.886604,0.3779248166949465,0.0005262864823546781,0.1331345042968936,0.5115856074741948
2.888906,0.3895624577652976,0.0005399799727888847,0.13709283593174162,0.5271952736698281
2.891208,0.4004565423050714,0.0005532170135419511,0.1407261753936178,0.5417359347122311
2.893509,0.41134514944867134,0.0005669105039761579,0.14430291509503262,0.5562149750476801
2.895811,0.4222506452304736,0.0005801475447292242,0.14789563053528731,0.5707264233104902
2.898112,0.4334112963840332,0.0005938410351634312,0.15216252215458612,0.5861676595737827
2.900414,0.4438338684031891,0.0006070780759164974,0.1557835374750715,0.6002244839541769
2.902716,0.454839326665161,0.0006203151166695642,0.16004266944979095,0.6155023112316215
2.905017,0.4649811821304157,0.0006335521574226307,0.16380335837270524,0.6294180926605435
2.907319,0.4757693703441649,0.0006472456478568373,0.16784476384952074,0.6442613798415425
2.909621,0.4849243815987943,0.000663221386696745,0.1719254239989144,0.6575130269844054
2.911922,0.4931423016580429,0.0007385355840848818,0.17630231999136803,0.6701831572334958
2.9142240000000004,0.5047520992978444,0.0008206965266901223,0.1807709623697308,0.6863437581942653
2.916525,0.513965992561341,0.0009028574692953627,0.1856262176280193,0.7004950676586558
2.918827,0.5235254182334608,0.0009845619622194626,0.1903007188125764,0.7148106990082566
2.921129,0.5328191901911569,0.0010648971061001419,0.19482778675012516,0.7287118740473821
2.92343,0.5414707374474886,0.0011461451493431016,0.19955797479578127,0.7421748573926128
2.925732,0.5503400112017244,0.0012315012397163235,0.20462228400803206,0.7561937964494727
2.928034,0.5584200834572685,0.0013136621823215636,0.21004810136774585,0.7697818470073359
2.930335,0.5658716245018828,0.0013903457287531215,0.2142652399718004,0.7815272102024362
