Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,H2O_CH3OH_CO_NH3_120K_NASA,CH3OH,all
2.85208,0.12240833319879425,0.05512676456134569,0.008278166468777935,0.18581326422891786
2.854382,0.12938139921018435,0.05865483037386196,0.008977600021807747,0.19701382960585406
2.8566830000000003,0.13573250953813532,0.06245726858331711,0.00987467731676253,0.20806445543821492
2.858985,0.14330743278255967,0.06657530867332984,0.010902834399107962,0.22078557585499747
2.861286,0.14999108110811912,0.07036645785750842,0.0119306501278404,0.23228818909346796
2.863588,0.1573628272902684,0.07438338754721811,0.01293730193256706,0.2446835167700536
2.8658900000000003,0.16490851642501292,0.07853922133054801,0.014336851745852678,0.25778458950141364
2.868191,0.1728879666621324,0.08266658713709353,0.01573776697359028,0.2712923207728163
2.870493,0.18088166852772086,0.0868219300932375,0.01712400399596904,0.2848276026169274
2.872795,0.1889860945837218,0.09112893864983604,0.01849351469131096,0.2986085479248688
2.875096,0.1973824963101504,0.09501334499934268,0.019911497599698392,0.31230733890919155
2.877398,0.2056758477999575,0.0990371462696555,0.02156091825769744,0.3262739123273105
2.879699,0.21476729048402493,0.10304033279815894,0.022941693622268257,0.3407493169044521
2.882001,0.2236467858729133,0.10702584954796864,0.024523526264894,0.35519616168577595
2.884303,0.2327963313499695,0.11117530257788134,0.02590054673972185,0.3698721806675727
2.886604,0.2416604788312759,0.11509652096633327,0.02739157932129053,0.38414857911889977
2.888906,0.2511359846312626,0.11932843296348344,0.0287955667315451,0.3992599843262911
2.891208,0.2609655885847467,0.12283637486137627,0.030248026354845175,0.4140499898009681
2.893509,0.26963094412023003,0.12717479635787482,0.031685466419173414,0.4284912068972783
2.895811,0.2795318062160588,0.13173998001427628,0.0327371769008156,0.4440089631311507
2.898112,0.2893621410222848,0.13595765802303425,0.03421216586257344,0.4595319649078925
2.900414,0.29897395085865386,0.14015226715405318,0.035313713971713116,0.4744399319844202
2.902716,0.3084388592938816,0.14457020265467355,0.036715653260289714,0.4897247152088449
2.905017,0.3184621392239947,0.1493989605099233,0.03812680909641721,0.5059879088303352
2.907319,0.3277121769530755,0.1535989687399875,0.03990389600567695,0.52121504169874
2.909621,0.3377149930064127,0.1582947124278483,0.04146934367487887,0.5374790491091398
2.911922,0.347698806888458,0.16316911721139016,0.04348606082046215,0.5543539849203103
2.9142240000000004,0.3577100277483283,0.16806462756392734,0.04526621991223885,0.5710408752244945
2.916525,0.3681645107962194,0.17330273529224868,0.047463854472710267,0.5889311005611784
2.918827,0.3785861054707209,0.17857863671388716,0.0492614225987498,0.6064261647833578
2.921129,0.38923426449524107,0.18375391856240852,0.051477831607936016,0.6244660146655857
2.92343,0.40157836730756463,0.1890975541357064,0.054134586777887725,0.6448105082211587
2.925732,0.41266796138825096,0.19456487815986032,0.056338707057006075,0.6635715466051173
2.928034,0.42514800281058585,0.20065113526548106,0.05899682764140975,0.6847959657174767
2.930335,0.4359430632362475,0.2056899671563119,0.061300623175523074,0.7029336535680826
2.932637,0.4457934964928785,0.21334883456567527,0.06396864301470367,0.7231109740732575
2.9349380000000003,0.4552013984142304,0.21943214670818034,0.06632534835883146,0.7409588934812422
2.93724,0.464277493190716,0.2254737385398808,0.06895104035000048,0.7587022720805973
2.939542,0.4720859238862082,0.2324297414189822,0.07123879226430296,0.7757544575694935
2.941843,0.4789095305118601,0.23895528885601666,0.0740092181873825,0.7918740375552592
2.944145,0.4871765713029552,0.24541162965983399,0.07635534156950739,0.8089435425322966
2.946447,0.4942018932853981,0.25155531354620936,0.07871955669312107,0.8244767635247285
2.948748,0.501653667842796,0.2573971387132334,0.0811308786153283,0.8401816851713576
2.95105,0.5092344379091563,0.26432467361555045,0.08310697468096499,0.8566660862056719
2.953351,0.515013655966495,0.2702253980448869,0.08504620455639808,0.8702852585677799
2.955653,0.5220174177930489,0.2743827043097746,0.0869417411693676,0.8833418632721911
2.957955,0.5263970528494639,0.28202831938511763,0.08856931519613488,0.8969946874307164
2.960256,0.5304419573500444,0.286922848083283,0.09017777342057434,0.9075425788539015
2.962558,0.5359438167917953,0.2918757852165748,0.09197568290022687,0.9197952849085971
2.96486,0.5391445863753695,0.2990001418204527,0.09355717418923963,0.931701902385062
2.967161,0.5431697578519161,0.3041415565931444,0.09527042797286904,0.9425817424179296
2.969463,0.5459323812166635,0.31013799232373856,0.0964218137095062,0.9524921872499084
2.971764,0.5512025603392015,0.3151473745834132,0.0981231201166807,0.9644730550392954
2.974066,0.5551992285588102,0.3201518485712284,0.09982954682805016,0.9751806239580888
2.976368,0.5595255113650595,0.3252672495030655,0.1012287552877228,0.9860215161558478
2.978669,0.5633211950806191,0.3303777421630432,0.10275494729143007,0.9964538845350924
2.980971,0.5685095186960534,0.3354509319568895,0.1044296281167909,1.0083900787697335
2.983273,0.5743461086936387,0.3407513747378249,0.10634871812905718,1.0214462015605208
2.985574,0.576895688484094,0.3459070234989088,0.1083903540883892,1.0311930660713922
2.987876,0.5832215843924461,0.350630744336368,0.11040775394119846,1.0442600826700126
2.990177,0.5895445568898301,0.35581437024705026,0.1124398319993666,1.057798759136247
2.992479,0.5932324398259452,0.3611177579911013,0.11505972097911467,1.0694099187961612
2.994781,0.5988680453194816,0.3657865061837354,0.11710238099928567,1.0817569325025027
2.997082,0.6049534906757167,0.37065109442355865,0.1196789180701832,1.0952835031694583
2.999384,0.6091102156458226,0.3748913504828697,0.12230187923244824,1.1063034453611404
3.001686,0.6147651887370218,0.38037094518667214,0.12484496364927213,1.1199810975729658
3.003987,0.6205619472601683,0.3855992363712745,0.12704020873445254,1.1332013923658957
3.006289,0.6255211485409866,0.390384310606976,0.1296433713871638,1.1455488305351265
3.0085900000000003,0.6311085177535511,0.3952729493789101,0.13229500625292054,1.1586764733853818
3.010892,0.6371055299280047,0.3994636318924415,0.1349667809818441,1.1715359428022902
3.013194,0.6424692582015181,0.4046791615702097,0.13763889706438065,1.1847873168361085
3.015495,0.6492468211044242,0.408886532208063,0.14034753798350785,1.1984808912959952
3.0177970000000003,0.6547636630273859,0.413080650511896,0.14246597850576406,1.210310292045046
3.020098,0.660431060615199,0.4178186053377474,0.1452712224973692,1.2235208884503157
3.0224,0.6662336659602814,0.4224284542680691,0.14749753076133235,1.2361596509896828
3.024702,0.6701236296795587,0.4264375307228038,0.1495835426903539,1.2461447030927166
3.027003,0.6729173142858411,0.4305521350225149,0.15146030485460862,1.2549297541629645
3.029305,0.6789289435151344,0.4343049996861905,0.15398256670103969,1.267216509902365
3.031607,0.6841391927128285,0.43818351610946604,0.15584772284245255,1.278170431664747
3.0339080000000003,0.6869230108070937,0.44270845193662056,0.15722132978115042,1.2868527925248647
3.03621,0.6906076049058699,0.4457456905631997,0.15921995518524487,1.2955732506543147
3.038511,0.6943503017976348,0.4496379501476813,0.16065193359176516,1.304640185537081
3.040813,0.6983367380788555,0.4532735071139178,0.16207367138989556,1.313683916582669
3.043115,0.7006663311939699,0.4564957875895953,0.16348448587241007,1.3206466046559753
3.045416,0.7048782355460967,0.4596680036923071,0.16465874230111802,1.329204981539522
3.047718,0.7067503148447212,0.4629771605798954,0.1657875986992974,1.3355150741239141
3.05002,0.7092078071896849,0.46617440886909,0.16686456934830132,1.3422467854070759
3.052321,0.7112304421531607,0.4695105612519049,0.16799001221035076,1.3487310156154164
3.054623,0.7140413017988799,0.4712618326513286,0.16851433135991334,1.353817465810122
3.056924,0.7137412867482903,0.4746426503080638,0.1690478670570269,1.3574318041133808
3.059226,0.7159371338116192,0.4771105293989558,0.16963738474667184,1.3626850479572468
3.061528,0.7173133295247989,0.4801350065187005,0.17021529641347488,1.3676636324569742
3.063829,0.7166763913601488,0.4820644481866194,0.17074712534252345,1.3694879648892917
3.066131,0.7183854904973079,0.48412984898504297,0.17071401404206274,1.373229353524414
3.068433,0.7173140603775409,0.4860602723073338,0.17078228476466206,1.3741566174495368
3.070734,0.7164757722824706,0.4876348459198202,0.1713287918990695,1.3754394101013605
3.073036,0.7156890093057113,0.4891249972563255,0.17134688364055828,1.376160890202595
3.075337,0.7144856602660138,0.4906603046939369,0.1713328881424254,1.3764788531023762
3.077639,0.7129092109015269,0.491448082327366,0.17076624114485126,1.3751235343737442
3.079941,0.7091752842426661,0.4921264054983311,0.17078433288634004,1.3720860226273373
3.082242,0.7080117666774074,0.4926417740435651,0.17073722608774655,1.371390766808719
3.084544,0.7044371659163018,0.4941407602694172,0.17021324829179693,1.368791174477516
3.086846,0.7013898754085467,0.494127998762583,0.16963397121054186,1.3651518453816716
3.089147,0.6991772187321517,0.4941064023664016,0.1691137483043352,1.3623973694028886
3.0914490000000003,0.6948798046092114,0.4929068207239713,0.1684726862191278,1.3562593115523105
3.09375,0.6881354955060662,0.4927787148284417,0.16760803751740772,1.3485222478519154
3.096052,0.6869800173209696,0.4914544630807833,0.16685193926462044,1.3452864196663732
3.098354,0.6816393109088289,0.4914107794612347,0.16631601409221594,1.3393661044622795
3.100655,0.6776134085795404,0.4900143761172436,0.1651554118080279,1.3327831965048118
3.102957,0.6722036365832811,0.4881502144650542,0.16439487595827176,1.324748727006607
3.105259,0.6673927984090882,0.4872559273322768,0.16296733514872036,1.317616060890085
3.10756,0.6615127226733541,0.4854987660066218,0.1618927539750074,1.3089042426549835
3.109862,0.6563956572002644,0.4831643919103046,0.16078949909780274,1.3003495482083718
3.112163,0.6509628633426323,0.4817238141195791,0.15923326797615175,1.2919199454383632
3.114465,0.6447191883677549,0.4793069810560246,0.15761866538667832,1.2816448348104577
3.116767,0.6393452281558534,0.4764356420182922,0.1560566312536064,1.2718375014277519
3.119068,0.6330715882185539,0.4747148019043965,0.15440721059560733,1.262193600718558
3.12137,0.6277703478544813,0.4714733791684675,0.15254478528309845,1.2517885123060473
3.123672,0.6215708894704948,0.469048692869938,0.15072946676918314,1.241349049109616
3.125973,0.6152877484475493,0.4664428913397977,0.14880491509910893,1.2305355548864558
3.128275,0.6089852398269412,0.4634115426394498,0.1468185784250823,1.2192153608914733
3.130576,0.6023520203405796,0.4602952808359348,0.14471106121844196,1.2073583623949562
3.132878,0.5961196735832031,0.4572663862715166,0.1421580775468412,1.1955441374015607
3.13518,0.5894246970401427,0.4542792120179031,0.14026322364109767,1.1839671326991434
3.137481,0.5833776214528623,0.4512989093448926,0.13775427458557346,1.1724308053833286
3.139783,0.5762682514050899,0.44833725810494784,0.13525590749205213,1.1598614170020898
3.142085,0.5708025691740679,0.4443389798483038,0.1327947479423474,1.147936296964719
3.144386,0.5625483183059575,0.4412418603050403,0.13040458994414594,1.1341947685551441
3.146688,0.5569689884735551,0.4382586126689143,0.12795298829560514,1.1231805894380746
3.148989,0.5494488791847805,0.434777175439062,0.1250798149350137,1.1093058695588562
3.151291,0.5423475485171699,0.4315067938991627,0.12284804501324265,1.0967023874295752
3.153593,0.5348782334939641,0.4275615249786,0.11996565510510025,1.0824054135776644
3.155894,0.5284931385135103,0.4245576626006645,0.11728363976778683,1.0703344408819615
3.158196,0.5211531844256378,0.4206791461773891,0.11433775808762707,1.056170088690654
3.160498,0.5135256397837897,0.41665927152456383,0.11183222256823283,1.0420171338765865
3.162799,0.5068281052561323,0.41336729358848334,0.1089450537095085,1.029140452554124
3.165101,0.4995718338072186,0.4091942808536456,0.1066296521525533,1.0153957668134177
3.167402,0.4917264950482554,0.4059469681914854,0.10378890738519647,1.0014623706249373
3.1697040000000003,0.4848568446998578,0.4018637768316742,0.10134481551614158,0.9880654370476736
3.172006,0.4774584223926258,0.3976362822791975,0.09867167537276604,0.9737663800445892
3.174307,0.4695582696780128,0.3938951974679845,0.09608762852238263,0.95954109566838
3.176609,0.4618784690651119,0.3893103807241455,0.09391115788591696,0.9451000076751744
3.1789110000000003,0.4549017487900118,0.3855364104914748,0.091477989332478,0.9319161486139644
3.181212,0.4480558511557292,0.3813079342846261,0.08928513372258852,0.9186489191629438
3.183514,0.4401757968915212,0.3772723531618509,0.08682226740481883,0.9042704174581908
3.1858150000000003,0.43281574435324377,0.372796009226104,0.08471884644153442,0.8903306000208822
3.188117,0.4260202755581589,0.3683942710226196,0.08267686912858943,0.8770914157093679
3.190419,0.4183254924640471,0.3645771079975863,0.08060963164828265,0.8635122321099159
3.19272,0.41070196751228,0.3597768181191209,0.07862841527845102,0.8491072009098518
3.1950220000000003,0.4035443611835357,0.355106106617743,0.0766652906501082,0.8353157584513868
3.197323,0.396256663066716,0.3503760050268665,0.07463423665277907,0.8212669047463617
3.199625,0.389034741696676,0.3456846787836793,0.0728513467320984,0.8075707672124537
3.201927,0.3816249911719429,0.3411170409913481,0.07112990046175709,0.7938719326250481
3.204228,0.3744710391069086,0.3365867060651481,0.06926372025950525,0.7803214654315621
3.20653,0.3672703124663865,0.3320058159387967,0.06760849659008526,0.7668846249952684
3.208832,0.3596208422422785,0.32658904711479425,0.06620724000873468,0.7524171293658074
3.211133,0.3525849228950767,0.3222746761504066,0.06468650966283529,0.7395461087083186
3.213435,0.34560929889908965,0.3168628155982635,0.06268993238041881,0.7251620468777719
3.215736,0.3381169620145109,0.3119354014786405,0.06124498253660465,0.7112973460297559
3.218038,0.3312714298065992,0.3075385715470154,0.05984509136970604,0.6986550927233207
3.22034,0.3243999523263465,0.3019455957632616,0.05843939719138647,0.6847849452809945
3.222641,0.3170073768410504,0.2973917011321366,0.0572798189680374,0.6716788969412243
3.224943,0.3101592866485417,0.29200683607522004,0.05583350370977127,0.6579996264335329
3.227245,0.30328196234635313,0.2868551139316237,0.054445901272940515,0.6445829775509173
3.229546,0.2966136619283756,0.2821166682785864,0.053628359369813916,0.6323586895767759
3.231848,0.28954668133963896,0.27716176783655083,0.05227967124486477,0.6189881204210546
3.234149,0.2832617131848387,0.27190893529265137,0.0509736523215402,0.6061443007990303
3.236451,0.27640850702313596,0.2669569798137314,0.05011583069208002,0.5934813175289474
3.238753,0.2698830883162189,0.2619564324434036,0.04874768541119008,0.5805872061708126
3.241054,0.2635970238823056,0.25632075469447324,0.047881671295017976,0.5677994498717968
3.2433560000000003,0.25724737525983865,0.2516299192784718,0.04659988847821615,0.5554771830165266
3.245658,0.2512803280478069,0.24655623865743945,0.045786101464832515,0.5436226681700789
3.247959,0.24467926608209314,0.24141089726726025,0.04443365845014041,0.5305238217994939
3.250261,0.23887081391507475,0.23681135570784315,0.0435775435887452,0.5192597132116631
3.252562,0.2332140136920205,0.2312841507670049,0.04271596706954206,0.5072141315285674
3.254864,0.2279072919323828,0.22610935974566945,0.04141950604738138,0.4954361577254337
3.257166,0.22181928859155065,0.2216958416897225,0.04060230549786778,0.4841174357791409
3.259467,0.2168911485522672,0.216474912912909,0.03972946430943575,0.473095525774612
3.261769,0.21129829794413774,0.21137129183353448,0.0388873449461734,0.4615569347238456
3.264071,0.20638331325421025,0.2067315024448705,0.03779125849484166,0.4509060741939224
3.266372,0.201622538492844,0.20201416236082853,0.03717170168725304,0.4408084025409256
3.2686740000000003,0.19688880528293168,0.19714123005884449,0.035939415144335685,0.4299694504861119
3.270975,0.19212949222704945,0.19224817384223694,0.035092516830491395,0.4194701828997778
3.273277,0.18772683530926154,0.1873546267984435,0.034234695201031215,0.4093161573087363
3.275579,0.18370568352279595,0.1833043208600901,0.03340622998228872,0.4004162343651747
3.27788,0.17966004816947345,0.17868023794137616,0.03259312567613108,0.3909334117869807
3.280182,0.17564437777857286,0.17400461816813886,0.031743837886995814,0.3813928338337075
3.282484,0.17198828693673454,0.1694625033894764,0.03133045866165705,0.37278124898786796
3.284785,0.16824595547134066,0.1653704771403183,0.030450107693739095,0.3640665403053981
3.287087,0.16476892355129155,0.16080136686642932,0.029629834961708533,0.3552001253794294
3.289388,0.16150274264730846,0.1571402868865241,0.02883652916510468,0.3474795586989372
3.29169,0.1585073426842352,0.15322544925148934,0.02840471684466412,0.3401375087803887
3.293992,0.15534750085421264,0.14884776158011584,0.0275598666524978,0.3317551290868263
3.296293,0.15260497593987016,0.14534718209001204,0.026953622635816032,0.3249057806656982
3.298595,0.15009230421288566,0.14146621153080696,0.02629583422357179,0.3178543499672644
3.300897,0.1479183827318166,0.13794452647170788,0.025855488062806315,0.3117183972663308
3.3031980000000005,0.14564725783606194,0.13441302486889006,0.02510621688227901,0.30516649958723097
3.3055,0.14414133576117788,0.13096398223330966,0.02472355948210994,0.2998288774765975
3.307801,0.1429321398995444,0.12745996695290432,0.024334416363293945,0.29472652321574266
3.310103,0.1420189393984196,0.12476827066522493,0.024128580134657057,0.29091579019830155
3.3124050000000005,0.14126871905876,0.12137125571135388,0.024015592088755217,0.2866555668588691
3.314706,0.14087880912090478,0.11911197817448516,0.02400842366288229,0.28399921095827224
3.317008,0.14065005221265986,0.1164639655063542,0.024398249488924287,0.2815122672079383
3.31931,0.13976974008492485,0.11458262490265707,0.024759742965087574,0.27911210795266955
3.321611,0.1380832973827676,0.11277589003122243,0.02527074932374332,0.2761299367377333
3.323913,0.13570510256031046,0.1114310235417546,0.0267423247493712,0.27387845085143625
3.326214,0.1337478789172434,0.11019119407007737,0.028337811536516808,0.2722768845238376
3.3285160000000005,0.1306428510428706,0.11008370291635712,0.030239151160907262,0.27096570512013496
