Wavelength,H2O_CH3OH_CO_NH3_120K_NASA,CO_CH3OH_10K,HNCO_NH3,all
2.85208,0.05573460852674774,0.003617583704257626,0.00034984862983561404,0.05970204086084097
2.854382,0.059301575833497225,0.0038920039770222992,0.0003647358055732997,0.06355831561609282
2.8566830000000003,0.06314594084815893,0.004195702362071087,0.0003796229813109855,0.06772126619154101
2.858985,0.06730938766279837,0.004541084839185397,0.0003945101570486712,0.07224498265903244
2.861286,0.07114233917606119,0.004925670212408943,0.0004093973327863568,0.0764774067212565
2.863588,0.07520356071730185,0.00534548856821168,0.00042428450852404257,0.08097333379403758
2.8658900000000003,0.07940521794966801,0.005796569993063556,0.0004391716842617282,0.0856409596269933
2.868191,0.0835780933089413,0.006273952095052013,0.000454058859999414,0.09030610426399273
2.870493,0.08777925430211622,0.006772176243073226,0.0004689460357370996,0.09502037658092656
2.872795,0.09213375320538927,0.007283798849258357,0.00048383321147478536,0.09990138526612242
2.875096,0.09606099016499076,0.007798895129782284,0.0004987203872124711,0.10435860568198553
2.877398,0.10012915905490903,0.00831002149677616,0.0005136075629501567,0.10895278811463534
2.879699,0.1041764858987945,0.008822636581343803,0.0005284947386878425,0.11352761721882615
2.882001,0.10820594813179477,0.009346665167310341,0.0005428856752342719,0.11809549897433938
2.884303,0.1124011542546746,0.00988210725467577,0.0005577728509719576,0.12284103436032233
2.886604,0.11636560915362028,0.010415564385276172,0.0005721637875183872,0.12735333732641485
2.888906,0.12064418346063115,0.0109306606658001,0.0005870509632560729,0.13216189508968731
2.891208,0.12419080496053915,0.01142144122595247,0.0006014418998025022,0.1362136880862941
2.893509,0.12857706317205264,0.01189137974007208,0.0006163290755401881,0.14108477198766492
2.895811,0.13319258388992644,0.012342461164923959,0.0006307200120866176,0.146165765066937
2.898112,0.13745676726039088,0.01277220430455182,0.0006456071878243034,0.150874578752767
2.900414,0.1416976273888663,0.013174158049469337,0.0006599981243707329,0.15553178356270636
2.902716,0.14616427634936327,0.01354633744291148,0.0006743890609171622,0.1603850028531919
2.905017,0.15104627751294167,0.013898171029512116,0.0006887799974635919,0.16563322853991735
2.907319,0.15529259627252084,0.0142415685498614,0.0007036671732012776,0.1702378319955835
2.909621,0.16004011661526885,0.014579507439106866,0.0007210355448952441,0.17534065959927095
2.911922,0.16496826802363407,0.014900077956658363,0.0008029150114525157,0.18067126099174494
2.9142240000000004,0.1699177577172233,0.015191370361925744,0.0008922380658786299,0.18600136614502769
2.916525,0.17521362236630936,0.015442963631892634,0.0009815611203047444,0.19163814711850674
2.918827,0.18054769743312216,0.01564294802596888,0.0010703879355396019,0.19726103339463066
2.921129,0.18578004346572746,0.01578239123871187,0.0011577260332006913,0.20272016073764
2.92343,0.1911825995409336,0.01586427070526914,0.0012460566092442932,0.208292926855447
2.925732,0.19671020789233626,0.015893548817553255,0.0013388533380092008,0.21394261004789872
2.928034,0.20286357386391304,0.01587518796747678,0.0014281763924353153,0.2201669382238251
2.930335,0.2079579654013491,0.015813158068569755,0.001511544576566355,0.2252826680464852
2.932637,0.21570128174171066,0.015711429034362234,0.0016420554838667333,0.2330547662599396
2.9349380000000003,0.22185167027813987,0.015577444452723063,0.0019090321687625633,0.2393381468996255
2.93724,0.2279598784833123,0.015422617825051131,0.0021586404819644266,0.2455411367903279
2.939542,0.2349925803017951,0.015257866413554078,0.002419166057373927,0.25266961277272304
2.941843,0.2415900803495461,0.015091130045291997,0.0026791953935921702,0.2593604057884303
2.944145,0.24811761067132998,0.014929356068942481,0.002938728490619158,0.2659856952308917
2.946447,0.25432903662828377,0.01477552191965306,0.0031878405646297648,0.2722923991125666
2.948748,0.2602352754826149,0.01461771785683359,0.003457794684673133,0.2783107880241216
2.95105,0.26723919542800484,0.014444034139893924,0.003952048919164297,0.28563527848706305
2.953351,0.2732049829852867,0.014253974529642803,0.00447012263483576,0.2919290801497653
2.955653,0.27740812893522665,0.014068877311304243,0.00490135449203739,0.2963783607385683
2.957955,0.2851380468174243,0.01390908829171975,0.0051832183526709045,0.3042303534618149
2.960256,0.2900865440326311,0.01377659242765435,0.00548096186742462,0.30934409832771004
2.962558,0.2950940937115972,0.01365898373932663,0.005426375556386438,0.31417945300731026
2.96486,0.30229700557268085,0.013544848725337708,0.005336556262769069,0.3211784105607877
2.967161,0.30749511110108946,0.01342872875458376,0.005232842271796525,0.3261566821274698
2.969463,0.3135576653006663,0.01330615767434348,0.0051311132375890045,0.3319949362125988
2.971764,0.31862228248662705,0.013177135484616872,0.0050407977047803795,0.33684021567602423
2.974066,0.3236819372806751,0.013049105773272772,0.004938572431381604,0.34166961548532954
2.976368,0.3288537421319472,0.0129310008457538,0.004836843397174085,0.3466215863748751
2.978669,0.33402058459130657,0.012819843266912413,0.004744542907600433,0.35158497076581946
2.980971,0.3391497128721305,0.01270322705696721,0.004644798830157939,0.3564977387592557
2.983273,0.3445085998985062,0.01256874623613678,0.00454306979595042,0.3616204159305934
2.985574,0.3497210963634612,0.012413919608464852,0.004455235459098075,0.3665902514310241
2.987876,0.3544969023401107,0.012239739652333928,0.004352513946508043,0.3710891559389527
2.990177,0.35973768443896736,0.012049183802891552,0.004223491756781435,0.3760103599986404
2.992479,0.3650995489004905,0.01185019188719782,0.004070650085874527,0.3810203908735629
2.994781,0.3698197760877194,0.01165070373231283,0.003919793371732645,0.3853902731917648
2.997082,0.3747380027122595,0.01145419301257538,0.0037694328967820202,0.3899616286216169
2.999384,0.3790250130855217,0.011253216140116623,0.0036190724218313954,0.3938973016474698
