Wavelength,H2O_40K,H2O_CH3OH_CO_NH3_120K_NASA,CO_CH3OH_10K,all
2.85208,0.10853226480614928,0.055399384589756316,0.0035958252191118072,0.1675274746150174
2.854382,0.11264502072891393,0.058944897851069836,0.003868594951096558,0.17545851353108033
2.8566830000000003,0.11726730853800812,0.06276614037129744,0.00417046669788619,0.18420391560719174
2.858985,0.12157539323810725,0.06690454552744944,0.004513771821686166,0.19299371058724285
2.861286,0.12613109169129194,0.07071444319444803,0.004896044050055391,0.20174157893579536
2.863588,0.13082835418259536,0.07475123792602703,0.005313337347088119,0.2108929294557105
2.8658900000000003,0.13589407777659787,0.07892762367777184,0.005761705676878603,0.22058340713124835
2.868191,0.14065644986034606,0.08307540066919998,0.0062362164945446615,0.2299680670240907
2.870493,0.14534779329779085,0.08725129316645659,0.006731444000715889,0.2393305304649633
2.872795,0.15040019902061144,0.09157960130057263,0.007239989378069012,0.2492197896992531
2.875096,0.15562721683226136,0.0954832173203327,0.007751987536839666,0.2588624216894337
2.877398,0.16078073972516674,0.09952691761474676,0.00826003965970457,0.2685676969996181
2.879699,0.16612613861398906,0.10354990122065567,0.008769571546034131,0.2784456113806789
2.882001,0.17148633513745792,0.10755512766498873,0.009290448285592714,0.2883319110880393
2.884303,0.17663985803036328,0.11172510110838668,0.009822669878380316,0.29818762901713025
2.886604,0.18189548460232985,0.11566571121476313,0.01035291845321505,0.30791411427030796
2.888906,0.18700066855538985,0.1199185514121818,0.010864916611985704,0.3177841365795573
2.891208,0.19212558268797852,0.12344384123947835,0.011352745300833656,0.3269221692282905
2.893509,0.19738219576892155,0.12780371766084042,0.011819857301176438,0.3370057707309385
2.895811,0.20262203819726515,0.13239147765575932,0.012268225630966922,0.3472817414839913
2.898112,0.20830531641051706,0.13663001347301965,0.012695384017764018,0.35763071390130075
2.900414,0.2134139531449945,0.1408453663293337,0.013094920153220887,0.3673542396275491
2.902716,0.2180969112561396,0.14528514997778713,0.013464861019384652,0.37684692225331134
2.905017,0.22300923270430614,0.15013778763287933,0.013814578451531466,0.38696159878871694
2.907319,0.2279383248050722,0.15435856628856373,0.01415591055737857,0.39645280165101454
2.909621,0.2324639347344756,0.15907753197734878,0.014491816863855266,0.4060332835756797
2.911922,0.23766776958517924,0.16397604229984522,0.014810459263244325,0.4164542711482688
2.9142240000000004,0.2421741425895421,0.16889576256533512,0.015099999647828497,0.4261699048027058
2.916525,0.2467150434080803,0.1741597744636014,0.015350079673355202,0.4362248975450369
2.918827,0.25129639109465235,0.1794617669574605,0.015548861232107204,0.44630701928421995
2.921129,0.2556755044410549,0.18466264228123488,0.015687465743296557,0.4560256124655863
2.92343,0.25972660355279226,0.19003270389446808,0.015768852733852586,0.4655281601811129
2.925732,0.2635320619293969,0.1955270656387323,0.01579795474865747,0.4748570823167867
2.928034,0.2679841769400557,0.2016434212926399,0.01577970433259339,0.48540730256528897
2.930335,0.2706719206463576,0.2067071718686896,0.015718047521566098,0.4930971400366133
2.932637,0.2752611604047412,0.21440391490284874,0.015616930351481338,0.5052820056590713
