index,CH3OH,H2O,NH3
1,4.780846e+18,nan,nan
2,4.447055125e+18,2117112000000000.0,105855600000000.0
3,4.61503e+18,nan,nan
4,3.238246125e+18,2117112000000000.0,105855600000000.0
5,3.287791e+18,nan,nan
6,1412125000000000.0,2117112000000000.0,105855600000000.0
7,4.724543e+18,nan,nan
