Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,CO_NH3_10K,H2O_CH3OH_CO_NH3_120K_NASA,all
2.85208,0.15515943701868265,8.689167210814977e-05,0.055902755562558686,0.2111490842533495
2.854382,0.16399818980902012,9.380979886835276e-05,0.05948048413587699,0.22357248374376548
2.8566830000000003,0.17204857884036195,9.906757520610706e-05,0.0633364473046996,0.2354840937202677
2.858985,0.1816502194750389,0.00010045120055814766,0.06751245491879818,0.24926312559439526
2.861286,0.19012211909432788,9.989775041733142e-05,0.07135697015256426,0.2615789869973095
2.863588,0.1994662213917536,9.906757520610706e-05,0.07543044408746089,0.2749957330544206
2.8658900000000003,0.20903080615056707,9.962102534692329e-05,0.0796447773971835,0.2887752045730975
2.868191,0.21914520746750496,0.00010128137576937202,0.08383024200111136,0.3030767308443857
2.870493,0.2292776735239263,0.00010321845126222885,0.08804407757452717,0.3174249695497157
2.872795,0.2395504887101806,0.00010460207661426945,0.09241171366674587,0.33206680445354075
2.875096,0.25019339945662145,0.00010432535154386136,0.096350798798805,0.3466485236069703
2.877398,0.2607056882406435,0.00010183482591018825,0.10043124104199692,0.3612387641085506
2.879699,0.2722296024357386,9.879085013569896e-05,0.104490778360303,0.3768191716461773
2.882001,0.28348486153082353,9.906757520610706e-05,0.10853239717156407,0.39211632627759374
2.884303,0.2950824242791973,0.00010349517633263699,0.1127402599092982,0.40792617936482817
2.886604,0.30631822903945394,0.00010847622759998314,0.11671667526436776,0.4231433805314216
2.888906,0.3183289648037056,0.00011096675323365626,0.12100815770164522,0.4394480892585845
2.891208,0.3307885398643537,0.0001120736535152887,0.12456547908638448,0.4554660926042535
2.893509,0.3417723646687386,0.00011816160506426736,0.12896497030223875,0.4708554965760416
2.895811,0.35432226342680395,0.000133381483936714,0.1335944156918372,0.4880500606025779
2.898112,0.3667827648843487,0.00014943153802038494,0.13787146377621728,0.5048036601985864
2.900414,0.3789662736698139,0.00015192206365405804,0.14212511825417753,0.5212433139876455
2.902716,0.39096357667906506,0.00013863926027446824,0.1466052427517343,0.5377074586910738
2.905017,0.4036686469173087,0.0001441737616826307,0.15150197253808734,0.5553147932170787
2.907319,0.41539358923896336,0.0002092041532285389,0.1557611021154224,0.5713638955076143
2.909621,0.42807272036410254,0.00032542868279994945,0.16052294536263115,0.5889210944095337
2.911922,0.4407277651699305,0.00041702468110503733,0.16546596462551705,0.6066107544765527
2.9142240000000004,0.4534175498593805,0.0004125970799785073,0.17043038654959566,0.6242605334889546
2.916525,0.4666691942666106,0.00034507616279892597,0.17574222841582446,0.642756498845234
2.918827,0.4798791508134944,0.00031657348054688967,0.18109239597767732,0.6612881202717187
