Wavelength,H2O_CH4_10_0.6_a_V3,H2O_40K,CH3OH,all
2.85208,0.2356499366237637,0.10718193686412504,0.011813087813609305,0.354644961301498
2.854382,0.2454322313527605,0.11124352303335,0.01281119168273163,0.3694869460688421
2.8566830000000003,0.2555033867915619,0.11580830163634916,0.01409133661589584,0.3854030250438069
2.858985,0.26556577411438265,0.12006278635714683,0.015558534689979019,0.4011870951615085
2.861286,0.2762925897815094,0.12456180409029165,0.017025245646507724,0.4178796395183088
2.863588,0.28751529111909324,0.12920062456157125,0.01846175531465889,0.43517767099532334
2.8658900000000003,0.29811253351672923,0.13420332184604478,0.020458937288012492,0.4527747926507865
2.868191,0.30958756174753177,0.13890644183451525,0.022458067731583996,0.470952071313631
2.870493,0.3211999571286968,0.14353941689514116,0.024436252120313008,0.489175626144151
2.872795,0.3326545264222114,0.14852896200564378,0.026390567748872683,0.5075740561767279
2.875096,0.3441958026404229,0.15369094673043113,0.028414054070168008,0.526300803441022
2.877398,0.3561111851404722,0.1587803509396015,0.0307678060933984,0.545659342173472
2.879699,0.3679588583004494,0.16405924387746318,0.032738196601255785,0.5647562987791683
2.882001,0.3797047238915409,0.16935275034195918,0.03499549934869983,0.5840529735822
2.884303,0.3906434356948649,0.17444215455112952,0.03696053156345799,0.6020461218094525
2.886604,0.4033167731096797,0.1796323920940765,0.03908826104141129,0.6220374262451674
2.888906,0.4157363222786121,0.18467405878290816,0.04109177554297308,0.6415021566044935
2.891208,0.42736235695130265,0.18973521017391887,0.04316446073727054,0.6602620278624921
2.893509,0.4389825462133392,0.1949264219519748,0.04521571275917103,0.6791246809244851
2.895811,0.4506207588248914,0.2001010717331785,0.04671652194451309,0.6974383525025831
2.898112,0.4625312701493961,0.2057136401958566,0.04882135689740599,0.7170662672426587
2.900414,0.4736541123883122,0.2107587167075696,0.05039328524570162,0.7348061143415834
2.902716,0.4853990037442947,0.21538341076976936,0.052393877041936536,0.7531762915560006
2.905017,0.4962222686872079,0.22023461449480072,0.05440762101214235,0.7708645041941509
2.907319,0.5077352920872596,0.22510238021668424,0.05694355500074695,0.7897812273046909
2.909621,0.5175054088773946,0.229571683779006,0.059177476105576124,0.8062545687619768
2.911922,0.5262754733281892,0.23471077397873294,0.06205536661742321,0.8230416139243454
2.9142240000000004,0.5386653083262987,0.23916107995643016,0.06459568466401809,0.8424220729467471
2.916525,0.5484982632809611,0.2436454841629407,0.06773174747973773,0.8598754949236396
2.918827,0.5586999662243621,0.2481698320089183,0.07029690852161091,0.8771667067548914
2.921129,0.5686181667510579,0.25249446165756056,0.07345976280282672,0.8945723912114453
2.92343,0.5778509928786053,0.25649515813247603,0.07725099872931725,0.9115971497403984
2.925732,0.5873161740796379,0.2602532700652621,0.08039631677857192,0.927965760923472
2.928034,0.5959391290289806,0.26464999311196685,0.08418950117528033,0.9447786233162278
2.930335,0.6038913231058094,0.2673042966663092,0.08747705755044215,0.9586726773225608
2.932637,0.6135406347424341,0.2718364383931585,0.09128436835623037,0.9766614414918232
2.9349380000000003,0.6211430784151486,0.2759287129683155,0.09464742795233606,0.9917192193358
2.93724,0.6290743264371348,0.2796571107302785,0.0983943361813692,1.0071257733487826
2.939542,0.6367308401583962,0.28321647870083816,0.10165899803147062,1.021606316890705
2.941843,0.6412975672316132,0.2867256735632869,0.1056124441036018,1.0336356848985018
2.944145,0.649891782245242,0.2897930528038253,0.10896040305551873,1.048645238104586
2.946447,0.6587305302712179,0.2931634191632481,0.11233417923782284,1.0642281286722888
2.948748,0.6617540689318535,0.2965425536386515,0.11577517764264475,1.0740718002131495
2.95105,0.6704924707416072,0.29978139825836564,0.11859510116550916,1.0888689701654821
2.953351,0.676834741300891,0.3029783507683948,0.12136241599249008,1.1011755080617758
2.955653,0.6835218910887443,0.3041820182455062,0.12406737977249803,1.1117712891067486
2.957955,0.6880973862779419,0.3084769337233254,0.12638995627224192,1.1229642762735093
2.960256,0.6947928170642212,0.3118034595028453,0.12868525418893512,1.1352815307560018
2.962558,0.6987930264215821,0.3133817203793492,0.1312509023483628,1.143425649149294
2.96486,0.7048074668667034,0.31720267047666273,0.13350771797825234,1.1555178553216183
2.967161,0.7091384290435538,0.31937375341696445,0.13595256098416986,1.1644647434446882
2.969463,0.7124308565942604,0.3227153798406732,0.13759560849541905,1.1727418449303526
2.971764,0.7181691013859934,0.3252971028793985,0.14002340238692987,1.1834896066523215
2.974066,0.7236584291073889,0.32793435731933424,0.1424585030417578,1.194051289468481
2.976368,0.7279567544080895,0.33144501353444633,0.14445519789755693,1.2038569658400928
2.978669,0.7328722576503117,0.33358540806881604,0.1466331004836213,1.2130907662027488
2.980971,0.7379850435020969,0.3365821552639553,0.14902289920588296,1.2235900979719352
2.983273,0.7418556795899671,0.3392091802352471,0.15176147409714974,1.232826333922364
2.985574,0.7438421449771222,0.3418133106814784,0.15467492419047366,1.2403303798490743
2.987876,0.7500226925083199,0.3444875860555543,0.1575537889374297,1.252064067501304
2.990177,0.7551676281187005,0.3471321472588071,0.16045359973922824,1.262753375116736
2.992479,0.7579768350553665,0.34977670846205994,0.16419222696983524,1.2719457704872617
2.994781,0.7623584574578824,0.3524363703095016,0.16710713841582256,1.2819019661832065
2.997082,0.7655968149600422,0.3551237978575484,0.1707839017170111,1.2915045145346018
2.999384,0.7698025879253921,0.3578273002848929,0.1745269130056084,1.3021568012158935
3.001686,0.7744185138716114,0.3605191118909299,0.17815593878645825,1.3130935645489996
3.003987,0.7776632039019793,0.3632065394389768,0.18128859177929654,1.3221583351202526
3.006289,0.7804227248480885,0.3651559838919917,0.18500335024973427,1.3305820589898143
3.0085900000000003,0.7843688641569025,0.3677839830983923,0.18878727941290765,1.3409401266682024
3.010892,0.7878649068453804,0.3703939589552773,0.19259994851179507,1.3508588143124527
3.013194,0.7904066862446387,0.37267415622778177,0.19641310472823706,1.3594939472006575
3.015495,0.7941423907699188,0.3745534557529521,0.200278382523008,1.3689742290458788
3.0177970000000003,0.7968843754840671,0.3766251667121406,0.20330143406608908,1.3768109762622966
3.020098,0.7995323465102011,0.3784640354802893,0.2073045661287768,1.3853009481192673
3.0224,0.8006381033588629,0.3798279646328235,0.21048154681907247,1.390947614810759
3.024702,0.8006624592365866,0.3810418615785788,0.21345832219447827,1.3951626430096438
3.027003,0.8016922257467499,0.3822367609397097,0.21613649450899006,1.4000654811954496
3.029305,0.8062048827714201,0.3837492609463592,0.21973580611901675,1.409689949836796
3.031607,0.8079034616838796,0.3853031659451392,0.22239741643667632,1.4156040440656952
3.0339080000000003,0.8083779141819397,0.3855520830154767,0.2243575774758897,1.418287574673306
3.03621,0.8087817346346006,0.386394796384721,0.22720965075734956,1.4223861817766712
3.038511,0.8076769520210482,0.3863816442107501,0.2292531088983784,1.423311705130177
3.040813,0.8092162434931938,0.38721315387624144,0.231281953512773,1.4277113508822084
3.043115,0.8087715051659566,0.3874167690140126,0.2332952103654243,1.4294834845453934
3.045416,0.8073189206185077,0.3863090636951332,0.2349708947528234,1.4285988790664643
3.047718,0.8060928457338905,0.3863509558048181,0.2365817925054772,1.4290255940441858
3.05002,0.8046363642460058,0.3860104606342391,0.2381186483898505,1.4287654732700954
3.052321,0.8028803054621181,0.3845262134457492,0.23972467496695946,1.4271311938748268
3.054623,0.8007043513462715,0.3838486329274724,0.2404728875306353,1.4250258718043791
3.056924,0.7957372136432748,0.3823108028079901,0.2412342522682821,1.4192822687195468
3.059226,0.7941570042965531,0.3817710765576302,0.24207550428486305,1.4180035851390462
3.061528,0.7916249672483843,0.3798615757440823,0.2429001943045917,1.4143867372970582
3.063829,0.7873363842987733,0.3785278478799257,0.2436591234544661,1.409523355633165
3.066131,0.7847454060265129,0.376584735955119,0.24361187305168186,1.4049420150333136
3.068433,0.7795045082579003,0.37412917636300297,0.24370929656257714,1.3973429811834803
3.070734,0.7751901080779021,0.3726249573547797,0.24448917176729404,1.392304237199976
3.073036,0.7704163560440326,0.3699107383412367,0.2445149889976813,1.3848420833829505
3.075337,0.7658676523203309,0.367262280197548,0.2444950171779477,1.3776249496958266
3.077639,0.7610198584181811,0.36574003783980896,0.24368640203751676,1.3704462982955068
3.079941,0.7542294397087789,0.3631851062665798,0.243712219267904,1.3611267652432626
3.082242,0.7493845685119557,0.3595828719512262,0.2436449970453863,1.352612437508568
3.084544,0.7436399911920145,0.3569972519720649,0.2428972715992649,1.3435345147633442
3.086846,0.7381842745818777,0.3538835965638513,0.24207063310931826,1.334138504255047
3.089147,0.7317577326856696,0.3508629806085425,0.2413282659562961,1.323948979250508
3.0914490000000003,0.7255635458629466,0.34794222375190154,0.24041345918898924,1.3139192288038375
3.09375,0.7171144918805518,0.3447871633515573,0.2391795904235003,1.3010812456556091
3.096052,0.7117917583627872,0.34147184127579033,0.2381006250403349,1.2913642246789123
3.098354,0.7052142100246912,0.3381560320824689,0.2373358504798068,1.2807060925869669
3.100655,0.6980555304441047,0.3341977148347929,0.2356796507945867,1.2679328960734844
3.102957,0.6908715207506855,0.3312282462227043,0.2345943528832131,1.2566941198566028
3.105259,0.6830761785263982,0.3270633911319303,0.2325572272703924,1.2426967969287208
3.10756,0.6755209852564679,0.323537147155075,0.23102378120890046,1.2300819136204433
3.109862,0.6676642662203167,0.31896360043609523,0.22944941727283244,1.2160772839292444
3.112163,0.6596063676341666,0.3154490472805474,0.2272286483419741,1.202284063256688
3.114465,0.6515582113991061,0.3117313661047829,0.22492458230930032,1.1882141598131892
3.116767,0.6432246042771222,0.3073999168103779,0.2226955323800159,1.1733200534675159
3.119068,0.6345280945770536,0.3038210641376392,0.2203417803567856,1.1586909390714784
3.12137,0.6262656066180233,0.2993142525236227,0.2176840669795618,1.143263926121208
3.123672,0.6174594954681975,0.2949340914737701,0.21509357582485586,1.1274871627668237
3.125973,0.6084546403561452,0.2905475978957093,0.21234720705271745,1.111349445304572
3.128275,0.5995852039242373,0.28624196583169165,0.20951267000321872,1.0953398397591476
3.130576,0.5905545315817976,0.2820171952817171,0.2065052062218809,1.0790769330853955
3.132878,0.5812340242944445,0.2778917967128557,0.20286205403195126,1.0619878750392515
3.13518,0.5719583318221032,0.2728944577214814,0.20015806448705226,1.0450108540306369
3.137481,0.5625555016680436,0.2687203473971724,0.19657775046165007,1.0278535995268658
3.139783,0.5535827963145866,0.2638033828022868,0.19301253708043667,1.01039871619731
3.142085,0.5441366126981786,0.25908516216962746,0.1895004195126612,0.9927221943804672
3.144386,0.534349446793637,0.25471717905863683,0.1860896223962168,0.9751562482484908
3.146688,0.5249631786364296,0.2496759994873596,0.1825911441199667,0.957230322243756
3.148989,0.5161088428487104,0.2455311162163192,0.1784910756639381,0.9401310347289676
3.151291,0.5058652477956245,0.24050016611368605,0.17530630109277082,0.9216717150020812
3.153593,0.4966514192527016,0.23557979169591906,0.17119308046277135,0.9034242914113921
3.155894,0.4871560367632915,0.2309438939299663,0.1673657978372496,0.8854657285305074
3.158196,0.4775081864793301,0.2258578995436773,0.1631619733421175,0.8665280593651248
