Wavelength,d_NH3_CH3OH_50_10K_I10m_Baselined,CO_NH3_10K,H2O_CH3OH_CO_NH3_100K_NASA,all
2.85208,0.0013616800206235676,0.00015446803702160412,0.07239385603865058,0.07391000409629575
2.854382,0.0014202204550362136,0.00016676644761249616,0.07740275270410911,0.07898973960675781
2.8566830000000003,0.0014763012073306814,0.00017611323966157413,0.08253660122117107,0.08418901566816332
2.858985,0.0015358255145905989,0.00017857292177975251,0.08759321571972224,0.08930761415609259
2.861286,0.0016012530589341446,0.00017758904893248116,0.09345562208018868,0.0952344641880553
2.863588,0.0016730757767849538,0.00017611323966157413,0.0983543249867528,0.10020351400319932
2.8658900000000003,0.0017512936681430278,0.0001770971125088455,0.1032225278350515,0.10515091861570336
2.868191,0.001839350287973815,0.00018004873105065958,0.10809122261977386,0.11011062163879833
2.870493,0.0019387214455482227,0.00018349228601610934,0.11320883723485585,0.11533105096642016
2.872795,0.0020405522852408086,0.00018595196813428773,0.11749114380260445,0.11971764805597955
2.875096,0.0021330363328843165,0.0001854600317106521,0.1224139515939267,0.12473244795852167
2.877398,0.0022053509871587623,0.0001810326038979309,0.1267272501563644,0.1291136337474211
2.879699,0.002268810785807765,0.00017562130323793844,0.13116648444325274,0.13361091653229848
2.882001,0.002337681885116761,0.00017611323966157413,0.13540402479645053,0.13791781992122887
2.884303,0.002420327204287555,0.00018398422243974506,0.13936804849810688,0.14197235992483415
2.886604,0.002510843506236521,0.0001928390780651873,0.14348506442751388,0.14618874701181558
2.888906,0.0026003759353382147,0.00019726650587790844,0.14775113709328253,0.15054877953449866
2.891208,0.002684005127356281,0.0001992342515724512,0.15166695102542252,0.15455019040435125
2.893509,0.002756319781630726,0.00021005685289243617,0.15552176484103178,0.15848814147555493
2.895811,0.002815844088890643,0.0002371133561923987,0.1593937964314682,0.16244675387655125
2.898112,0.002874876459726925,0.00026564566876326824,0.16399241811961454,0.16713294024810474
2.900414,0.0029540782239322696,0.0002700730965759893,0.16789494976831645,0.1711191010888247
2.902716,0.0030559090636248557,0.0002464601482414766,0.17248520853726101,0.17578757774912732
2.905017,0.0031331430821356573,0.00025629887671419025,0.17653827273159536,0.1799277146904452
2.907319,0.0031296995271702078,0.0003719039362685755,0.18089387782646568,0.18439548128990446
2.909621,0.0030593526185903053,0.0005785172341955619,0.18529178945376867,0.18892965930655453
2.911922,0.003031804178866708,0.0007413481904189728,0.19000896782001125,0.1937821201892969
2.9142240000000004,0.003152820539081085,0.0007334772076408016,0.1948250254074045,0.19871132315412646
2.916525,0.003416498462149811,0.0006134447202736954,0.2000577531456173,0.2040876963280408
2.918827,0.003741176501749361,0.0005627752686392201,0.20509567406007032,0.2093996258304589
2.921129,0.004067822287043454,0.0007334772076408016,0.20997469950968906,0.21477599900437327
2.92343,0.004450056888208378,0.0011270263465493473,0.2150726366678256,0.22064971990258334
2.925732,0.004975936925074922,0.001697672597966738,0.22053067128806347,0.22720428081110516
2.928034,0.005724664161848431,0.0024075368572730274,0.22637831955582086,0.2345105205749423
2.930335,0.006758714524330634,0.0032280868118973447,0.2309233201737909,0.2409101215100189
2.932637,0.008136136510510542,0.004131774022116092,0.23801310791122834,0.25028101844385503
2.9349380000000003,0.009860373675353609,0.005069896781989339,0.2436462718982805,0.2585765423556235
2.93724,0.01187780494868354,0.005975059801478992,0.2493891377078035,0.26724200245796603
2.939542,0.01412300278615679,0.006785771027630596,0.25546848803109323,0.2763772618448806
2.941843,0.01644248302359903,0.00749415947766598,0.2615621045106685,0.2854987470119335
2.944145,0.0186424227100978,0.008119902608530566,0.26735416396255496,0.2941164892811833
2.946447,0.020566386062936957,0.008717113426824283,0.27299815055092713,0.30228165004068835
2.948748,0.02217305042253109,0.009463380981479613,0.2792383640847458,0.3108747954887565
