Wavelength,CO_NH3_10K,H2O_40K,CH3OH,all
2.85208,0.00015310262370239625,0.10728544458952023,0.01182449594715545,0.1192630431603781
2.854382,0.00016529232304175902,0.1113509531131845,0.012823563705009623,0.12433980914123588
2.8566830000000003,0.00017455649453967473,0.11592014001355125,0.014104944899563437,0.13019964140765436
2.858985,0.0001769944344075473,0.12017873337475105,0.01557355987596986,0.13592928768512846
2.861286,0.00017601925846039824,0.1246820958986852,0.017041687264402708,0.14189980242154832
2.863588,0.00017455649453967473,0.12932539617103525,0.018479584198473942,0.14797953686404888
2.8658900000000003,0.00017553167048682376,0.1343329246596455,0.02047869489012944,0.15498715122026174
2.868191,0.0001784571983282708,0.13904058654450738,0.022479755933679228,0.16169879967651488
2.870493,0.0001818703141432924,0.14367803576117455,0.02445985069436531,0.16831975676968314
2.872795,0.0001843082540111649,0.14867239937449825,0.02641605364434625,0.17527276127285565
2.875096,0.0001838206660375904,0.15383936913046733,0.028441494086574762,0.18246468388307968
2.877398,0.00017943237427541986,0.15893368827837384,0.0307975191748868,0.1899106398275361
2.879699,0.0001740689065661002,0.16421767914800078,0.0327698125279957,0.19716156058256254
2.882001,0.00017455649453967473,0.16951629765683499,0.035029295197539966,0.20472014934891467
2.884303,0.0001823579021168669,0.1746106168047415,0.03699622508293955,0.21178919978979796
2.886604,0.00019113448564120808,0.17980586666317788,0.039126009351513016,0.2191230105003321
2.888906,0.00019552277740337863,0.18485240218967408,0.041131458686824975,0.2261793836539024
2.891208,0.0001974731292976767,0.18991844123511328,0.043206145514384516,0.23332205987879545
2.893509,0.00020820006471631596,0.1951146662694968,0.04525937847110678,0.2405822448053199
2.895811,0.00023501740326291402,0.2002943133127788,0.04676163701768984,0.2472909677337316
2.898112,0.00026329750573023564,0.20591230194430435,0.0488685046515053,0.2550441041015399
2.900414,0.0002676857974924062,0.21096225058661552,0.05044195104223025,0.2616718874263382
2.902716,0.00024428157476082964,0.21559141080773195,0.052444474849700766,0.2682801672321936
2.905017,0.0002540333342323199,0.2204472994365605,0.054460163532457785,0.2751614963032506
2.907319,0.0003686165080223298,0.22531976605649054,0.05699854652288669,0.2826869290873996
2.909621,0.0005734034569236243,0.2297933857140367,0.05923462496969939,0.28960141414065976
2.911922,0.0007347950761767872,0.23493743883524776,0.0621152947175776,0.2977875286290022
2.9142240000000004,0.0007269936685995951,0.2393920425618245,0.06465806599976867,0.30477710223019283
2.916525,0.0006080222030474143,0.24388077744655146,0.06779715737364138,0.31228595702324025
2.918827,0.0005578006417692399,0.2484094945451115,0.07036479564248474,0.3193320908293655
2.921129,0.0007269936685995951,0.252738300574506,0.07353070435490404,0.3269959985980096
