Wavelength,H2O_CH4_10_0.6_a_V3,CH3OH,H2O_CH3OH_CO_NH3_100K_NASA,all
2.85208,0.23866097362280864,0.01206484844658236,0.07321245153797809,0.32393827360736904
2.854382,0.2485682624501981,0.013084223914276364,0.07827798643893484,0.3399304728034093
2.8566830000000003,0.25876810292954666,0.014391651307687704,0.08346988608796099,0.3566296403251954
2.858985,0.2689590632575709,0.015890118320227645,0.08858367839270803,0.37343285997050657
2.861286,0.2798229417192752,0.017388087833759436,0.09451237407280047,0.3917234036258351
2.863588,0.2911890420725381,0.01885521240878609,0.0994664691959322,0.4095107236772564
2.8658900000000003,0.3019216916313399,0.020894958342190392,0.10438971938055876,0.42720636935408907
2.868191,0.3135433430060443,0.02293669427162728,0.1093134670641935,0.44579350434186493
2.870493,0.32530411675149484,0.02495703774371383,0.11448894924595078,0.4647501037411594
2.872795,0.33690504777310937,0.02695300376440116,0.11881967811187386,0.4826777296493844
2.875096,0.3485937936244857,0.02901961464424542,0.12379815068640472,0.5014115589551359
2.877398,0.3606614259323621,0.03142352985161361,0.1281602219898411,0.5202451777738168
2.879699,0.3726604837383459,0.033435913339569814,0.13264965303936313,0.5387460501172788
2.882001,0.3845564331206207,0.03574132374332481,0.13693510949554472,0.5572328663594903
2.884303,0.3956349152393269,0.03774823474219138,0.1409439565031964,0.5743271064847146
2.886604,0.4084701872950082,0.039921310409779184,0.14510752570238192,0.5934990234071693
2.888906,0.4210484283040274,0.041967523830289406,0.14942183710103607,0.6124377892353529
2.891208,0.4328230156182045,0.04408438210995655,0.1533819292058893,0.6302893269340504
2.893509,0.4445916828314988,0.04617935043326521,0.15728033143373227,0.6480513646984962
2.895811,0.4563786036891817,0.047712144877367316,0.16119614612686034,0.6652868946934094
2.898112,0.4684413025796558,0.04986183809157218,0.16584676685502214,0.6841499075262502
2.900414,0.4797062678761706,0.05146726739086383,0.1697934264866554,0.7009669617536899
2.902716,0.4916012305749649,0.053510495817325136,0.17443558973167872,0.7195473161239687
2.905017,0.5025627907012356,0.05556715671700646,0.17853448405980504,0.7366644314780469
2.907319,0.5142229227316784,0.05815713655342177,0.18293934027794206,0.7553193995630423
2.909621,0.524117878015562,0.060438667004785715,0.18738698141077967,0.7719435264311274
2.911922,0.5330000027067441,0.0633778911449205,0.19215749939990506,0.7885353932515697
2.9142240000000004,0.5455481498696089,0.06597234847240914,0.19702801468966802,0.8085485130316861
2.916525,0.5555067462379827,0.06917524708686203,0.2023199116393318,0.8270019049641766
2.918827,0.5658388023037142,0.07179507686376617,0.2074147989817692,0.8450486781492496
2.921129,0.5758837334766291,0.0750253379236672,0.21234899414457506,0.8632580655448714
2.92343,0.585234532821034,0.07889737270407833,0.21750457636600645,0.8816364818911189
2.925732,0.5948206561755308,0.08210972379968604,0.22302432786140172,0.8999547078366186
2.928034,0.6035537916611621,0.08598374857612975,0.2289380985712497,0.9184756388085416
2.930335,0.6116075955704906,0.0893413693821165,0.2335344919075235,0.9344834568601306
2.932637,0.621380202102796,0.0932298216297965,0.2407044476129437,0.9553144713455364
2.9349380000000003,0.629079786642636,0.09666455478204608,0.2464013087552395,0.9721456501799216
2.93724,0.6371123768571343,0.1004913171527158,0.2522091121763521,0.9898128061862022
2.939542,0.6448667223301404,0.1038255555053196,0.2583572049190375,1.0070494827544976
2.941843,0.649491801144839,0.10786325745544384,0.2645197251329593,1.0218747837332425
2.944145,0.6581958294677964,0.11128256813844084,0.2703772784548866,1.039855676061124
2.946447,0.6671475153443518,0.11472824626886967,0.2760850845753617,1.0579608461885832
2.948748,0.6702096875259874,0.11824257926242282,0.2823958594937113,1.0708481262821214
2.95105,0.6790597450040543,0.12112260102058807,0.28827132277993195,1.0884536688045745
2.953351,0.6854830544619076,0.1239488928858734,0.2940676837238573,1.1034996310716385
2.955653,0.6922556498718471,0.12671150487811586,0.29804668079102004,1.1170138355409829
2.957955,0.6968896088378698,0.12908358014896262,0.3047002325259833,1.1306734215128156
2.960256,0.7036705910573932,0.13142779547535313,0.30993342459268564,1.1450318111254318
2.962558,0.7077219134281991,0.13404812275126546,0.31358158481943044,1.155351620998895
2.96486,0.7138132038948746,0.13635303565601228,0.3201192192854953,1.1702854588363822
2.967161,0.7181995053072996,0.13884998317790406,0.32559767836321435,1.182647166848418
2.969463,0.7215340021295447,0.1405280473323852,0.3305099835696617,1.1925720330315916
2.971764,0.7273455678295071,0.14300758238899178,0.33576954308379586,1.2061226933022948
2.974066,0.7329050359002098,0.14549457993072054,0.34109676246303816,1.2194963782939685
2.976368,0.7372582834160393,0.14753382836511675,0.3453205290422095,1.2301126408233656
2.978669,0.7422365949167457,0.1497581464305437,0.34979503512148713,1.2417897764687764
2.980971,0.7474147098222471,0.15219887656451486,0.3552919016625077,1.2549054880492696
2.983273,0.7513348032901506,0.15499581598831946,0.35974999027451643,1.2660806095529864
2.985574,0.753346650906827,0.157971357556049,0.3647657752746584,1.2760837837375345
2.987876,0.7596061709069224,0.16091157669420006,0.3695188807984986,1.2900366283996207
2.990177,0.7648168463672793,0.1638731882897015,0.3742351713957359,1.3029252060527168
2.992479,0.7676619481832118,0.1676914931772327,0.3788171372607733,1.314170578621218
2.994781,0.7720995571366212,0.17066852724198667,0.3834861654522365,1.3262542498308445
2.997082,0.7753792930257002,0.1744236497554832,0.3881537011466754,1.3379566439278587
2.999384,0.7796388056108849,0.17824643213408772,0.3918242488287869,1.3497094865737596
3.001686,0.7843137119413472,0.1819527997447858,0.3968748587594991,1.363141370445632
3.003987,0.7875998612730494,0.18515221586618166,0.4020234759948165,1.3747755531340475
3.006289,0.7903946422314778,0.18894614330231368,0.4059164057335698,1.3852571912673612
3.0085900000000003,0.7943912036691176,0.1928107155976026,0.4102630545677536,1.3974649738344738
3.010892,0.7979319173387807,0.1967046403343722,0.41421717668450897,1.408853734357662
3.013194,0.8005061745393245,0.20059906257015,0.4183941783569145,1.4194994154663891
3.015495,0.8042896123451828,0.20454671719979955,0.42248959019198384,1.4313259197369659
3.0177970000000003,0.8070666330009629,0.20763419604436226,0.4258934784057283,1.4405943074510534
3.020098,0.8097484387008778,0.21172264289331744,0.4298660079857852,1.4513370895799804
3.0224,0.8108683244512102,0.21496733142445476,0.4329261243848997,1.4587617802605646
3.024702,0.8108929915382218,0.21800754786324344,0.43603151319375577,1.4649320525952207
3.027003,0.8119359159770776,0.22074279741003786,0.4396866384066147,1.47236535179373
