Wavelength,H2O_CH4_10_0.6_a_V3,CH3OH,HNCO_NH3,all
2.85208,0.2414244596394601,0.012102563586204318,0.00035183321629104136,0.2538788564419555
2.854382,0.25144646623457595,0.013125125657382112,0.00036680484251619215,0.2649383967344742
2.8566830000000003,0.2617644119747423,0.014436640114705312,0.00038177646874134284,0.2765828285581889
2.858985,0.27207337473917353,0.015939791387710442,0.0003967480949664935,0.2884099142218505
2.861286,0.2830630474426417,0.017442443606508068,0.0004117197211916441,0.30091721077034145
2.863588,0.29456075732934994,0.018914154464440384,0.00042669134741679486,0.31390160314120713
2.8658900000000003,0.3054176816136217,0.020960276715210974,0.0004416629736419456,0.32681962130247466
2.868191,0.3171739015798175,0.023008395182811597,0.0004566345998670963,0.34063893136249623
2.870493,0.3290708548325298,0.025035054319489488,0.0004716062260922469,0.35457751537811155
2.872795,0.3408061145220104,0.027037259799999644,0.0004865778523173977,0.3683299521743274
2.875096,0.3526302058604269,0.029110330977975513,0.0005015494785425484,0.38224208631694495
2.877398,0.3648375708302073,0.031521760908639784,0.000516521104767699,0.3968758528436148
2.879699,0.3769755672651445,0.0335404351779976,0.0005314927309928497,0.41104749517413497
2.882001,0.3890092613707131,0.03585305237557588,0.0005459653030104954,0.4254082790492995
2.884303,0.400216022654446,0.037866237048651136,0.0005609369292356462,0.4386431966323328
2.886604,0.4131999159711041,0.040046105827033086,0.0005754095012532918,0.4538214312993905
2.888906,0.4259238020456522,0.04209871578250125,0.0005903811274784426,0.4686128989556319
2.891208,0.4378347288161745,0.04422219143543512,0.000604853699496088,0.4826617739511058
2.893509,0.4497396669362069,0.04632370870323878,0.0006198253257212389,0.4966832009651669
2.895811,0.4616630700619169,0.04786129471656175,0.0006342978977388847,0.5101586626762175
2.898112,0.4738654444896223,0.05001770794719095,0.0006492695239640353,0.5245324219607772
2.900414,0.485260848263792,0.05162815587480967,0.000663742095981681,0.5375527462345833
2.902716,0.4972935442609455,0.053677771505032786,0.0006782146679993268,0.5516495304339777
2.905017,0.5083820296974997,0.05574086159885856,0.0006926872400169722,0.5648155785363752
2.907319,0.5201771758918811,0.05833893780312972,0.0007076588662421231,0.5792237725612528
2.909621,0.5301867061318092,0.06062760039874775,0.0007251257635047987,0.5915394322940617
2.911922,0.5391716780837296,0.06357601265668743,0.0008074697077431277,0.6035551604481602
2.9142240000000004,0.5518651218516197,0.06617858034882612,0.0008972994650940318,0.6189410016655399
2.916525,0.5619390300843162,0.06939149133674348,0.0009871292224449364,0.6323176506435046
2.918827,0.572390722352094,0.07201951079346491,0.0010764599255883352,0.6454866930711473
2.921129,0.5825519650711037,0.07525986976279503,0.0011642934661092194,0.6589761283000081
2.92343,0.5920110385201539,0.07914400865980663,0.0012531251150451133,0.6724081722950057
2.925732,0.6017081608261841,0.08236640167766658,0.0013464482518485527,0.6854210107556993
2.928034,0.6105424184074381,0.08625253679150817,0.001436278009199457,0.6982312332081455
2.930335,0.6186894783449575,0.08962065363795957,0.001520119116060301,0.7098302510989773
2.932637,0.6285752431414244,0.09352126132381887,0.0016513703726341222,0.7237478748378774
2.9349380000000003,0.6363639821579553,0.09696673157243353,0.0019198615362718246,0.7352505752666606
2.93724,0.644489582764552,0.10080545653656216,0.0021708858026468513,0.7474659251037611
2.939542,0.6523337167981161,0.10415011783526083,0.0024328892615869888,0.7589167238949641
2.941843,0.6570123499934757,0.1082004417833716,0.0026943936663196212,0.7679071854431669
2.944145,0.6658171633764868,0.11163044135155364,0.002955399016844748,0.7804030037448851
2.946447,0.6748725019716655,0.1150868907927334,0.003205924229012269,0.7931653169934111
2.948748,0.6779701314376492,0.11861220971454887,0.0034774097178950033,0.8000597508700931
2.95105,0.6869226648660818,0.12150123452179548,0.0039744677085700045,0.8123983670964473
2.953351,0.6934203506477972,0.12433636147463152,0.00449548030120525,0.8222521924236341
2.955653,0.7002713668084262,0.12710760948890693,0.004929158407527115,0.8323081347048603
2.957955,0.7049589829795209,0.12948709995029087,0.005212621197389968,0.8396587041272017
2.960256,0.7118184830616774,0.13183864337605453,0.005512053721892982,0.849169180159625
2.962558,0.7159167162137087,0.1344671618869835,0.0054571577590674285,0.8558410358597596
2.96486,0.7220785385137732,0.13677928003035428,0.0053668289475090215,0.8642246474916366
2.967161,0.7265156294727003,0.13928403309782195,0.005262526618140471,0.8710621891886627
2.969463,0.7298887368612268,0.14096734293973642,0.005160220505601941,0.8760163003065652
2.971764,0.7357675954256361,0.14345462910994147,0.005069392639836028,0.8842916171754135
2.974066,0.74139143729001,0.14594940109325907,0.0049665874730899905,0.892307425856359
2.976368,0.7457950916170344,0.14799502428982214,0.004864281360551462,0.8986543972674079
2.978669,0.7508310476249676,0.1502262956515771,0.004771457277955527,0.9058288005545002
2.980971,0.7560691205869403,0.15267465559359678,0.004671147382247018,0.913414923562784
2.983273,0.7600346053197752,0.15548033834819,0.004568841269708488,0.9200837849376736
2.985574,0.7620697483779807,0.15846518156327755,0.004480508674980099,0.9250154386162384
2.987876,0.7684017481628045,0.16141459192963226,0.004377204454026559,0.9341935445464632
2.990177,0.7736727587024725,0.16438546162690965,0.004247450360075253,0.9423056706894574
2.992479,0.776550804317154,0.1682157026695107,0.004093741664163706,0.9488602486508284
2.994781,0.7810397969136617,0.17120204304722075,0.003942029185082178,0.9561838691459644
2.997082,0.7843575092851551,0.17496890420546865,0.0037908157602081563,0.9631172292508318
2.999384,0.7886663433127534,0.17880363673593724,0.003639602335334135,0.9711095823840248
3.001686,0.7933953809830708,0.18252159058184966,0.003488887964667617,0.9794058595295884
