Wavelength,H2O_CH4_10_0.6_a_V3,H2O_CH3OH_CO_NH3_120K_NASA,H2O_CH3OH_CO_NH3_100K_NASA,all
2.85208,0.17585344999717462,0.05404004301508019,0.07080672730151374,0.3007002203137685
2.854382,0.18315347435376844,0.05749855957750692,0.07570581128017667,0.31635784521145205
2.8566830000000003,0.19066906062867026,0.06122603979580408,0.08072710772501325,0.3326222081494875
2.858985,0.1981781037087498,0.06526290039106845,0.08567286339351414,0.3491138674933324
2.861286,0.2061829755520201,0.06897931412620814,0.09140674512340276,0.3665690348016309
2.863588,0.214557901413566,0.07291705752449702,0.09619805117914086,0.3836730101172039
2.8658900000000003,0.2224660793777976,0.07699096678076679,0.100959525845498,0.4004165720040624
2.868191,0.23102930384589246,0.0810369692534221,0.10572148166329674,0.4177877547626113
2.870493,0.2396950383662012,0.08511039735825028,0.11072690011055958,0.4355323358350111
2.872795,0.248242995379711,0.08933250125854167,0.114915323409937,0.4524908200481897
2.875096,0.2568556573197956,0.0931403337675908,0.11973020588631485,0.4697261969737012
2.877398,0.26574749557229244,0.09708481328606247,0.1239489417265149,0.4867812505848698
2.879699,0.27458880582032924,0.10100908444398574,0.1282908523357718,0.5038887426000869
2.882001,0.2833541423062643,0.10491603415001036,0.13243549085396095,0.5207056673102356
2.884303,0.2915171413577368,0.10898368843753896,0.13631260917060467,0.5368134389658804
2.886604,0.3009746024515273,0.11282760730471025,0.14033936558559484,0.5541415753418324
2.888906,0.3102426744062986,0.11697609503443247,0.14451191088739848,0.5717306803281296
2.891208,0.3189185872296641,0.12041488438775245,0.14834187636276253,0.5876753479801791
2.893509,0.3275901379231481,0.12466778198030808,0.15211217905936467,0.6043700989628208
2.895811,0.33627513851709984,0.12914297153889615,0.15589932205642373,0.6213174321124197
2.898112,0.3451633416613622,0.13327750587681114,0.16039712573276838,0.6388379732709417
2.900414,0.3534637478041001,0.13738942609696958,0.16421410011920845,0.6550672740202781
2.902716,0.3622283572683882,0.14172027022306907,0.16870372422104538,0.6726523517125027
2.905017,0.3703052042547023,0.14645383810581175,0.17266793094862382,0.6894269733091378
2.907319,0.3788967825670265,0.15057105099182808,0.17692804581280389,0.7063958793716585
2.909621,0.386187719153034,0.15517422683388934,0.18122953970096406,0.7225914856878874
2.911922,0.3927323680184914,0.15995254180070348,0.1858433008747412,0.7385282106939361
2.9142240000000004,0.40197826581303203,0.16475154627950767,0.1905537734882856,0.7572835855808253
2.916525,0.40931609529526497,0.1698863944645686,0.1956717813728896,0.7748742711327231
2.918827,0.4169291024708524,0.17505829131063494,0.20059925328660855,0.7925866470680959
2.921129,0.42433054634718975,0.18013155211116744,0.20537131328468156,0.8098334117430387
2.92343,0.431220530494928,0.18536984785617855,0.21035748567427925,0.8269478640253858
2.925732,0.4382839093054535,0.1907293937644801,0.2156958609191491,0.8447091639890827
2.928034,0.4447187779022279,0.19669567164067533,0.22141530810578888,0.8628297576486921
2.930335,0.4506530920951069,0.2016351723404351,0.225860666274996,0.878148930710538
2.932637,0.4578538779968979,0.2091430594356085,0.2327950208517481,0.8997919582842545
2.9349380000000003,0.4635271914185372,0.21510645040315401,0.2383046860098377,0.9169383278315288
2.93724,0.4694458746460076,0.22102894349816105,0.2439216479394106,0.9343964660835792
2.939542,0.4751595377690502,0.2278478217289223,0.24986771745505745,0.9528750769530301
2.941843,0.4785674517389271,0.2342447301453752,0.25582774036251155,0.9686399222468138
2.944145,0.4849808731971178,0.24057379620855845,0.26149281743624725,0.9870474868419234
2.946447,0.4915767770886821,0.24659636880342425,0.2670130679260528,1.005186213818159
2.948748,0.4938330887698582,0.2523230332616884,0.27311647396311217,1.0192725959946591
2.95105,0.5003541094317911,0.2591140047088352,0.2787988724887465,1.0382669866293728
2.953351,0.5050870203531561,0.26489840734009484,0.28440476793516195,1.054390195628413
2.955653,0.5100772969375261,0.2689737600506895,0.2882530171653079,1.0673040741535236
2.957955,0.5134917541022253,0.2764686560569389,0.29468793654564945,1.0846483467048136
2.960256,0.518488210370594,0.2812666982328599,0.2997491685601412,1.0995040771635949
2.962558,0.5214733612527944,0.28612199743033456,0.3032774520816041,1.1108728107647332
2.96486,0.5259616293899753,0.29310591060557445,0.30960026317604616,1.128667803171596
2.967161,0.5291936041213006,0.29814597195663456,0.3148987028512609,1.142238278929196
2.969463,0.531650573777023,0.3040241991190117,0.31964959218590216,1.155324365081937
2.971764,0.5359327312773056,0.3089348307322738,0.32473632522680024,1.1696038872363796
2.974066,0.5400291347468034,0.3138406508311195,0.3298884948637598,1.1837582804416829
2.976368,0.5432367542529575,0.3188552111557733,0.33397347060318705,1.1960654360119178
2.978669,0.546904941972427,0.3238649599660108,0.33830094666919514,1.2090708486076331
2.980971,0.5507203515753952,0.3288381412666845,0.3436171889477501,1.2231756817898298
2.983273,0.553608808578557,0.33403409568483233,0.3479287870161845,1.2355716912795738
2.985574,0.5550912057166005,0.33908811042769965,0.35277975585068444,1.2469590719949846
2.987876,0.559703431044579,0.34371871190193376,0.35737667672400464,1.2607988196705175
2.990177,0.5635428323618952,0.3488001522769739,0.3619379923906442,1.2742809770295134
