Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,H2O_40K,CO_CH3OH_10K,all
2.85208,0.1656916724724283,0.1088372105570158,0.003605928496910215,0.27813481152635433
2.854382,0.17513040053525966,0.1129615221903817,0.003879464636662115,0.2919713873623035
2.8566830000000003,0.18372725064174794,0.11759679735424255,0.004182184559859515,0.30550623255584997
2.858985,0.19398065143906645,0.12191698658497148,0.004526454276436952,0.3204240923004749
2.861286,0.20302762430717175,0.12648548529518586,0.004909800584407516,0.3344229101867652
2.863588,0.2130060050435462,0.13119594579944868,0.005328266360592159,0.349530217203587
2.8658900000000003,0.22321983460907424,0.1362759026805554,0.005777894481811827,0.3652736317714415
2.868191,0.2340208023262939,0.14105165571727252,0.006253738544092709,0.3813261965876591
2.870493,0.24484106101901146,0.1457561805367668,0.0067503575030636075,0.39734759905884187
2.872795,0.2558111957521356,0.15082278212714414,0.0072603317527638045,0.4138943096320435
2.875096,0.26717654816276737,0.15606448641819462,0.00777376848524567,0.4310148030662077
2.877398,0.2784024119813377,0.16123248929003522,0.008283248094548484,0.4479181493659215
2.879699,0.2907085704277889,0.16659290727645715,0.008794211625043444,0.4660956893292895
2.882001,0.3027278374437589,0.17196816447480054,0.009316551884678177,0.4840125538032376
2.884303,0.3151126437133937,0.17713616734664114,0.009850268873452677,0.5020990799334875
2.886604,0.32711113583267365,0.18240656078073966,0.010382007300637652,0.5198997039140509
2.888906,0.3399371613367727,0.1875260888936369,0.010895444033119522,0.5383586942635291
2.891208,0.3532424933859343,0.19266540262242934,0.0113846433861297,0.5572925393944933
2.893509,0.3649719011290388,0.19793678533732267,0.011853067842449858,0.5747617543088114
2.895811,0.37837368805568977,0.203191350278705,0.012302695963669529,0.5938677342980643
2.898112,0.3916800093856461,0.2088905969373332,0.0127310545478018,0.613301660870781
2.900414,0.4046905357579684,0.21401358753301208,0.013131713269680713,0.6318358365606611
2.902716,0.4175022166905433,0.2187097034657509,0.013502693567716743,0.6497146137240108
2.905017,0.431069708150317,0.223635827183272,0.013853393609460135,0.6685589289430489
2.907319,0.44359054052923175,0.228578768674304,0.014195684764448047,0.6863649939679839
2.909621,0.45713033212675197,0.2331170943202781,0.014532534875064762,0.704779961322095
2.911922,0.4706444024236085,0.2383355505126516,0.014852072571773131,0.7238320255080333
2.9142240000000004,0.4841955707502687,0.24285458518312786,0.015142426485035996,0.7421925824184326
2.916525,0.4983467378789524,0.2474082446814208,0.01539320916650835,0.7611481917268815
2.918827,0.5124533873718718,0.252002464692299,0.015592549246653048,0.7800484013108242
2.921129,0.5268667139111677,0.2563938821402508,0.01573154319831721,0.7989921392497357
2.92343,0.5435756665347105,0.260456363723944,0.015813158863885138,0.8198451891225396
2.925732,0.558586518674043,0.26427251438974136,0.015842342647330636,0.838701375711115
2.928034,0.5754794775254116,0.2687371386165056,0.01582404095262753,0.8600406570945448
2.930335,0.5900916495044548,0.2714324341418367,0.01576221090295486,0.8772862945492463
2.932637,0.6034251760562671,0.27603456839907303,0.015660809621491675,0.8951205540768318
2.9349380000000003,0.6161596930868506,0.280190042377474,0.015527256714198703,0.9118769921785234
2.93724,0.6284450766366119,0.283976019979031,0.015372928910215716,0.9277940255258584
2.939542,0.6390145526478571,0.2875903573626967,0.0152087082982851,0.9418136183088388
2.941843,0.6482509727881595,0.2911537467854321,0.01504250912476496,0.9544472286983564
2.944145,0.6594412224981182,0.29426849736774263,0.014881256355218631,0.9685909762210796
2.946447,0.6689506841377751,0.2976909142772243,0.014727917832030403,0.9813695162470298
2.948748,0.6790373911211761,0.3011222347138589,0.014570622185663127,0.994730248020698
2.95105,0.6892987061648527,0.3044110987160477,0.014397498046579646,1.00810730292748
2.953351,0.6971214440494392,0.3076574236440616,0.01420805077438258,1.0189869184678833
2.955653,0.7066017219056505,0.30887968006599104,0.014023549906159326,1.029504951877801
2.957955,0.7125299870682663,0.3132409244497026,0.013864275698202526,1.0396351872161715
2.960256,0.7180051616268808,0.31661882372342,0.0137322067121017,1.0483561920624025
2.962558,0.7254524674498547,0.31822145861093565,0.013614976937922314,1.0572889029987127
2.96486,0.7297850226905181,0.3221014178879951,0.013501209646524598,1.065387650225038
2.967161,0.7352334866676741,0.3243060301391239,0.013385463793537356,1.0729249806003351
2.969463,0.7389729680718772,0.3276992632651601,0.013263287615384155,1.0799355189524216
2.971764,0.7461066718829112,0.33032085737128136,0.013134681112065,1.0895622103662577
2.974066,0.7515165539090715,0.3329988404827042,0.013007063889540605,1.097522458281316
2.976368,0.7573726015736695,0.3365637138266317,0.012889339474963835,1.1068256548752649
2.978669,0.76251043138127,0.33873716373272544,0.012778540025950408,1.1140261351399456
2.980971,0.7695333357432906,0.3417801914574157,0.012662299532565787,1.123975826733272
2.983273,0.7774337321702659,0.3444477871204935,0.012528251984875435,1.1344097712756351
2.985574,0.7808848382227958,0.3470921346848943,0.012373924180892448,1.1403508970885825
2.987876,0.7894475581418647,0.34980771046651804,0.012200305401411584,1.1514555740097945
2.990177,0.7980063209377546,0.3524931131839015,0.012010363488817136,1.1625097976104732
2.992479,0.8029982318281274,0.35517851590128496,0.011812012689467207,1.1699887604188794
2.994781,0.8106265760365431,0.3578792524709873,0.011613167249719893,1.1801189957572502
2.997082,0.8188638225741349,0.3606081835433403,0.011417289652356869,1.190889295769832
2.999384,0.824490357094348,0.36335343774880696,0.011216960291417414,1.1990607551345724
3.001686,0.8321449172438249,0.3660868205847364,0.011005254201338186,1.209236992029899
3.003987,0.8399913978674856,0.3688157516570894,0.010781182101324423,1.2195883316258993
