Wavelength,d_NH3_CH3OH_50_10K_I10m_Baselined,CO_NH3_10K,H2O_CH3OH_CO_NH3_120K_NASA,all
2.85208,0.0013357206597887086,0.00015152322513499076,0.05419802391022725,0.055685267795150935
2.854382,0.0013931450667666189,0.00016358717618077028,0.05766665111490976,0.05922338335785715
2.8566830000000003,0.0014481566835353734,0.00017275577897556273,0.061405028264975924,0.06302594072748686
2.858985,0.0015065462065969462,0.00017516856918471863,0.06545369023593954,0.0671354050117212
2.861286,0.0015707264261604931,0.00017420345310105627,0.06918096855104358,0.07092589843030513
2.863588,0.0016411799002678455,0.00017275577897556273,0.07313022356538998,0.07494415924463338
2.8658900000000003,0.0017179066289190034,0.0001737208950592251,0.07721604250557458,0.0791076700295528
2.868191,0.0018042845184067851,0.00017661624331021217,0.08127387307933295,0.08325477384104996
2.870493,0.0019017612428566836,0.00017999414960303046,0.08535920946147575,0.08744096485393546
2.872795,0.002001650757515738,0.00018240693981218635,0.08959365627854436,0.09177771397587227
2.875096,0.00209237166938,0.0001819243817703552,0.09341262062159633,0.09568691667274667
2.877398,0.0021633077015291834,0.0001775813593938745,0.09736863144852834,0.0997095205094514
2.879699,0.002225557688925406,0.00017227322093373154,0.10130437483770344,0.1037022057475626
2.882001,0.002293115814781771,0.00017275577897556273,0.10522274613737263,0.10768861773112996
2.884303,0.002374185565809409,0.0001804767076448616,0.10930229182301343,0.1118569540964677
2.886604,0.0024629762455063466,0.00018916275239782285,0.11315744801920273,0.1158095870171069
2.888906,0.0025508018091196217,0.00019350577477430348,0.11731806345587115,0.1200623710397651
2.891208,0.0026328366762309228,0.0001954360069416282,0.12076690578083862,0.12359517846401118
2.893509,0.002703772708380106,0.00020605228386191417,0.12503223631258445,0.12794206130482647
2.895811,0.0027621622314416786,0.00023259297616262916,0.12952050865965622,0.13251526386726056
2.898112,0.0028200691964614197,0.00026058134258883763,0.13366712991311158,0.13674778045216185
2.900414,0.0028977610411962404,0.00026492436496531826,0.13779107093860085,0.1409537563447624
2.902716,0.002997650555855295,0.0002417615789574216,0.14213457587312334,0.14537398800793605
2.905017,0.0030734121684227907,0.00025141273979404515,0.1468819818886585,0.15020680679687534
2.907319,0.003070034262129972,0.0003648138796243727,0.15101123105260786,0.1544460791943622
2.909621,0.003001028462148113,0.0005674882571934687,0.1556278638388068,0.1591963805581484
2.911922,0.002974005211805567,0.0007272149690395895,0.16042014775223226,0.16412136793307738
2.9142240000000004,0.003092714490096038,0.0007194940403702905,0.16523318166145645,0.16904539019192275
2.916525,0.0033513656005175513,0.0006017498781634824,0.1703830410838788,0.17433615656255985
2.918827,0.0036698539081261297,0.0005520463998548708,0.17557005747552215,0.17979195778350315
2.921129,0.0039902724479020345,0.0007194940403702905,0.18065814946859016,0.18536791595686247
2.92343,0.004365220046404861,0.001105540473835235,0.18591175887000624,0.1913825193902463
2.925732,0.004881074593122394,0.0016653078023594046,0.1912869728979637,0.1978333552934455
2.928034,0.005615527932789451,0.0023616390567217987,0.1972706926166704,0.20524785960618164
2.930335,0.006629864936718593,0.0031665458704962087,0.2022246334741093,0.2120210442813241
2.932637,0.007981027453845898,0.004053004993340087,0.20975446915884305,0.22178850160602898
2.9349380000000003,0.009672393390464187,0.004973243179112149,0.21573529352929866,0.230380930098875
2.93724,0.01165136392001386,0.0058611499760815216,0.22167510046619865,0.239187614362294
2.939542,0.013853758822931368,0.006656405629019307,0.2285139130350302,0.24902407748698085
2.941843,0.016129019990165392,0.007351289209256207,0.2349295222011757,0.2584098314005973
2.944145,0.018287019553234425,0.00796510303846547,0.2412770906834231,0.26752921327512297
2.946447,0.02017430405483617,0.008550928501248523,0.24731726969302395,0.27604250224910865
2.948748,0.021750338619456813,0.009282969050706424,0.25306067550689865,0.2840939831770619
2.95105,0.02300016394779957,0.010354247903571649,0.25987149970930395,0.2932259115606752
2.953351,0.02394018701328671,0.011854038297582956,0.2656728124881984,0.3014670377990681
2.955653,0.02463700082569093,0.013717677455134974,0.2697600791025085,0.3081147573833344
2.957955,0.025158646068910443,0.015854927022405273,0.2772768857201128,0.3182904588114285
2.960256,0.025529250645036788,0.0180018277505122,0.2820889545132534,0.3256200329088024
2.962558,0.025746884321902648,0.019775711112283618,0.2869584477133718,0.3324810431475581
2.96486,0.02580286105475507,0.020841199268646863,0.2939627776905514,0.3406068380139533
2.967161,0.02566436689674952,0.021121082932908958,0.299017573178733,0.3458030230083915
2.969463,0.02529231464649768,0.020618740011362692,0.3049129847757845,0.3508240394336449
2.971764,0.02466547175015897,0.01941137979070108,0.3098379721507136,0.3539148236915736
2.974066,0.023804588203532148,0.0177402812918397,0.3147581339452243,0.3563030034405961
2.976368,0.02273813493108524,0.015863613067158236,0.3197873538571889,0.3583891018554324
2.978669,0.021523053781754325,0.013944479734795632,0.32481174818873515,0.3602792817052851
2.980971,0.02024958310936184,0.01204899174648275,0.32979946810910216,0.3620980429649467
2.983273,0.019005548477521055,0.010239399089615823,0.33501061240283714,0.364255559969974
2.985574,0.017849821967335373,0.008585672680260368,0.3400794020742318,0.3665148967218276
2.987876,0.01682969426690426,0.007161161340774724,0.3447235406688151,0.3687143962764941
2.990177,0.015976531648946732,0.006018946455760317,0.34981983614859424,0.3718153142533013
2.992479,0.015276822488291519,0.005141655935711231,0.3550338757905801,0.3754523542145829
2.994781,0.014705473766763403,0.004497440949866605,0.3596239678844783,0.3788268826011083
2.997082,0.014238840140312653,0.004050109645089101,0.3644066006370672,0.38269555042246894
2.999384,0.013854241380973202,0.003757196913697573,0.3685754195604467,0.3861868578551175
