Wavelength,H2O_40K,CO_CH3OH_10K,CH3OH,all
2.85208,0.10964314765951623,0.003632630316533762,0.012084350865056277,0.12536012884110626
2.854382,0.1137979997280016,0.003908191985263963,0.01310537411863346,0.130811565831899
2.8566830000000003,0.11846759900046222,0.004213153542701365,0.014414914924099954,0.13709566746726354
2.858985,0.12281977913552475,0.0045599725688066466,0.015915804157762458,0.14329555586209386
2.861286,0.1274221074761977,0.004946157547587671,0.01741619508822654,0.1497844601120119
2.863588,0.13216744883481926,0.00536772205345702,0.018885691220388145,0.15642086210866438
2.8658900000000003,0.13728502268266585,0.00582067966082728,0.02092873433393937,0.1640344366774325
2.868191,0.14209614006347973,0.006300047337714177,0.0229737706602843,0.1713699580614782
2.870493,0.14683550178372018,0.006800343748935013,0.024997379949096864,0.17863322548175206
2.872795,0.15193962144520926,0.0073140943465133815,0.0269965723811865,0.18625028817290912
2.875096,0.1572201404389415,0.00783133306648074,0.029066523867452787,0.19411799737287505
2.877398,0.16242641225610815,0.008344585360860681,0.03147432492225267,0.2022453225392215
2.879699,0.16782652401746292,0.008859332564835905,0.033489961359890415,0.21017581794218926
2.882001,0.17324158487477054,0.009385540742374951,0.03579909838140171,0.2184262239985472
2.884303,0.17844785669193716,0.009923209893477822,0.03780925348385675,0.2261803200692717
2.886604,0.1837572772711782,0.010458885831786984,0.03998584185458645,0.2342020049575516
2.888906,0.18891471537489896,0.010976124551754344,0.04203536290971722,0.2419262028363705
2.891208,0.19409208560655686,0.011468946414998772,0.04415564301902464,0.24971667504058026
2.893509,0.19940250279219476,0.01194083954390926,0.04625399778760128,0.2575973401237053
2.895811,0.2046959776690861,0.012393797151279522,0.04778926994195527,0.2648790447623209
2.898112,0.21043742712136349,0.012825327721117415,0.04994243806235888,0.2732051929048398
2.900414,0.21559835334747324,0.013228953311843391,0.05155046248368322,0.28037776914299983
2.902716,0.2203292439133404,0.013602680710663735,0.05359699371962343,0.2875289183436276
2.905017,0.2252918454664761,0.013955977678348568,0.05565697914192119,0.2949048022867459
2.907319,0.23027138932835844,0.01430080349166014,0.05825114559293281,0.3028233384129514
2.909621,0.2348433211739273,0.014640147969789012,0.060536364060919626,0.310019833204636
2.911922,0.2401004199173335,0.01496205183597294,0.06348033935722709,0.3185428111105336
2.9142240000000004,0.2446529179381638,0.01525455581344966,0.06607899053702458,0.32598646428863803
2.916525,0.24924029718288396,0.015507195535052216,0.0692870665284984,0.3340345592464345
2.918827,0.2538685372898751,0.01570801172401835,0.07191113117141566,0.3414876801853091
2.921129,0.2582924730855111,0.015848034922776373,0.075146613838803,0.34928712184709043
2.92343,0.2623850372541931,0.015930254950516847,0.07902490763216134,0.3573401998368713
2.925732,0.2662294464300585,0.015959654839224045,0.08224245138440531,0.3644315526536879
2.928034,0.2707271310990617,0.01594121762088225,0.08612273839055734,0.3727910871105013
2.930335,0.2734423852272911,0.015878929721078856,0.08948578667674204,0.37880710162511205
2.932637,0.2780785981854571,0.015776777565401294,0.09338052447564847,0.3872359002265069
2.9349380000000003,0.28226484335544344,0.01564223570182597,0.09682080975758936,0.3947278888148588
