Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,CO_NH3_10K,CH3OH,all
2.85208,0.16570186664850411,0.0001553266406575743,0.011996262301231957,0.17785345559039364
2.854382,0.17514117542884752,0.00016769341141056592,0.013009842832147149,0.18831871167240524
2.8566830000000003,0.18373855445632728,0.0001770921571828395,0.014309837773701622,0.19822548438721171
2.858985,0.1939925860938778,0.00017956551133343782,0.015799786314022048,0.20997193791923327
2.861286,0.20304011557676646,0.00017857616967319848,0.017289240183512352,0.22050793192995197
2.863588,0.2130191102327704,0.0001770921571828395,0.018748024461535243,0.2319442268514885
2.8658900000000003,0.22323356820391133,0.00017808149884307884,0.02077617486502586,0.2441878245677803
2.868191,0.2340352004504043,0.0001810495238237968,0.02280630395183696,0.2570225539260651
2.870493,0.24485612485927194,0.00018451221963463447,0.024815162192952912,0.2698557992718595
2.872795,0.2558269345296659,0.0001869855737852328,0.026799781563392997,0.2828137016668441
2.875096,0.2671929861933254,0.0001864909029551131,0.02885464419171008,0.2962341212879906
2.877398,0.27841954068289115,0.0001820388654840361,0.031244893642848295,0.3098464731912235
2.879699,0.29072645626543825,0.00017659748635271986,0.033245837150682335,0.3241488909024733
2.882001,0.3027464627665159,0.0001770921571828395,0.03553814177745685,0.3384616967011556
2.884303,0.315132031011052,0.00018500689046475414,0.037533643906159576,0.3528506818076764
2.886604,0.3271312613372647,0.00019391096540690803,0.039694366092122284,0.3670195383947939
2.888906,0.3399580759622676,0.00019836300287798503,0.04172894721640445,0.3818853861815501
2.891208,0.3532642266216564,0.00020034168619846368,0.043833771598563616,0.3972983399064185
2.893509,0.364994356016284,0.00021122444446109625,0.04591683046419752,0.4111224109249426
2.895811,0.3783969674875462,0.00023843134011767772,0.0474409112917962,0.4260763101194601
2.898112,0.3917041074885952,0.00026712224826461824,0.04957838394874326,0.4415496136856032
2.900414,0.4047154343332328,0.00027157428573569515,0.05117468671753942,0.4561616953365079
2.902716,0.4175279035041621,0.00024783008588995134,0.05320629981684087,0.47098203340689293
2.905017,0.4310962297035144,0.00025772350249234457,0.055251269028555566,0.4866052222345623
2.907319,0.4436178324263335,0.00037397114757046547,0.057826525370158526,0.5018183289440625
2.909621,0.4571584570591989,0.0005817328962207241,0.0600950857970873,0.517835275752507
2.911922,0.4706733588088982,0.0007454689409903327,0.06301760106143428,0.5344364288113228
2.9142240000000004,0.4842253608708566,0.0007375542077084179,0.06559730944050833,0.5505602245190733
2.916525,0.49837739864975,0.0006168545251592203,0.06878200024481873,0.5677762534197279
2.918827,0.5124849160539328,0.000565903429656895,0.07138693683622886,0.5844377563198185
2.921129,0.5268991293727896,0.0007375542077084179,0.07459883453619584,0.6022355181166938
