Wavelength,H2O_CH3OH_CO_NH3_120K_NASA,CH3OH,H2O_CH3OH_CO_NH3_100K_NASA,all
2.85208,0.05445379368405291,0.011193464442307946,0.07134884994158261,0.13699610806794346
2.854382,0.05793878993564195,0.012139215489369469,0.07628544312935108,0.1463634485543625
2.8566830000000003,0.061694809128889076,0.01335221390404867,0.08134518448738992,0.15639220752032768
2.858985,0.0657625774303404,0.014742454096215241,0.08632880670081282,0.16683383822736847
2.861286,0.06950744541131898,0.01613223272125294,0.092106589161885,0.1777462672944569
2.863588,0.0734753376376691,0.01749339418430049,0.0969345792388638,0.1879033110608334
2.8658900000000003,0.07758043825845436,0.01938581941268128,0.10173250952624906,0.1986987671973847
2.868191,0.08165741843091015,0.021280090909577564,0.10653092464895036,0.2094684339894381
2.870493,0.0857620342163794,0.02315451501993229,0.11157466644156036,0.22049121567787205
2.872795,0.09001646411450041,0.02500632234097223,0.11579515786755964,0.23081794432303224
2.875096,0.09385345080552374,0.026923672194312184,0.12064690487502365,0.2414240278748596
2.877398,0.09782813072629824,0.02915396456102828,0.12489794092593255,0.25188003621325905
2.879699,0.10178244756379966,0.031021003597321038,0.12927309481774382,0.2620765459788645
2.882001,0.10571931032992417,0.0331599056725202,0.13344946622998474,0.2723286822324291
2.884303,0.10981810809160113,0.03502186747039535,0.13735626920651575,0.28219624476851224
2.886604,0.11369145743132633,0.037037992689314216,0.14141385596633052,0.29214330608697103
2.888906,0.1178717075260955,0.03893641829037035,0.14561834782690095,0.30242647364336683
2.891208,0.12133682552972752,0.040900386423726516,0.14947763694246144,0.3117148488959155
2.893509,0.12562228488807414,0.04284404560341225,0.15327680647883485,0.32174313697032125
2.895811,0.1301317381624244,0.044266133927471085,0.15709294525126907,0.3314908173411646
2.898112,0.13429792803302884,0.04626056549133289,0.16162518578547252,0.3421836793098343
2.900414,0.13844133064378011,0.04775004261620724,0.16547138434750033,0.3516627576074877
2.902716,0.14280533332332285,0.04964569881449013,0.16999538268133138,0.3624464148191444
2.905017,0.14757514316237866,0.05155381732525263,0.17398994085006286,0.3731189013376941
2.907319,0.15172387896160613,0.053956735798167364,0.17828267273814988,0.3839632874979234
2.909621,0.15636229843001911,0.0560734826511806,0.18261710046341506,0.3950528815446148
2.911922,0.16117719795346525,0.05880042124856444,0.18726618630878056,0.4072438055108103
2.9142240000000004,0.1660129453955005,0.061207493825639024,0.1920127240526672,0.41923316327380666
2.916525,0.17118710788812125,0.06417906300132575,0.1971699173092271,0.4325360881986741
2.918827,0.17639860270007604,0.06660967550197287,0.20213511578064106,0.4451433939826899
2.921129,0.1815107062722456,0.06960663086974762,0.20694371244497886,0.4580610495869722
2.92343,0.18678910835781184,0.07319900783376902,0.21196806082494787,0.4719561770165287
2.925732,0.1921896889430164,0.07617934678490433,0.21734730865624727,0.48571634438416794
2.928034,0.1982016468617287,0.0797735700174412,0.2231105460578387,0.5010857629370087
2.930335,0.20317896621604328,0.08288868657020754,0.22758993954259546,0.5136575923288462
2.932637,0.2107443364873003,0.08649629524948177,0.23457738611715045,0.5318180178539325
2.9349380000000003,0.21675338539411645,0.08968295470722347,0.24012923532095484,0.5465655754222948
2.93724,0.2227212232990705,0.09323332906251737,0.2457892028002329,0.5617437551618207
2.939542,0.2295923093977795,0.09632675196022666,0.2517807976356722,0.5776998589936784
2.941843,0.2360381949243343,0.10007283077816287,0.25778645269527617,0.5938974783977733
2.944145,0.24241571867132966,0.10324518165490952,0.2634949037061567,0.6091558040323959
2.946447,0.2484844023220169,0.10644199558948643,0.2690574192869137,0.6239838171984171
2.948748,0.2542549122533487,0.10970250578784786,0.2752075552706932,0.6391649733118897
2.95105,0.2610978779037282,0.1123745178968958,0.28093346035295064,0.6544058561535746
2.953351,0.266926568072983,0.11499668075602534,0.28658227661996016,0.6685055254489685
2.955653,0.27103312319971634,0.11755976302265915,0.29045998947752955,0.679052875699905
2.957955,0.27858540291744066,0.11976051509312735,0.2969441769940504,0.6952900950046184
2.960256,0.28342018068884384,0.12193541940437864,0.3020441596833193,0.7073997597765418
2.962558,0.28831265386285404,0.12436649347215464,0.30559945705573205,0.7182786043907408
2.96486,0.2953500384749596,0.12650493398022494,0.31197067794361905,0.7338256503988037
2.967161,0.3004286884103235,0.12882153940004035,0.3173096844436884,0.7465599122540523
2.969463,0.3063519214662032,0.13037840532573022,0.3220969483541211,0.7588272751460545
2.971764,0.31130015070155626,0.13267885589603504,0.3272226273151393,0.7712016339127307
2.974066,0.3162435315837491,0.134986229973273,0.3324142438791371,0.7836440054361592
2.976368,0.3212964852473636,0.13687819363452491,0.33653049571219096,0.7947051745940794
2.978669,0.32634459055781784,0.1389418602677177,0.3408911045445215,0.8061775553700571
2.980971,0.3313558483842541,0.14120630860197045,0.3462480499512838,0.8188102069375083
2.983273,0.3365915849620101,0.1438012390004965,0.3505926592181855,0.8309854831806921
2.985574,0.3416842951215387,0.1465618719982881,0.3554807688743514,0.8437269359941783
2.987876,0.3463503502029651,0.14928973372992965,0.36011288548365605,0.8557529694165509
2.990177,0.3514706959755071,0.15203744284811282,0.3647091242795749,0.8682172631031948
2.992479,0.3567093415651593,0.15557997056221587,0.3691744575401668,0.881463769667542
2.994781,0.3613210950911908,0.1583419882613941,0.3737246369810632,0.8933877203336481
2.997082,0.3661262979083165,0.16182589695013022,0.3782733619160116,0.9062255567744584
2.999384,0.3703147902034581,0.16537257876839315,0.3818504768776454,0.9175378458494966
3.001686,0.3757274916715633,0.1688112538784997,0.38677252500593307,0.931311270555996
