Wavelength,d_NH3_CH3OH_50_10K_I10m_Baselined,H2O_CH4_10_0.6_a_V3,H2O_40K,all
2.85208,0.0013356862525870554,0.2334381951938311,0.1061759585316068,0.34094983997802497
2.854382,0.0013931091803536235,0.243128676163648,0.11019942384015842,0.3547212091841601
2.8566830000000003,0.0014481193800627724,0.2531053066810748,0.11472135876537275,0.3692747848265103
2.858985,0.0015065073990523075,0.2630732513774949,0.11893591213607195,0.3835156709126191
2.861286,0.001570685965379648,0.27369938828797885,0.12339270340373598,0.3986627776570945
2.863588,0.0016411376246562776,0.2848167566309533,0.12798798526189584,0.41444587951750544
2.8658900000000003,0.0017178623768821961,0.2953145364087825,0.1329437286918341,0.4299761274774988
2.868191,0.0018042380413377894,0.3066818633785055,0.1376027065707098,0.44608880799055306
2.870493,0.0019017122548575093,0.3181852682106669,0.1421921978815319,0.4622791783470563
2.872795,0.0020015991964346482,0.3295323282647076,0.14713491257996006,0.4786688400411023
2.875096,0.002092317771393596,0.3409652814375924,0.15224844842485352,0.4953060476338395
2.877398,0.0021632519762817093,0.3527688296400968,0.15729008497363586,0.5122221665900143
2.879699,0.0022255003601631147,0.3645053040026048,0.1625194317652854,0.5292502361280533
2.882001,0.002293056745770841,0.3761409263323128,0.16776325492527944,0.5461972380033631
2.884303,0.002374124408500113,0.3869769705837922,0.17280489147406186,0.5621559864663541
2.886604,0.0024629128010131263,0.3995313597577652,0.1779464149644213,0.5799406875231996
2.888906,0.002550736102303171,0.4118343426681553,0.18294076204327825,0.5973258408137367
2.891208,0.0026327688562554105,0.4233512587774383,0.18795441094659454,0.6139384385802883
2.893509,0.002703703061143524,0.4348623843393834,0.19309689952817705,0.6306629869287039
2.895811,0.002762091080133059,0.4463913640889535,0.19822298155896906,0.6473764367280556
2.898112,0.00281999655351111,0.458190086835343,0.20378287209448492,0.6647929554833389
2.900414,0.002897686396959996,0.4692085333279632,0.20878059699262225,0.6808868167175455
2.902716,0.0029975733385371353,0.4808431905664482,0.21336188502804912,0.6972026489330344
2.905017,0.003073332999540086,0.4915648715080059,0.21816755677281596,0.712805761280362
2.907319,0.0030699551802597,0.5029698370354247,0.2229896350683732,0.7290294272840576
2.909621,0.003000951157817521,0.5126482543649545,0.2274169910537367,0.7430661965765087
2.911922,0.0029739286035744307,0.5213360055541082,0.2325078472548904,0.756817781412573
2.9142240000000004,0.003092634823999437,0.5336095531821976,0.23691638396140605,0.7736185719676031
2.916525,0.0033512792717547337,0.5433502188956089,0.2413586988607256,0.7880601970280892
2.918827,0.003669759375334017,0.5534561716369134,0.24584058250018676,0.8029665135124341
2.921129,0.003990169661359236,0.5632812828323343,0.2501246224389396,0.8173960749326329
2.92343,0.0043651076014821185,0.5724274523523976,0.2540877695460557,0.8308803294999354
2.925732,0.004880948860158262,0.5818037961291385,0.25781060893865304,0.8444953539279496
2.928034,0.005615383280836549,0.5903458185436241,0.2621660656279054,0.8581272674523659
2.930335,0.006629694156175418,0.5982233756510965,0.2647954566648804,0.8696485264721523
2.932637,0.007980821868329954,0.6077821216689784,0.2692850610341254,0.8850480045714337
2.9349380000000003,0.009672144236580544,0.6153132110274054,0.2733389267162005,0.8983242819801864
2.93724,0.011651063789275455,0.623170018673584,0.2770323308264972,0.9118534132893568
2.939542,0.013853401960087348,0.6307546705948859,0.28055829160960905,0.9251663641645822
2.941843,0.01612860451823329,0.6352785357025461,0.2840345501947381,0.9354416904155176
2.944145,0.01828654849278868,0.6437920879259541,0.2870731399102513,0.949151776328994
2.946447,0.020173784379301674,0.6525478780463271,0.29041187299610743,0.963133535421736
2.948748,0.021749778346407646,0.6555430386568067,0.29375929190297034,0.9710521089061848
2.95105,0.02299957148015059,0.6641994243812139,0.29696773767372586,0.9841667335350904
2.953351,0.023939570331320964,0.6704821682427325,0.3001346845218938,0.9945564230959474
2.955653,0.024636366194303518,0.6771065543971817,0.3013270547278701,1.0030699753193555
2.957955,0.025157998000317462,0.6816391053258486,0.3055816593843225,1.0123787627104883
2.960256,0.025528593029936996,0.6882716947556929,0.30887696336514514,1.0226772511507751
2.962558,0.025746221100716168,0.6922343593171977,0.3104404111463525,1.0284209915642664
2.96486,0.02580219639164829,0.6981923499821877,0.31422549892283114,1.0382200452966672
2.967161,0.02566370580115245,0.7024826630138898,0.3163762047132143,1.0445225735282566
2.969463,0.02529166313469847,0.7057441888019086,0.3196864676079929,1.0507223195446
2.971764,0.024664836385381056,0.7114285761051873,0.3222439593488569,1.0583373718394251
2.974066,0.023803975014494026,0.7168663826009978,0.32485646128943,1.0655268189049218
2.976368,0.02273754921311491,0.7211243650767306,0.32833416751139344,1.072196081801239
2.978669,0.02152249936339879,0.7259937328422131,0.3304544729282531,1.077970705133865
2.980971,0.020249061494693143,0.7310585315803467,0.3334230935301012,1.0847306866051412
2.983273,0.019005058908288,0.7348928390091968,0.3360254620128332,1.089923359930318
2.985574,0.017849362168784386,0.7368606600128276,0.3386051508518253,1.0933151730334374
2.987876,0.016829260746107712,0.7429831987313336,0.3412543262588712,1.1010667857363123
2.990177,0.015976120105004418,0.748079845479825,0.3438740663836165,1.1079300319684455
2.992479,0.015276428968352962,0.7508626860212522,0.3464938065083619,1.1126329214979669
2.994781,0.01470509496435619,0.7552031837965483,0.3491285055470632,1.1190367843079678
2.997082,0.01423847335805139,0.7584111470216923,0.35179070968561915,1.1244403300653631
2.999384,0.013853884505698834,0.7625774458312432,0.3544688378293541,1.1309001681662958
3.001686,0.013529613854781743,0.7671500480456633,0.3571353848784133,1.1378150467788584
3.003987,0.013261318494796772,0.7703642843637567,0.35979758901696923,1.1434231918755229
3.006289,0.013056236609916172,0.7730979052528121,0.3617287365541272,1.1478828784168555
3.0085900000000003,0.012919193656254786,0.7770070072514421,0.36433207012808216,1.1542582710357792
3.010892,0.012839573630359964,0.7804702371050611,0.3669175495144122,1.1602273602498332
3.013194,0.012801935072664231,0.7829881601057834,0.3691763455217677,1.1649664407002154
3.015495,0.012794214342880491,0.7866888024002523,0.371038006490872,1.1705210232340049
3.0177970000000003,0.012807243074390552,0.7894050516472945,0.3730902729765125,1.1753025676981974
3.020098,0.012833783083022157,0.7920281695913202,0.3749118826598637,1.179773835334206
3.0224,0.012864183456545634,0.7931235481293885,0.3762630103720182,1.1822507419579522
3.024702,0.01288541546345092,0.7931476754099626,0.3774655140358357,1.183498604909249
3.027003,0.012886380554673888,0.7941677768326392,0.3786491984208054,1.1857033558081185
3.029305,0.01286852636704899,0.7986380793774247,0.3801475025444625,1.1916541082889365
3.031607,0.012839573630359964,0.8003207159246687,0.3816868230450957,1.1948471126001243
3.0339080000000003,0.012807725620002037,0.8007907153502538,0.3819334038525639,1.1955318448228196
