Wavelength,H2O_40K,CH3OH,HNCO_NH3,all
2.85208,0.10936594041362843,0.01205379838920027,0.00035041556489984714,0.12177015436772855
2.854382,0.11351028790318153,0.013072240222504932,0.0003653268655338831,0.12694785499122035
2.8566830000000003,0.11816808117789993,0.01437847015804649,0.0003802381661679192,0.13292678950211434
2.858985,0.1225092578358223,0.01587556474170371,0.0003951494668019552,0.13877997204432793
2.861286,0.1270999502576875,0.01737216228200646,0.00041006076743599123,0.14488217330712996
2.863588,0.131833294122285,0.018837943134332204,0.00042497206807002734,0.15109620932468726
2.8658900000000003,0.13693792937267002,0.020875820887650463,0.0004398833687040633,0.15825363362902456
2.868191,0.14173688296005724,0.022915686814386597,0.0004547946693380994,0.16510736444378196
2.870493,0.14646426230440118,0.024934179876880604,0.00046970596997213533,0.17186814815125392
2.872795,0.15155547738421554,0.02692831781500569,0.0004846172706061714,0.1789684124698274
2.875096,0.15682264581151156,0.028993035909465212,0.0004995285712402075,0.18631521029221698
2.877398,0.16201575477899186,0.031394749398253964,0.0005144398718742435,0.19392494404912008
2.879699,0.16740221361136012,0.03340528976707648,0.0005293511725082796,0.20133685455094488
2.882001,0.17280358374436244,0.03570858867168058,0.0005437654297878479,0.20905593784583087
2.884303,0.17799669271184276,0.03771366156360397,0.0005586767304218838,0.2162690310058686
2.886604,0.18329268965369788,0.03988474693591962,0.0005730909877014518,0.22375052757731892
2.888906,0.18843708837244036,0.041929086252845964,0.0005880022883354881,0.2309541769136218
2.891208,0.19360136882536147,0.044044005726106734,0.0006024165456150562,0.23824779109708324
2.893509,0.19889835985392554,0.04613705529177093,0.0006173278462490923,0.2456527429919456
2.895811,0.20417845140843768,0.047668445866886434,0.0006317421035286605,0.2524786393788528
2.898112,0.2099053849386165,0.04981617020154209,0.0006466534041626964,0.2603682085443213
2.900414,0.21505326296084015,0.051420129106409904,0.0006610676614422648,0.2671344597286923
2.902716,0.21977219256815814,0.053461486163209435,0.0006754819187218327,0.2739091606500894
2.905017,0.22472224733530366,0.0555162633905796,0.0006898961760014011,0.28092840690188464
2.907319,0.22968920157650105,0.05810387109393932,0.0007048074766354371,0.2884978801470758
2.909621,0.2342495743537437,0.060383311917528965,0.0007222039940418124,0.2953550902653145
2.911922,0.2394933817433797,0.06331984405572512,0.0008042161475290108,0.3036174419466339
2.9142240000000004,0.24403436982979815,0.06591192514927506,0.0008936839513332272,0.31083997893040644
2.916525,0.24861015095102934,0.0691118902653392,0.000983151755137443,0.3187051929715061
2.918827,0.2532266896273269,0.07172932056996699,0.0010721225155871917,0.3260281327128811
2.921129,0.25763944052829263,0.07495662307052686,0.0011596021459735365,0.33375566574479304
2.92343,0.2617216575985372,0.07882511149835028,0.001248075863068817,0.3417948449599563
2.925732,0.2655563470782569,0.08203452043814931,0.0013410229703543085,0.3489318904867605
2.928034,0.2700426603956838,0.08590499703939057,0.0014304907741585244,0.3573781482092329
2.930335,0.27275104963417923,0.08925954263869422,0.0015139940577091266,0.3635245863305826
2.932637,0.27737554100414835,0.0931444334972151,0.0016447164599341759,0.3721646909612976
2.9349380000000003,0.2815512022250329,0.09657602081646126,0.0019121257846378887,0.3800393488261321
2.93724,0.28535557206013,0.1003992782990281,0.0021621385919352266,0.3879169889510933
2.939542,0.28898746785122664,0.10373046286067177,0.0024230863530308572,0.3951410170649293
2.941843,0.2925681681768132,0.10776446672553296,0.0026835370707720204,0.4030161719731182
2.944145,0.29569805017989736,0.11118064570079064,0.0029434907451587155,0.4098221866258467
2.946447,0.2991370931494605,0.11462316797383508,0.003193006509101585,0.4169532676323972
2.948748,0.3025850828994041,0.11813428222979608,0.003463398093932106,0.4241827632231323
2.95105,0.3058899241632609,0.1210116662088106,0.003958453274982103,0.4308600436470537
2.953351,0.30915201969863354,0.12383536950554255,0.004477366537046557,0.4374647557412227
2.955653,0.3103802138275237,0.1265954512529026,0.0049092972120791355,0.4418849622925054
2.957955,0.3147626450838669,0.12896535396700542,0.005191617837416883,0.4489196168882892
2.960256,0.31815695415152795,0.131307422253258,0.005489843850097605,0.4549542202548836
2.962558,0.3197673746200038,0.13392534960124028,0.005435169081106138,0.4591278933023502
2.96486,0.3236661826924498,0.13622815146248993,0.005345204233947454,0.4652395383888872
2.967161,0.3258815049233131,0.13872281205856415,0.00524132217286367,0.4698456391547409
2.969463,0.32929122233496266,0.14039933929318427,0.0051394282851977575,0.4748299899133447
2.971764,0.33192555211364233,0.14287660337185212,0.005048966394684606,0.479851121880179
2.974066,0.3346165448347314,0.145361323100837,0.004946575463664222,0.4849244433992326
2.976368,0.3381987362903814,0.14739870381080078,0.0048446815759983115,0.4904421216771805
2.978669,0.34038274478991315,0.14962098464862658,0.004752231512067288,0.494755960950607
2.980971,0.3434405555065995,0.15205947934564598,0.004652325797819246,0.5001523606500647
2.983273,0.34612111031724474,0.15485385708446436,0.004550431910153334,0.5055253993118625
2.985574,0.3487783040902299,0.15782667338753664,0.00446245523641252,0.5110674327141791
2.987876,0.3515070721062585,0.16076419961244173,0.004359567262037671,0.5166308389807379
2.990177,0.3542055204776645,0.163723098701589,0.004230335989876026,0.5221589551691295
2.992479,0.3569039688490706,0.16753790644712988,0.0040772466366999225,0.5285191219329004
2.994781,0.3596178255644652,0.17051221388026558,0.003926145456941691,0.5340561849016725
2.997082,0.3623600137510644,0.17426389711978904,0.0037755413205379264,0.5403994521913914
2.999384,0.3651186043683611,0.17808317825552014,0.003624937184134163,0.5468267198080153
3.001686,0.3678652659451505,0.18178615124630576,0.0034748300910848666,0.5531262472825411
