Wavelength,H2O_CH4_10_0.6_a_V3,H2O_40K,HNCO_NH3,all
2.85208,0.2387014720209157,0.10856988323475524,0.00034786494607855385,0.3476192202017495
2.854382,0.2486104420168725,0.11268406468213535,0.00036266770974147116,0.3616571744087493
2.8566830000000003,0.25881201330789955,0.11730795462497527,0.0003774704734043883,0.3764974384062792
2.858985,0.2690047029407289,0.12161753255270592,0.0003922732370673055,0.3910145087305021
2.861286,0.27987042489476555,0.12617481005906267,0.00040707600073022266,0.4064523109545584
2.863588,0.2912384539624305,0.130873700671128,0.0004218787643931399,0.4225340333979517
2.8658900000000003,0.3019729247453226,0.13594118009839998,0.00043668152805605696,0.43835078637177866
2.868191,0.3135965481989006,0.14070520287058216,0.0004514842917189742,0.4547532353612018
2.870493,0.32535931763090997,0.14539817237718236,0.0004662870553818914,0.4712237770634743
2.872795,0.33696221721536,0.15045232931715768,0.0004810898190448086,0.4878956363515625
2.875096,0.3486529465308765,0.15568115886835548,0.0004958925827077258,0.5048299979819398
2.877398,0.3607226265961638,0.16083646802669413,0.0005106953463706429,0.5220697899692285
2.879699,0.3727237205231462,0.16618371968719522,0.0005254981100335602,0.539432938320375
2.882001,0.3846216885299436,0.17154577411135927,0.0005398074482410467,0.5567072700895438
2.884303,0.3957020505570925,0.1767010832696979,0.000554610211903964,0.5729577440386944
2.886604,0.4085395006310297,0.18195853149731064,0.0005689195501114505,0.5910669516784518
2.888906,0.4211198760426877,0.18706548496101708,0.0005837223137743678,0.6087690833174789
2.891208,0.4328964613874492,0.1921921754429408,0.0005980316519818544,0.6256866684823718
2.893509,0.44466712562674543,0.19745061052146434,0.0006128344156447716,0.6427305705638545
2.895811,0.4564560466078927,0.20269226913450333,0.0006271437538522582,0.6597754594962484
2.898112,0.4685207924186256,0.2083775172319744,0.0006419465175151754,0.6775402561681152
2.900414,0.4797876692679273,0.2134879246738688,0.000656255855722662,0.6939318497975189
2.902716,0.4916846504238138,0.2181725059477267,0.0006705651939301487,0.7105277215654707
2.905017,0.5026480706180257,0.22308653005835974,0.0006848745321376352,0.7264194752085231
2.907319,0.5143101812571274,0.2280173306344775,0.0006996772958005522,0.7430271891874054
2.909621,0.5242068156166984,0.23254450918805294,0.0007169471867406223,0.7574682719914919
2.911922,0.5330904475162703,0.23775014774284556,0.000798362386886667,0.7716389576460025
2.9142240000000004,0.545640723975147,0.2422580827036593,0.0008871789688641703,0.7887859856476703
2.916525,0.5556010102184685,0.2468005574463531,0.0009759955508416733,0.8033775632156633
2.918827,0.5659348195315511,0.25138349307639224,0.0010643187073637458,0.8183826313153071
2.921129,0.575981455229573,0.25576412426970485,0.0011511615875195267,0.8328967410867973
2.92343,0.585333841311804,0.25981662753515616,0.0012389913185861686,0.8463894601655464
2.925732,0.5949215913362755,0.2636234049238031,0.0013312618787516856,0.8598762581388303
2.928034,0.6036562087483074,0.2680770630845194,0.0014200784607291891,0.8731533502935559
2.930335,0.6117113793082116,0.2707657383911606,0.0015029739372415252,0.8839800916366137
2.932637,0.6214856441548358,0.2753565688284867,0.001632744832019766,0.8984749578153423
2.9349380000000003,0.6291865352377407,0.2795018360795589,0.0018982077270414141,0.910586579044341
2.93724,0.6372204885030612,0.2832785145154245,0.002146400731122992,0.9226454037496088
2.939542,0.6449761498115191,0.2868839743182557,0.002405449095224043,0.9342655732249988
2.941843,0.6496020134561806,0.2904386112991776,0.0026640040338696638,0.942704628789228
2.944145,0.6583075187663423,0.2935457113920239,0.0029220655470598533,0.954775295705426
2.946447,0.6672607236551301,0.29695972211814803,0.003169765125686,0.9673902108989642
2.948748,0.6703234154569877,0.3003826145024699,0.003438188573440233,0.974144218532898
2.95105,0.6791749747019566,0.3036634003556277,0.003929640327049083,0.9867680153846335
2.953351,0.6855993741316627,0.3069017516196186,0.0044447765025186015,0.9969459022538
2.955653,0.6923731187838137,0.30812100591998753,0.0048735632232877685,1.0053676879270892
2.957955,0.6970078640866729,0.3124715381605189,0.005153828881972335,1.0146332311291644
2.960256,0.7037899969715663,0.3158411405956543,0.005449884155230679,1.0250810217224513
2.962558,0.7078420068115621,0.3174398390712493,0.005395607355133314,1.0306774532379448
2.96486,0.7139343309097634,0.32131026834364673,0.005306297347700382,1.0405508966011103
2.967161,0.7183213766339966,0.3235094655985009,0.005203171427515392,1.047034013660013
2.969463,0.7216564392872519,0.3268943642227545,0.005102019209152125,1.0536528227191586
2.971764,0.7274689911522241,0.3295095191365366,0.00501221577626376,1.0619907260650243
2.974066,0.7330294026094711,0.3321809245522377,0.0049105701324450605,1.0701208972941538
2.976368,0.7373833888281905,0.3357370418095259,0.004809417914081794,1.0779298485517983
2.978669,0.7423625450989404,0.33790515326068776,0.004717640779371708,1.084985339139
2.980971,0.7475415386791397,0.3409407066624967,0.0046184622628301615,1.0931007076044668
2.983273,0.7514622973479911,0.3436017501436338,0.004517310044466896,1.0995813575360918
2.985574,0.7534744863552371,0.3462396026283656,0.004429973738855684,1.1041440627224584
2.987876,0.7597350685337401,0.3489485083786795,0.004327834669581554,1.1130114115820011
2.990177,0.7649466281939977,0.351627315176212,0.004199544051169606,1.1207734874213793
2.992479,0.7677922127954658,0.3543061219737446,0.00404756901089699,1.1261459037801076
2.994781,0.7722305747670638,0.3570002249603955,0.003897567672446096,1.1331283673999055
2.997082,0.7755108671947663,0.35972245319800605,0.003748059759450632,1.1389813801522228
2.999384,0.7797711025769538,0.3624609644756457,0.0035985518464551687,1.1458306188990546
