Wavelength,CO_NH3_10K,HNCO_NH3,H2O_CH3OH_CO_NH3_100K_NASA,all
2.85208,0.00015519631110187408,0.0003484503163274561,0.07273517305115569,0.07323881967858502
2.854382,0.00016755270529788315,0.000363277989362667,0.07776768527930629,0.07829851597396684
2.8566830000000003,0.00017694356488685007,0.00037810566239787787,0.08292573847248831,0.08348078769977305
2.858985,0.00017941484372605186,0.00039293333543308884,0.0880061935101194,0.08857854168927855
2.861286,0.0001784263321903711,0.0004077610084682997,0.09389623949547303,0.09448242683613167
2.863588,0.00017694356488685007,0.0004225886815035105,0.09881803843162736,0.09941757067801772
2.8658900000000003,0.00017793207642253082,0.0004374163545387215,0.1037091935101756,0.10432454194113684
2.868191,0.00018089761102957295,0.0004522440275739324,0.10860084284449167,0.10923398448309518
2.870493,0.0001843574014044555,0.0004670717006091432,0.11374258559733495,0.11439401469934855
2.872795,0.00018682868024365727,0.0004818993736443542,0.11804508205638535,0.11871381011027335
2.875096,0.00018633442447581696,0.0004967270466795651,0.12299109952516385,0.1236741609963192
2.877398,0.00018188612256525368,0.000511554719714776,0.12732473409758815,0.1280181749398682
2.879699,0.0001764493091190097,0.0005263823927499869,0.1317848981465796,0.1324877298484486
2.882001,0.00017694356488685007,0.0005407158100173574,0.13604241733075645,0.13676007670566065
2.884303,0.0001848516571722959,0.0005555434830525684,0.14002513030801414,0.140765525448239
2.886604,0.00019374826099342242,0.0005698769003199388,0.14416155682907011,0.14492518199038348
2.888906,0.00019819656290398567,0.0005847045733551497,0.14844774284778176,0.1492306439840409
2.891208,0.00020017358597534718,0.0005990379906225202,0.15238201875979102,0.1531812303363889
2.893509,0.00021104721286783508,0.0006138656636577312,0.15625500695658814,0.1570799198331137
2.895811,0.00023823128009905508,0.0006281990809251018,0.16014529410525966,0.16101172446628378
2.898112,0.00026689811463379617,0.0006430267539603128,0.16476559702303134,0.1656755218916255
2.900414,0.00027134641654435944,0.0006573601712276831,0.16868652802930895,0.16961523461708097
2.902716,0.000247622139688022,0.0006716935884950537,0.1732984285990274,0.17421774432721046
2.905017,0.00025750725504482925,0.0006860270057624244,0.1773706018702641,0.17831413613107136
2.907319,0.00037365736048731454,0.0007008546787976353,0.1817467424387227,0.18282125447800765
2.909621,0.0005812447829802673,0.0007181536306720477,0.18616538900321555,0.18746478741686787
2.911922,0.0007448434421354277,0.0007997058323657077,0.1909048075610368,0.19244935683553796
2.9142240000000004,0.0007369353498499816,0.0008886718705769732,0.19574357152819394,0.1973691787486209
2.916525,0.000616336942496933,0.0009776379087882386,0.2010009701307119,0.20259494498199707
2.918827,0.0005654285984093756,0.0010661096912316637,0.20606264344916506,0.2076941817388061
2.921129,0.0007369353498499816,0.0011530987063715675,0.2109646721546058,0.21285470621082733
2.92343,0.0011323399641222725,0.001241076233047152,0.2160866446767355,0.21846006087390493
2.925732,0.0017056766548170935,0.0013335020616333,0.2215704124209243,0.2246095911373747
2.928034,0.002418887727810738,0.0014224680998445654,0.2274456307332427,0.23128698656089802
2.930335,0.003243306348568464,0.0015055030688417466,0.23201205977231984,0.23676086918973005
2.932637,0.004151254194091211,0.0016354923357837622,0.23913527389843514,0.2449220204283101
2.9349380000000003,0.005093799943362784,0.0019014019388818772,0.24479499669597515,0.25179019857821977
2.93724,0.006003230556189052,0.00215001259010558,0.25056493852974354,0.25871818167603816
2.939542,0.0068177640615899706,0.002409496868221771,0.2566729513087148,0.2659002122385265
2.941843,0.007529492367280096,0.002668486890570121,0.2627952975049533,0.27299327676280355
2.944145,0.008158185703973036,0.0029269826571506315,0.2686146649155057,0.2796998332766294
2.946447,0.008758212206131237,0.003175099052606493,0.27428526133993825,0.286218572598676
2.948748,0.009507998205945068,0.003443974190311652,0.2805548957549933,0.29350686815125
2.95105,0.010605246010550677,0.003936252935080654,0.28639205637318793,0.3009335553188193
2.953351,0.012141392936998523,0.004452255956705993,0.2921506303242961,0.3087442792180006
2.955653,0.014050208712398008,0.0048817642189592685,0.29610368795548325,0.3150356608868405
2.957955,0.016239267508162982,0.0051625014950925936,0.3027138645945803,0.32411563359783585
2.960256,0.018438211419284752,0.005459054955796813,0.30791294101649297,0.3318102073915746
2.962558,0.02025509562186593,0.005404686821334373,0.3115373185620664,0.3371971010052667
2.96486,0.021346412357257448,0.005315226527355267,0.31803233360725663,0.3446939724918693
2.967161,0.021633080702604862,0.005211927071876631,0.3234750781227147,0.3503200858971962
2.969463,0.02111856044828304,0.005110604639469356,0.32835535957437045,0.3545845246621229
2.971764,0.019881932517146445,0.005020650089722411,0.3335806315519788,0.3584832141588476
2.974066,0.018170324793115276,0.0049188334015472955,0.3388731223140134,0.361962280508676
2.976368,0.0162481641119841,0.004817510969140021,0.3430693537829781,0.3641350288641022
2.978669,0.01428250892328298,0.004725579396321714,0.3475146901589343,0.366522778478539
2.980971,0.01234107226720603,0.004626233986985801,0.3529757221378025,0.3699430283919943
2.983273,0.010487613137804669,0.004524911554578526,0.35740474807342,0.3724172727658032
2.985574,0.008793798621415744,0.0044374282836707815,0.3623878347247865,0.375619061629873
2.987876,0.0073347555947509925,0.004335117339727826,0.36710995433073335,0.37877982726521214
2.990177,0.006164852192272852,0.004206610840089332,0.37179549900986,0.3821669620422222
2.992479,0.0052662952063390715,0.0040543800635945,0.3763475946316697,0.3856682699016033
2.994781,0.004606463756272186,0.003904126310171029,0.3809861850128515,0.3894967750792948
2.997082,0.0041482886594841695,0.0037543668125154,0.3856232926267299,0.3935259480987295
2.999384,0.003848275408405069,0.0036046073148597703,0.3892699116818561,0.3967227944051209
3.001686,0.003662929495464932,0.00345534207297198,0.3942875962369714,0.4014058678054083
3.003987,0.0035640783418968594,0.003305582575316349,0.3994026491783514,0.4062723100955646
3.006289,0.003531951716987236,0.003141983916161189,0.4032702005617022,0.40994413619485065
3.0085900000000003,0.0035586415284506157,0.003161259891106964,0.40758851320532347,0.41430841462488105
3.010892,0.003682205470410706,0.0032769157407816084,0.4115168580481186,0.4184759792593109
3.013194,0.0039560231657942676,0.003386640521242169,0.4156666294749064,0.4230092931619428
3.015495,0.004381577381904821,0.0034968595574705703,0.41973534295576825,0.4276137798951437
3.0177970000000003,0.004840740990228519,0.003607572849466811,0.42311704091933205,0.43156535475902735
3.020098,0.005202041956519824,0.003728665512587701,0.4270636732255373,0.4359943806946448
3.0224,0.005405675332870054,0.003838390293048261,0.4301038404535233,0.4393479060794416
3.024702,0.005471905605760661,0.003947620817740982,0.4331889849563829,0.4426085113798845
3.027003,0.005427916842422869,0.004056357086665861,0.4368202820827061,0.4463045560117948
3.029305,0.005320169085033671,0.004165587611358582,0.4392406525778203,0.4487264092742125
3.031607,0.005206984514198227,0.0042866802744794714,0.44248544169369225,0.4519791064823699
3.0339080000000003,0.005132846149022173,0.0043959107991721905,0.4455636666158021,0.4550924235639965
3.03621,0.005091328664523583,0.0045095896257754745,0.4476019774023757,0.4572028956926748
3.038511,0.005066121620363725,0.004672199773394954,0.4499704510418667,0.4597087724356254
3.040813,0.005047339901185791,0.004854085895960208,0.4527644788974684,0.4626659046946143
3.043115,0.0050389375531325045,0.005036466274293302,0.4547123408785272,0.4647877447059531
3.045416,0.005045362878114429,0.0052143983507158325,0.4566859041595138,0.4669456653883441
3.047718,0.005066121620363725,0.005395790217513246,0.457585943912751,0.46804785575062796
3.05002,0.005096765477969826,0.005565814201650332,0.4598303593545142,0.4704929390341343
3.052321,0.005134328916325694,0.005744240533840702,0.460775376382625,0.4716539458327914
3.054623,0.0051788119354313255,0.005925138144870275,0.4624721564336209,0.4735761065139225
3.056924,0.0052307087910545644,0.006106035755899848,0.4625715018429568,0.4739082463899113
3.059226,0.005291007994731089,0.006278036763108293,0.4636040021419754,0.4751730468998147
