Wavelength,H2O_CH4_10_0.6_a_V3,H2O_CH3OH_CO_NH3_120K_NASA,CO_CH3OH_10K,all
2.85208,0.24085885498437384,0.055919459568539547,0.0036295818887641202,0.3004078964416775
2.854382,0.25085738221210513,0.05949825718396293,0.0039049123118761295,0.3142605517079441
2.8566830000000003,0.2611511552642585,0.06335537253269484,0.004209617951920524,0.3287161457488739
2.858985,0.2714359663858223,0.06753262795748646,0.004556145934716112,0.3435247402780248
2.861286,0.2823998926920603,0.07137829195046508,0.004942006835099128,0.3587201914776245
2.863588,0.2938706659616401,0.07545298305850974,0.0053632175728075574,0.37468686659295736
2.8658900000000003,0.3047021548491659,0.07966857563082329,0.005815795067579379,0.3901865255475686
2.868191,0.3164308325657113,0.08385529087123719,0.006294760469087073,0.4065808839060355
2.870493,0.3282999138614929,0.08807038555851801,0.00679463704197036,0.4231649364619813
2.872795,0.3400076804066628,0.09243932672091927,0.007307956510737962,0.43975496363832006
2.875096,0.3518040704876626,0.0963795888701208,0.00782476117473483,0.4560084205325182
2.877398,0.3639828362738161,0.10046125036862401,0.008337582758469677,0.4727816694009098
2.879699,0.37609239604041705,0.1045220006957516,0.008851897997302781,0.4894662947334714
2.882001,0.3880978978351727,0.10856482716170007,0.009377664591889188,0.506040389588762
2.884303,0.399278404130658,0.11277394722858786,0.009914882542228895,0.5219672339014748
2.886604,0.412231879027774,0.11675155075524582,0.010450108952437595,0.5394335387354574
2.888906,0.42492595582282616,0.12104431550763595,0.010966913616434466,0.5569371849468966
2.891208,0.4368089778995248,0.12460269983671653,0.011459321913826469,0.5728709996500678
2.893509,0.4486860253558304,0.12900350564121393,0.011930819039842878,0.5896203500368872
2.895811,0.4605814945583479,0.13363433433084287,0.0123833965346147,0.6065992254238055
2.898112,0.4727552814941739,0.1379126604172832,0.012814564972978174,0.6234825068844353
2.900414,0.4841239883320394,0.1421675859071842,0.013217851849507524,0.6395094260887312
2.902716,0.4961284943567296,0.14664904908698748,0.013591265624071732,0.6563688090677888
2.905017,0.5071910018994525,0.15154724203920442,0.013944266112293095,0.6726825100509499
2.907319,0.5189585146485527,0.15580764426446564,0.014288802554957675,0.6890549614679761
2.909621,0.5289445947504652,0.1605709103728067,0.014627862262261978,0.7041433673855338
2.911922,0.5379085168801372,0.1655154066330696,0.01494949599341995,0.7183734195066268
2.9142240000000004,0.5505722226881914,0.17048131194974084,0.015241754507645538,0.7362952891455777
2.916525,0.5606225299593289,0.17579474101927314,0.01549418221925094,0.751911453197853
2.918827,0.57104973620026,0.1811465072363274,0.015694829887450114,0.7678910733240375
2.921129,0.5811871733521292,0.18639620702166748,0.015834735581653502,0.7834181159554502
2.92343,0.5906240862629158,0.19181668137324154,0.015916886612057632,0.7983576542482149
2.925732,0.6002984903343254,0.19736262275306915,0.015946261828990012,0.8136073749163846
2.928034,0.6091120511841062,0.20353639715919744,0.015927840082778182,0.8285762884260818
2.930335,0.6172400243437872,0.2086476849054324,0.015865604453684148,0.8417533137029037
2.932637,0.6271026289575771,0.2164166829564989,0.015763538021969926,0.8592828499360459
2.9349380000000003,0.6348731206637419,0.22258747005243065,0.015629109063126808,0.8730896997792994
2.93724,0.6429796847670145,0.2287159369205785,0.015473768932908104,0.887169390620501
2.939542,0.6508054417118149,0.2357719636047438,0.015308471102034343,0.9018858764185932
2.941843,0.6554731138938674,0.2423913451151853,0.015141181731029575,0.9130056407400824
2.944145,0.6642572995267161,0.24894052483600884,0.014978871210352334,0.9281766955730772
2.946447,0.6732914234460061,0.2551725517909691,0.014824526850199127,0.9432885020871744
2.948748,0.6763817958442996,0.26109837945078673,0.014666199409783903,0.9521463747048702
2.95105,0.6853133554468427,0.2681255288030525,0.014491939648320606,0.9679308238982156
2.953351,0.6917958185732773,0.27411110266680033,0.01430124968077648,0.9802081709208542
2.955653,0.6986307843029006,0.2783281888942121,0.014115538563559881,0.9910745117606724
2.957955,0.7033074184155428,0.28608374404939435,0.013955219583013649,1.003346382047951
2.960256,0.7101508481907229,0.2910486535960001,0.013822284279268791,1.0150217860659918
2.962558,0.7142394800796846,0.2960728114615034,0.013704285526506498,1.0240165770676946
2.96486,0.7203868665790771,0.3032996127119028,0.013589771968973477,1.0372762512599534
2.967161,0.7248135624052775,0.3085149584299829,0.01347326687130944,1.0468017877065696
2.969463,0.7281787673416502,0.3145976198751175,0.013350289268219628,1.0561266764849873
2.971764,0.7340438530274721,0.31967903451938723,0.013220839159704036,1.0669437267065631
2.974066,0.7396545194615574,0.32475547031332946,0.013092384821253944,1.0775023745961407
2.976368,0.7440478569905636,0.3299444281246738,0.012973888183458905,1.0869661732986964
2.978669,0.7490720148560668,0.3351284070856905,0.01286236193612239,1.0970627838778797
2.980971,0.7542978161598347,0.34027454678421803,0.012745358953425608,1.1073177218974783
2.983273,0.7582540106300844,0.34565120725290993,0.01261043210954974,1.116515649992544
2.985574,0.7602843857936482,0.3508809916369399,0.01245509197933103,1.123620469409919
2.987876,0.7666015510892091,0.35567263719214776,0.01228033433283498,1.134554522614192
2.990177,0.7718602128051387,0.3609308010230447,0.012089146480258104,1.1448801603084415
2.992479,0.7747315157890211,0.36631044880193303,0.011889494582124441,1.1529314591730786
2.994781,0.7792099916586278,0.37104633123347264,0.011689344798958022,1.1619456676910584
2.997082,0.7825199313563649,0.3759808697930805,0.01149218232598812,1.1699929834754337
2.999384,0.7868186707291481,0.38028209859102746,0.011290538887723448,1.1783913082078992
3.001686,0.7915366292995087,0.385840487096674,0.011077444093705473,1.1884545604898882
