Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,H2O_CH4_10_0.6_a_V3,H2O_CH3OH_CO_NH3_120K_NASA,all
2.85208,0.1517176205317834,0.01634673919018612,0.05413328013994633,0.22219763986191585
2.854382,0.16036030812839536,0.01702532465007424,0.05759776379867039,0.23498339657714
2.8566830000000003,0.16823211980584613,0.01772394801344377,0.06133167516541153,0.2472877429847014
2.858985,0.1776207725251716,0.018421963143655348,0.0653755006936106,0.26141823636243755
2.861286,0.1859047446529377,0.019166068830947267,0.06909832648381438,0.2741691399676993
2.863588,0.19504157186635626,0.019944573482394458,0.07304286380476563,0.2880290091535164
2.8658900000000003,0.20439399069993974,0.020679690835241096,0.07712380191528548,0.3021974834504664
2.868191,0.21428402981322026,0.02147569908534489,0.08117678509366757,0.3169365139922327
2.870493,0.2241917329458,0.02228123632158993,0.08525724122259885,0.33173021048998874
2.872795,0.2342366719206276,0.023075825360991845,0.08948662966240181,0.3467991269440213
2.875096,0.24464349682930345,0.02387642915051128,0.09330103195443604,0.3618209579342508
2.877398,0.25492259729073874,0.024702984221436654,0.09725231701762746,0.3768778985298028
2.879699,0.2661908828329308,0.025524842380753403,0.10118335885409843,0.3928990840677827
2.882001,0.2771964727034933,0.02633963827729171,0.10509704935338048,0.4086331603341655
2.884303,0.28853677309359754,0.02709844293256746,0.10917172170324876,0.4248069377294138
2.886604,0.2995233401741455,0.027977576380924664,0.11302227261442666,0.4405231891694968
2.888906,0.3112676483902732,0.028839104858432264,0.11717791787117662,0.457284671119882
2.891208,0.32345083954745085,0.029645588235145237,0.12062264028476885,0.4737190680673649
2.893509,0.3341910162049532,0.030451666123086224,0.12488287554624106,0.4895255578742804
2.895811,0.34646252745862705,0.03125899426807413,0.12936578630163784,0.507087308028339
2.898112,0.35864662446294826,0.032085211431689534,0.13350745409231898,0.5242392899869568
2.900414,0.370559873171348,0.03285678898328226,0.13762646874833676,0.5410431309029671
2.902716,0.3822910466038942,0.03367151729835858,0.14196478502715915,0.5579273489294119
2.905017,0.3947142872541126,0.03442231355038797,0.14670651989562428,0.5758431207001249
2.907319,0.4061791416264551,0.035220957477509564,0.15083083634911645,0.5922309354530811
2.909621,0.4185770185566541,0.03589869816912275,0.155441954207076,0.6099176709328529
2.911922,0.4309513434611209,0.03650706648999845,0.16022851336327915,0.6276869233143986
2.9142240000000004,0.4433596376334709,0.0373665337329152,0.1650357977277914,0.6457619690941775
2.916525,0.4563173280983839,0.03804863342882705,0.1701795052411335,0.6645454667683445
2.918827,0.4692342554418373,0.03875631270810387,0.1753603253367964,0.6833508934867376
2.921129,0.4824319953997911,0.03944432578194024,0.1804423392068001,0.7023186603885314
2.92343,0.49773175365435296,0.04008479529726339,0.18568967276168727,0.7235062217133037
2.925732,0.5114766252870112,0.040741382991272265,0.19105846567689694,0.7432764739551805
2.928034,0.5269448711102735,0.041339546511386764,0.197035037375308,0.7653194549969682
2.930335,0.5403246863440809,0.04189118019491797,0.201983060363686,0.784198926902685
2.932637,0.5525336941448499,0.042560540785243815,0.20950390107191225,0.8045981360020059
2.9349380000000003,0.5641942115001991,0.04308791272391895,0.21547758088079172,0.8227597051049098
2.93724,0.5754434742523766,0.043638093406017264,0.22141029225464184,0.8404918599130357
2.939542,0.5851215451340663,0.04416921611583309,0.22824093532801934,0.8575316965779188
2.941843,0.5935789869898224,0.04448600421893294,0.2346488805482108,0.872713871756966
2.944145,0.6038254769540898,0.045082174085918615,0.2409888663644123,0.8898965174044208
2.946447,0.6125329326214656,0.04569530689986493,0.24702182990868735,0.9052500694300178
2.948748,0.6217689500971029,0.045905045967165284,0.2527583747759848,0.9204323708402528
