Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,d_NH3_CH3OH_50_10K_I10m_Baselined,CH3OH,all
2.85208,0.16651933640362404,3.580658930826169e-06,0.01205544438411425,0.1785783614466691
2.854382,0.1760052128515094,3.734596218675994e-06,0.013074025289769692,0.18908297273749775
2.8566830000000003,0.18464500598976788,3.8820655532548175e-06,0.014380433596291162,0.1990293216516123
2.858985,0.194949624629754,4.0385900224130406e-06,0.01587773261426783,0.21083139583404426
2.861286,0.20404178898526307,4.210637579421668e-06,0.017374534521016748,0.22142053414385926
2.863588,0.21407001378262136,4.399501814934898e-06,0.0188405155316453,0.2329149288160816
2.8658900000000003,0.22433486352438772,4.605182728952732e-06,0.02087867156541168,0.2452181402725284
2.868191,0.2351897842934908,4.836735456054568e-06,0.022918816044089043,0.2581134370730359
2.870493,0.24606409240047605,5.09804076820301e-06,0.02493758473997325,0.27100677518121746
2.872795,0.2570890252094689,5.365814033622451e-06,0.026931994985697816,0.2840263860092003
2.875096,0.2685111498894324,5.609009076612091e-06,0.028996995025762574,0.29751375392427154
2.877398,0.2797930892031709,5.799166902779523e-06,0.03139903647824042,0.3111979248483141
2.879699,0.2921607194383108,5.966040097171348e-06,0.03340985139448066,0.3255765368728886
2.882001,0.3042400251613569,6.1471427887593775e-06,0.035713464823864415,0.3399596371280101
2.884303,0.3166866960817088,6.364466018665012e-06,0.037718811516599435,0.3544118720643269
2.886604,0.3287451231331895,6.602486699037849e-06,0.039890193359402255,0.3686419189792908
2.888906,0.3416352172686925,6.837920198102288e-06,0.04193481183912935,0.38357686702802
2.891208,0.3550070121838832,7.057830609316323e-06,0.04405002011319665,0.3990640901276892
2.893509,0.36679501072746906,7.247988435483753e-06,0.04614335549324305,0.4129456142091476
2.895811,0.3802637423320706,7.404512904641977e-06,0.04767495518593432,0.4279461020309096
2.898112,0.3936365314697168,7.5597437831460004e-06,0.049822972801032976,0.4434670640145329
2.900414,0.40671204809316974,7.768011878472235e-06,0.051427150732975435,0.4581469668380237
2.902716,0.41958772600306804,8.035785143891676e-06,0.05346878654533605,0.473064548333548
2.905017,0.433222989868965,8.238878876601109e-06,0.05552384436084586,0.4887550731086874
2.907319,0.4458063663769476,8.229823742021707e-06,0.058111805412501424,0.503926401613191
2.909621,0.4594137920140907,8.044840278471078e-06,0.060391557502953275,0.5198133943573224
2.911922,0.47299536786739094,7.972399201835867e-06,0.06332849063648785,0.5363318309030807
2.9142240000000004,0.4866142270627724,8.290622502769118e-06,0.06592092568919312,0.5525434433744684
2.916525,0.5008360821774119,8.983987093420428e-06,0.06912132777343409,0.5699663939379394
2.918827,0.5150131972815544,9.837756925192562e-06,0.07173911549875453,0.5867621505372341
2.921129,0.5294985213469002,1.06967011195815e-05,0.07496685870052161,0.6044760767485413
2.92343,0.5462909386202242,1.170182105789506e-05,0.0788358753860835,0.6251385158273656
2.925732,0.5613767730486896,1.308466946723508e-05,0.08204572258365166,0.6434355803018085
2.928034,0.5783541156987358,1.5053514442927793e-05,0.08591672771412454,0.6642858969273033
2.930335,0.5930392784776365,1.7772641998056627e-05,0.08927173139019509,0.6823287825098296
2.932637,0.6064394087328088,2.13946958298172e-05,0.09315715274627266,0.6996179561749113
2.9349380000000003,0.6192375372911784,2.592873107278892e-05,0.09658920866264414,0.7158526746848952
2.93724,0.6315842888547529,3.123374634566397e-05,0.10041298822648097,0.7320285108275795
2.939542,0.6422065615692699,3.71376940914337e-05,0.10374462767484736,0.7459883269382087
2.941843,0.6514891195250064,4.323697402598768e-05,0.1077791823992493,0.7593115388982817
2.944145,0.6627352668303471,4.902191143157099e-05,0.1111958278675606,0.7739801166093392
2.946447,0.6722922301838005,5.408114448014799e-05,0.11463882023094253,0.7869851315592231
2.948748,0.6824293223400355,5.830601155676586e-05,0.11815041394375365,0.800638042295346
2.95105,0.6927418947596656,6.16564113511444e-05,0.12102819084118625,0.813831742012203
2.953351,0.7006037088264987,6.41763259455264e-05,0.12385227972602204,0.8245201648784664
2.955653,0.7101313426175148,6.60442708501915e-05,0.12661273837370612,0.8368101252620711
2.957955,0.7160892206820734,6.744264234738192e-05,0.1289829647076081,0.8451396280320288
2.960256,0.7215917448620148,6.843611996980768e-05,0.13132535281275615,0.8529855337947407
2.962558,0.7290762515069872,6.901952935485197e-05,0.13394363764930434,0.8630889086856465
2.96486,0.7334304487508309,6.916958587073921e-05,0.1362467539674604,0.8697463723041621
2.967161,0.7389061289244742,6.879832535298373e-05,0.13874175521952706,0.8777166824693541
2.969463,0.7426642898062482,6.780096695859538e-05,0.14041851139072073,0.8831506021639275
2.971764,0.7498336279328284,6.612059269878931e-05,0.14289611374981626,0.8927958622753435
2.974066,0.7552705334307072,6.381282697169614e-05,0.14538117277732798,0.9007155190350068
2.976368,0.7611558332560145,6.095399162591368e-05,0.1474188316998666,0.9086356189475071
2.978669,0.7663193275786321,5.769673035863757e-05,0.14964141599912742,0.9160184403081179
2.980971,0.7733773127901966,5.4282944622203225e-05,0.15208024368245865,0.9255118394172774
2.983273,0.7813171733197859,5.0948067915675105e-05,0.15487500300485732,0.9362431243925591
2.985574,0.7847855183557829,4.78499182988656e-05,0.15784822525801748,0.9426815935320992
2.987876,0.7933910108193271,4.511526765588637e-05,0.16078615261400755,0.9542222787009904
2.990177,0.8019925263930487,4.282819937926041e-05,0.1637454557527908,0.9657808103452188
2.992479,0.8070093729034805,4.095249293067011e-05,0.1675607844257559,0.974611109822167
2.994781,0.8146758222578087,3.942088159609707e-05,0.17053549801259932,0.9852507411520042
2.997082,0.8229542155334943,3.816997943348547e-05,0.17428769355964044,0.9972800790725684
2.999384,0.8286088557491266,3.7138987682087906e-05,0.17810749623365527,1.0067534909704638
3.001686,0.8363016519985254,3.626969476246537e-05,0.1818109748803771,1.018148896573665
3.003987,0.8441873274042903,3.555045835873005e-05,0.18500789718602384,1.0292307750486729
3.006289,0.850933623876057,3.500068233069496e-05,0.1887988674088293,1.0397674919672169
3.0085900000000003,0.8585344545483224,3.4633302584902106e-05,0.19266042742597494,1.0512295152768822
3.010892,0.8666925469068931,3.441986012695907e-05,0.19655131700555772,1.0632782837725778
3.013194,0.8739891455077767,3.4318960055931454e-05,0.2004427036963683,1.074466168164201
3.015495,0.883209067448817,3.429826260546425e-05,0.20438728128854786,1.0876306469999704
3.0177970000000003,0.8907139556541269,3.433318955312766e-05,0.20747235356795127,1.0982206424116314
3.020098,0.8984236536852691,3.440433703910866e-05,0.2115576136375835,1.1100156716598917
3.0224,0.906317282870678,3.448583325032328e-05,0.2147997730649553,1.1211515417688835
3.024702,0.9116090318900544,3.454275123910809e-05,0.21783761977772267,1.1294811944190162
3.027003,0.9154094472261872,3.454533842041649e-05,0.22057073730788065,1.136014729872488
3.029305,0.9235874240338676,3.4497475566211084e-05,0.22424389216970986,1.1478658136791435
3.031607,0.9306752359190972,3.441986012695907e-05,0.2269601079181244,1.1576697636973483
3.0339080000000003,0.9344622292520804,3.433448314378186e-05,0.2289604834985819,1.1634570472338062
3.03621,0.9394746017614628,3.4269803611071845e-05,0.23187106973704585,1.1713799413021195
3.038511,0.9445660149560564,3.425298693256725e-05,0.2339564513374483,1.1785567192804374
3.040813,0.9499890013395584,3.429955619611845e-05,0.23602691960101824,1.186050220496773
3.043115,0.9531580854164512,3.440045626714607e-05,0.2380814803053003,1.1912739661780187
3.045416,0.9588877894274734,3.454533842041649e-05,0.2397915429287531,1.1987138776946469
3.047718,0.961434490247226,3.4718679568079315e-05,0.24143548975891535,1.2029046986857097
3.05002,0.9647775632538306,3.490625021293834e-05,0.24300387568246,1.2078163451865036
3.052321,0.9675290738994152,3.509252726714317e-05,0.2446428514003448,1.2122070178270272
3.054623,0.971352853463252,3.5290446637235804e-05,0.24540641424616555,1.2167945581560549
3.056924,0.9709447251452712,3.5515531411066635e-05,0.24618339909513556,1.2171636397718175
3.059226,0.9739318665128082,3.577295595125249e-05,0.24704191018545615,1.2210095496542157
