Wavelength,d_NH3_CH3OH_50_10K_I10m_Baselined,CH3OH,H2O_CH3OH_CO_NH3_100K_NASA,all
2.85208,0.001359129337719326,0.011907603168002665,0.07225824872402951,0.0855249812297515
2.854382,0.0014175601148828374,0.012913692768070185,0.07725776278351586,0.09158901566646888
2.8566830000000003,0.0014735358173756134,0.01420408001500891,0.08238199463627556,0.09805961046866007
2.858985,0.0015329486244074187,0.015683016996660137,0.08742913714437417,0.10464510276544173
2.861286,0.0015982536106489904,0.017161462963377224,0.09328056211460584,0.11204027868863203
2.863588,0.0016699417910344752,0.018609466004177188,0.0981700888288432,0.11844949662405485
2.8658900000000003,0.001748013165563873,0.020622627234180527,0.10302917261716343,0.12539981301690786
2.868191,0.0018359048387762136,0.02263775252392045,0.10788874742041786,0.13236240478311453
2.870493,0.0019350898554739392,0.024631764171492043,0.11299677578035072,0.13956362980731668
2.872795,0.0020367299468424,0.026601716087290433,0.1172710607821017,0.14590950681623452
2.875096,0.0021290407544620653,0.02864139212373772,0.12218464722811224,0.15295508010631206
2.877398,0.002201219949781697,0.03101397628553677,0.12648986617071456,0.15970506240603302
2.879699,0.00226456087628668,0.033000131694162015,0.13092078493645845,0.16618547750690715
2.882001,0.002333302967067282,0.035275494898999935,0.13515038757920206,0.17275918544526925
2.884303,0.002415793476004004,0.03725624914334955,0.13910698591855986,0.1787790285379134
2.886604,0.0025061402238870808,0.03940100237570433,0.14321628990243734,0.1851234325020288
2.888906,0.0025955049419018627,0.04142054679985158,0.1474743714113615,0.19149042315311493
2.891208,0.0026789774807068787,0.04350981534464772,0.15138285028717285,0.19757164311252745
2.893509,0.0027511566760265115,0.0455774792323414,0.15523044331115,0.2035590792195179
2.895811,0.002810569483058317,0.047090296244448784,0.15909522185782224,0.20899608758532934
2.898112,0.0028694912751559753,0.04921197177489864,0.16368522946222985,0.21576669251228447
2.900414,0.002948544679553668,0.05079647696739152,0.1675804509348192,0.2213254725817644
2.902716,0.0030501847709221287,0.05281307530193387,0.17216211128534634,0.22802537135820236
2.905017,0.003127274115583232,0.05484293103969821,0.17620758332778472,0.23417778848306614
2.907319,0.003123837011044202,0.057399154786868314,0.18055502955472366,0.24107802135263615
2.909621,0.003053621875461159,0.059650949274867165,0.1849447030659992,0.24764927421632754
2.911922,0.0030261250391489182,0.06255186550580856,0.1896530452695363,0.2552310358144938
2.9142240000000004,0.0031469147129491192,0.06511250838738597,0.19446008147483693,0.262719504575172
2.916525,0.0034100987176519932,0.06827366253342536,0.19968300732936026,0.2713667685804376
2.918827,0.0037341685741891155,0.07085934717664427,0.20471149126996124,0.27930500702079464
2.921129,0.004060202490462827,0.07404750714406175,0.20958137738683275,0.2876890870213573
2.92343,0.004441721094295167,0.07786907637652908,0.21466976514939973,0.296980562620224
2.925732,0.004966616058898477,0.08103955980631725,0.2201175758437624,0.3061237517089781
2.928034,0.0057139407886704465,0.08486309309852114,0.22595427036596966,0.3165313042531612
2.930335,0.006746054180247767,0.0881769528890803,0.2304907573425552,0.3254137644118833
2.932637,0.0081208959958598,0.09201472561437446,0.23756726457348398,0.33770288618371824
2.9349380000000003,0.00984190334004558,0.09540469271972643,0.2431898765844031,0.3484364726441751
2.93724,0.011855555584983064,0.09918157959318634,0.24892198492563694,0.3599591201038064
2.939542,0.014096547744430681,0.10247236168184057,0.2549899474818275,0.3715588569080988
2.941843,0.016411683158934518,0.1064574388873789,0.26107214947110835,0.38394127151742174
2.944145,0.0186075019444406,0.1098321845297723,0.2668533593057569,0.3952930457799698
2.946447,0.02052786135189012,0.11323295396367547,0.2724867736452273,0.4062475889607928
2.948748,0.022131516126814733,0.11670148345849098,0.27871529808488393,0.4175482976701896
2.95105,0.02340324480625586,0.11954396891226887,0.2845141844571618,0.4274613981756865
2.953351,0.02435974189797452,0.12233342475315885,0.2902349994549103,0.4369281661060437
2.955653,0.025068767462883012,0.125060030682478,0.2941621368982193,0.4442909350435803
2.957955,0.02559955460669609,0.12740118988849164,0.3007289706275033,0.453729715122691
2.960256,0.025976654076121104,0.12971485225819304,0.30589395671979724,0.4615854630541114
2.962558,0.026198101811421463,0.13230102791634613,0.30949456923189833,0.4679936989596659
2.96486,0.026255059543782544,0.1345759001062499,0.3159469964815261,0.4767779561315585
2.967161,0.026114138257682308,0.13704030406073447,0.3213540529363545,0.4845084952547714
2.969463,0.02573556574345485,0.1386964974336128,0.3262023343961236,0.4906343975731913
2.971764,0.025097737343997697,0.14114371586540225,0.3313933442799273,0.4976347974893273
2.974066,0.02422176670147917,0.14359829952120387,0.33665113219477505,0.5044711984174581
2.976368,0.02313662369701396,0.14561096973627305,0.3408198489856844,0.5095674424189715
2.978669,0.02190024809283142,0.14780629750684496,0.3452360373034039,0.5149425829030803
2.980971,0.02060445968161708,0.15021521677377095,0.35066126131079584,0.5214809377661839
2.983273,0.019338623181385715,0.15297570273354624,0.3550612461356885,0.5273755720506205
2.985574,0.018162642414103272,0.15591246305468034,0.3600116587017601,0.5340867641705438
2.987876,0.017124636843316186,0.15881436131549004,0.3647028153826021,0.5406418135414083
2.990177,0.016256522439744018,0.1617373732184681,0.3693576369583171,0.5473515326165292
2.992479,0.01554455078523064,0.1655059128380475,0.3738798845018124,0.5549303481250905
2.994781,0.014963189103200412,0.16844414620398407,0.3784880596587834,0.5618953949659679
2.997082,0.01448837766188011,0.1721503269269268,0.3830947617709521,0.5697334663597591
2.999384,0.01409703875936483,0.17592328568091353,0.38671746995508977,0.5767377943953681
3.001686,0.013767076723617941,0.17958134694030986,0.3917022535665517,0.5850506772304794
