Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,d_NH3_CH3OH_50_10K_I10m_Baselined,CO_CH3OH_10K,all
2.85208,0.1597138287342028,0.0013197677370072704,0.00347583338250831,0.1645094298537184
2.854382,0.16881202525066696,0.001376506306625719,0.0037395008530881593,0.17392803241038085
2.8566830000000003,0.1770987171831765,0.0014308609027307872,0.004031299211125892,0.1825608772970332
2.858985,0.18698219457494805,0.0014885530617545874,0.0043631483241884155,0.19283389596089104
2.861286,0.1957027696868928,0.0015519667572105006,0.0047326642187623435,0.20198740066286566
2.863588,0.20532114922397648,0.001621578783801202,0.005136032537226271,0.21207876054500396
2.8658900000000003,0.215166483039534,0.001697389141526692,0.005569438921958788,0.22243331110301948
2.868191,0.2255777721671679,0.0017827353933057024,0.0060281154259331365,0.2333886229864067
2.870493,0.2360076562882062,0.001879047923246262,0.0065068173074198776,0.2443935215188723
2.872795,0.24658200920415535,0.001977744426700201,0.006998392645878871,0.25555814627673445
2.875096,0.2575373210875427,0.0020673818308032965,0.007493305547256598,0.2670980084656025
2.877398,0.26835817686477537,0.002137470652096674,0.007984404091012916,0.27848005160788497
2.879699,0.2802203522726525,0.002198977168741883,0.008476933018877263,0.2908962624602716
2.882001,0.2918059867529775,0.002265728427116528,0.008980428224903155,0.30305214340499714
2.884303,0.3037439725185801,0.002345829937166102,0.0094948897090906,0.3155846921648368
2.886604,0.3153095816213927,0.002433560162458493,0.010007444014467341,0.32775058579831856
2.888906,0.3276728682617824,0.0025203367983455322,0.010502356915845069,0.3406955619759729
2.891208,0.3404981689690651,0.002601391897800458,0.010973906876791669,0.3540734677436572
2.893509,0.35180440175362193,0.002671480719093836,0.011425431460225876,0.3659013139329417
2.895811,0.3647226774279265,0.002729172878117636,0.011858837844958392,0.37931068815100255
2.898112,0.37754893172461457,0.0027863882424387604,0.01227174205747584,0.3926070620245292
2.900414,0.3900900627891024,0.002863152189569602,0.012657945766643431,0.40561116074531545
2.902716,0.4024395223831144,0.0029618486930235413,0.01301554179365046,0.4184169128697884
2.905017,0.4155175242828154,0.00303670546134368,0.013353589237847768,0.4319078189820068
2.907319,0.427586628591654,0.0030333678984249468,0.013683531172099587,0.4443035276621785
2.909621,0.4406379299880051,0.0029651862559422737,0.014008228364621969,0.4576113446085693
2.911922,0.453664438059817,0.002938485752592416,0.014316237742550688,0.4709191615549602
2.9142240000000004,0.4667267057343298,0.0030557772494507213,0.014596116233021518,0.4843785992168021
2.916525,0.4803673253831886,0.003311339210085077,0.014837851147278272,0.4985165157405519
2.918827,0.4939650335088066,0.003626023713851261,0.015029999412456715,0.5126210566351145
2.921129,0.5078583543500835,0.00394261539642815,0.015163978723908681,0.5269649484704204
2.92343,0.5239644794064799,0.004313084880407431,0.015242649849850225,0.5435202141367376
2.925732,0.5384337682485897,0.004822778417568114,0.015270780737308113,0.5585273274034659
2.928034,0.5547172609343818,0.005548459955041042,0.015253139333309103,0.5755188602227319
2.930335,0.5688022532461345,0.006550682420066073,0.015193539995474598,0.5905464756616752
2.932637,0.5816547312514698,0.007885707587558976,0.01509579708142601,0.6046362359204549
2.9349380000000003,0.5939298108718644,0.009556873020438486,0.014967062511703481,0.6184537464040063
2.93724,0.6057719609022292,0.011512208096112914,0.014818302564468555,0.6321024715628106
2.939542,0.6159601101090106,0.013688299119126343,0.014660006723180113,0.6443084159513172
2.941843,0.6248632975920804,0.015936386142243863,0.014499803703080962,0.6552994874374053
2.944145,0.6356498241507202,0.018068612052611097,0.014344368630008575,0.6680628048333399
2.946447,0.6448162023096671,0.01993335613477708,0.014196562272179003,0.6789461207166232
2.948748,0.6545389998866369,0.02149056763371702,0.014044941556728023,0.6900745090770819
2.95105,0.6644301059936513,0.022725465913647956,0.013878063410791409,0.7010336353180907
2.953351,0.6719706142164729,0.023654261994460874,0.013695451039666488,0.7093203272506002
2.955653,0.6811088614879617,0.024342753545125072,0.013517606615568323,0.7189692216486551
2.957955,0.6868232459995339,0.02485816861871787,0.013364078721306644,0.7250454933395586
2.960256,0.692100886563455,0.025224346950373063,0.013236774535692141,0.7305620080495202
2.962558,0.6992795076069455,0.02543938136127995,0.01312377419115792,0.7378426631593834
2.96486,0.7034557524076849,0.025494689546790374,0.01301411140954243,0.7419645533640177
2.967161,0.7087076460576613,0.025357849467122356,0.01290254144911624,0.7469680369739
2.969463,0.7123122140098922,0.024990240751359128,0.012784773157555256,0.7500872279188066
2.971764,0.7191885472118861,0.024370884432582958,0.012660806534859487,0.7562202381793284
2.974066,0.7244032508750542,0.023520282683008903,0.01253779350156907,0.7604613270596319
2.976368,0.7300480233600355,0.022466566390094863,0.012424316362332172,0.7649389061124626
2.978669,0.7350004899367316,0.0212659973287566,0.012317514348932737,0.7685840016144209
2.980971,0.7417700211253259,0.02000773610839454,0.012205467593803872,0.7739832248275244
2.983273,0.7493853861164675,0.018778559364895718,0.012076256229378666,0.7802402017107419
2.985574,0.7527119827570382,0.01763663605198661,0.011927496282143742,0.7822761150911686
2.987876,0.7609657758550631,0.01662869205052947,0.011760141341504451,0.7893546092470971
2.990177,0.7692157545954665,0.015785719016198234,0.011577052175676856,0.7965785257873416
2.992479,0.7740275667348729,0.01509436669731798,0.011385857499903763,0.8005077909320948
2.994781,0.7813806946395431,0.014529841769349553,0.011194186029427995,0.8071047224383207
2.997082,0.789320756823207,0.014068781291861824,0.011005375327168285,0.8143949134422371
2.999384,0.7947442965661469,0.013688775913829023,0.010812273472584491,0.8192453459525604
