Wavelength,CO_NH3_10K,H2O_CH4_10_0.6_a_V3,H2O_CH3OH_CO_NH3_120K_NASA,all
2.85208,0.00015537429810245345,0.23937736288928435,0.055575506105346985,0.2951082432927338
2.854382,0.0001677448632379991,0.2493143904513655,0.05913229099311908,0.30861442630772257
2.8566830000000003,0.00017714649274101383,0.2595448478184617,0.06296568171732196,0.3226876760285247
2.858985,0.0001796206057681229,0.26976639837866034,0.06711724337681109,0.3370632623612396
2.861286,0.00017863096055727927,0.2806628869726544,0.07093925318108928,0.3517807711143009
2.863588,0.00017714649274101383,0.2920631049789679,0.0749888813838615,0.3672291328555704
2.8658900000000003,0.00017813613795185745,0.3028279707599197,0.07917854438396811,0.3821846512818397
2.868191,0.0001811050735843884,0.3144845068758416,0.08333950767296024,0.3980051196223862
2.870493,0.0001845688318223412,0.3262805829664925,0.08752867585046142,0.4139938276487763
2.872795,0.00018704294484945026,0.3379163365329868,0.09187074421303797,0.4299741236908742
2.875096,0.0001865481222440285,0.3496401685232461,0.09578677031234628,0.4456134869578364
2.877398,0.00018209471879523204,0.36174402427446944,0.09984332603159443,0.4617694450248591
2.879699,0.00017665167013559196,0.3737790996835391,0.10387909920141483,0.4778348505550895
2.882001,0.00017714649274101383,0.3857107571680756,0.10789705875744003,0.4937849624182567
2.884303,0.00018506365442776302,0.3968224935954281,0.11208028906367616,0.5090878463135321
2.886604,0.00019397046132535583,0.4096962933206877,0.11603342685839113,0.5259236906404042
2.888906,0.00019842386477415233,0.42231229046852253,0.12029978736233812,0.5428105016956349
2.891208,0.0002004031551958396,0.43412222159212543,0.1238362845232879,0.5581589092706092
2.893509,0.00021128925251511974,0.44592621484446304,0.12821002153261146,0.5743475256295896
2.895811,0.00023850449581332026,0.4577485165332013,0.13281236658563986,0.5907993876146544
2.898112,0.00026720420692778616,0.4698474240583704,0.1370643772340296,0.6071790054993278
2.900414,0.00027165761037658263,0.4811462034305724,0.1412931312199645,0.6227109922609134
2.902716,0.0002479061253163349,0.493076871269898,0.1457470294913664,0.6390718068865807
2.905017,0.00025780257742477147,0.5040713347397656,0.15061509428350633,0.6549442316006968
2.907319,0.0003740858896989005,0.5157664670189105,0.15484929131810085,0.6709898442267103
2.909621,0.0005819113839760676,0.525691124015856,0.1595832591841715,0.6858562945840037
2.911922,0.0007456976663706923,0.5345999102038705,0.16449734247861564,0.6998429503488568
2.9142240000000004,0.0007377805046839428,0.5471857231727746,0.16943270314509296,0.7173562068225515
2.916525,0.0006170437889610172,0.5571742122858196,0.17471344999015465,0.7325047060649352
2.918827,0.0005660770606025692,0.5675372821111689,0.18003229817583388,0.7481356573476055
2.921129,0.0007377805046839428,0.5776123651801629,0.1852497077274016,0.7635998534122486
2.92343,0.0011336385890214039,0.5869912328433281,0.19063684143262905,0.7787617128649785
2.925732,0.001707632811310722,0.5966061308892796,0.19614867043442274,0.7944624341350129
2.928034,0.002421661830934417,0.6053654806504567,0.2022844707416534,0.8100716132230446
2.930335,0.003247025936778024,0.6134434596839681,0.20736431960891388,0.82405480522966
2.932637,0.004156015062937919,0.6232454006747691,0.21508553154391605,0.8424869472816231
2.9349380000000003,0.005099641771477342,0.6309680970775875,0.22121836291551414,0.8572861017645791
2.93724,0.006010115365453501,0.6390247987390656,0.2273091343656514,0.8723440484701704
2.939542,0.00682558301918867,0.6468024204510859,0.2343217603296896,0.8879497637999642
2.941843,0.0075381275709961015,0.6514413823769155,0.2409004268687727,0.8998799368166843
2.944145,0.008167541925092663,0.6601715376043727,0.2474093234204914,0.9157484029499569
2.946447,0.008768256568074761,0.6691500937797519,0.2536030179725564,0.9315213683203832
2.948748,0.00951890246049967,0.6722214576916051,0.25949239662228696,0.9412327567743918
2.95105,0.010617408644536126,0.6810980804102673,0.2664763228752107,0.958191811930014
2.953351,0.01215531730218716,0.6875406707328595,0.2724250802375918,0.9721210682726384
2.955653,0.014066322204326251,0.6943335954600903,0.2766162277055147,0.9850161453699312
2.957955,0.016257891523739524,0.6989814641928175,0.2843240794301705,0.9995634351467276
2.960256,0.018459357295261224,0.7057828009043405,0.2892584504514369,1.0135006086510387
2.962558,0.020278325192791862,0.7098462841400646,0.2942517053627486,1.0243763146956049
2.96486,0.021370893505563253,0.7159558588492079,0.30143405548044644,1.0387608078352175
2.967161,0.021657890616707916,0.7203553266340134,0.3066173222722401,1.0486305395229614
2.969463,0.02114278028446379,0.7236998326240595,0.3126625700426785,1.0575051829512017
2.971764,0.019904734125698383,0.7295288429159285,0.3177127295536137,1.0671463065952405
2.974066,0.018191163443122597,0.7351049988564271,0.3227579408384946,1.0760541031380442
2.976368,0.016266798330637114,0.7394713135266693,0.3279149820322009,1.0836530938895073
2.978669,0.014298888828874513,0.7444645684379809,0.3330670749998529,1.0918305322667083
2.980971,0.012355225634777577,0.7496582265044884,0.33818156144949285,1.1001950135887588
2.983273,0.01049964086444573,0.7535900869271702,0.3435251507654432,1.1076148785570592
2.985574,0.008803883795665131,0.7556079735120804,0.3487227674127941,1.1131346247205396
2.987876,0.007343167464459901,0.7618862827296726,0.3534849401673737,1.1227143903615062
2.990177,0.006171922357426438,0.7671125990881379,0.3587107617032336,1.1319952831487978
2.992479,0.005272334860769558,0.7699662410536057,0.3640573199548165,1.1392958958691917
2.994781,0.00461174668253142,0.7744171703893749,0.3687640725775889,1.1477929896494952
2.997082,0.004153046127305388,0.7777067510702191,0.3736682594199246,1.1555280566174488
2.999384,0.0038526888058143392,0.7819790494454313,0.37794303190816375,1.1637747701594094
