Wavelength,d_NH3_CH3OH_50_10K_I10m_Baselined,H2O_CH4_10_0.6_a_V3,H2O_CH3OH_CO_NH3_100K_NASA,all
2.85208,0.0013783113375936615,0.2408877911559466,0.07327806168772429,0.3155441641812646
2.854382,0.0014375667744338518,0.2508875195813642,0.07834813612391603,0.33067322247971404
2.8566830000000003,0.001494332487037059,0.26118252930128794,0.08354468855134645,0.34622155033967145
2.858985,0.0015545838135720418,0.2714685760139585,0.08866306363773563,0.3616862234652662
2.861286,0.0016208104782757837,0.2824338194984781,0.09459707238416036,0.3786517023609142
2.863588,0.0016935104259956804,0.2939059708376473,0.09955560717453524,0.3951550884381783
2.8658900000000003,0.0017726836567317327,0.3047387609927593,0.10448326938437154,0.41099471403386256
2.868191,0.001861815784415716,0.3164688477628799,0.10941142953905526,0.4277420930863509
2.870493,0.00196240064358982,0.3283393549799664,0.1145915497865216,0.4448933054100778
2.872795,0.0020654752270009057,0.3400485280664964,0.1189261596831086,0.4610401629766059
2.875096,0.0021590888583114588,0.35184633533586296,0.12390909377100592,0.4779145179651803
2.877398,0.002232286750878752,0.3640265642480301,0.12827507419297893,0.4945339251918878
2.879699,0.0022965216361929075,0.3761375788264091,0.1327685284958854,0.5112026289584874
2.882001,0.002366233914828425,0.3881445229316821,0.1370578254113593,0.5275685822578698
2.884303,0.0024498886491910463,0.3993263724248192,0.14107026499168074,0.5428465260656911
2.886604,0.002541510501112012,0.4122814035195353,0.14523756541954252,0.5600604794401898
2.888906,0.0026321364633381853,0.4249770053487579,0.14955574313616546,0.5771648849482616
2.891208,0.002716787087395599,0.4368614550215715,0.15351938412144198,0.5930976262304091
2.893509,0.002789984979962893,0.4487399293562162,0.15742127994564142,0.6089511942818205
2.895811,0.002850236306497876,0.4606368276502147,0.1613406038394997,0.6248276677962122
2.898112,0.0029099896881854613,0.4728120771139078,0.16599539227296267,0.6417174590750561
2.900414,0.0029901588086163073,0.4841821497593608,0.16994558874735952,0.6571178973153365
2.902716,0.003093233392027394,0.49618809797493896,0.1745919121184168,0.6738732434853831
2.905017,0.003171410733068653,0.5072519345392431,0.17869447971611696,0.6891178249884288
2.907319,0.003167925119136877,0.5190208610074607,0.18310328339496607,0.7052920695215636
