Wavelength,CO_NH3_10K,H2O_CH3OH_CO_NH3_120K_NASA,CH3OH,all
2.85208,0.00014793524111544347,0.05291464544789784,0.01142540615379178,0.06448798684280506
2.854382,0.0001597135246437431,0.056301137527954535,0.012390754271771222,0.06885160532436951
2.8566830000000003,0.00016866502012525086,0.059950992027704035,0.01362888743626608,0.07374854448409537
2.858985,0.00017102067683091082,0.0639037839798014,0.015047935035755619,0.07912273969238792
2.861286,0.00017007841414864682,0.06754280245870486,0.016466511503904033,0.08417939237675755
2.863588,0.00016866502012525086,0.07139854135452903,0.017855877828902255,0.08942308420355652
2.8658900000000003,0.00016960728280751482,0.07538761041989356,0.0197875163275434,0.09534473403024447
2.868191,0.00017243407085430675,0.07934935386747241,0.02172103935154906,0.10124282728987577
2.870493,0.00017573199024223065,0.08333795180149581,0.023634303727886056,0.1071479875196241
2.872795,0.00017808764694789055,0.087472129319929,0.025524482668507584,0.11317469963538447
2.875096,0.00017761651560675856,0.09120066275364752,0.02748156225956985,0.11885984152882413
2.877398,0.00017337633353657072,0.09506299748824754,0.029758068899919606,0.12499444272170372
2.879699,0.00016819388878411886,0.09890554470652,0.03166379517479849,0.1307375337701026
2.882001,0.00016866502012525086,0.10273113119651173,0.033847017809604106,0.1367468140262411
2.884303,0.00017620312158336265,0.10671407555444153,0.035747561639730537,0.14263784031575544
2.886604,0.00018468348572373835,0.11047794383874496,0.03780546333779506,0.14846809066226374
2.888906,0.00018892366779392624,0.11454003826198494,0.03974322654387091,0.1544721884736498
2.891208,0.00019080819315845415,0.11790721395705525,0.04174789040038751,0.1598459125506012
2.893509,0.00020117308266335784,0.12207154388132087,0.0437318244778943,0.16600454144187854
2.895811,0.00022708530642561708,0.12645353648518945,0.04518338013992195,0.17186400193153706
2.898112,0.00025441092421127224,0.13050196809953662,0.04721913866495326,0.17797551768870115
2.900414,0.00025865110628146013,0.13452825654085054,0.048739479502786176,0.1835263871499182
2.902716,0.0002360368019071248,0.1387689097423796,0.05067441592081524,0.18967936246510195
2.905017,0.0002454594287297645,0.14340389987643604,0.05262207288505487,0.1962714321902207
2.907319,0.0003561752938957811,0.14743537076250246,0.05507478264698799,0.2028663287033862
2.909621,0.0005540504571712151,0.15194268430311214,0.057235390977419275,0.20973212573770267
2.911922,0.0007099949310859023,0.1566214896518939,0.06001883494082705,0.21735031952380685
2.9142240000000004,0.0007024568296277906,0.16132055364834433,0.06247578488483035,0.22449879536280248
2.916525,0.0005875007823915861,0.16634846732090486,0.06550892845903808,0.2324448965623345
2.918827,0.0005389742542549916,0.1714126581067326,0.06798990610143911,0.2399415384624267
2.921129,0.0007024568296277906,0.17638026696762826,0.0710489618994091,0.2481316856966652
2.92343,0.001079361902533379,0.1815094738785322,0.07471577712743932,0.2573046129085049
2.925732,0.0016258742582464822,0.18675740588740136,0.07775787219712857,0.2661411523427764
2.928034,0.002305716783499937,0.192599434517438,0.08142657195052333,0.2763317232514613
2.930335,0.0030915638605080896,0.19743606886549894,0.0846062373718231,0.2851338700978302
2.932637,0.003957032134167547,0.20478760231252247,0.08828859993411071,0.2970332343808007
2.9349380000000003,0.004855479601706244,0.21062680415451224,0.09154129071328594,0.3070235744695045
2.93724,0.0057223612693890966,0.2164259598325059,0.09516523298927318,0.3173135540911682
2.939542,0.006498785719574609,0.22310283319902846,0.09832275523753974,0.3279243741561428
2.941843,0.007177214850804668,0.22936652437937816,0.10214645720216692,0.33869019643234977
2.944145,0.0077764939167245545,0.2355637860406283,0.10538454290976708,0.3487248228671199
2.946447,0.008348447364858786,0.2414609370375773,0.1086475985784472,0.3584569829808833
2.948748,0.009063153609356008,0.24706834225973026,0.11197567037220353,0.36810716624128975
2.95105,0.010109065186669016,0.2537178900084671,0.11470304970601662,0.3785300049011528
2.953351,0.011573341394907228,0.2593818309915558,0.11737954685498744,0.3883347192414505
2.955653,0.013392850634358956,0.2633723134509437,0.11999573919229335,0.3967609032775961
2.957955,0.015479491344232519,0.27071112635175665,0.12224209342681065,0.40843271112279983
2.960256,0.017575554680928723,0.2754092480855249,0.12446206430622456,0.4174468670726781
2.962558,0.019307433490929903,0.2801634344488877,0.12694351307996676,0.4264143810197844
2.96486,0.02034769149214933,0.2870019058654185,0.12912626458343124,0.4364758619409991
2.967161,0.02062094767000588,0.29193700666377603,0.13149087278457267,0.4440488271183546
2.969463,0.02013049994388748,0.2976928182583855,0.13307999879821086,0.4509033170004839
2.971764,0.01895172932837525,0.3025011847259785,0.13542811740241267,0.4568810314567665
2.974066,0.017320201494035185,0.3073048398801603,0.13778330297673144,0.4624083443509269
2.976368,0.015487971708372896,0.3122149707174379,0.13971447034403148,0.4674174127698423
2.978669,0.013614282364690991,0.3171203902413041,0.14182089857023256,0.4725555711762276
2.980971,0.011763678456724548,0.3219900037832442,0.1441322689298261,0.4778859511697949
2.983273,0.009996935927479602,0.3270777511361286,0.1467809693296701,0.4838556563932783
2.985574,0.008382368821420287,0.33202651474337896,0.14959880588098054,0.4900076894457798
2.987876,0.006991589102398667,0.3365606827704332,0.15238319210707055,0.4959354639799024
2.990177,0.005876421217939257,0.3415363008641281,0.15518783698082927,0.5026005590628966
2.992479,0.005019904439761307,0.3466268750050592,0.15880377002401727,0.5104505494688377
2.994781,0.004390944099350106,0.3511082763219066,0.16162301996935105,0.5171222403906077
2.997082,0.003954205346120756,0.35577765904386577,0.1651791193322153,0.5249109837222018
2.999384,0.00366822862205364,0.35984776269990504,0.16879929255747345,0.532315283879432
3.001686,0.0034915543691291452,0.3651074729923025,0.17230922104890675,0.5409082484103384
3.003987,0.003397328100902748,0.3701259640380403,0.17533906670372654,0.5488623588426697
3.006289,0.003366704563729169,0.3747190234827361,0.1789319143111991,0.5570176423576644
3.0085900000000003,0.0033921456561502965,0.37941149164041066,0.1825916625691124,0.5653952998656733
