Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,H2O_CH4_10_0.6_a_V3,CH3OH,all
2.85208,0.1647892398519978,0.07530142110543211,0.01193019116603318,0.2520208521234631
2.854382,0.1741765602853921,0.07842733195997956,0.012938189256800656,0.26554208150217234
2.8566830000000003,0.1827265880147912,0.0816455476216551,0.014231024289761569,0.2786031599262078
2.858985,0.19292414410240413,0.08486096145107379,0.01571276672479897,0.2934978722782769
2.861286,0.2019218430190157,0.08828869190262191,0.01719401721347679,0.3074045521351144
2.863588,0.2118458769307054,0.09187488153402908,0.018644767027861026,0.32236552549259545
2.8658900000000003,0.2220040773095525,0.09526120713111501,0.02066174710211512,0.3379270315427826
2.868191,0.23274621801721398,0.09892802726858008,0.022680694961807503,0.3543549402476016
2.870493,0.2435075446328989,0.102638742778069,0.024678489128038203,0.3708247765390062
2.872795,0.2544179309955349,0.1062990253069348,0.026652177922649768,0.3873691342251195
2.875096,0.2657213824994706,0.1099870148436738,0.028695723100320876,0.4044041204434653
2.877398,0.2768861051300064,0.11379454922337127,0.031072807909783264,0.42175346226316096
2.879699,0.2891252386098521,0.11758044723175208,0.03306273093426078,0.439768416775865
2.882001,0.3010790432011449,0.12133381285448397,0.03534241036452747,0.4577552664201563
2.884303,0.3133963961521629,0.12482925425223905,0.03732692197904968,0.4755525723834517
2.886604,0.32532953899635353,0.12887899146480558,0.03947574367766965,0.4936842741388288
2.888906,0.3380857081001117,0.13284763119927134,0.041499119054598216,0.5124324583539813
2.891208,0.3513185732262973,0.13656270511449314,0.043592350814586296,0.5314736291553768
2.893509,0.3629840972508796,0.14027591114154367,0.04566393693475312,0.5489239453271764
2.895811,0.37631289191718215,0.1439948764904555,0.04717962366860114,0.5674873920762388
2.898112,0.3895467409360869,0.14780085429667694,0.049305323888321116,0.586652919121085
2.900414,0.4024864060319663,0.15135513417182567,0.050892834790666974,0.6047343749944589
2.902716,0.4152283086912968,0.15510818847986238,0.05291325848943808,0.6232497556605973
2.905017,0.4287219053880567,0.15856673908623573,0.0549469647399177,0.6422356092142101
2.907319,0.4411745435879577,0.1622457004968138,0.057508037487860826,0.6609282815726324
2.909621,0.4546405912885814,0.1653677199176712,0.059764103492867975,0.6797724146991205
2.911922,0.4680810577785072,0.16817017480390126,0.06267052258523216,0.6989217551676407
2.9142240000000004,0.4815584202454012,0.17212931944016324,0.06523602285041145,0.7189237625359759
2.916525,0.4956325136464586,0.17527141865886134,0.06840317351334996,0.7393071058186701
2.918827,0.5096623318751544,0.1785313504896943,0.07099376304286753,0.7591874454077162
2.921129,0.5239971568467859,0.1817006897442228,0.07418797075558263,0.7798858173465915
2.92343,0.5406151048732015,0.18465101911067489,0.07801678927214838,0.8032829132560249
2.925732,0.5555442010471988,0.1876755970319333,0.08119328691591879,0.8244130849950508
2.928034,0.5723451531193758,0.19043104339918748,0.08502407321792284,0.8478002697364861
2.930335,0.5868777405275564,0.19297214959879347,0.0883442191986889,0.8681941093250387
2.932637,0.6001386465962377,0.1960555659974455,0.09218927194512062,0.8883834845388038
2.9349380000000003,0.6128038056234747,0.19848491022147308,0.09558566961162067,0.9068743854565684
2.93724,0.6250222773562184,0.20101932315513213,0.0993697210094652,0.9254113215208156
2.939542,0.6355341871675992,0.2034659453447436,0.10266674551133127,0.941666878023674
2.941843,0.6447203015399278,0.2049252329785142,0.10665938216563524,0.9563049166840772
2.944145,0.6558496040325741,0.2076714955622599,0.11004052949498852,0.9735616290898224
2.946447,0.6653072727953875,0.21049589813450187,0.11344774998139917,0.9892509209112884
2.948748,0.6753390429598239,0.2114620632910688,0.11692285906543112,1.0037239653163241
2.95105,0.6855444701891901,0.21425440044970467,0.11977073654100599,1.0195696071799007
2.953351,0.6933246018658556,0.2162810591154853,0.12256548380974686,1.032171144791088
2.955653,0.7027532457934541,0.2184179231833684,0.12529726194446222,1.0464684309212848
2.957955,0.7086492229129506,0.21988001264939588,0.12764286218691187,1.0561720977492584
2.960256,0.714094577167077,0.22201952289218815,0.12996091343322533,1.0660750134924906
2.962558,0.7215013215568258,0.22329778103069745,0.1325519949091025,1.0773510974966256
2.96486,0.7258102797203358,0.22521968230154185,0.13483118239300962,1.0858611444148871
2.967161,0.7312290688710453,0.22660363177907306,0.13730026117171235,1.0951329618218308
