Wavelength,CO_NH3_10K,H2O_CH3OH_CO_NH3_120K_NASA,H2O_CH3OH_CO_NH3_100K_NASA,all
2.85208,0.00015530455068661693,0.055550558298779286,0.0727859012216345,0.1284917640711004
2.854382,0.00016766956268395903,0.059105746548255074,0.077821923307912,0.13709533941885105
2.8566830000000003,0.00017706697180193903,0.06293741646599146,0.08298357391608248,0.14609805735387588
2.858985,0.00017953997420140747,0.06708711449229947,0.08806757224890968,0.15533422671541056
2.861286,0.0001785507732416201,0.0709074085989983,0.09396172616780273,0.16504768554004262
2.863588,0.00017706697180193903,0.07495521892644821,0.09888695774658404,0.17401924364483418
2.8658900000000003,0.00017805617276172642,0.07914300118970805,0.10378152409561192,0.1831025814580817
2.868191,0.0001810237756410885,0.08330209662513402,0.10867658504511972,0.19215970544589486
2.870493,0.00018448597900034435,0.08748938428791396,0.11382191383745373,0.20149578410436805
2.872795,0.00018695898139981272,0.09182950349898104,0.11812741101492825,0.2101438734953091
2.875096,0.00018646438091991904,0.09574377169685966,0.12307687801722432,0.2190071140950039
2.877398,0.00018201297660087588,0.09979850643102807,0.1274135350249322,0.2273940544325612
2.879699,0.00017657237132204538,0.10383246794504096,0.1318768097554928,0.2358858500718558
2.882001,0.00017706697180193903,0.1078486238417777,0.13613729828929694,0.2441629891028766
2.884303,0.00018498057948023803,0.11202997629879888,0.1401227889562803,0.2523377458345594
2.886604,0.00019388338811832432,0.11598133953266955,0.14426210037251053,0.2604373232932984
2.888906,0.00019833479243736748,0.1202457848703129,0.14855127573414856,0.2689953953968988
2.891208,0.00020031319435694225,0.12378069450011304,0.1524882955541023,0.2764693032485723
2.893509,0.00021119440491460328,0.12815246814189335,0.15636398491454925,0.28472764746135715
2.895811,0.00023839743130875596,0.1327527472053845,0.1602569852917924,0.29324812992848565
2.898112,0.0002670842591425896,0.13700284912911093,0.16488051057783856,0.3021504439660921
2.900414,0.0002715356634616328,0.14122970483028235,0.16880417618483515,0.31030541667857914
2.902716,0.0002477948404267359,0.14568160374980546,0.17341929326272312,0.3193486918529553
2.905017,0.0002576868500246096,0.15054748327099948,0.17749430661656718,0.3282994767375913
2.907319,0.00037391796279962543,0.1547797795774497,0.18187349926554586,0.3370271968057952
2.909621,0.0005816501643549731,0.15951162236859262,0.18629522755579545,0.34638850008874295
2.911922,0.0007453629231997826,0.16442349973441678,0.19103795155749595,0.3562068142151125
2.9142240000000004,0.0007374493155214836,0.1693566449208764,0.19588009025565511,0.36597418449205293
2.916525,0.0006167667984274246,0.1746350212423018,0.20114115556028425,0.3763929436010135
2.918827,0.0005658229489983751,0.17995148180067902,0.20620635907487547,0.3867236638245529
