Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,H2O_CH4_10_0.6_a_V3,H2O_CH3OH_CO_NH3_100K_NASA,all
2.85208,0.15673329903832098,0.01898825483665173,0.0722800276049854,0.2480015814799581
2.854382,0.1656617078469128,0.019776494833074868,0.07728104853494623,0.2627192512149339
2.8566830000000003,0.1737937561171846,0.0205880107142644,0.08240682484854579,0.2767885916799948
2.858985,0.18349279113412725,0.021398820076186157,0.08745548858249462,0.29234709979280804
2.861286,0.1920506255911624,0.022263167898177682,0.09330867719203527,0.3076224706813754
2.863588,0.2014895099269617,0.023167473309869367,0.09819967762618866,0.3228566608630198
2.8658900000000003,0.211151113191222,0.024021380347125882,0.1030602259588239,0.33823271949717176
2.868191,0.22136811008590865,0.024946017813301545,0.10792126545438688,0.35423539335359705
2.870493,0.231603354960028,0.025881724081339142,0.11303083339137195,0.3705159124327391
2.872795,0.24198037259743235,0.02680471300255665,0.11730640667710256,0.3860914922770915
2.875096,0.2527312398647531,0.027734688614311127,0.12222147409471378,0.40268740257377794
2.877398,0.2633501602038681,0.028694809048157664,0.12652799064489026,0.418572959896916
2.879699,0.27499096739121515,0.029649473583214105,0.13096024490456082,0.4356006858789901
2.882001,0.2863603943716141,0.03059593464455017,0.13519112236386965,0.4521474513800338
2.884303,0.29807559716741755,0.03147735668217978,0.13914891323537076,0.4687018670849681
2.886604,0.3094253724776582,0.03249855178161912,0.14325945577739016,0.4851833800366675
2.888906,0.3215579393158715,0.033499297073363174,0.14751882068650626,0.5025760570757409
2.891208,0.33414389825845153,0.03443610237137289,0.1514284775910916,0.520008478220916
2.893509,0.3452391376504512,0.035372436656537394,0.15527723029264073,0.5358888045996293
2.895811,0.35791633649019483,0.03631022323130791,0.1591431736966597,0.5533697334181624
2.898112,0.3705032312265919,0.03726995115445013,0.16373456474490894,0.5715077471259511
2.900414,0.3828103236116873,0.03816621009670318,0.16763096025044605,0.5886074939588366
2.902716,0.3949293214395532,0.03911259265589839,0.1722140015289242,0.6062559156243759
2.905017,0.4077632657436547,0.03998471218983552,0.17626069289034108,0.6240086708238313
2.907319,0.4196071401893043,0.04091241123950492,0.1806094494523007,0.6411290008811099
2.909621,0.4324148822665281,0.04169966995916724,0.18500044602604354,0.6591149982517388
2.911922,0.4451982937045082,0.04240634623123188,0.18971020733987126,0.6773148472756114
2.9142240000000004,0.4580167974106282,0.04340469720767955,0.1945186924021691,0.6959401870204769
2.916525,0.4714028600667966,0.04419701931542765,0.19974319246423874,0.7153430718464631
2.918827,0.4847468120011971,0.04501905448349308,0.20477319200693453,0.7345390584916247
2.921129,0.4983808600188869,0.04581824552856685,0.20964454592397944,0.7538436514714333
2.92343,0.5141864175890699,0.046562210317542235,0.2147344673438561,0.7754830952504683
2.925732,0.5283856850722655,0.047324897867113885,0.22018392002681766,0.795894502966197
2.928034,0.544365300292422,0.04801972031590795,0.22602237374852696,0.8184073943568569
2.930335,0.5581874428673413,0.048660494040716616,0.23056022803765566,0.8374081649457136
2.932637,0.5708000719337076,0.04943801849491171,0.23763886815183705,0.8578769585804563
2.9349380000000003,0.5828460778438427,0.050050609951149926,0.243263174837064,0.8761598626320566
2.93724,0.5944672333610315,0.05068969587992999,0.2489970108551707,0.8941539400961321
2.939542,0.6044652545025255,0.051306644204986214,0.25506680231583223,0.9108387010233441
2.941843,0.6132022934755281,0.0516746229902898,0.2611508375013974,0.9260277539672152
2.944145,0.6237875252372288,0.05236712962592835,0.2669337898122752,0.9430884446754324
2.946447,0.6327828433037406,0.053079340298923965,0.2725689020819119,0.9584310856845764
2.948748,0.6423241970625083,0.05332297169309777,0.2787993038199351,0.9744464725755412
2.95105,0.6520307184299875,0.0540270966455843,0.28459993799621064,0.9906577530717824
2.953351,0.659430508038408,0.05453814558261394,0.29032247726697996,1.004291130888002
2.955653,0.6683982201873163,0.055076984277509705,0.2942507983628184,1.0177260028276445
2.957955,0.6740059646360625,0.05544566958208108,0.300819611358035,1.0302712455761789
2.960256,0.6791851155165941,0.0559851755451742,0.3059861541946346,1.0411564452564028
2.962558,0.6862297713714394,0.05630750533556494,0.3095878519435447,1.052125128650549
2.96486,0.6903280803932639,0.056792138302193575,0.3160422239766045,1.0631624426720618
2.967161,0.6954819648407348,0.057141119569407914,0.3214509101365661,1.0740739945467088
2.969463,0.6990192654692304,0.05740641755446039,0.32630065288479165,1.0827263359084824
2.971764,0.7057672746840671,0.057868795164153865,0.33149322735656,1.0951292972047808
2.974066,0.7108846631726725,0.0583111154768564,0.3367525999864972,1.1059483786360262
