Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,CH3OH,H2O_CH3OH_CO_NH3_100K_NASA,all
2.85208,0.12141097944424728,0.008149864458626262,0.07336085827965973,0.20292170218253325
2.854382,0.12832723058539594,0.008838457600176104,0.07843666137289433,0.2156023495584664
2.8566830000000003,0.13462659358891566,0.009721631234140469,0.08363908536434944,0.2279873101874056
2.858985,0.14213979817464412,0.010733853070327938,0.08876324368249504,0.2416368949274671
2.861286,0.14876898973588554,0.011745738843488784,0.09470395724192114,0.2552186858212955
2.863588,0.15608067269733567,0.012736788708999029,0.09966809466113448,0.2684855560674692
2.8658900000000003,0.1635648813659018,0.014114647118151953,0.1046013246170026,0.2822808531010564
2.868191,0.1714793169553642,0.015493849779411371,0.10953505308034407,0.2965082198151197
2.870493,0.17940788805444324,0.016858601730526016,0.11472102632517998,0.31098751611014924
2.872795,0.18744628118977472,0.018206886593336156,0.11906053388033686,0.3247137016634477
2.875096,0.1957742710477651,0.019602892405926702,0.12404909816574232,0.3394262616194341
2.877398,0.20400005029775825,0.021226748950567424,0.12842001169171768,0.3536468109400433
2.879699,0.21301741808628336,0.02258612389325611,0.13291854313086016,0.3685220851103996
2.882001,0.2218245654753815,0.024143439958625536,0.13721268650594587,0.3831806919399529
2.884303,0.23089956264926684,0.02549911820802137,0.14122965972587168,0.3976283405831599
2.886604,0.2396914871818548,0.02696704150830918,0.1454016687699966,0.4120601974601605
2.888906,0.24908978883210026,0.0283492687368082,0.14972472557853425,0.4271637831474427
2.891208,0.25883930352897466,0.02977921691508764,0.15369284506607572,0.4423113655101381
2.893509,0.26743405582485863,0.031194378320195688,0.1575991496269269,0.4562275837719812
2.895811,0.27725424806981624,0.03222978850522012,0.16152290194934382,0.4710069385243802
2.898112,0.2870044876646197,0.033681916843256665,0.16618294980983853,0.4868693543177149
2.900414,0.2965379827786347,0.034766392230167996,0.17013760959560065,0.5014419846044034
2.902716,0.3059257734089088,0.03614660308050728,0.1747891828290491,0.5168615593184651
2.905017,0.3158673860569837,0.03753588763256538,0.1788963859016438,0.5322996595911929
2.907319,0.3250420566961147,0.03928543174916298,0.18331017107032374,0.5476376595156014
2.909621,0.3349633722021759,0.040826616789254526,0.1877668278817083,0.5635568168731387
2.911922,0.3448658403620817,0.042812077150541236,0.1925470160432705,0.5802249335558934
2.9142240000000004,0.3547954921943272,0.044564645834378434,0.19742740420696786,0.5967875422356734
2.916525,0.3651647946205467,0.04672821959977516,0.20273002820055816,0.6146230424208801
2.918827,0.3755014766399588,0.04849792749797011,0.20783524323471803,0.6318346473726468
2.921129,0.3860628770173788,0.05067998472983108,0.21277944035499896,0.6495223021022088
2.92343,0.39830640303917947,0.05329556326603529,0.21794547330090253,0.6695474396061173
2.925732,0.409305641765751,0.05546552222893784,0.2234764137172684,0.6882475777119573
2.928034,0.42168399880235663,0.058082445017248525,0.22940217205249525,0.7091686158721004
2.930335,0.4323911036635176,0.0603505343839249,0.23400788259839925,0.7267495206458418
2.932637,0.4421612779513701,0.06297720300000767,0.2411923723037319,0.7463308532551097
2.9349380000000003,0.4514925265431777,0.06529738213581054,0.2469007813805959,0.7636906900595841
2.93724,0.4604946714751927,0.06788237893659209,0.25272035762400785,0.7810974080357926
2.939542,0.4682394809492553,0.0701346733410172,0.2588809129791633,0.7972550672694358
2.941843,0.4750074904639115,0.07286216086508675,0.26505592505104475,0.8129255763800429
2.944145,0.4832071733884585,0.07517192204706433,0.27092535204178764,0.8293044474773104
2.946447,0.4901752547315349,0.0774994945694529,0.2766447282830645,0.8443194775840521
2.948748,0.4975663140162169,0.07987344378951541,0.28296829558199205,0.8604080533877243
2.95105,0.5050853177853778,0.08181891265063403,0.28885566884177405,0.8757598992777859
2.953351,0.5108174481594092,0.0837280867048774,0.2946637794133,0.8892093142775865
2.955653,0.5177641450135783,0.08559424469171306,0.2986508421848271,0.9020092318901184
2.957955,0.5221080958534623,0.08719659320264993,0.3053178811328648,0.9146225701889771
2.960256,0.5261200434418374,0.08878012218409592,0.3105616812446046,0.925461846870538
2.962558,0.531577075051791,0.09055016614531752,0.3142172365463812,0.9363444777434896
2.96486,0.5347517655321034,0.09210714614766033,0.3207681232531377,0.9476270349329016
2.967161,0.5387441408763939,0.09379384647827947,0.32625768754921897,0.9587956749038924
2.969463,0.5414842550482356,0.09492738706707772,0.3311799503406744,0.9675915924559876
2.971764,0.5467114940146776,0.09660232519176508,0.3364501713484995,0.9797639905549422
2.974066,0.5506755983397349,0.0982823042618518,0.3417881893726948,0.9907460919742814
2.976368,0.5549666316307976,0.0996598266079781,0.34602051782109017,1.000646976059866
2.978669,0.5587313890253638,0.10116236440000803,0.3505040940360334,1.0103978474614053
2.980971,0.5638774394237511,0.10281108960861884,0.35601210310862713,1.022700632140997
2.983273,0.5696664742852136,0.10470043594429146,0.3604792285769512,1.0348461388064558
2.985574,0.5721952807107347,0.10671042890652163,0.3655051809228548,1.0444108905401108
2.987876,0.5784696347357019,0.10869656139386157,0.3702679213228512,1.057434117452415
2.990177,0.5847410891689528,0.11069714459134633,0.3749937721698227,1.0704320059301218
2.992479,0.5883989241189828,0.11327642832067525,0.3795850259990007,1.0812603784386587
2.994781,0.5939886120499542,0.1152874294719853,0.38426351863600783,1.0935395601579474
2.997082,0.6000244746562611,0.11782403319693315,0.3889405157505951,1.1067890236037892
2.999384,0.6041473316277821,0.12040634149350173,0.3926185038886706,1.1171721770099543
3.001686,0.6097562293538735,0.1229100110418406,0.39767935175770586,1.1303455921534198
