Wavelength,d_NH3_CH3OH_50_10K_I10m_Baselined,H2O_CH4_10_0.6_a_V3,CH3OH,all
2.85208,0.0013518166691049154,0.2362573118182336,0.011843535419965068,0.2494526639073036
2.854382,0.0014099330649226488,0.2460648198922816,0.012844211848793094,0.2603189648059973
2.8566830000000003,0.0014656075953698887,0.25616193319927005,0.014127656287524203,0.27175519708216417
2.858985,0.0015247007373358188,0.2662502557909247,0.015598635986709176,0.2833735925149697
2.861286,0.001589654356190932,0.27700471925565,0.01706912731282005,0.2956635009246609
2.863588,0.0016609568250093275,0.2882563465098075,0.018509339508336817,0.3084266428431537
2.8658900000000003,0.0017386081437910045,0.2988809027368225,0.020511669112141064,0.3211311799927546
2.868191,0.0018260269240546528,0.3103855072433631,0.0225159522082417,0.3347274863756595
2.870493,0.0019246782850225691,0.3220278329567996,0.0244992352621561,0.34845174650397825
2.872795,0.0020257715113609787,0.3335119257942281,0.02645858803543967,0.3619962853410287
2.875096,0.002117585649291515,0.3450829490388462,0.028487289785245243,0.37568782447338295
2.877398,0.002189376491184009,0.3570290428043719,0.03084710847928966,0.3900655277748456
2.879699,0.002252376617742728,0.368907252712598,0.03282257756401849,0.4039822068943593
2.882001,0.0023207488481165315,0.3806833926483375,0.03508569838939138,0.41808983988584536
2.884303,0.002402795524565096,0.3916502984002955,0.037055795370305115,0.4311088892951657
2.886604,0.0024926561701992373,0.4043563006691187,0.0391890089579678,0.4460379657972857
2.888906,0.0025815400696851823,0.41680786056633656,0.041197687411735316,0.460587088047757
2.891208,0.0026645634922819435,0.4284638607258478,0.04327571484202485,0.4744041390601546
2.893509,0.0027363543341744376,0.44011400040846976,0.045332253857054035,0.4881826085996983
2.895811,0.0027954474761403675,0.4517822098948335,0.04683693129835182,0.5014145886693256
2.898112,0.0028540522450321987,0.4637234199296182,0.04894719135153185,0.5155246635261823
2.900414,0.002932680309962073,0.4748749307035856,0.05052317126164803,0.5283307822751957
2.902716,0.0030337735363004823,0.4866500938931768,0.05252891947697096,0.5422127869064483
2.905017,0.003110448108933962,0.4975012552265736,0.054547853765294564,0.5551595571008021
2.907319,0.003107029497415272,0.5090439528328939,0.05709032398905186,0.5692413063193611
2.909621,0.003037192147819173,0.5188392515800895,0.059330002906868025,0.5812064466347766
2.911922,0.003009843255669652,0.5276319204061606,0.062215311028642535,0.5928570746904728
2.9142240000000004,0.0031299830318979064,0.5400536895458583,0.06476217661006671,0.6079458491878229
2.916525,0.0033917509996147545,0.5499119884196126,0.06790632246111347,0.6212100618803409
2.918827,0.003714077228519828,0.5601399857104596,0.07047809506931668,0.6343321580082961
2.921129,0.004038356949721296,0.5700837498721811,0.07364910143943887,0.6477712082613414
2.92343,0.004417822828295906,0.579340373118646,0.07745010907514825,0.6612083050220902
2.925732,0.004939893644507306,0.5888299503214558,0.08060353401460289,0.6743733779805661
2.928034,0.0056831974632853685,0.5974751304791489,0.08440649514260866,0.6875648230850431
2.930335,0.00670975766504062,0.6054478209138088,0.08770252501970009,0.6998601035985496
2.932637,0.00807720227251669,0.6151220031386279,0.09151964896685473,0.7147188543779993
2.9349380000000003,0.009788949897232271,0.6227440417060846,0.09489137667043143,0.7274243682737482
2.93724,0.011791767874110615,0.6306957320985579,0.09864794235639784,0.7411354423290664
2.939542,0.014020702584296612,0.6383719800772397,0.10192101869900663,0.7543137013605429
2.941843,0.016323381628671498,0.6429504776469139,0.10588465456839086,0.7651585138439763
2.944145,0.01850738601604042,0.6515668437932356,0.10924124270667053,0.7793154725159466
2.946447,0.02041741310884003,0.6604283732227546,0.11262371461787735,0.793469500949472
2.948748,0.02201243956884605,0.6634597048936847,0.11607358201330985,0.8015457264758405
2.95105,0.023277325830761413,0.6722206294699393,0.11890077373926665,0.8143987290399674
2.953351,0.024228676579105483,0.6785792468947031,0.1216752211732208,0.8244831446470293
2.955653,0.024933887298103856,0.6852836324559286,0.12438715685369027,0.8346046766077228
2.957955,0.02546181859120444,0.6898709207409367,0.1267157196709924,0.8420484590031335
2.960256,0.025836889112112158,0.696583608644422,0.12901693359614494,0.8514374313526791
2.962558,0.026057145368530626,0.7005941283289197,0.1315891945774223,0.8582404682748725
2.96486,0.026113796645126062,0.7066240706748149,0.1338518270297211,0.8665896943496622
2.967161,0.02597363357285977,0.7109661956766257,0.13630297148862194,0.8732428007381073
2.969463,0.02559709793272975,0.714267109284458,0.13795025386755652,0.8778144610847444
2.971764,0.024962701309475668,0.7200201440973395,0.14038430526886392,0.8853671506756791
2.974066,0.024091443745283776,0.7255236202693566,0.1428256822662828,0.8924407462809232
2.976368,0.02301213925152588,0.7298330242752027,0.14482752349701294,0.8976726870237415
2.978669,0.02178241585094561,0.7347611969659316,0.14701103951130776,0.903554652328185
2.980971,0.02049359930839941,0.7398871607516704,0.1494069978128355,0.9097877578729052
2.983273,0.01923457352337323,0.7437677731984579,0.1521526312354178,0.9151549779572488
2.985574,0.01806492001090709,0.7457593585946319,0.1550735905916015,0.9188978691971406
2.987876,0.017032499332262658,0.7519558361587949,0.1579598754595242,0.9269482109505818
2.990177,0.016169055737256337,0.7571140325674244,0.16086716036963314,0.9341502486743138
2.992479,0.015460914779813375,0.7599304800857509,0.1646154237133399,0.9400068185789042
2.994781,0.014882681060080637,0.7643233958872678,0.1675378481887459,0.9467439251360944
2.997082,0.014410424297427291,0.7675701000838753,0.1712240881520421,0.9532046125333448
2.999384,0.014021190957370713,0.7717867132056425,0.17497674685341572,0.9607846510164291
3.001686,0.013693004251576454,0.7764145364558008,0.17861512625545026,0.9687226669628276
