Wavelength,H2O_CH4_10_0.6_a_V3,H2O_40K,H2O_CH3OH_CO_NH3_100K_NASA,all
2.85208,0.23863762980109024,0.05745521958662905,0.07259356264450896,0.36868641203222813
2.854382,0.24854394958029144,0.059632445825026525,0.07761627691558888,0.3857926723209068
2.8566830000000003,0.2587427923964943,0.062079409974705436,0.08276428773202868,0.4035864901032284
2.858985,0.26893275592995497,0.06436004009777617,0.08783485147121843,0.4211276474989497
2.861286,0.2797955717778681,0.06677175292313466,0.09371342993993376,0.4402807546409365
2.863588,0.291160560394192,0.06925840745278915,0.09862564647022386,0.459044614317205
2.8658900000000003,0.3018921601749171,0.07194011931034998,0.10350727880440247,0.4773395582896696
2.868191,0.31351267481681744,0.0744612418015622,0.1083894044320668,0.4963633210504465
2.870493,0.3252722982216764,0.07694476288016601,0.1135211365634795,0.5157381976653219
2.872795,0.3368720945371787,0.07961942447286274,0.11781525635622656,0.5343067753662679
2.875096,0.34855969709312995,0.08238652287155525,0.1227516442673144,0.5536978642319996
2.877398,0.36062614904607504,0.08511471425303485,0.12707684154965862,0.5728177048487685
2.879699,0.372624033204512,0.08794448167274144,0.13152832196433406,0.5920968368415874
2.882001,0.3845188190244442,0.09078208272007478,0.1357775520498852,0.6110784537944042
2.884303,0.3955962175386232,0.09351027410155438,0.1397525109574046,0.6288590025975822
2.886604,0.4084302341552688,0.0962925175136586,0.1438808841389669,0.6486036358078944
2.888906,0.4210072448658809,0.0989951190448908,0.1481587252466869,0.6681610891574588
2.891208,0.4327806804883388,0.10170816541295867,0.15208534139261068,0.6865741872939081
2.893509,0.4445481965889683,0.10449093106690467,0.15595078914631158,0.7049899168021846
2.895811,0.4563339645485678,0.1072648186095404,0.15983350217201084,0.7234322853301189
2.898112,0.4683954835666561,0.110273453860058,0.16444480967604294,0.7431137471027569
2.900414,0.4796593470184178,0.1129778832377364,0.16835810689785366,0.7609953371540079
2.902716,0.4915531462513787,0.11545696526068505,0.17296102841262942,0.7799711399246931
2.905017,0.5025136342094542,0.11805746851184848,0.1770252734410548,0.7975963761623575
2.907319,0.5141726257432367,0.1206668498743222,0.18139289396316646,0.8162323695807254
2.909621,0.5240666131852962,0.12306263432350628,0.18580293772504575,0.8329321852338483
2.911922,0.5329478691012776,0.12581746003891686,0.19053312895912408,0.8492984580993186
2.9142240000000004,0.545494788909264,0.12820306077218616,0.19536247218382174,0.8690603218652718
2.916525,0.5554524112109748,0.1306069399699179,0.200609634990881,0.8866689861717737
2.918827,0.5657834566813369,0.13303223108316276,0.20566145357761534,0.904477141342115
2.921129,0.5758274053430397,0.1353504626188419,0.21055393836847874,0.9217318063303604
2.92343,0.5851772900704064,0.1374950487421279,0.2156659387604647,0.938338277572999
2.925732,0.5947624757904373,0.1395095966468097,0.22113902998396026,0.9554111024212072
2.928034,0.6034947570737466,0.14186647407878086,0.22700280964810546,0.9723640408006328
2.930335,0.6115477732272901,0.14328932197672134,0.2315603481621997,0.9863974433662112
2.932637,0.6213194238849037,0.14571879102470053,0.2386696938776587,1.005707908787263
2.9349380000000003,0.6290182553157371,0.1479124678811142,0.24431839758205234,1.0212491207789036
2.93724,0.6370500598493966,0.14991108740962153,0.2500771057337501,1.0370382529927682
2.939542,0.6448036468571392,0.15181909797857934,0.25617322662964537,1.052795971465364
2.941843,0.6494282732852843,0.15370021309268533,0.26228365303662504,1.0654121394145948
2.944145,0.6581314502529393,0.15534449153154226,0.2680916905368897,1.0815676323213712
2.946447,0.6670822605504,0.15715118718319396,0.2737512466979681,1.0979846944315619
2.948748,0.6701441332159465,0.15896258301142174,0.280008674563677,1.1091153907910452
2.95105,0.6789933250553594,0.16069877601443264,0.2858344706294257,1.1255265716992178
2.953351,0.6854160062387673,0.16241251261824682,0.2915818330309532,1.1394103518879677
2.955653,0.6921879392100289,0.16305774241377094,0.2955271943293324,1.1507728759531322
2.957955,0.6968214449209159,0.16536004557327572,0.30212450140666713,1.1643059919008591
2.960256,0.7036017638814339,0.16714324034204714,0.3073134555824174,1.1780584598058987
2.962558,0.7076526899857463,0.16798927212573725,0.3109307767128269,1.1865727388243104
2.96486,0.7137433846532992,0.17003750462921408,0.3174131464080008,1.2011940356905142
2.967161,0.7181292570343807,0.17120132057362972,0.32284529427218583,1.2121758718801965
2.969463,0.7214634277040163,0.17299261009094882,0.3277160741496798,1.2221721119446451
2.971764,0.7272744249651949,0.1743765509716764,0.3329311728801705,1.234582148817042
2.974066,0.7328333492551967,0.1757902596373857,0.3382133595247122,1.2468369684172946
2.976368,0.7371861709727385,0.17767215811425435,0.3424014212180405,1.2572597503050331
2.978669,0.7421639955366225,0.17881952344065374,0.3468381028281458,1.267821621805422
2.980971,0.7473416039622024,0.18042593934598133,0.3522885025513006,1.2800560458594843
2.983273,0.7512613139993268,0.1818341644723519,0.3567089054763789,1.2898043839480575
2.985574,0.7532729648338843,0.18323011691544053,0.3616822903988919,1.2981853721482168
2.987876,0.7595318725800503,0.1846636707711376,0.36639521636097183,1.3105907597121598
2.990177,0.7647420383756843,0.18608129625066025,0.3710716386051122,1.3218949732314569
2.992479,0.7675868619075364,0.1874989217301829,0.375614871608122,1.3307006552458414
2.994781,0.7720240368111274,0.1889246419582532,0.3802444309711239,1.3411931097405043
2.997082,0.7753034519038537,0.1903652460788144,0.3848725104536688,1.3505412084363368
2.999384,0.7795625478591183,0.19181446718976494,0.3885120297909333,1.3598890448398164
3.001686,0.7842369969293159,0.19325742139861413,0.3935199452574431,1.371014363585373
3.003987,0.7875228248373559,0.19469802551917528,0.3986250395406297,1.3808458898971607
3.006289,0.7903173324336699,0.19574303144458507,0.40248506106598825,1.3885454249442428
3.0085900000000003,0.7943135029610731,0.1971517788127974,0.4067949662502767,1.3982602480241468
3.010892,0.797853870307718,0.19855086470693672,0.4107156628743725,1.4071203978890272
3.013194,0.8004278757159381,0.19977317173763215,0.4148573549800479,1.415058402433618
3.015495,0.8042109434575321,0.2007805762504335,0.4189181469540736,1.4239096666620392
3.0177970000000003,0.8069876924883619,0.2018911235269872,0.4222932609830197,1.431172076998369
3.020098,0.8096692358764576,0.20287685500335448,0.4262322094660852,1.4387783003458972
3.0224,0.8107890120889258,0.20360799358185205,0.42926645769643396,1.4436634633672119
3.024702,0.8108136767632093,0.2042587069167149,0.4323455956339788,1.4474179793139033
3.027003,0.8118564991919132,0.204899236535663,0.4359698228731877,1.4527255586007637
3.029305,0.8164263700431491,0.20571001699503266,0.4383854810725078,1.4605218681106895
3.031607,0.8181464844276762,0.2065429927326781,0.4416239528059236,1.4663134299662781
