Wavelength,CO_NH3_10K,H2O_CH4_10_0.6_a_V3,CH3OH,all
2.85208,0.00015689753690750158,0.2417241402691739,0.012117586520840194,0.2539986243269216
2.854382,0.00016938937901797148,0.2517585871996721,0.013141417900214308,0.2650693944789044
2.8566830000000003,0.0001788831790219286,0.2620893406250307,0.014454560342866896,0.27672278414691953
2.858985,0.0001813815474440225,0.27241109992406976,0.015959577480336308,0.2885520589518501
2.861286,0.00018038220007518492,0.28341441412865603,0.017464094944121298,0.3010588912728525
2.863588,0.0001788831790219286,0.2949263961439807,0.018937632639472332,0.31404291196247497
2.8658900000000003,0.00017988252639076618,0.30579679714851155,0.020986294745589388,0.3269629744204917
2.868191,0.00018288056849727894,0.31756761013236506,0.02303695554644412,0.3407874462473065
2.870493,0.0001863782842882105,0.3294793310952248,0.02506613037886884,0.3547318397583818
2.872795,0.0001888766527103045,0.34122915778433266,0.027070821200757048,0.36848885563780004
2.875096,0.00018837697902588567,0.3530679263892672,0.02914646568583272,0.38240276905412585
2.877398,0.00018387991586611653,0.36529044438383534,0.03156088892894434,0.39703521322864577
2.879699,0.00017838350533750977,0.3774435077362693,0.03358206898241837,0.4112039602240252
2.882001,0.0001788831790219286,0.3894921392886597,0.03589755683601506,0.4255685793036966
2.884303,0.00018687795797262926,0.40071281154596816,0.03791324047896048,0.4388129299829013
2.886604,0.0001958720842921676,0.413712821793492,0.04009581513250178,0.4540045090102859
2.888906,0.00020036914745193677,0.4264525020514336,0.04215097299651628,0.4688038441954017
2.891208,0.00020236784218961192,0.43837821387745696,0.04427708452371825,0.4828576662433649
2.893509,0.0002133606632468254,0.4502979296192672,0.0463812104088058,0.4968925006913199
2.895811,0.00024084271588985918,0.4622361332874011,0.04792070503050011,0.5103976810337911
2.898112,0.00026982378958614927,0.474453654545125,0.050079795020873716,0.5248032733555851
2.900414,0.0002743208527459184,0.4858632034551438,0.05169224200049317,0.537829766308383
2.902716,0.0002503365158938162,0.4979108356601654,0.05374440182240115,0.5519055739984603
2.905017,0.00026032998958219213,0.5090130852542666,0.05581005283378846,0.5650834680776372
2.907319,0.0003777533054206089,0.5208228727855049,0.058411354034872714,0.5796119801257982
2.909621,0.0005876162528765027,0.5308448278738926,0.060702857551617286,0.5921353016783865
2.911922,0.0007530082424191238,0.5398409528881686,0.06365492967916354,0.6042488908097512
2.9142240000000004,0.0007450134634684231,0.5525501530513606,0.06626072794340755,0.6195558944582366
2.916525,0.0006230930844702372,0.5626365660450383,0.06947762712369576,0.6327372862532044
2.918827,0.0005716266949751013,0.5731012320178213,0.07210890874584512,0.6457817674586415
2.921129,0.0007450134634684231,0.5832750879062724,0.07535328997877637,0.6593733913485171
2.92343,0.0011447524110034589,0.5927459029207461,0.07924225026460785,0.6731329055963574
2.925732,0.001724373884929261,0.6024550622826877,0.0824686432449,0.6866480794125172
2.928034,0.0024454030115455823,0.6113002858442692,0.08635960222546915,0.7001052910812839
2.930335,0.003278858717156132,0.6194574587424061,0.0897318999216116,0.7124682173811738
2.932637,0.0041967592754334595,0.629355494757058,0.0936373494390289,0.7271896034715204
2.9349380000000003,0.0051496369916201,0.637153901949782,0.09708709655625626,0.7393906354976584
2.93724,0.0060690365709506824,0.6452895888794888,0.10093058653680564,0.7522892119872452
2.939542,0.006892498802872856,0.6531434598511835,0.1042793995697804,0.7643153582238368
2.941843,0.007612028908435922,0.6578279006426097,0.10833475119252334,0.7737746807435689
2.944145,0.008247613835016628,0.6666436434568105,0.11176900842553372,0.7866602657173608
2.946447,0.008854217687901044,0.6757102224605896,0.11522974836381827,0.799794188512309
2.948748,0.009612222667164357,0.6788116970197771,0.11875944327055266,0.8071833629574939
2.95105,0.010721498246574082,0.6877753432445658,0.12165205422965307,0.820148895720793
2.953351,0.012274484057747696,0.6942810946156985,0.12449070043083625,0.8310462791042824
2.955653,0.01420422382697308,0.7011406149553997,0.12726538840041382,0.8426102271827866
2.957955,0.016417278575263927,0.7058340498731455,0.1296478325277226,0.8518991609761319
2.960256,0.018640326797243145,0.7127020646654819,0.13200229492870394,0.863344686391429
2.962558,0.020477127261166638,0.7168053849619289,0.13463407622453774,0.8719165884476334
2.96486,0.021580406756363333,0.7229748559434479,0.13694906440445007,0.8815043271042613
2.967161,0.02187021749332624,0.7274174546716153,0.13945692662654802,0.8887445987914895
2.969463,0.02135005718784626,0.7307947491046021,0.1411423259640926,0.8932871322565408
2.971764,0.020099873629430443,0.7366809051070553,0.14363269960723585,0.9004134783437217
2.974066,0.01836950366028816,0.7423117278567707,0.1461305683556454,0.9068117998727042
2.976368,0.016426272701583464,0.7467208484480823,0.14817873078807806,0.9113258519377438
2.978669,0.014439070458649915,0.7517630555975523,0.15041277183111446,0.9166148978873166
2.980971,0.012476352226252891,0.7570076305892119,0.1528641709268731,0.922348153742338
2.983273,0.010602575909682407,0.7609780376856037,0.15567333638067554,0.9272539499759616
2.985574,0.008890194193179199,0.7630157069706636,0.15866188468718434,0.9305677858510272
2.987876,0.007415157476774917,0.7693555666785692,0.16161495616209942,0.9383856803174436
2.990177,0.006232429865755629,0.7746331201334006,0.16458951360544455,0.9454550636046009
2.992479,0.005324023107482259,0.7775147382714438,0.16842450913335874,0.9512632705122848
2.994781,0.0046569587387831676,0.7820093030627907,0.17141455646092085,0.9580808182624948
2.997082,0.004193761233326946,0.7853311337168069,0.1751860934309139,0.9647109883810476
