Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,CO_NH3_10K,H2O_CH4_10_0.6_a_V3,all
2.85208,0.16663337838963604,1.7879547994838017e-05,0.1596687817664684,0.3263200397040993
2.854382,0.17612575130941802,1.9303078886146782e-05,0.16629694854910254,0.3424420029374067
2.8566830000000003,0.18477146147322732,2.038496236354144e-05,0.17312083801384512,0.3579126844494361
2.858985,0.19508313730669133,2.0669668541803187e-05,0.17993878648655068,0.3750425934617838
2.861286,0.2041815284974896,2.0555786070498487e-05,0.18720693013361706,0.3914090144171771
2.863588,0.2142166211979801,2.038496236354144e-05,0.1948110698858881,0.4090480760462317
2.8658900000000003,0.22448850089720332,2.0498844834846137e-05,0.20199141887285185,0.42650041861488996
2.868191,0.2353508557382241,2.0840492248760237e-05,0.20976652717374375,0.4451382234042167
2.870493,0.2462326111946873,2.123908089832669e-05,0.21763471101654905,0.4638885612921346
2.872795,0.2572650945095874,2.152378707658844e-05,0.22539595700268794,0.4826825752993519
2.875096,0.2686950417152173,2.146684584093609e-05,0.23321595279897075,0.5019324613600289
2.877398,0.2799847075476484,2.0954374720064934e-05,0.2412894309221663,0.5212950928445348
2.879699,0.29236080784485285,2.0328021127889083e-05,0.2493170313846316,0.5416981672506123
2.882001,0.3044483861688116,2.038496236354144e-05,0.25727565032844474,0.5617444214596199
2.884303,0.3169035812828196,2.129602213397904e-05,0.2646873679497391,0.5816122452546926
2.886604,0.328970266636302,2.2320964375721345e-05,0.2732744118290236,0.6022669994297012
2.888906,0.34186918864709465,2.28334354965925e-05,0.2816894969943477,0.6235815190769389
2.891208,0.3552501413338787,2.30612004392019e-05,0.2895669223803218,0.6448401249146397
2.893509,0.3670462129745238,2.431390762355361e-05,0.29744038710493764,0.664510913987085
2.895811,0.3805241687385199,2.744567558443288e-05,0.3053260638687408,0.6858776782828451
2.898112,0.39390611632866,3.07482672522692e-05,0.3133962414408047,0.707333106036717
2.900414,0.4069905878153503,3.126073837314036e-05,0.3209327198948764,0.7279545684485997
2.902716,0.4198750837274806,2.8527559061827532e-05,0.3288906787284632,0.7487942900150057
2.905017,0.4335196858036099,2.9666383774874544e-05,0.3362241732879368,0.7697735254753215
2.907319,0.4461116801290706,4.304757415317688e-05,0.3440250258876559,0.7901797535908797
2.909621,0.4597284249112313,6.696289312716404e-05,0.3506449412924608,0.8104403290968193
2.911922,0.4733193022061354,8.581044212809201e-05,0.3565872535499324,0.8299923661981958
2.9142240000000004,0.4869474883768905,8.489938235765441e-05,0.3649822053533533,0.8520145931126014
2.916525,0.5011790834330712,7.100572085848091e-05,0.3716446978677568,0.8728947870216865
2.918827,0.5153659078382312,6.514077358628883e-05,0.3785570421028284,0.893988090714646
2.921129,0.5298611522837571,8.489938235765441e-05,0.3852772942620364,0.9152233459281512
2.92343,0.5466650699669262,0.00013045237087953472,0.3915331588770173,0.9383286812148229
2.925732,0.5617612360394879,0.00019650420423626108,0.3979464597809793,0.9599042000247032
2.928034,0.5787502057468767,0.0002786704072826028,0.40378909539427416,0.9828179715484336
2.930335,0.5934454257669626,0.0003736483883507232,0.4091772451167373,1.0029963192720506
2.932637,0.6068547331993932,0.00047824943824409085,0.4157153068534766,1.023048289491114
2.9349380000000003,0.619661626649754,0.000586836374633123,0.4208664770046852,1.0411149400290722
2.93724,0.6320168339764821,0.0006916082482334477,0.4262404343572819,1.0589488765819974
2.939542,0.6426463814321943,0.000785447404588521,0.4314282406260522,1.074860069462835
2.941843,0.6519352966156703,0.0008674427839279056,0.4345225073119995,1.0873252467115977
2.944145,0.6631891459272847,0.0009398720356776953,0.4403456696736176,1.10447468763658
2.946447,0.6727526544370219,0.0010089986957596486,0.44633451970204585,1.1200961728348275
2.948748,0.6828966890549968,0.0010953785502442641,0.4483831717894779,1.1323752393947188
2.95105,0.6932163241153089,0.001221788093392482,0.4543040304645936,1.1487421426732949
2.953351,0.7010835224030331,0.0013987614537999868,0.4586013480380373,1.1610836318948703
2.955653,0.7106176812637677,0.001618668505889364,0.4631323446316037,1.175368694401261
2.957955,0.7165796396247146,0.0018708612385936237,0.4662325523095882,1.1846830531728965
2.960256,0.7220859322486044,0.002124192796010931,0.4707691598400784,1.1949792848846938
2.962558,0.7295755647127191,0.002333508778268971,0.4734795724294117,1.2053886459204
2.96486,0.7339327439604064,0.00245923502658936,0.4775547629116936,1.2139467418986891
2.967161,0.7394121741936838,0.0024922609432677235,0.4804892829228678,1.2223937180598192
2.969463,0.7431729088794374,0.0024329851169536264,0.4827201254327684,1.2283260194291594
2.971764,0.7503471569796939,0.0022905181453514467,0.4866081746658841,1.239245849790929
2.974066,0.7557877859820866,0.0020933306462873565,0.4903275657361711,1.2482086823645449
2.976368,0.7616771163980439,0.0018718861808353663,0.4932399720547631,1.2567889746336425
2.978669,0.7668441469775312,0.001645430886645969,0.4965705582017385,1.2650601360659155
2.980971,0.7739069659019135,0.0014217657130035366,0.5000348166695469,1.275363548284464
2.983273,0.7818522641030851,0.0012082360793072224,0.5026574345987777,1.2857179347811698
2.985574,0.7853229844605591,0.001013098464726618,0.5040033993502756,1.2903394822755614
2.987876,0.7939343704585858,0.0008450079370808796,0.5081911386261476,1.3029705170218144
2.990177,0.8025417768431884,0.0007102280322917662,0.511677180731425,1.3149291856069052
2.992479,0.8075620591776627,0.0006067088658757932,0.5135806085690633,1.3217493766126016
2.994781,0.8152337589559291,0.0005306923162799055,0.5165494543120068,1.3323139055842157
2.997082,0.8235178217498252,0.00047790779083017675,0.5187436607043459,1.342739390245001
2.999384,0.8291763345871861,0.0004433444607892,0.521593356551436,1.3512130355994114
3.001686,0.8368743993043869,0.0004219914974195686,0.5247209588038133,1.3620173496056198
3.003987,0.8447654752726554,0.0004106032502890985,0.5269194559126235,1.3720955344355679
3.006289,0.8515163919949257,0.00040690206997169576,0.5287892181287185,1.3807125121936161
3.0085900000000003,0.8591224281516948,0.0004099768966969227,0.5314629946004903,1.3909953996488822
3.010892,0.8672861076395127,0.0004242122056100103,0.5338318001476949,1.4015421199928175
3.013194,0.8745877033693398,0.0004557576501614125,0.5355540277282042,1.4105974887477053
3.015495,0.8838139396413865,0.0005047840540580861,0.5380852203910873,1.422403944086532
3.0177970000000003,0.8913239676242994,0.0005576824619791197,0.5399431006231085,1.4318247507093869
3.020098,0.8990389456985526,0.0005993065052409878,0.5417372802182882,1.4413755324220818
3.0224,0.9069379808936694,0.0006227662943297562,0.542486505325179,1.4500472525131782
3.024702,0.9122333540060832,0.000630396419907171,0.5425030080808373,1.4553667585068275
3.027003,0.9160363720844676,0.0006253286499341117,0.5432007445900738,1.4598624453244755
3.029305,0.924219949639406,0.0006129154605618994,0.5462583751584595,1.4710912402584273
3.031607,0.9313126156644688,0.0005998759175975111,0.5474092773380754,1.4793217689201417
3.0339080000000003,0.935102202547547,0.0005913347322496588,0.5477307510183008,1.4834242882980977
3.03621,0.9401180078169192,0.0005865516684548613,0.5480043667071167,1.488708926192491
3.038511,0.9452129079030951,0.0005836476654365912,0.5472558017104525,1.4930523572789842
3.040813,0.9506396082585032,0.0005814838984818019,0.5482987758680625,1.4995198680250477
3.043115,0.9538108627058154,0.0005805158974757121,0.5479974355497403,1.5023888141530315
3.045416,0.9595444907465558,0.0005812561335391928,0.5470132112022741,1.5071389580823693
3.047718,0.9620929356929996,0.0005836476654365912,0.5461824624824311,1.5088590458408673
3.05002,0.9654382982276152,0.0005871780220470371,0.5451955976940596,1.5112210739437215
3.052321,0.9681916932653992,0.0005915055559566157,0.54400574901109,1.512788947832446
3.054623,0.9720180915726502,0.0005966302671653272,0.5425313928205697,1.5151461146603853
3.056924,0.9716096837450042,0.000602609096908824,0.5391658208315985,1.5113781136735116
3.059226,0.9745988708781648,0.0006095559276584107,0.5380951220444824,1.5133035488503055
3.061528,0.9764722738975494,0.0006169582882932163,0.5363794955662365,1.513468727752079
3.063829,0.9756052156227786,0.0006244175901636743,0.533473690349908,1.5097033235628503
3.066131,0.97793179712083,0.0006329587755115267,0.5317181272029688,1.5102828830993105
3.068433,0.9764732688009052,0.0006453719648837391,0.5281670642403974,1.5052857050061863
3.070734,0.9753321146515509,0.0006643333963559718,0.525243766103071,1.501240214150978
3.073036,0.9742611011887958,0.0006913804832908382,0.5220092259940273,1.4969617076661144
3.075337,0.97262299281311,0.000727595109165733,0.5189271713472671,1.4922777592695429
3.077639,0.9704769862741759,0.0007708704482615194,0.5156424628610221,1.4868903195834595
3.079941,0.9653940250282724,0.0008076544864929378,0.5110414945834639,1.4772431740982293
3.082242,0.9638101388854894,0.0008219467366416776,0.5077587664278979,1.472390852050029
3.084544,0.9589440665711979,0.0008073128390790236,0.5038664264783109,1.463617805888588
3.086846,0.9547958170282748,0.0007735466863371799,0.5001698092108324,1.4557391729254443
3.089147,0.9517837471179256,0.0007320365255466164,0.4958153921028109,1.4483311757462831
3.0914490000000003,0.9459337153845312,0.0006951386048438934,0.4916184112837701,1.4382472652731453
3.09375,0.9367527472151832,0.0006762341146073131,0.48589360534587606,1.4233225866756665
3.096052,0.9351798050093166,0.0006865974194960407,0.4822870931242922,1.4181534955531048
3.098354,0.927909548735204,0.0007262285195100768,0.4778303589311886,1.4064661361859028
3.100655,0.9224291235985708,0.000790799880739842,0.4729798689880758,1.3961997924673863
3.102957,0.9150648489573144,0.0008738771435566211,0.4681122161790783,1.3840509422799494
3.105259,0.9085158976163162,0.0009639581783586396,0.4628303442030553,1.3723101999977299
3.10756,0.9005114026654616,0.0010486297957736843,0.4577111893978239,1.3592712218590592
3.109862,0.893545586818291,0.001117756455855638,0.4523877304775418,1.3470510737516883
3.112163,0.8861499727213201,0.0011634802680844751,0.4469279587955214,1.3342414117849262
3.114465,0.8776505133508457,0.0011792529903601762,0.4414747882157644,1.3203045545569705
3.116767,0.8703349889740344,0.0011668967422236165,0.435828205339691,1.3073300910559489
3.119068,0.8617947385659631,0.0011334722368956866,0.4299357314043077,1.2928639422071664
3.12137,0.8545782070730756,0.001084958304119884,0.4243373365747569,1.2800005019519525
3.123672,0.8461389393556404,0.0010240311819718693,0.4183706002389109,1.2655335707765232
3.125973,0.8375857552039407,0.000952683813699474,0.4122692014168925,1.2508076404345327
3.128275,0.8290062061133068,0.0008736493786140119,0.4062595579163346,1.2361394134082553
3.130576,0.8199764632540739,0.000791426234332018,0.4001406661733182,1.2209085556617243
3.132878,0.8114924248856178,0.0007106835621769851,0.3938253916379671,1.2060285000857618
3.13518,0.8023786126928012,0.0006335851291037026,0.3875404821730274,1.1905526799949322
3.137481,0.794146782325096,0.0005606434062330418,0.3811694283235509,1.1758768540548798
3.139783,0.7844688599294164,0.0004922569822145691,0.3750898131390015,1.1600509300506323
3.142085,0.7770284751814247,0.00042899526940480776,0.3686893843844531,1.146146854835283
3.144386,0.7657920366785405,0.0003715415626315862,0.36205791705068735,1.1282214952918594
3.146688,0.7581969444586878,0.00032040833301577554,0.35569808507505857,1.114215437866762
3.148989,0.7479598863769252,0.00027531087437911405,0.3496986732830089,1.0979338705343131
3.151291,0.7382929079181619,0.00023607836301464468,0.342757944308205,1.0812869305893815
3.153593,0.7281249956196427,0.00020214138656584384,0.3365149518426375,1.064842088848846
3.155894,0.7194330224497785,0.00017310135638314513,0.3300811875216593,1.049687311327821
3.158196,0.7094412080452747,0.00014821803640306804,0.3235441159502593,1.033133542031937
3.160498,0.6990578991701774,0.00012720672044735072,0.3170803166139827,1.0162654225046075
