Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,d_NH3_CH3OH_50_10K_I10m_Baselined,H2O_CH4_10_0.6_a_V3,all
2.85208,0.1586639144002475,0.0011015046310460905,0.17586068595603754,0.33562610498733114
2.854382,0.1677023019007267,0.0011488597795628842,0.1831610106915887,0.3520121723718783
2.8566830000000003,0.1759345194229114,0.0011942252159571234,0.19067690621531733,0.3678056508541859
2.858985,0.1857530255804124,0.0012423762493229385,0.19818625827498665,0.3851816601047221
2.861286,0.1944162740545642,0.0012953025917828845,0.2061914595000425,0.4019030361463896
2.863588,0.20397142503701712,0.0013534021857614714,0.2145667299702328,0.4198915571930114
2.8658900000000003,0.213752038363576,0.0014166750312587,0.22247523333752264,0.4376439467323573
2.868191,0.2240948865692391,0.0014879067252461461,0.2310388101623099,0.4566216034567952
2.870493,0.2344562075299865,0.001568291094997342,0.23970490125736035,0.4757293998823442
2.872795,0.24496104758792744,0.001650665176871092,0.2482532099993424,0.4948649227641409
2.875096,0.2558443422949032,0.0017254783526791356,0.2568662263303559,0.5144360469779381
2.877398,0.2665940647728078,0.0017839758890822335,0.26575843046123504,0.5341364711231251
2.879699,0.2783782615354334,0.001835310461844136,0.27460010450854483,0.5548136765058224
2.882001,0.28988773527372835,0.001891022401275658,0.28336580166760983,0.5751445593426139
2.884303,0.3017472440378515,0.0019578767285934845,0.2915291366074333,0.5952342573738784
2.886604,0.31323682403990183,0.0020310981347034848,0.30098698685366543,0.6162549090282707
2.888906,0.3255188378690301,0.0021035236559644632,0.3102554401679574,0.6378778016929519
2.891208,0.3382598286129453,0.002171173868131311,0.318931709984878,0.6593627124659547
2.893509,0.3494917373645889,0.0022296714045344094,0.3276036174924256,0.6793250262615489
2.895811,0.3623250918839257,0.0022778224379002244,0.336288975453873,0.7008918897756988
2.898112,0.3750670299486145,0.002325575528841529,0.3451775443269414,0.7225701498043975
2.900414,0.3875257191020106,0.002389644259187779,0.35347829201201136,0.7433936553732098
2.902716,0.3997939967799223,0.0024720183410615287,0.3622432621195142,0.7645092772404979
2.905017,0.41278602752882937,0.002534495301709736,0.3703204414492229,0.7856409642797619
2.907319,0.4247757928993163,0.0025317097047381602,0.3789123732849341,0.8062198758889885
