Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,d_NH3_CH3OH_50_10K_I10m_Baselined,CO_NH3_10K,all
2.85208,0.16586641554473666,0.001370608579256393,0.000155480886519692,0.16739250501051273
2.854382,0.17531509795419128,0.0014295328642750025,0.00016785993799418977,0.17691249075646048
2.8566830000000003,0.18392101453926213,0.0014859813389987125,0.00017726801711480806,0.18558426389537566
2.858985,0.1941852288598567,0.0015458959481352813,0.00017974382740970762,0.1959108686354017
2.861286,0.20324174291859928,0.0016117525019796095,0.0001787535032917478,0.20503224892387065
2.863588,0.21323064713440096,0.0016840461625906766,0.00017726801711480806,0.2150919613141065
2.8658900000000003,0.2234552484902772,0.0017627769299684824,0.00017825834123276786,0.2253962837614785
2.868191,0.2342676072101625,0.0018514109385258863,0.00018122931358664733,0.2363002474622751
2.870493,0.2450992772503481,0.0019514336744398285,0.00018469544799950676,0.24723540637278746
2.872795,0.2560809813944045,0.00205393222064867,0.00018717125829440626,0.2583220848733476
2.875096,0.26745832002358605,0.0021470226877368928,0.00018667609623542638,0.26979201880755826
2.877398,0.2786960229521351,0.0022198115104069397,0.0001822196377046072,0.28109805410024663
2.879699,0.29101515981749626,0.0022836874160153484,0.00017677285505582815,0.2934756200885675
2.882001,0.3030471026886491,0.002353010104272536,0.00017726801711480806,0.30557738081003644
2.884303,0.3154449703213881,0.002436197330181161,0.00018519061005848665,0.3180663582616277
2.886604,0.32745611638606376,0.0025273071490334647,0.00019410352712012505,0.33017752706221737
2.888906,0.3402956685754129,0.0026174266437678085,0.00019855998565094423,0.3431116552048316
2.891208,0.35361503279991346,0.002701604193794393,0.00020054063388686384,0.3565171776275947
2.893509,0.3653568107045041,0.00277439301646444,0.0002114341991844219,0.3683426379201529
2.895811,0.3787727315305057,0.002834307625601009,0.000238668112428317,0.3818457072685352
2.898112,0.3920930860791244,0.0028937270726785984,0.0002673875118491519,0.3952542006636521
2.900414,0.40511733371647296,0.0029734481641743643,0.000271843970379971,0.4083626258510274
2.902716,0.4179425262061117,0.003075946710383206,0.0002480761915489353,0.4212665491080438
2.905017,0.4315243263218716,0.0031536871536430515,0.0002579794327285335,0.4349359929082432
2.907319,0.44405836352083017,0.003150221019230192,0.0003743425165888125,0.4475829270566492
2.909621,0.4576124345612872,0.003079412844796065,0.000582310581360375,0.4612741579874437
2.911922,0.4711407571746773,0.00305168376949319,0.0007462092228827256,0.4749386501670532
2.9142240000000004,0.484706216942491,0.003173493636002249,0.0007382866299390469,0.4886179972084322
2.916525,0.4988723082878472,0.003438900499615481,0.0006174670875479487,0.5029286758750107
2.918827,0.5129938350478954,0.003765707458542221,0.000566465395473018,0.5173260079019106
2.921129,0.5274223622845109,0.004094495065704883,0.0007382866299390469,0.5322551439801548
2.92343,0.5441489366368523,0.004479235985532273,0.0011344162771229757,0.5497625888995075
2.925732,0.5591756196407157,0.005008564226581798,0.001708804265539672,0.5658929881328372
2.928034,0.5760863942789975,0.005762200880349222,0.0024233231166476835,0.5842719182759945
2.930335,0.5907139766633231,0.006803031528324994,0.0032492534310261745,0.6007662616226743
2.932637,0.6040615651251856,0.008189485293468744,0.004158866133372271,0.6164099165520266
2.9349380000000003,0.6168095123336234,0.009925028310193332,0.005103140179846961,0.6318376808236636
2.93724,0.6291078523925075,0.011955687914069946,0.006014238368369996,0.6470777786749475
2.939542,0.6396884752687901,0.014215607551254256,0.006830265441568889,0.6607343482616133
2.941843,0.6489346363961221,0.01655029665934454,0.007543298806499961,0.6730282318619666
2.944145,0.6601366876564245,0.0187646613871027,0.008173144945522405,0.6870744939890496
2.946447,0.6696561782403134,0.020701240199773128,0.008774271685124018,0.6991316901252106
2.948748,0.6797535229470317,0.022318439484401518,0.009525432528596544,0.7115973949600297
2.95105,0.69002565986057,0.023600909217159485,0.010624692299531946,0.7242512613772614
2.953351,0.6978566478233373,0.024565484908052358,0.012163655978841508,0.7345857887102312
2.955653,0.7073469238457462,0.025280498921219342,0.014075971850621925,0.7467033946175874
2.957955,0.7132814411226205,0.025815769106976628,0.01626904460984395,0.7553662548394409
2.960256,0.7187623899534691,0.0261960535682732,0.018472020610245568,0.7634304641319878
2.962558,0.7262175499134707,0.026419371656873136,0.02029223633905573,0.7729291579093995
2.96486,0.7305546743880756,0.026476810455714813,0.02138555416528336,0.7784170390090738
2.967161,0.7360088844677394,0.02633469894478757,0.021672748159491717,0.7840163315720187
2.969463,0.7397523096336275,0.02595292899731406,0.021157284456093627,0.7868625230870352
2.971764,0.7468935368482357,0.02530971348269916,0.01991838898452589,0.7921216393154608
2.974066,0.7523091242872991,0.024426344369479,0.01820364277427846,0.7949391114310566
2.976368,0.7581713479035622,0.0233320362191334,0.016277957526905588,0.7977813416496012
2.978669,0.7633145962101866,0.022085218154621982,0.014308698018342484,0.7997085123831509
2.980971,0.7703449071235834,0.020778485480974,0.012363701450669392,0.8034870940552267
2.983273,0.7782536355296105,0.019501957692923788,0.010506843729494723,0.8082624369520289
2.985574,0.7817083812151133,0.018316044561666897,0.00880992335337057,0.8088343491301508
2.987876,0.7902801316181146,0.01726927196898337,0.007348204955261876,0.8148976085423599
2.990177,0.7988479207246441,0.016393825448706885,0.006176156361656427,0.8214179025350073
2.992479,0.8038450962238691,0.015675840463186014,0.005275951738430949,0.8247968884254862
2.994781,0.8114814854974575,0.0150895685853538,0.004614910389692768,0.8311859644725039
2.997082,0.8197274192656498,0.014610746874320225,0.004155895161018392,0.8384940613009885
2.999384,0.8253598876865462,0.014216102713313241,0.003855331791217585,0.843431322191077
