Wavelength,H2O_CH4_10_0.6_a_V3,H2O_CH3OH_CO_NH3_120K_NASA,CH3OH,all
2.85208,0.22053464003005696,0.05612098457759805,0.012117723498329059,0.2887733481059841
2.854382,0.2296894689158021,0.05971267962134836,0.013141566451117656,0.3025437149882681
2.8566830000000003,0.23911463011552225,0.06358369541210154,0.014454723737563938,0.3171530492651877
2.858985,0.2485315856126259,0.0677760050138079,0.015959757887783192,0.33226734851421696
2.861286,0.25857035101910897,0.07163552817990801,0.0174642923586697,0.3476701715576867
2.863588,0.2690731944957888,0.07572490383906949,0.018937846710926205,0.3637359450457845
2.8658900000000003,0.27899069785249553,0.07995568874939699,0.020986531975168882,0.37993291857706135
2.868191,0.2897296832155817,0.08415749225842542,0.023037215956742525,0.3969243914307497
2.870493,0.3005972245863256,0.0883877774894202,0.02506641372700825,0.4140514158027541
2.872795,0.31131706330997344,0.09277246363423226,0.027071127209969625,0.4311606541541753
2.875096,0.3221180473150506,0.09672692587355336,0.029146795158180375,0.4479917683467843
2.877398,0.3332691412984293,0.10082329704337324,0.031561245693990284,0.4656536840357928
2.879699,0.34435686902271445,0.10489868168121794,0.033582448594932146,0.4828379992988646
2.882001,0.35534931942217524,0.10895607786308392,0.0358979626228591,0.5002033599081183
2.884303,0.3655863893085557,0.11318036694208575,0.0379136690511408,0.5166804253017823
2.886604,0.3774468206958891,0.11717230513136252,0.04009626837655837,0.53471539420381
2.888906,0.3890697425797134,0.12148054033826505,0.042151449472126686,0.5527017323901051
2.891208,0.3999500483767495,0.12505174852937295,0.0442775850329444,0.5692793819390669
2.893509,0.41082488370537457,0.12946841415148055,0.04638173470312145,0.5866750325599766
2.895811,0.4217165863116002,0.13411593162531493,0.047921246727299915,0.603753764664215
2.898112,0.4328631215713031,0.13840967613156796,0.050080361124078585,0.6213531588269496
2.900414,0.4432725112126289,0.14267993570918208,0.0516928263308374,0.6376452732526483
2.902716,0.4542640498673545,0.14717754938319388,0.05374500935040927,0.6551866086009577
2.905017,0.4643930780026185,0.15209339465871086,0.05581068371196518,0.6722971563732946
2.907319,0.4751676214103761,0.15636915070898508,0.058412014318220636,0.6899487864375817
2.909621,0.4843110534869317,0.16114958288532893,0.060703543738175984,0.7061641801104366
2.911922,0.4925185795928451,0.16611189833879084,0.06365564923601641,0.7222861271676524
2.9142240000000004,0.5041136932622469,0.17109570000356075,0.06626147695626654,0.7414708702220741
2.916525,0.5133159328742204,0.1764282778425846,0.06947841250046029,0.7592226232172653
2.918827,0.522863267868452,0.1817993309902296,0.07210972386668027,0.7767723227253619
2.921129,0.5321452851447521,0.18706794987466246,0.07535414177417482,0.7945673767935895
2.92343,0.5407858899998668,0.19250795877022592,0.07924314602090672,0.8125369947909994
2.925732,0.5496439459743172,0.19807388685764032,0.08246957547242256,0.8301874083043801
2.928034,0.5577137986252214,0.20426991058364255,0.08636057843648541,0.8483442876453493
2.930335,0.5651559150259678,0.2093996186135732,0.08973291425316196,0.864288447892703
2.932637,0.5741862907553636,0.21719661492168116,0.09363840791787437,0.8850213135949191
2.9349380000000003,0.5813010907961874,0.2233896405716869,0.09708819403112592,0.9017789253990002
2.93724,0.5887236046851277,0.2295401934784096,0.10093172745857827,0.9191955256221156
2.939542,0.5958890065587531,0.2366216489820309,0.10428057834661593,0.9367912338874
2.941843,0.6001628100048172,0.2432648857108373,0.10833597581115097,0.9517636715268056
2.944145,0.6082057661860343,0.2498376676537271,0.11177027186508752,0.9698137057048488
2.946447,0.6164775702957767,0.2560921538616602,0.1152310509236594,0.9878007750810962
2.948748,0.6193071700813468,0.2620393372799568,0.1187607857301497,1.0001072930914532
2.95105,0.6274850644833676,0.2690918113822791,0.12165342938739385,1.0182303052530406
2.953351,0.6334205227092615,0.2750989563205048,0.1244921076767018,1.0330115867064682
2.955653,0.6396787385714022,0.2793312402688305,0.12726682701141875,1.0462768058516516
2.957955,0.6439607477200828,0.28711474523495445,0.12964929806993314,1.0607247910249704
2.960256,0.6502267134124724,0.2920975475410589,0.13200378708581406,1.0743280480393451
2.962558,0.6539703372950407,0.29713981168775955,0.13463559813136675,1.0857457471141672
2.96486,0.6595989934175532,0.3043926572025114,0.136950612479961,1.1009422631000256
2.967161,0.6636521546377087,0.30962679821298505,0.13945850305099367,1.1127374559016874
2.969463,0.666733395970183,0.31573138062109546,0.14114392144033286,1.1236086980316111
2.971764,0.6721035724602774,0.3208311078910615,0.14363432323471953,1.1365690035860585
2.974066,0.6772407981705385,0.3259258383677001,0.14613222021909736,1.149298856757336
2.976368,0.6812634159420661,0.3311334963735385,0.1481804058040073,1.160577318119612
2.978669,0.6858636240033176,0.3363361575860494,0.15041447210069728,1.1726142536900643
2.980971,0.6906484603734391,0.3415008431692719,0.15286589890713012,1.1850152024498408
2.983273,0.6942708222062312,0.34689688028355403,0.1556750961158063,1.1968427986055914
2.985574,0.6961298697212231,0.3521455119946772,0.1586636782049369,1.2069390599208372
2.987876,0.7019139783210805,0.3569544258929873,0.16161678306144278,1.2204851872755107
2.990177,0.7067289022674623,0.3622315393260768,0.16459137412925662,1.2335518157227958
2.992479,0.7093579182112972,0.36763057451635534,0.16842641300805236,1.2454149057357051
2.994781,0.7134584901576808,0.3723835243293984,0.17141649413518115,1.2572585086222603
2.997082,0.7164891296573539,0.3773358461962055,0.17518807373871867,1.269013049592278
2.999384,0.7204251316790411,0.3816525759517646,0.17902760973150908,1.2811053173623148
3.001686,0.7247449782342309,0.3872309960224977,0.18275022076043784,1.2947261950171665
3.003987,0.7277815440746824,0.3925535802748666,0.1859636585493024,1.3062987828988517
3.006289,0.7303640610370241,0.3974249540897696,0.1897742131407938,1.3175632282675875
3.0085900000000003,0.7340570830867912,0.402401760243881,0.19365572219753452,1.3301145655282067
3.010892,0.7373288790689141,0.4066680223868332,0.19756671233490708,1.3415636137906546
3.013194,0.7397076210829475,0.4119776149765509,0.2014782021516124,1.3531634382111108
3.015495,0.7432037062699198,0.4162608662168163,0.20544315765692106,1.3649077301436572
3.0177970000000003,0.7457698118270286,0.4205306261150977,0.20854416759591868,1.3748446055380448
3.020098,0.7482479340171945,0.4253540307140574,0.2126505323523933,1.3862524970836452
3.0224,0.7492827642916016,0.4300470190071713,0.21590944096053746,1.3952392242593104
3.024702,0.7493055579099805,0.4341283997970089,0.21896298136292447,1.4023969390699138
3.027003,0.750269272095045,0.4383172116433861,0.22171021833434065,1.4102967020727717
3.029305,0.7544924737083077,0.4421377598215323,0.2254023489239721,1.4220325824538118
3.031607,0.7560821006540599,0.44608622590886055,0.2281325967980751,1.4303009233609956
3.0339080000000003,0.7565261203400829,0.4506927696774101,0.2301433064330293,1.4373621964505223
3.03621,0.7569040385328069,0.4537847853884183,0.23306892892623446,1.4437577528474597
3.038511,0.7558701200031352,0.4577472424970632,0.2351650837270876,1.4487824462272858
3.040813,0.7573106766846884,0.4614483673146841,0.2372462481479585,1.456005292147331
3.043115,0.7568944652130877,0.4647287621341362,0.2393114228301817,1.4609346501774056
3.045416,0.7555350538129636,0.4679581896616484,0.24103031973481456,1.4645235632094264
3.047718,0.7543876230637644,0.4713270277229958,0.2426827592881928,1.468397410074953
3.05002,0.7530245646846996,0.4745819388964779,0.2442592475829941,1.4718657511641715
3.052321,0.7513811447995731,0.4779782593211261,0.2459066903430449,1.475266094463744
3.054623,0.7493447629335923,0.4797611151803499,0.2466741977981368,1.4757800759120792
3.056924,0.7446962324013773,0.4832029064242777,0.2474551965952127,1.4753543354208676
3.059226,0.7432173824409473,0.485715294109305,0.24831814280285835,1.4772508193531104
3.061528,0.7408477578742654,0.4887943181576619,0.24916409991319075,1.478806175945118
3.063829,0.7368342575500896,0.4907585576146711,0.249942600313603,1.4775354154783635
3.066131,0.7344094724269307,0.49286120824685,0.24989413141832698,1.4771648120921077
3.068433,0.7295047416241355,0.4948264470625247,0.24999406728487544,1.4743252559715356
3.070734,0.7254670800644779,0.4964294183619614,0.2507940538965956,1.472690552323035
3.073036,0.7209995308621922,0.4979464448161665,0.2508205369012309,1.4697665125795896
3.075337,0.7167425946937285,0.4995094417689839,0.2508000500485884,1.4670520865113006
3.077639,0.7122057528915705,0.500311427098035,0.2499705823562365,1.4624877623458419
3.079941,0.7058508920875028,0.5010019839358845,0.24999706536087185,1.4568499413842593
3.082242,0.7013167855195503,0.5015266472352637,0.2499281096129535,1.4527715423677676
3.084544,0.6959406826886774,0.5030526679174582,0.2491611018371943,1.4481544524433296
3.086846,0.6908349121717794,0.5030396762548069,0.2483131460095309,1.4421877344361171
3.089147,0.6848205880262942,0.5030176903641662,0.24755163470643196,1.4353899130968923
3.0914490000000003,0.6790237150001447,0.5017964740749445,0.24661323691954226,1.4274334259946313
3.09375,0.6711166087844664,0.5016660577690988,0.2453475491697065,1.4181302157232718
3.096052,0.6661352914239177,0.5003179229293606,0.2442407594476827,1.4106939738009612
3.098354,0.6599796468444826,0.5002734514687465,0.24345626289527755,1.4037093612085068
3.100655,0.6532801465305244,0.4988518637670952,0.2417573531639544,1.393889363461574
3.102957,0.6465569408534521,0.4969540816613406,0.2406440676106049,1.3841550901253976
3.105259,0.6392616153550663,0.4960436659170845,0.23855440864107735,1.373859689913228
3.10756,0.6321910349338977,0.4942548139058678,0.2369814181016052,1.3634272669413707
3.109862,0.6248382695171971,0.4918783389993462,0.2353664544981827,1.3520830630147262
3.112163,0.6172972288126858,0.4904117801577482,0.2330884164202114,1.3407974253906454
3.114465,0.6097653055555261,0.48795135912332604,0.2307249331763412,1.3284415978551931
3.116767,0.6019662410909644,0.4850282350267846,0.22843840054971326,1.3154328766674623
3.119068,0.5938275517125555,0.4832763592861907,0.2260239500139033,1.3031278610126498
