Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,CO_NH3_10K,CO_CH3OH_10K,all
2.85208,0.16660920555500372,0.0001561771676138183,0.0036258966621169923,0.17039127938473453
2.854382,0.17610020145438868,0.0001686116554811605,0.0039009475337426023,0.18016976064361245
2.8566830000000003,0.18474465741976495,0.00017806186626034062,0.004205343796735138,0.18912806308276048
2.858985,0.19505483737985047,0.00018054876383380902,0.004551519938961947,0.1997869060826462
2.861286,0.20415190870359806,0.00017955400480442163,0.004936989062849556,0.20926845177125206
2.863588,0.2141855456535138,0.00017806186626034062,0.005357772132280416,0.21972137965205454
2.8658900000000003,0.22445593525242385,0.00017905662528972798,0.005809890111136979,0.2304448819888505
2.868191,0.2353167143352752,0.0001820409023778901,0.006288369204272309,0.24178712444192535
2.870493,0.24619689121919966,0.00018552255898074592,0.006787738237024771,0.25317015201520515
2.872795,0.2572277740960763,0.00018800945655421435,0.007300536516673964,0.2647163200693045
2.875096,0.26865606320519314,0.00018751207703952068,0.007816816452926012,0.2766603917351587
2.877398,0.27994409129116643,0.00018303566140727748,0.008329117353060514,0.2884562443056342
2.879699,0.2923183962372307,0.0001775644867456469,0.008842910391739093,0.30133887111571545
2.882001,0.30440422106477266,0.00017806186626034062,0.009368143159255628,0.3139504260902886
2.884303,0.31685760935367324,0.0001860199384954396,0.009904815655610116,0.3269484449477788
2.886604,0.328922544241598,0.000194972769759926,0.01043949863390583,0.3395570156452637
2.888906,0.3418195950576054,0.00019944918539216918,0.010955778570157884,0.35297482281315545
2.891208,0.3551986066233509,0.00020143870345094397,0.011447686910189941,0.3668477322369918
2.893509,0.3669929670552824,0.0002123810527742051,0.011918705310604865,0.3791240534186614
2.895811,0.3804689676263932,0.000239736926082358,0.012370823289461428,0.393079527841937
2.898112,0.3938489739511681,0.000268584937934592,0.012801553949186162,0.4069191128382888
2.900414,0.4069315473261562,0.0002730613535668352,0.01320443135608805,0.4204090400358112
2.902716,0.4198141741362375,0.00024918713686153805,0.01357746599210832,0.4336408272652073
2.905017,0.43345679684477056,0.00025913472715541184,0.013930108068026142,0.4476460396399521
2.907319,0.4460469645002121,0.0003760189131084287,0.014274294692194175,0.4606972781055146
2.909621,0.4596617339559223,0.000584918309279778,0.014613010141700578,0.4748596624069026
2.911922,0.4732506396768685,0.0007495509286433889,0.0149343173081927,0.4889345079137046
2.9142240000000004,0.4868768488614169,0.00074159285640829,0.015226279083317897,0.5028447208011431
2.916525,0.5011063793972886,0.0006202322548230298,0.015478450497267596,0.5172050621493792
2.918827,0.5152911457768379,0.00056900216480958,0.015678894441689153,0.5315390423833367
2.921129,0.5297842874554973,0.00074159285640829,0.015818658085318082,0.5463445383972237
2.92343,0.5465857674618501,0.001139496468163241,0.01590072570524254,0.5636259896352558
2.925732,0.5616797435942595,0.00171645670520792,0.01593007109660946,0.5793262713960771
2.928034,0.5786662487800783,0.002434175344910913,0.0159116680545658,0.5970120921795551
2.930335,0.5933593370236446,0.003263804375419986,0.01584949561522909,0.6124726370142937
2.932637,0.6067666992217277,0.004177490543912293,0.015747532814716882,0.6266917225803568
2.9349380000000003,0.6195717348275167,0.005125993278433157,0.015613240345749587,0.6403109684516994
2.93724,0.6319251498339639,0.006041171585469543,0.015458057937165157,0.6534243793565986
2.939542,0.6425531553039385,0.006860853025684743,0.01529292793828685,0.6647069362679101
2.941843,0.651840722981814,0.007577079526843656,0.015125808421349769,0.6745436109300074
2.944145,0.6630929397427291,0.008209746269534026,0.014963662699559628,0.6862663487118228
2.946447,0.6726550609127153,0.008813565000372166,0.014809475050004585,0.6962781009630921
2.948748,0.6827976239763489,0.009568089724162492,0.01465130836433199,0.7070170220648435
2.95105,0.6931157620086696,0.01067227224678248,0.0144772255341892,0.7182652597896413
2.953351,0.7009818190335504,0.012218127778450466,0.01428672918006152,0.7274866759920623
2.955653,0.7105145948121695,0.01413900746419749,0.014101206621080768,0.7387548088974477
2.957955,0.7164756882957735,0.01634190133477584,0.013941050417349405,0.7467586400478987
2.960256,0.7219811821439178,0.01855474279564806,0.013808250086926191,0.7543441750264921
2.962558,0.729469728117146,0.020383109891662064,0.013690371141943785,0.7635432091507519
2.96486,0.733826275286348,0.021481323860105726,0.013575973853564237,0.768883573000018
2.967161,0.7393049106406991,0.02176980397862806,0.013459587047125913,0.774534301666453
2.969463,0.7430650997717833,0.02125203190383193,0.01333673430699657,0.7776538659826118
2.971764,0.7502383071326957,0.020007588358068325,0.013207415633176213,0.7834533111239402
2.974066,0.7556781468849006,0.018285163098684082,0.013079091718385241,0.7870424017019699
2.976368,0.7615666229593592,0.016350854166040325,0.012960715393888142,0.7908781925192876
2.978669,0.7667329039784826,0.014372775836103526,0.012849302382596756,0.7939549821971829
2.980971,0.7737946983281035,0.012419069102386715,0.01273241819664374,0.798946185627134
2.983273,0.7817388439367908,0.01055389592228538,0.012597628348161749,0.8048903682072381
2.985574,0.7852090608108091,0.008849376325430109,0.01244244593957732,0.8065008830758165
2.987876,0.7938191975896715,0.007381111998054342,0.012267865729919834,0.8134681753176456
2.990177,0.8024253553324162,0.0062038146867743815,0.012076871996277458,0.820706042015468
2.992479,0.8074449093947049,0.005299578729061254,0.01187742281088529,0.8246219109346515
2.994781,0.8151154962703111,0.0046355770769451795,0.011677476245978424,0.8314285495932348
2.997082,0.8233983573285051,0.004174506266824131,0.011480513958159723,0.8390533775534891
2.999384,0.8290560493081457,0.003872596901405061,0.01127907525470878,0.8442077214642596
3.001686,0.8367529972980307,0.003686079583394928,0.011066196822419884,0.8515052737038455
3.003987,0.8446429285396165,0.003586603680456189,0.010840883902263641,0.8590704161223364
