Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,CO_CH3OH_10K,H2O_CH3OH_CO_NH3_100K_NASA,all
2.85208,0.16094044308870525,0.0035025280473011677,0.07070446227282401,0.2351474334088304
2.854382,0.170108514446538,0.0037682205041129025,0.07559647058251133,0.2494732055331622
2.8566830000000003,0.17845884880347826,0.004062259895738185,0.08061051484885356,0.26313162354807
2.858985,0.18841823205347905,0.004396657635233604,0.08554912744120044,0.2783640171299131
2.861286,0.1972057818456791,0.004769011439987846,0.09127472781701497,0.29324952110268193
2.863588,0.2068980312693013,0.005175477657822796,0.09605911386571526,0.30813262279283943
2.8658900000000003,0.21681897799752112,0.005612212636560348,0.1008137116100352,0.3232449022441166
2.868191,0.22731022661766764,0.006074411810977868,0.10556878981087743,0.3389534282395229
2.870493,0.23782021304218245,0.006556790159330457,0.11056697901198496,0.3549439822134979
2.872795,0.24847577779294314,0.007052140833784161,0.11474935303828902,0.3702772716650163
2.875096,0.2595152273049924,0.007550854703893709,0.1195572814565802,0.3866233634654663
2.877398,0.2704191880777633,0.00804572492182515,0.1237699242437869,0.4022348372433754
2.879699,0.2823724658951578,0.008542036509323381,0.12810556390069305,0.4190200663051742
2.882001,0.2940470789296394,0.009049398596833676,0.13224421638347109,0.4353406939099441
2.884303,0.3060767493340737,0.009567811184356026,0.13611573503987068,0.4517602955583005
2.886604,0.3177311831946203,0.010084301945789326,0.14013667567469418,0.4679521608151038
2.888906,0.33018942081691377,0.010583015815898877,0.14430319463576355,0.4850756312685762
2.891208,0.3431132208092806,0.011058187316417509,0.14812762855298128,0.5022990366786794
2.893509,0.35450628632171577,0.011513179643001078,0.15189248586143836,0.5179119518261552
2.895811,0.367523775335924,0.011949914621738632,0.15567415914817462,0.5351478491058372
2.898112,0.38044853624133534,0.01236598997001885,0.16016546671829415,0.5529799929296484
2.900414,0.3930859841464331,0.012755159753052315,0.16397692830941074,0.5698180722088962
2.902716,0.4055302885295809,0.013115502144749968,0.16846006811865186,0.5871058587929827
2.905017,0.41870873047874735,0.013456145819034813,0.17241854940558105,0.6045834257033632
2.907319,0.4308705264268043,0.01378862173244118,0.1766725114537024,0.6213316596129479
2.909621,0.4440220628107239,0.014115812624102646,0.1809677927627384,0.639105668197565
2.911922,0.457148615455486,0.01442618753748489,0.18557489035472344,0.6571496933476942
2.9142240000000004,0.4703112023394178,0.014708215516053584,0.19027855970768345,0.6752979775631547
2.916525,0.4840565829848552,0.014951806972841196,0.19538917573500064,0.6943975656926971
