Wavelength,CO_NH3_10K,H2O_CH3OH_CO_NH3_120K_NASA,CO_CH3OH_10K,all
2.85208,0.00015698948015310162,0.0561532371780747,0.0036447557653379327,0.059954982423565735
2.854382,0.00016948864258567342,0.05974699636068774,0.003921237238346421,0.06383772224161982
2.8566830000000003,0.00017898800603442796,0.06362023681529308,0.004227216734695777,0.06802644155602329
2.858985,0.0001814878385209423,0.06781495572766418,0.004575193416818577,0.07257163698300369
2.861286,0.00018048790552633654,0.07167669695283156,0.004962667452228302,0.0768198523105862
2.863588,0.00017898800603442796,0.07576842276675826,0.005385639108946531,0.08133304988173921
2.8658900000000003,0.00017998793902903373,0.08000163909942168,0.005840108654994842,0.08602173569344555
2.868191,0.00018298773801285093,0.0842058573752415,0.006321076425400204,0.09070992153865456
2.870493,0.00018648750349397104,0.08843857374140762,0.006823042788692286,0.09544810403359387
2.872795,0.00018898733598048535,0.09282577975524033,0.007338508247411547,0.10035327533863236
2.875096,0.0001884873694831825,0.09678251461489523,0.007857473471611927,0.10482847545599036
2.877398,0.0001839876710074567,0.10088123995978418,0.008372438963833884,0.10943766659462552
2.879699,0.0001784880395371251,0.1049589667117864,0.00888890435554775,0.11402635910687127
2.882001,0.00017898800603442796,0.10901869466988573,0.009416868976699584,0.11861455165261972
2.884303,0.00018698746999127396,0.11324541143808417,0.00995633282728938,0.12338873173536485
2.886604,0.0001959868669427256,0.11723964378503683,0.010493796811889966,0.1279294274638695
2.888906,0.00020048656541845144,0.12155035492478218,0.011012762036090348,0.13276360352629096
2.891208,0.0002024864314076629,0.1251236154810058,0.011507228901922888,0.13683333081433635
2.893509,0.00021348569434832606,0.12954281935066592,0.011980697174868708,0.14173700221988295
2.895811,0.00024098385169998398,0.13419300774207987,0.012435166720917016,0.14686915831469688
2.898112,0.00026998190854355054,0.13848921985340346,0.012868137707581304,0.1516273394695283
2.900414,0.0002744816070192764,0.1427619335393538,0.01327311057039663,0.1563095257167697
2.902716,0.00025048321514873847,0.14726213198157698,0.013648085443373785,0.1611607006400995
2.905017,0.000260482545094796,0.15218080238204262,0.01400256168996152,0.16644384661709896
2.907319,0.0003779746719609708,0.15645901569946324,0.01434853850609511,0.1711855288775193
2.909621,0.0005879606008281767,0.16124219517915986,0.014689015690758362,0.1765191714707464
2.911922,0.0007534495114354272,0.16620736246387466,0.015011994048016016,0.1819728060233261
2.9142240000000004,0.0007454500474785812,0.1711940283079735,0.0153054743819328,0.1872449527373849
2.916525,0.0006234582221366808,0.17652967076718973,0.01555895739606536,0.19271208638539175
2.918827,0.0005719616729144848,0.1819038106466983,0.015760443894478414,0.1982362162140912
2.921129,0.0007454500474785812,0.1871754573942598,0.015900934480220518,0.2038218419219589
2.92343,0.0011454232453208784,0.19261859265039616,0.015983428952275495,0.20974744484799251
2.925732,0.001725384382192209,0.19818771946385286,0.016012926975616362,0.2159260308216614
2.928034,0.0024468360378002525,0.20438730403040845,0.015994428215216162,0.22282856828342484
2.930335,0.0032807801553014428,0.20951996009171972,0.015931932403053302,0.2287326726500745
2.932637,0.004199218610846817,0.21732143731563366,0.01582943927110621,0.2373500951975868
2.9349380000000003,0.0051526547212033934,0.22351802208320548,0.015694448316834437,0.2443651251212433
2.93724,0.0060725930762406755,0.2296721096985065,0.01553845876967594,0.25128316154442315
2.939542,0.006896537863795808,0.2367576348982829,0.015372469892571388,0.2590266426546501
2.941843,0.007616489619911942,0.2434046894799245,0.015204481149477622,0.2662256602493141
2.944145,0.008252447004481194,0.2499812487854465,0.015041492071356887,0.2732751878612846
2.946447,0.00885940633220688,0.2562393294321865,0.014886502457192996,0.2799852382215864
2.948748,0.009617855508615335,0.2621899306830853,0.014727513111050684,0.2865352993027513
2.95105,0.010727781132627713,0.26924645782601797,0.014552524836994681,0.2945267637956405
2.953351,0.012281677006245035,0.27525705505659315,0.014361037668527678,0.3018997697313659
2.955653,0.014212547618828725,0.2794917712887485,0.014174550165033706,0.3078788690726109
2.957955,0.016426899235383145,0.2872797494172353,0.014013560952902184,0.3177202096055206
2.960256,0.018651250181883617,0.29226541532833955,0.013880069898122316,0.3247967354083455
2.962558,0.020489127025968976,0.29731057725262283,0.013761577838261535,0.3315612821168534
2.96486,0.021593053052013717,0.30456759096097397,0.013646585543881876,0.3398072295568696
2.967161,0.021883033620449382,0.3098047400202216,0.013529593383513004,0.34521736702418393
2.969463,0.021362568496757085,0.3159128307177708,0.013406101658679193,0.35068150087320704
2.971764,0.020111652320505304,0.32101548878924385,0.013276110369380449,0.3544032514791296
2.974066,0.01838026834034546,0.3261131471957439,0.013147119013076304,0.3576405345491657
2.976368,0.016435898632334595,0.3313237980306345,0.013028126986718222,0.3607878236496873
2.978669,0.014447531872561075,0.33652944920055194,0.012916134491322378,0.3638931155644354
2.980971,0.012483663471155395,0.3416971029166744,0.012798642364456205,0.366979408752286
2.983273,0.010608789106269629,0.3470962411210481,0.012663151443687126,0.3703681816710049
2.985574,0.008895403920012687,0.3523478892087175,0.012507161896528632,0.3737504550252588
2.987876,0.007419502819974612,0.3571595667787603,0.012331673655975322,0.3769107432547103
2.990177,0.006236082120858715,0.362439712956776,0.012139686521011021,0.3808154815986456
2.992479,0.0053271430287620955,0.3678418509601335,0.01193919995559257,0.38510819394448814
2.994781,0.004659687754862762,0.3725975322824784,0.011738213423676815,0.388995433461018
2.997082,0.004196218811863,0.3775527002372472,0.011540226690744877,0.3932891457398551
2.999384,0.003892739148000157,0.38187191080744665,0.011337740259337216,0.397102390214784
