Wavelength,d_NH3_CH3OH_50_10K_I10m_Baselined,H2O_40K,CH3OH,all
2.85208,0.0013596534340912035,0.10808115031191827,0.011912194880833012,0.12135299862684253
2.854382,0.0014181067428545176,0.11217681155955282,0.012918672440967722,0.12651359074337507
2.8566830000000003,0.0014741040302412216,0.11677988682359497,0.01420955727651385,0.13246354813035005
2.858985,0.0015335397475551794,0.12107006496425705,0.015689064553783612,0.13829266926559586
2.861286,0.0015988699161730011,0.1256068276511307,0.017168080626778052,0.14437377819408176
2.863588,0.0016705857403700086,0.1302845659650218,0.01861664203470253,0.15057179374009436
2.8658900000000003,0.0017486872201462013,0.1353292338725784,0.0206305795635226,0.1577085006562472
2.868191,0.001836612785428833,0.14007181115081194,0.022646481909443947,0.16455490584568472
2.870493,0.0019358360490438703,0.14474365501339925,0.02464126247152645,0.17132075353396956
2.872795,0.0020375153340355173,0.1497750604055221,0.026611974024118183,0.1784245497636758
2.875096,0.0021298617377960467,0.154980352111109,0.028652436583805632,0.18576265043271067
2.877398,0.002202068766268376,0.16011245437967292,0.031025935642161374,0.1933404587881027
2.879699,0.002265434117784909,0.16543563511133705,0.03301285693583873,0.2007139261649607
2.882001,0.002334202716329985,0.17077355197126087,0.03528909754768072,0.2083968522352716
2.884303,0.0024167250345840754,0.1759056542398248,0.03727061559432954,0.2155929948687384
2.886604,0.002507106621243317,0.18113943579338032,0.03941619586893589,0.22306273828355952
2.888906,0.0025965057993519148,0.1862234000429627,0.04143651905333513,0.2302564248956497
2.891208,0.0026800105261566487,0.19132701246355796,0.0435265932448301,0.2375336162345447
2.893509,0.002752217554628979,0.1965617764256641,0.045595054448210916,0.24490904842850397
2.895811,0.0028116532719429372,0.20177983944240932,0.04710845482047789,0.25169994753483016
2.898112,0.0028705977849815727,0.20743949510266907,0.0492309484941441,0.25954104138179473
2.900414,0.002949681673308409,0.21252689778217865,0.050816064690608086,0.2662926441460952
2.902716,0.003051360958300057,0.21719039117208544,0.0528334406493554,0.2730751927797409
2.905017,0.003128480029525605,0.2220822945500169,0.05486407912353641,0.2800748537030789
2.907319,0.0031250415995983517,0.2269908988733093,0.057421288580862574,0.2875372290537702
2.909621,0.00305479938822731,0.23149769809938836,0.05967395138748911,0.29422644887510474
2.911922,0.00302729194880928,0.2366799032040351,0.06257598624609129,0.3022831813989356
2.9142240000000004,0.0031481282005384843,0.2411675454633766,0.06513761654189534,0.3094532902058104
2.916525,0.0034114136921110584,0.2456895720219906,0.06829998966641816,0.3174009753805198
2.918827,0.0037356085138235563,0.25025187733118104,0.07088667138026364,0.32487415722526825
2.921129,0.0040617681526373415,0.2546127888874894,0.07407606073992917,0.33275061778005594
2.92343,0.00444343387456251,0.2586470496007087,0.07789910361476005,0.3409895870900313
2.925732,0.004968531244881692,0.2624366905848178,0.08107080962051398,0.34847603145021344
2.928034,0.0057161441519217255,0.26687030037387377,0.08489581731244612,0.3574822618382416
2.930335,0.0067486555386484974,0.2695468724701032,0.08821095496659408,0.36450648297534577
2.932637,0.008124027509550005,0.2741170370476988,0.09205020758251058,0.3742912721397594
2.9349380000000003,0.0098456984945535,0.2782436441646787,0.09544148189933344,0.3835308245585656
2.93724,0.011860127227648884,0.28200332168799297,0.09921982518511,0.39308327410075183
2.939542,0.014101983540218337,0.28559255132777056,0.1025118762383178,0.4022064111063067
2.941843,0.016418011698361414,0.28913118692719003,0.1064984901368309,0.4120476887623824
2.944145,0.018614677217601246,0.29222430024889245,0.1098745371211188,0.4207135145876125
2.946447,0.020535777138385454,0.2956229426298451,0.11327661793199872,0.4294353377002293
2.948748,0.022140050301587,0.2990304266877536,0.11674648493287308,0.4379169619222136
2.95105,0.02341226937467089,0.3022964439143693,0.11959006648271195,0.4452987797717522
2.953351,0.024369135302998085,0.3055202175733074,0.12238059797081605,0.4522699508471215
2.955653,0.025078434276563002,0.306733983337628,0.12510825531167893,0.4569206729258699
2.957955,0.02560942609818605,0.3110649314331418,0.12745031729641407,0.4641246748277419
2.960256,0.02598667098163332,0.3144193654293155,0.12976487184173116,0.4701709082526799
2.962558,0.026208204109803526,0.3160108672813587,0.13235204475985196,0.4745711161510142
2.96486,0.02626518380574088,0.3198638736169841,0.13462779416741866,0.4807568515901437
2.967161,0.026124208178723476,0.3220531710720942,0.1370931484252596,0.4852705276760773
2.969463,0.02574548968245024,0.32542283240080283,0.1387499804459206,0.4899183025291737
2.971764,0.025107415328807003,0.3280262150600093,0.14119814255412527,0.4943317729429416
2.974066,0.02423110690163261,0.3306855950066024,0.14365367272645976,0.4985703746346948
