Wavelength,CO_NH3_10K,CO_CH3OH_10K,H2O_CH3OH_CO_NH3_100K_NASA,all
2.85208,0.00015490167605975873,0.003596284135272743,0.07259708774086036,0.07634827355219287
2.854382,0.00016723461205177774,0.003869088679416204,0.07762004591168987,0.08165636920315786
2.8566830000000003,0.00017660764340571218,0.004170998952500828,0.08276830671219827,0.08711591330810481
2.858985,0.000179074230604116,0.004514347890518638,0.08783911667467681,0.09253253879579956
2.861286,0.0001780875957247545,0.004896668906271227,0.09371798060335244,0.09879273710534844
2.863588,0.00017660764340571218,0.00531401546024115,0.09863043566769343,0.10412105877134033
2.8658900000000003,0.00017759427828507372,0.0057624410129109615,0.10351230505077423,0.10945234034197028
2.868191,0.00018055418292315826,0.006237012389883854,0.10839466775129476,0.11481223432410174
2.870493,0.0001840074050009236,0.006732303099323335,0.11352664907629367,0.12044295958061794
2.872795,0.00018647399219932738,0.0072409133796342,0.11782097738871472,0.12524836476054824
2.875096,0.00018598067475964663,0.00775297688202283,0.12275760500760008,0.13069656256438253
2.877398,0.00018154081780251982,0.008261093844894013,0.127083012318721,0.13552564698141753
2.879699,0.00017611432596603146,0.008770690760084238,0.13153470889440014,0.14048151398045045
2.882001,0.00017660764340571218,0.009291633976387121,0.1357841453198102,0.14525238693960305
2.884303,0.0001845007224406044,0.009823923493802659,0.13975929724875782,0.14976772146500109
2.886604,0.00019338043635485803,0.010354239741459477,0.14388787090144609,0.1544354910792604
2.888906,0.00019782029331198492,0.010866303243848107,0.14816591973835766,0.15923004327551776
2.891208,0.0001997935630707079,0.01135419419169238,0.15209272655821648,0.16364671431297956
2.893509,0.00021064654674368463,0.011821365807070059,0.15595836201555496,0.16799037436936867
2.895811,0.00023777900592612645,0.01226979135973987,0.15984126358328218,0.17234883394894818
2.898112,0.0002663914174276106,0.01269700426250341,0.16445279500941795,0.17741619068934894
2.900414,0.0002708312743847374,0.013096591388644826,0.1683662822584054,0.18173370492143495
2.902716,0.00024715203728006087,0.013466579468405395,0.17296942728806658,0.186683158793752
2.905017,0.0002570183860736761,0.013816341533139057,0.17703386967359636,0.1911072295928091
2.907319,0.00037294798439865476,0.014157717201398141,0.1814017022845298,0.1959323674703266
2.909621,0.0005801413090645741,0.014493666377820737,0.18581196019527585,0.20088576788216114
2.911922,0.0007434293815989058,0.01481234944385451,0.19054238112437466,0.20609815994982805
2.9142240000000004,0.0007355363025640136,0.015101926780947112,0.19537195885884925,0.2112094219423604
2.916525,0.0006151668472819082,0.015352038722865259,0.20061937646473352,0.21658658203488068
2.918827,0.0005643551509947897,0.015550845651056609,0.20567144036450416,0.22178664116655555
2.921129,0.0007355363025640136,0.0156894678516069,0.210564162731258,0.2269891668854289
2.92343,0.0011301902543086218,0.015770865229154225,0.2156764113586697,0.2325774668421325
2.925732,0.0017024384843383035,0.015799970958095388,0.2211497683519277,0.2386521777943614
2.928034,0.002414295549797641,0.01578171821282721,0.2270138327574129,0.2452098465200377
2.930335,0.003237149039185149,0.01572005353286711,0.2315715925826235,0.2505287951546757
2.932637,0.004143373175878706,0.015618923457732553,0.2386812835233026,0.2584435801569138
2.9349380000000003,0.005084129533349916,0.015485727749018748,0.24433026152508694,0.2649001188074556
2.93724,0.005991833622362514,0.01533181270783835,0.2500892493159202,0.27141289564612103
2.939542,0.006804820762956407,0.015168031317864341,0.256185666235495,0.2781585183163157
2.941843,0.007515197876096703,0.0150022766581316,0.2622963893608206,0.2848138638950489
2.944145,0.00814269765937063,0.014841455172795675,0.2681047088956218,0.2910888617277881
2.946447,0.008741585031143072,0.014688526766494637,0.27376453988107924,0.2971946516787169
2.948748,0.009489947587138786,0.014531651820676157,0.28002227160342963,0.3040438710112446
2.95105,0.010585112303230074,0.014358990716787891,0.28584835056605945,0.31079245358607743
2.953351,0.012118342905757877,0.01417005013739016,0.29159599205578,0.31788438509892797
2.955653,0.014023534857804972,0.013986042732389237,0.2955415449383467,0.3235511225285409
2.957955,0.016208437798151062,0.013827194516812032,0.3021391723766372,0.3321748046916003
2.960256,0.018403207087290763,0.01369547876041727,0.3073283785246391,0.3394270643723471
2.962558,0.02021664199555724,0.013578562527212928,0.3109458753098181,0.3447410798325883
2.96486,0.02130588690237236,0.013465099516086352,0.3174285597846629,0.3521995462031217
2.967161,0.0215920110173872,0.013349663235201056,0.3228609714304275,0.3578026456830158
2.969463,0.021078467562679525,0.013227813827599905,0.32773198782983537,0.3620382692201148
2.971764,0.019844187328598262,0.01309955129328291,0.3329473398021403,0.3658910784240215
2.974066,0.01813582903498379,0.01297227539384527,0.3382297829462419,0.36933788737507095
2.976368,0.016217317512065316,0.01285486584320125,0.3424180480091316,0.3714902313643981
2.978669,0.014255394054454931,0.012744362736712759,0.3468549450616203,0.373854701852788
2.980971,0.012317643151388905,0.012628433138387784,0.35230560945265305,0.3772516857424297
2.983273,0.010467702752586051,0.012494744112234295,0.3567262270296324,0.3796886738944527
2.985574,0.008777103886800086,0.0123408290710539,0.36169985345649375,0.3828177864143477
2.987876,0.007320830804862483,0.012167674649725952,0.3664130082752037,0.38590151372979214
2.990177,0.006153148425138122,0.01197824075288854,0.37108965760337737,0.389221046781404
2.992479,0.005256297319798501,0.011780420459576555,0.3756331112228372,0.3926698290022122
2.994781,0.0045977185378246865,0.01158210684882489,0.3802628953942411,0.39644272078089066
2.997082,0.004140413271240622,0.01138675314271131,0.38489119961332596,0.4004183660272779
2.999384,0.0038409695853544,0.011186959579640604,0.3885308956832907,0.4035588248482857
