Wavelength,CO_CH3OH_10K,CH3OH,H2O_CH3OH_CO_NH3_100K_NASA,all
2.85208,0.0034563162084365524,0.01149782227308571,0.06977159801779581,0.08472573649931807
2.854382,0.003718503158130025,0.012469288927555736,0.07459906189081378,0.09078685397649956
2.8566830000000003,0.0040086630373567965,0.013715269585411877,0.07954695159605985,0.09727088421882853
2.858985,0.004338648782359794,0.015143311343959324,0.08442040486170035,0.10390236498801947
2.861286,0.004706089805890428,0.016570878985057054,0.09007046250997723,0.11134743130092473
2.863588,0.0051071931683509654,0.01796905134427234,0.0947917240742586,0.11786796858688192
2.8658900000000003,0.0055381659301436716,0.019912932888111825,0.09948359035665752,0.12493468917491303
2.868191,0.005994266916771377,0.021858710901750174,0.10417593075650618,0.13202890857502772
2.870493,0.006470280836287192,0.023784101865050703,0.10910817458591156,0.13936255728724947
2.872795,0.006959095926945364,0.0256862610733151,0.1132353669856976,0.14588072398595808
2.875096,0.0074512298397515575,0.027655744959439302,0.11797986030501507,0.15308683510420595
2.877398,0.007939570812960015,0.0299466804764716,0.12213692210413332,0.16002317339356492
2.879699,0.008429334138517621,0.03186448556057665,0.12641535797037906,0.16670917766947335
2.882001,0.00893000216541872,0.03406154582256499,0.13049940568224086,0.17349095367022455
2.884303,0.009441574893663306,0.035974135614723166,0.13431984409206002,0.1797355546004465
2.886604,0.009951251152109023,0.0380450806350868,0.13828773302874114,0.18628406481593696
2.888906,0.01044338506491522,0.0399951257057726,0.14239927955268653,0.19283779032337434
2.891208,0.01091228722268528,0.04201249545431821,0.14617325445243345,0.1990980371294369
2.893509,0.011361276447567228,0.044009004035076286,0.14988843878841546,0.205258719271059
2.895811,0.011792249209359935,0.0454697598976542,0.15362021723513752,0.21088222634215165
2.898112,0.012202834920814812,0.04751842139788113,0.15805226715509155,0.21777352347378756
2.900414,0.012586870055085542,0.049048398408117734,0.16181344088369612,0.2234487093468994
2.902716,0.01294245814237325,0.050995598774105234,0.16623743080700498,0.23017548772348345
2.905017,0.013278607414222569,0.052955600311235085,0.17014368447522288,0.2363778922006805
2.907319,0.013606696689426698,0.05542385575446153,0.17434152037501674,0.24337207281890494
2.909621,0.01392957067268394,0.05759815837886345,0.17858013037548626,0.2501078594270336
2.911922,0.014235850545201087,0.060399244271791185,0.1831264426008221,0.2577615374178144
2.9142240000000004,0.014514157488184931,0.06287176677206507,0.18776805243355102,0.26515397669380103
2.916525,0.014754535035191429,0.06592413491334279,0.1928112397461902,0.2734899096947244
2.918827,0.014945604367427359,0.06842083740355223,0.19766667654874145,0.28103311831972105
2.921129,0.015078831370797819,0.07149928200456437,0.20236897341503413,0.2889470867903964
2.92343,0.015157060750001115,0.07518933811571138,0.20728225254645088,0.2976286514121634
2.925732,0.015185033679534412,0.07825071448853371,0.2125425856510604,0.3059783338191285
