Wavelength,H2O_40K,CH3OH,H2O_CH3OH_CO_NH3_100K_NASA,all
2.85208,0.10793393517263347,0.011895969522169557,0.07218765291542592,0.19201755761022896
2.854382,0.11202401780328168,0.012901076179665143,0.07718228248429858,0.2021073764672454
2.8566830000000003,0.11662082331201333,0.01419020272719974,0.08230150799802424,0.2131125340372373
2.858985,0.12090515788818045,0.015667694797661773,0.08734371948284471,0.22391657216868693
2.861286,0.1254357411427579,0.017144696332907845,0.09318942765140248,0.2357698651270683
2.863588,0.13010710800431502,0.0185912846847646,0.0980741773319008,0.2467725700209804
2.8658900000000003,0.1351449046721918,0.020602479070187682,0.10292851382900978,0.2586758975713893
2.868191,0.1398810221822552,0.02261563559647459,0.10778334086133473,0.2702799986400645
2.870493,0.14454650262122082,0.024607699108475357,0.11288637871293382,0.28204058044263003
2.872795,0.1495710548382668,0.026575726394894236,0.1171564877678382,0.29330326900099923
2.875096,0.15476925652176154,0.028613409681978987,0.12206527367391838,0.3054479398776589
2.877398,0.15989436845807872,0.03098367584548248,0.12636628644742806,0.31724433075098923
2.879699,0.16521029859340308,0.03296789079402795,0.13079287623622265,0.3289710656236537
2.882001,0.17054094478520618,0.03524103098477198,0.13501834658647496,0.3408003223564531
2.884303,0.17566605672152336,0.037219850045941916,0.13897107935665526,0.3518569861241205
2.886604,0.1808927094475436,0.03936250786924144,0.1430763685789981,0.3633315858957831
2.888906,0.18596974893269694,0.041380079212471964,0.1473302899717759,0.3746801181169448
2.891208,0.19106640982648865,0.04346730655636834,0.15123495029079242,0.3857686666736494
2.893509,0.1962940436229408,0.04553295035076264,0.15507878424303034,0.3969057782167337
2.895811,0.2015049992220504,0.047044289351125694,0.15893978692782668,0.4074890755010028
2.898112,0.2071569459803052,0.049163892019275235,0.16352531012659133,0.41984614812617177
2.900414,0.21223741921197029,0.050746849161168,0.16741672599477697,0.4304009943679152
2.902716,0.21689456055226464,0.052761477293102765,0.17199391009487036,0.44164994794023776
2.905017,0.2217798007679789,0.054789349875868386,0.17603542973913885,0.4526045803829861
2.907319,0.2266817191810357,0.05734307621013975,0.1803786285412208,0.4644034239323962
2.909621,0.23118237978743975,0.05959267071051786,0.18476401337187498,0.4755390638698327
2.911922,0.2363575263157845,0.062490752766390927,0.18946775555768525,0.4883160346398607
2.9142240000000004,0.2408390560487663,0.0650488939176059,0.1942700953219028,0.500158045288275
2.916525,0.2453549232468651,0.0682069596379361,0.19948791841403585,0.513049801298837
2.918827,0.2499110143326723,0.07079011808516486,0.2045114895606499,0.5252126219784871
2.921129,0.2542659859799372,0.07397516324237269,0.20937661783251,0.5376177670548198
2.92343,0.2582947517085908,0.07779299882816486,0.2144600342754708,0.5505477848122264
2.925732,0.2620792308996979,0.08096038471759823,0.219902522496512,0.5629421381138081
2.928034,0.2665068017589244,0.08478018244425421,0.2257335146085911,0.5770204988117698
2.930335,0.2691797281506733,0.08809080461674698,0.23026556946881646,0.5875361022362366
2.932637,0.27374366779993586,0.09192482786466573,0.2373351630011865,0.6030036586657881
2.9349380000000003,0.27786465414918937,0.09531148299563183,0.24295228175910846,0.6161284189039296
2.93724,0.28161921069212303,0.0990846798767719,0.2486787898701887,0.6293826804390836
2.939542,0.2852035515151197,0.1023722468941147,0.2547408240689834,0.6423166224782177
2.941843,0.2887373672108729,0.1063534307068205,0.2608170837890409,0.6559078817067343
2.944145,0.2918262674657532,0.10972487924609194,0.26659264542171685,0.668143792133562
2.946447,0.2952202806249586,0.11312232615180905,0.2722205559543898,0.6805631627311575
2.948748,0.2986231234180513,0.11658746691732826,0.27844299516880244,0.693653585504182
2.95105,0.3018846920689484,0.11942717528250245,0.2842362160692528,0.7055480834207036
2.953351,0.30510407469127315,0.12221390584435332,0.2899514418703661,0.7172694224059926
2.955653,0.3063161872099025,0.1249378478985617,0.293874742527589,0.7251287776360532
