Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,H2O_CH4_10_0.6_a_V3,HNCO_NH3,all
2.85208,0.16699825693153994,0.15918971563608336,0.0003514713713205672,0.3265394439389439
2.854382,0.17651141538194998,0.16579799543657248,0.0003664275998873999,0.3426758384184099
2.8566830000000003,0.1851760571316684,0.17260141067783893,0.0003813838284542325,0.3581588516379615
2.858985,0.1955103125303975,0.17939890275226894,0.0003963400570210652,0.37530555533968746
2.861286,0.2046286265466432,0.18664523924696927,0.0004112962855878978,0.3916851620792003
2.863588,0.2146856931759336,0.19422656373275105,0.00042625251415473047,0.40933850942283934
2.8658900000000003,0.22498006529848455,0.20138536898420206,0.0004412087427215631,0.42680664302540827
2.868191,0.2358662055313298,0.2091371490489428,0.0004561649712883958,0.44545951955156105
2.870493,0.24677178886131196,0.2169817253941206,0.0004711211998552283,0.4642246354552878
2.872795,0.2578284300998191,0.22471968473624301,0.000486077428422061,0.4830341922644841
2.875096,0.26928340555915625,0.23251621761708105,0.0005010336569888936,0.5023006568332262
2.877398,0.28059779246996513,0.24056547228293926,0.0005159898855557263,0.5216792546384601
2.879699,0.29300099282043945,0.2485689869382274,0.000530946114122559,0.5421009258727894
2.882001,0.3051150394186217,0.2565037270452483,0.0005454038017371638,0.5621641702656072
2.884303,0.31759750778050017,0.2638932067384952,0.0005603600303039965,0.5820510745492994
2.886604,0.3296906156586888,0.2724544862708787,0.0005748177179186012,0.6027199196474861
2.888906,0.3426177825499545,0.2808443230298306,0.0005897739464854341,0.6240518795262705
2.891208,0.3560280356239289,0.2886981131900873,0.000604231634100039,0.6453303804481162
2.893509,0.3678499372241056,0.2965479545724529,0.0006191878626668716,0.6650170796592254
2.895811,0.3813574057837645,0.3044099713533157,0.0006336455502814765,0.6864010226873617
2.898112,0.3947686559396433,0.3124559353709315,0.000648601778848309,0.7078731930894231
2.900414,0.4078817786060899,0.31996980156774296,0.000663059466462914,0.728514639640296
2.902716,0.42079448780974105,0.32790388354511546,0.0006775171540775187,0.7493758885089341
2.905017,0.434468967588396,0.3352153748750163,0.0006919748416921238,0.7703763173051045
2.907319,0.4470885347121373,0.3429928219960481,0.0007069310702589566,0.7907882877784445
2.909621,0.4607350961974676,0.34959287517593113,0.0007243800035869277,0.8110523513769855
2.911922,0.474355733553282,0.355517358271639,0.0008066392607045074,0.8306797310856255
2.9142240000000004,0.4880137614805136,0.3638871220763119,0.0008963766321055033,0.852797260188931
2.916525,0.5022765195827975,0.3705296246185225,0.0009861140035064993,0.8737922582048264
2.918827,0.5164944089993809,0.3774212292326867,0.0010753528339552674,0.8949909910660229
2.921129,0.5310213938063454,0.3841213181191402,0.001163096041547352,0.916305807967033
2.92343,0.5478621071725989,0.3903584127978809,0.0012518363310438925,0.9394723563015236
2.925732,0.5629913294498546,0.3967524713977865,0.0013450634891104829,0.9610888643367516
2.928034,0.5800175000503369,0.4025775769165724,0.0014348008605114787,0.9840298778274208
2.930335,0.594744898320097,0.4079495601723729,0.0015185557404857415,1.0042130142329555
2.932637,0.6081835682283484,0.4144680052758431,0.0016496720109216412,1.0243012455151128
2.9349380000000003,0.6210185050434519,0.4196037199878356,0.001917887043220173,1.0425401120745077
2.93724,0.6334007666739327,0.4249615534561935,0.0021686531421907336,1.0605309732723172
2.939542,0.6440535897411352,0.4301337943636773,0.0024303871421103053,1.076617771246923
2.941843,0.6533628449420843,0.4332187770909746,0.002691622601077649,1.0892732446341364
2.944145,0.6646413369043327,0.4390244677851301,0.0029523595190927648,1.1066181642085555
2.946447,0.6742257867109113,0.4449953490210566,0.003202627077111097,1.1224237628090792
2.948748,0.6843920338087396,0.4470378543851457,0.003473833355122997,1.1349037215490083
2.95105,0.6947342658627044,0.4529409482672776,0.003970380143541841,1.1516455942735238
2.953351,0.7026186910221864,0.4572253722789482,0.004490856897667615,1.1643349201988022
2.955653,0.7121737269125835,0.4617427741861842,0.004924088985153535,1.1788405900839214
2.957955,0.7181487402250332,0.464833680080318,0.0052072602460189,1.18818968055137
2.960256,0.7236670900252422,0.4693566760895663,0.0055063848173555535,1.1985301509321642
2.962558,0.7311731226019833,0.4720589564262666,0.0054515453126105,1.2086836243408603
2.96486,0.7355398428025461,0.4761219198112203,0.005361309400257278,1.2170230720140238
2.967161,0.7410312713913348,0.4790476351635831,0.005257114341241676,1.2253360208961597
2.969463,0.7448002409901767,0.4812717843106554,0.0051549134460349855,1.2312269387468668
2.971764,0.7519901986032054,0.4851481679402621,0.005064178992729535,1.242202545536197
2.974066,0.7574427409977204,0.4888563994446795,0.0049614795565706155,1.2512606199989706
2.976368,0.7633449673311448,0.491760067453818,0.004859278661363927,1.2599643134463268
2.978669,0.7685233122019345,0.4950806605952747,0.0047665500442495646,1.2683705228414588
2.980971,0.7756015966416642,0.4985345249905508,0.004666343312851786,1.2788024649450669
2.983273,0.7835642927306458,0.501149274084002,0.004564142417645096,1.289277709232293
2.985574,0.7870426129543389,0.5024912004372734,0.004475900669100783,1.2940097140607132
2.987876,0.7956728553783535,0.5066663749272945,0.004372702691989638,1.3067119329976378
2.990177,0.8042991094747504,0.5101419576009708,0.004243082044410422,1.3186841491201315
2.992479,0.8093303847646328,0.512039674442392,0.004089531431124274,1.3254595906381492
2.994781,0.8170188833298894,0.5149996125364762,0.003937974981647036,1.3359564708480125
2.997082,0.8253210858073381,0.5171872354880573,0.0037869170731220257,1.3462952383685174
2.999384,0.8309919891389288,0.5200283811805891,0.003635859164597017,1.354656229484115
3.001686,0.8387069103746533,0.5231465994551352,0.003485299797024235,1.3653388096268129
3.003987,0.8466152654998422,0.5253385002494315,0.003334241888499225,1.375288007637773
3.006289,0.853380964762525,0.5272026524787796,0.003169224833311838,1.3837528420746166
3.0085900000000003,0.8610036559220875,0.5298684066199889,0.0031886679304487203,1.3940607304725248
3.010892,0.8691852114890972,0.5322301048635956,0.003305326513270015,1.4047206428659629
3.013194,0.8765027955858962,0.5339471651165063,0.0034160026046645762,1.413865963307067
3.015495,0.8857492346268644,0.5364707632536415,0.0035271772370113657,1.4257471751175173
3.0177970000000003,0.8932757073826466,0.538323069149317,0.003638850410310383,1.4352376269422742
3.020098,0.9010075790107468,0.5401118655339131,0.0037609929436061827,1.4448804374882662
3.0224,0.9089239107911716,0.5408588426849494,0.003871669035000744,1.4536544225111216
3.024702,0.914230879227636,0.5408752959261617,0.003981846585443079,1.4590880217392408
3.027003,0.9180422248074172,0.5415709389646157,0.004091525594933185,1.4637046893669658
3.029305,0.926243722012516,0.5446193954964218,0.004201703145375518,1.475064820654313
3.031607,0.9333519189093792,0.5457668445385643,0.004323845678671319,1.4834426091266149
3.0339080000000003,0.93714980388345,0.5460873536773789,0.004434023229113652,1.4876711807899428
3.03621,0.9421765923047628,0.546360148416678,0.0045486876481260355,1.4930854283695667
3.038511,0.9472826487374792,0.5456138293952905,0.004712707621408967,1.4976091857541791
3.040813,0.952721231985332,0.5466536742399047,0.004896170691828781,1.5042710769170653
3.043115,0.955899430555784,0.546353238055369,0.005080132303200822,1.5073328009143536
3.045416,0.9616456135711609,0.5453719667494702,0.005259607046002815,1.512277187366634
3.047718,0.9641996388694236,0.5445437105868455,0.0054425715754704,1.5141859210317397
3.05002,0.9675523267731556,0.5435598067623527,0.005614069663036748,1.516726203198545
3.052321,0.970311750943736,0.5423735280709494,0.005794042946790968,1.5184793219614765
3.054623,0.974146527948272,0.5409035955010466,0.005976508935306326,1.521026632384625
3.056924,0.9737372258264929,0.5375481214882198,0.006158974923821684,1.5174443222385348
3.059226,0.9767329584084296,0.536480635198369,0.006332467175196943,1.5195460607819955
3.061528,0.9786104636345192,0.5347701562419431,0.006498979853241014,1.5198795997297034
3.063829,0.9777415067547864,0.5318730695292897,0.006656518794144984,1.516271095078221
3.066131,0.9800731827883556,0.5301227737291303,0.006810069407431132,1.5170060259249172
3.068433,0.9786114607164236,0.5265823652850777,0.006955643365481636,1.5121494693669832
3.070734,0.9774678077720133,0.5236678381367393,0.0071116866835289234,1.5082473325922814
3.073036,0.9763944491018668,0.5204430028591379,0.007254767936818291,1.5040922198978233
3.075337,0.9747527537461808,0.5173701955303376,0.0074113097958178045,1.4995342590723362
3.077639,0.9726020480782704,0.5140953423994508,0.007556385212916079,1.494253775690637
3.079941,0.9675079566284072,0.5095081787494747,0.007707941662393318,1.4847240770402752
3.082242,0.9659206022365141,0.5062353000075335,0.007856008325204963,1.4800119105692524
3.084544,0.961043874641822,0.5023546385352116,0.008004573528968833,1.4714030867060024
3.086846,0.9568865416411948,0.498669112503667,0.008142170831783693,1.4636978249766457
3.089147,0.9538678761754557,0.4943277602774021,0.008267304610792859,1.4564629410636505
3.0914490000000003,0.9480050345772574,0.49014337197230196,0.008387951521231975,1.4465363580707913
3.09375,0.938803962762942,0.4844357425957716,0.008519566332620104,1.4317592716913337
3.096052,0.9372275762719978,0.4808400512612458,0.008647192816390408,1.426714820349634
3.098354,0.9299414002551891,0.4763966889394649,0.008766344103972841,1.415104433298627
3.100655,0.924448974584496,0.4715607522823596,0.008894967669647603,1.4049046945365031
