Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,d_NH3_CH3OH_50_10K_I10m_Baselined,HNCO_NH3,all
2.85208,0.1646083713896779,0.001360212947890369,0.0003464415203261236,0.1663150258578944
2.854382,0.17398538853983833,0.0014186903108957714,0.0003611837126804267,0.17576526256341454
2.8566830000000003,0.18252603197709796,0.0014747106418421235,0.00037592590503472993,0.1843766685239748
2.858985,0.1927123954875096,0.0015341708176711461,0.000390668097389033,0.19463723440256975
2.861286,0.2017002187595164,0.0015995278704418895,0.0004054102897433361,0.20370515691970165
2.863588,0.2116133603049616,0.001671273206566165,0.0004201524820976393,0.2137047859936254
2.8658900000000003,0.22176041130242846,0.0017494068260439715,0.0004348946744519424,0.2239447128029244
2.868191,0.2324907617107139,0.0018373685737579804,0.0004496368668062456,0.2347777671512781
2.870493,0.24324027696905995,0.0019366326689436214,0.00046437905916054865,0.2456412886971641
2.872795,0.25413868837018444,0.002038353796188313,0.00047912125151485186,0.2566561634178876
2.875096,0.26542973349434523,0.0021307382016086127,0.000493863443869155,0.268054335139823
2.877398,0.2765822020103756,0.002202974944144698,0.000508605636223458,0.2792937825907437
2.879699,0.2888079021297992,0.0022663663712682016,0.0005233478285777613,0.29159761632964515
2.882001,0.30074858653037284,0.0023351632689216162,0.0005375986145202542,0.3036213484138147
2.884303,0.3130524202692743,0.0024177195461057136,0.0005523408068745573,0.3160224806222545
2.886604,0.32497246560055193,0.0025081383258787732,0.0005665915928170504,0.3280471955192477
2.888906,0.337714633858788,0.0025975742928282123,0.0005813337851713536,0.3408935419367875
2.891208,0.350932974930068,0.0026811133828359302,0.0005955845711138466,0.3542096728840178
2.893509,0.36258569517332095,0.0027533501253720147,0.0006103267634681497,0.3659493720621612
2.895811,0.375899860494904,0.002812810301201037,0.0006245775494106428,0.3793372483455157
2.898112,0.3891191843790076,0.00287177907061825,0.0006393197417649459,0.3926302831913908
2.900414,0.4020446472288488,0.002950895502919677,0.0006535705277074389,0.40564911325947584
2.902716,0.4147725647011423,0.0030526166301643684,0.0006678213136499317,0.4184930026449566
2.905017,0.4282513511706816,0.003129767436818555,0.000682072099592425,0.4320631907070925
2.907319,0.4406903216728309,0.003126327591935884,0.0006968142919467281,0.4445134635567135
2.909621,0.4541415893833087,0.003056056475047039,0.0007140135163600816,0.4579116593747158
2.911922,0.4675673039603726,0.003028537715985673,0.0007950955743087488,0.4713909372506669
2.9142240000000004,0.4810298740183223,0.0031494236932909595,0.0008835487284345678,0.4850628464400478
2.916525,0.4950885200537975,0.003412817530021176,0.0009720018825603868,0.4994733394663791
