Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,CO_NH3_10K,H2O_40K,all
2.85208,0.1667116707768285,0.0001562732170972199,0.10950721266736496,0.27637515666129064
2.854382,0.17620850367061558,0.00016871535221642532,0.11365691357232233,0.2900341325951543
2.8566830000000003,0.1848582760054872,0.0001781713749070215,0.11832072350040528,0.3033571708807995
2.858985,0.19517479676092755,0.0001806598019308625,0.1226675078256509,0.3180229643885093
2.861286,0.20427746281413825,0.0001796644311213261,0.12726413022409014,0.3317212574693497
2.863588,0.21431727048452745,0.0001781713749070215,0.13200358833369785,0.34649903019313233
2.8658900000000003,0.2245939764075864,0.00017916674571655792,0.13711481744066745,0.3618879605939704
2.868191,0.23546143490610516,0.00018215285814516722,0.14191997002370454,0.3775635577879548
2.870493,0.24634830313540984,0.0001856366559785447,0.14665345590845508,0.39318739569984346
2.872795,0.25738597004235936,0.00018812508300238576,0.1517512475094959,0.4093253426348577
2.875096,0.2688212875877187,0.00018762739759761761,0.1570252197438247,0.426034134729141
2.877398,0.2801162578489333,0.0001831482289547036,0.16222503685284306,0.4425244429307311
2.879699,0.2924981730341618,0.00017767368950225322,0.16761845358431618,0.4602943003079802
2.882001,0.3045914306846247,0.0001781713749070215,0.1730268008779324,0.4777964029374641
2.884303,0.3170524778492113,0.0001861343413833129,0.17822661798695072,0.4954652301775454
2.886604,0.3291248327126739,0.00019509267866914083,0.18352945597475606,0.5128493813660989
2.888906,0.3420298152583138,0.00019957184731205475,0.1886804999141071,0.530909887019733
2.891208,0.355417054961174,0.0002015625889311276,0.19385145126964887,0.549470068819754
2.893509,0.3672186689644427,0.0002125116678360284,0.19915528462826373,0.5665864652605425
2.895811,0.3807029573212328,0.00023988436509828027,0.2044421966831165,0.5853850383694476
2.898112,0.3940911923949025,0.0002687501185748368,0.2101765279168559,0.6045364704303333
2.900414,0.407181811596521,0.00027322928721775077,0.2153310556540403,0.6227860965377789
2.902716,0.4200723612654225,0.0002493403877888764,0.22005608088690976,0.6403777825401212
2.905017,0.4337233742328099,0.0002592940958842407,0.22501252983299644,0.6589951981616906
2.907319,0.4463212848837078,0.00037625016600477146,0.2299859000828452,0.6766834351325578
2.909621,0.4599444274684282,0.0005852780360074224,0.2345521636715936,0.6950818691760292
2.911922,0.4735416904121005,0.0007500119049857019,0.2398027446918983,0.7140944470089845
2.9142240000000004,0.4871762797611306,0.0007420489385094105,0.2443495985498607,0.7322679272495007
2.916525,0.5014145615061446,0.0006206136997459657,0.2489312903861569,0.7509664655920475
2.918827,0.5156080515647294,0.0005693521030548395,0.2535537924256441,0.7697311960934283
2.921129,0.5301101065742704,0.0007420489385094105,0.2579722434491763,0.7888243989619561
2.92343,0.5469219195473407,0.0011401972623239836,0.26205973367853763,0.8101218504882023
2.925732,0.5620251785258418,0.0017175123318551144,0.2658993765763245,0.8296420674340215
2.928034,0.5790221304694859,0.0024356723709356505,0.27039148503976235,0.8518492878801841
2.930335,0.5937242550117438,0.003265811626089036,0.2731033728103444,0.8700934394481772
2.932637,0.6071398627826758,0.004180059714648249,0.27773383781630795,0.8890537603136321
2.9349380000000003,0.6199527735284335,0.005129145781541238,0.2819148929017657,0.9069968122117404
2.93724,0.6323137859266618,0.006044886926314755,0.2857241769898616,0.9240828498428382
2.939542,0.6429483276557489,0.006865072473372776,0.2893607642425029,0.9391741643716248
2.941843,0.6522416072189859,0.007581739456239008,0.2929460898984532,0.952769436573678
2.944145,0.6635007441310572,0.00821479529110418,0.2960800148922787,0.96779555431444
2.946447,0.6730687460377263,0.008818985372492793,0.2995235002078699,0.9814112316180891
2.948748,0.6832175468117596,0.009573974131526178,0.30297594386074705,0.9957674648040328
2.95105,0.6935420305336764,0.010678835730111618,0.3062850541170509,1.0105059203808389
2.953351,0.7014129252100857,0.012225641968131234,0.3095513634285447,1.0231899306067616
2.955653,0.7109515636778733,0.014147703001346084,0.3107811440637269,1.0358804107429462
2.957955,0.7169163232540204,0.016351951659064518,0.3151692362775684,1.0484375111906534
2.960256,0.7224252029993998,0.01856615402487831,0.3185679299067305,1.0595592869310086
2.962558,0.7299183544535899,0.020395645572806275,0.3201804306181795,1.0704944306445758
2.96486,0.7342775809139548,0.02149453494653449,0.32408427493318137,1.079856390793671
2.967161,0.7397595856474767,0.021783192481300062,0.3263024587822333,1.08784523691101
2.969463,0.7435220873075244,0.021265101974936345,0.3297165806589433,1.0945037699414042
2.971764,0.7506997062150916,0.020019893092206267,0.33235431330421483,1.1030739126115128
2.974066,0.7561428914870417,0.01829640853549393,0.33504878208563,1.1094880821081656
2.976368,0.7620349889940926,0.01636090999635034,0.3386356007977945,1.1170314997882371
2.978669,0.7672044472934201,0.014381615141587147,0.34082243046634597,1.1224084929013534
2.980971,0.7742705846703192,0.012426706871657592,0.3438841910764801,1.1305814826184568
2.983273,0.7822196159552771,0.010560386603776782,0.3465682084643952,1.139348211023449
2.985574,0.785691967024345,0.008854818721636105,0.349228834638286,1.143775620384267
2.987876,0.7943073990662876,0.007385651406760329,0.35196112751046355,1.1536541779835114
