Wavelength,d_NH3_CH3OH_50_10K_I10m_Baselined,H2O_CH3OH_CO_NH3_120K_NASA,CO_CH3OH_10K,all
2.85208,0.0013596101461289404,0.055167360531909626,0.0035807651608670437,0.060107735838905614
2.854382,0.0014180615938852064,0.058698024451842724,0.003852392476910868,0.06396847852263879
2.8566830000000003,0.001474057098458436,0.06250326281963929,0.004152999922514521,0.06813031984061224
2.858985,0.0015334909234879161,0.06662433548077434,0.004494867213593185,0.07265269361785544
2.861286,0.0015988190121566839,0.07041827650992895,0.004875538406963824,0.07689263392904945
2.863588,0.0016705325531013466,0.07443816431192289,0.005291083993533579,0.08139978085855781
2.8658900000000003,0.0017486315463219036,0.0785970584980767,0.005737574464209593,0.0860832645086082
2.868191,0.0018365543122746055,0.08272746374330728,0.006210097932625794,0.09077411598820767
2.870493,0.0019357744168692762,0.08688586674082449,0.0067032513237794975,0.09552489248147326
2.872795,0.0020374504646469816,0.09119604702705332,0.0072096668081216,0.10044316429982192
2.875096,0.0021297939283291493,0.0950833138971633,0.007719520612919953,0.10493262843841243
2.877398,0.002201998657910419,0.09911007834006977,0.008225444908625448,0.10953752190660564
2.879699,0.0022653619920327576,0.10311621286023873,0.008732842770240763,0.11411441762251225
2.882001,0.002334128401157777,0.10710466458948978,0.009251537970498049,0.1186903309611456
2.884303,0.002416648092107799,0.1112571733233677,0.009781530509397295,0.1234553519248728
2.886604,0.002507026801243537,0.1151812793412232,0.010309558293750118,0.12799786443621686
2.888906,0.0025964231331060622,0.11941630776605115,0.010819412098548474,0.1328321429977057
2.891208,0.002679925201329299,0.12292683295188335,0.011305197660153069,0.1369119558133657
2.893509,0.0027521299309105685,0.1272684493108551,0.011770353299020158,0.1417909325407858
2.895811,0.002811563755940049,0.13183699481993935,0.012216843769696171,0.14686540234557555
2.898112,0.002870506392332922,0.13605777877430567,0.012642213128998077,0.15157049829563665
2.900414,0.002949587762826693,0.14025547686275147,0.013040075924649971,0.15624514055022815
2.902716,0.0030512638106044,0.14467666578085356,0.013408467402105427,0.1611363969935634
2.905017,0.0031283804265517423,0.14950897958779594,0.013756720145459984,0.1663940801598077
2.907319,0.003124942106095491,0.15371208075124435,0.01409662268199222,0.17093364553933207
2.909621,0.0030547021310606505,0.15841128243766622,0.014431122143521775,0.17589710671224865
2.911922,0.003027195567410643,0.16328927678781308,0.014748430002770076,0.1810649023579938
2.9142240000000004,0.0031480279720160326,0.16818839224933405,0.015036757732458543,0.18637317795380864
2.916525,0.0034113050812375327,0.1734303573792069,0.015285790371218437,0.19212745283166285
2.918827,0.003735489581398335,0.17871014403409852,0.01548373939177117,0.197929373007268
2.921129,0.004061638836105567,0.18388923701848564,0.015621763398657812,0.20357263925324906
2.92343,0.00444329240674942,0.18923680770522905,0.01570280952369801,0.2093829096356765
2.925732,0.0049683730592825995,0.1947081579283975,0.01573178965325784,0.21540832064093796
2.928034,0.005715962164198873,0.20079889702232773,0.015713615673703375,0.22222847486023
2.930335,0.006748440678347368,0.20584143956573805,0.015652217094127466,0.2282420973382129
2.932637,0.00812376886084774,0.21350594705135795,0.015551523423622971,0.23718123933582866
2.9349380000000003,0.009845385032156245,0.2195937390134685,0.015418902491739009,0.2448580265373637
2.93724,0.011859749630882684,0.2256397799414675,0.015265651637117537,0.2527651812094677
2.939542,0.01410153456835829,0.23260090529946584,0.015102577009763925,0.2618050168775881
2.941843,0.0164174889899616,0.2391312582231596,0.014937537627863874,0.27048628484098497
2.944145,0.018614084572869338,0.2455923535490917,0.014777410132329903,0.2789838482542909
2.946447,0.02053512333064039,0.2517405617135049,0.014625141654981647,0.286900826699127
2.948748,0.022139345417799758,0.25758668886640473,0.014468943668540537,0.294194977952745
2.95105,0.023411523986612604,0.2645193252834799,0.014297027645727987,0.3022278769158205
2.953351,0.024368359450723583,0.2704243950727725,0.0141089023979074,0.3089016569214035
2.955653,0.025077635841984487,0.2745847628248361,0.013925689036452886,0.31358808770327345
2.957955,0.02560861075815695,0.28223600821726763,0.013767526295465344,0.32161214527088994
