Wavelength,H2O_40K,H2O_CH3OH_CO_NH3_120K_NASA,H2O_CH3OH_CO_NH3_100K_NASA,all
2.85208,0.1064765332983165,0.054350053677707975,0.07121292313750006,0.2320395101135245
2.854382,0.11051138868201513,0.05782841065756235,0.07614011161397159,0.2444799109535491
2.8566830000000003,0.11504612480586256,0.0615772742528506,0.08119021365094435,0.2578136127096575
2.858985,0.11927260920514585,0.0656372930426361,0.08616434155800101,0.2710742438057829
2.861286,0.12374201725549852,0.06937502666984748,0.09193111675679408,0.2850481606821401
2.863588,0.1283503079509845,0.07333535965859653,0.09674990902242986,0.2984355766320109
2.8658900000000003,0.1333200806531415,0.07743263964585682,0.10153869876542357,0.3122914190644219
2.868191,0.13799224768715568,0.08150185275709715,0.10632797242007286,0.3258220728643257
2.870493,0.14259473144277549,0.08559864883270195,0.11136210537241356,0.3395554856478909
2.872795,0.1475514385302335,0.0898449736098614,0.11557455633368685,0.3529709684737818
2.875096,0.1526794503437445,0.09367465045162092,0.12041706027044295,0.3667711610658084
2.877398,0.15773535932058347,0.09764175820354724,0.1246599976660138,0.38003711519014455
2.879699,0.16297950993141844,0.10158854166594182,0.12902681644539693,0.3935948680427572
2.882001,0.16823817789191894,0.1055179043087378,0.13319523144601814,0.4069513136466749
2.884303,0.17329408686875794,0.1096088934444764,0.13709459156617215,0.4199975718794065
2.886604,0.17845016555828888,0.11347486366039967,0.1411444482111918,0.4330694774298803
2.888906,0.1834586511928872,0.11764714995426508,0.14534093008783305,0.44644673123498535
2.891208,0.18848649329370626,0.12110566655624327,0.14919286686574632,0.4587850267156958
2.893509,0.1936435398065482,0.1253829616793558,0.15298479859837558,0.4720113000842796
2.895811,0.1987841333231026,0.12988382398731707,0.1567936672389479,0.4854616245493675
2.898112,0.20435976341796655,0.1340420768431725,0.16131727339471846,0.4997191136558575
2.900414,0.20937163643415352,0.13817758585121862,0.1651561445579328,0.5127053668433049
2.902716,0.21396589369162952,0.14253327466252486,0.16967152421555956,0.5261706925697139
2.905017,0.21878516986892085,0.14729399752949862,0.17365847234536202,0.5397376397437814
2.907319,0.22362089904249965,0.1514348295657554,0.17794302614330731,0.5529987547515625
2.909621,0.2280607884818658,0.15606441237408414,0.18226919634362704,0.5663943971995771
2.911922,0.2331660564475675,0.16087013902502095,0.18690942520837714,0.5809456206809656
2.9142240000000004,0.2375870733323685,0.16569667387714498,0.1916469203158861,0.5949306675253996
2.916525,0.2420419640330557,0.17086097906481973,0.19679428859561773,0.6096972316934932
2.918827,0.2465365354894952,0.17606254544996924,0.20175002785976476,0.6243491087992292
2.921129,0.2508327031671729,0.18116490994573786,0.20654946365917987,0.6385470767720907
2.92343,0.254807069593932,0.18643325613934866,0.21156424014529995,0.6528045658785806
2.925732,0.2585404480162437,0.1918235480701497,0.21693323996325825,0.6672972360496516
2.928034,0.2629082346189378,0.19782405259855734,0.22268549781238575,0.6834177850298809
2.930335,0.2655450692298486,0.20279188965409234,0.22715635759770506,0.6954933164816459
2.932637,0.27004738327277644,0.21034284712677564,0.2341304923770124,0.7145207227765644
2.9349380000000003,0.2741127250907727,0.2163404481852502,0.23967176474433466,0.7301249380203576
2.93724,0.2778165849020978,0.22229691675300586,0.2453209494108372,0.7454344510659409
2.939542,0.28135252736895866,0.2291549127349892,0.25130112964971313,0.7618085697536608
2.941843,0.2848386269353013,0.23558851819508436,0.2572953433265991,0.7777224884569848
2.944145,0.2878858186300903,0.24195389211175164,0.26299291915865325,0.7928326299004951
2.946447,0.29123400337461064,0.2480110143038548,0.2685448375823969,0.8077898552608624
2.948748,0.29459089852893033,0.2537705308278151,0.27468325693262685,0.8230446862893722
2.95105,0.2978084271264612,0.2606004599337785,0.2803982535842796,0.8388071406445193
2.953351,0.3009843393216176,0.26641804585640083,0.2860363082827053,0.8534386934607237
2.955653,0.30218008502239946,0.27051677757862763,0.2899066337035282,0.8626034963045554
2.957955,0.3064467340890906,0.278054669436612,0.2963784681844092,0.8808798717101118
2.960256,0.3097513667846145,0.28288023646542504,0.30146873488878984,0.8941003381388295
2.962558,0.31131924054848875,0.2877633889812445,0.3050172590586941,0.9040998885884276
2.96486,0.3151150435743621,0.2947873666610701,0.3113763421238397,0.9212787523592719
2.967161,0.3172718378230003,0.2998563412526081,0.3167051772743901,0.9338333563499984
2.969463,0.32059147177984515,0.30576828994805616,0.3214833209609625,0.947843082688864
2.971764,0.3231562035540839,0.3107070923042601,0.3265992349830856,0.9604625308414296
2.974066,0.3257761012570516,0.3156410555439089,0.3317809609903589,0.9731981177913194
2.976368,0.3292636525583608,0.3206843828177044,0.3358893709456961,0.9858374063217612
2.978669,0.3313899603727013,0.3257228709749448,0.3402416723754137,0.99735450372306
2.980971,0.33436698487744043,0.33072458184636583,0.34558841225721826,1.0106799789810244
2.983273,0.33697672043564225,0.33595034381429123,0.3499247446023038,1.0228518088522374
2.985574,0.3395637121460348,0.34103335184383915,0.3548035419132237,1.0354006059030976
2.987876,0.3422203871348217,0.3456905176165323,0.3594268338700307,1.047337738621385
2.990177,0.3448475435126221,0.3508011086104447,0.3640143163643295,1.0596629684873962
2.992479,0.3474746998904225,0.3560297740483031,0.3684711427116387,1.0719756166503642
2.994781,0.350116857529544,0.3606327417155784,0.37301265359866337,1.0837622528437858
2.997082,0.3527865981330299,0.36542879013340496,0.3775527127507216,1.0957681010171565
2.999384,0.35547230782114786,0.3696093029254141,0.3811230129451241,1.106204623691686
3.001686,0.35814640362953337,0.3750116926476031,0.3860356840719301,1.1191937803490666
3.003987,0.3608161442330193,0.38016631960216746,0.3910436857948729,1.1320261496300597
3.006289,0.3627527586783973,0.38488397433180027,0.39483029449929147,1.142467027509489
3.0085900000000003,0.36536346205991016,0.3897037344207471,0.3990582306335413,1.1541254271141983
3.010892,0.3679562607101689,0.3938353721355489,0.4029043604715884,1.1646959933173062
3.013194,0.3702214511696428,0.39897741738707,0.406967282731307,1.1761661512880195
3.015495,0.3720883823366264,0.4031255080981595,0.4109508434795209,1.1861647339143069
3.0177970000000003,0.3741464586075392,0.4072605331945502,0.4142617670265665,1.195668758828656
3.020098,0.3759732251071149,0.4119317324052533,0.4181258015958677,1.2060307591082358
3.0224,0.3773281777425618,0.4164766306738665,0.4211023421889512,1.2149071506053797
3.024702,0.3785340855881095,0.4204292210761274,0.4241229187426867,1.2230862254069237
3.027003,0.379721120879092,0.42448585248432413,0.4276782176757683,1.2318851910391846
3.029305,0.3812236665694716,0.42818584100240537,0.4300479330528338,1.2394574406247107
3.031607,0.38276734475057,0.4320097109042987,0.4332248130713012,1.2480018687261698
3.0339080000000003,0.38301462360653904,0.4364708924565076,0.4362386148618596,1.255724130924906
3.03621,0.38385179077058296,0.4394653377808452,0.4382342665292106,1.2615513950806387
3.038511,0.3838387251558841,0.44330275720909296,0.4405531711824469,1.2676946535474238
3.040813,0.3846647623518511,0.4468870908415055,0.4432887237710831,1.2748405769644395
3.043115,0.3848670374238571,0.45006397085997296,0.44519581960547455,1.2801268278893048
3.045416,0.3837666223192121,0.4531914918895778,0.44712807884595296,1.2840861930547427
3.047718,0.3838082387215865,0.4564540242710717,0.4480092819706489,1.288271544963307
3.05002,0.3834699844743803,0.4596062247951077,0.4502067247983504,1.2932829340678385
3.052321,0.3819955056600207,0.4628953723176551,0.4511319638836985,1.2960228418613742
3.054623,0.38132238454719697,0.4646219691045388,0.4527932325970875,1.2987375862488233
3.056924,0.37979467545073065,0.4679551525877382,0.4528904988398463,1.3006403268783149
3.059226,0.3792585013364181,0.4703882603916764,0.4539013902882209,1.3035481520163152
3.061528,0.3773615676467924,0.4733701240129706,0.4551987574366612,1.305930449096424
3.063829,0.3760366175339875,0.4752723807308069,0.4558433277618095,1.3071523260266038
3.066131,0.3741062939401312,0.4773086809772214,0.4561869050372264,1.3076018799545792
3.068433,0.37166689528467134,0.4792119055183687,0.4563698236430118,1.307248624446052
3.070734,0.3701725760924356,0.4807642941092665,0.4563833731693662,1.3073202433710682
3.073036,0.3674762203478963,0.4822334498954153,0.4563843409926772,1.3060940112359891
3.075337,0.3648451926768517,0.4837471255538717,0.4563843409926772,1.304976659223401
3.077639,0.36333296875336185,0.4845238037609762,0.45613125519684206,1.30398802771118
3.079941,0.3607948521201765,0.4851925696689002,0.4550893934025144,1.3010768151915908
3.082242,0.3572163254276302,0.4857006769071928,0.4551252028650226,1.2980422051998457
3.084544,0.3546477223601473,0.487178543103141,0.4545507997299243,1.2963770651932125
3.086846,0.35155455905808425,0.4871659614000976,0.4537131486542249,1.2924336691124068
3.089147,0.3485538228822249,0.4871446692872548,0.4526543499519541,1.288352842121434
3.0914490000000003,0.3456522885957465,0.4859619892011719,0.4510840566298023,1.2826983344267209
3.09375,0.3425179928029645,0.4858356882590821,0.45017817401067495,1.2785318550727214
3.096052,0.3392244900755175,0.4845300946124978,0.4483877008852629,1.2721422855732785
3.098354,0.33593050343641495,0.4844870264751568,0.4473197078615375,1.267737237773109
3.100655,0.33199823732368594,0.4831102978152117,0.4454014820590692,1.2605100171979668
3.102957,0.32904831187165584,0.4812724013475591,0.4441476669596253,1.2544683801788403
3.105259,0.32491086721698764,0.4803907143112076,0.4419076399062382,1.2472092214344337
3.10756,0.3214078307427019,0.4786583105844576,0.4398374658439375,1.239903607171097
3.109862,0.3168643842090552,0.4763568267508199,0.4381181277318866,1.2313393386917617
3.112163,0.31337296161450184,0.4749365460418783,0.4364583107534641,1.2247678184098445
3.114465,0.3096797478595981,0.4725537650501138,0.4345081467817317,1.2167416596914435
3.116767,0.3053768054187431,0.4697228818653409,0.4316738762153701,1.206773563499454
3.119068,0.3018215064856616,0.4680262876010991,0.4289988125836735,1.1988466066704342
3.12137,0.29734435584882063,0.4648305350280666,0.4271633356742984,1.1893382265511856
3.123672,0.292993022242414,0.4624400114498138,0.4250012183974496,1.1804342520896776
3.125973,0.2886353977844857,0.4598709244706754,0.4216457749780965,1.1701520972332575
3.128275,0.2843581026613731,0.45688228608620396,0.4198127176269991,1.161053106374576
3.130576,0.2801611368730764,0.4538099309853282,0.4169503801846175,1.150921448043022
3.132878,0.2760628890625051,0.4508237121591343,0.4141954711297607,1.1410820723514
3.13518,0.2710984393885588,0.44787862582365934,0.41144782074973657,1.1304248859619546
3.137481,0.26695180041243577,0.4449403142513617,0.4087088807795118,1.1206009954433092
3.139783,0.2620671961616497,0.4420203913219736,0.4060594644655576,1.110147051949181
3.142085,0.2573800278663145,0.43807844697613424,0.4029101674114545,1.0983686422539034
3.144386,0.2530407920512959,0.4350249644298235,0.39940616311385785,1.0874719195949774
3.146688,0.248032790328353,0.4320837493875927,0.3967775550010908,1.0768940947170365
3.148989,0.243915186051561,0.4286513640150124,0.3942733121837917,1.0668398622503652
3.151291,0.2389173464733841,0.4254270606543044,0.3903792750918484,1.0547236822195367
3.153593,0.2340293548410094,0.4215373787672608,0.38788374268434855,1.043450476292619
3.155894,0.2294239676154565,0.4185758394354983,0.3842200475404313,1.032219854591386
3.158196,0.22437144602020606,0.41475196953360494,0.3814786880119289,1.0206021035657398
3.160498,0.2197878348191515,0.4107887330749228,0.37802888181975,1.0086054497138242
3.162799,0.2151297012231473,0.407543137601372,0.3749110390232556,0.9975838778477748
3.165101,0.21032494239552155,0.4034289207061685,0.3718986889676639,0.9856525520693541
3.167402,0.20504740188045587,0.40022736119326974,0.36778543989577145,0.9730602029694971
3.1697040000000003,0.2006123515576449,0.3962017001310259,0.3647440551408487,0.9615581068295196
3.172006,0.1958922772697345,0.3920337690420602,0.361341188379255,0.9492672346910498
3.174307,0.19098541308279468,0.3883453944037115,0.35743166611433513,0.9367624736008412
3.176609,0.18596434574515291,0.3838251756295296,0.35437866747967994,0.9241681888543624
3.1789110000000003,0.18147461340526846,0.3801043789102613,0.3509240221709459,0.912503014486476
3.181212,0.17675357129404715,0.37593547999798455,0.3474592147174461,0.9001482660094777
3.183514,0.1717755720937464,0.37195675836632586,0.3435767915052351,0.8873091219653074
3.1858150000000003,0.16694419812506714,0.3675434840680131,0.3397703424229404,0.8742580246160208
3.188117,0.16208862857361214,0.3632037643413389,0.33650393874820234,0.8617963316631534
3.190419,0.15780649433394445,0.3594403833963852,0.3319135527839705,0.8491604305143001
3.19272,0.1534837115152133,0.3547077274054314,0.3281884008598025,0.8363798397804472
3.1950220000000003,0.14833053629561546,0.35010282409153404,0.32482473094230563,0.8232580913294552
3.197323,0.14420470552067968,0.3454393674673191,0.32136573042867195,0.8110098034166706
3.199625,0.13906411200412527,0.34081413986389003,0.31695826307022545,0.7968365149382408
3.201927,0.13514200803616205,0.3363108579976512,0.3126654827741364,0.7841183488079495
3.204228,0.13068808515878588,0.3318443534172316,0.3083993176191007,0.7709317561951182
3.20653,0.12637256101488756,0.32732800593629385,0.30457206033561873,0.7582726272868001
3.208832,0.1220338091115244,0.321987556906011,0.3005343014819871,0.7445556674995224
3.211133,0.1176621512155861,0.3177339734540187,0.29613651235665084,0.7315326370262556
3.213435,0.1133887273857177,0.3123983635402911,0.2916719434228533,0.717459034348862
3.215736,0.10914288652021377,0.3075403744305585,0.2876404754207433,0.7043237363715156
3.218038,0.10503205700659897,0.3032054938204395,0.2826832844216297,0.6909208352486682
3.22034,0.10091251708318492,0.2976913205058261,0.2785472915019281,0.6771511290909391
3.222641,0.097447709629685,0.2932015881659417,0.2740362670492009,0.6646855648448277
3.224943,0.09333300882282612,0.2878925933932675,0.2688918022394025,0.650117404455496
3.227245,0.0892783130612513,0.2828134566569637,0.26434061311926743,0.6364323828374825
3.229546,0.08591706270203196,0.27814177353460506,0.2593529356858563,0.6234117719224934
3.231848,0.08225191582314811,0.2732566853721635,0.2549077232182794,0.6104163244135911
3.234149,0.07867000174901315,0.2680778628348233,0.25011119088879746,0.5968590554726338
3.236451,0.07534020564740243,0.2631956781423148,0.24520771408344624,0.5837435978731634
3.238753,0.07197508399493892,0.25826558619591017,0.24013341646369765,0.5703740866545468
3.241054,0.06907742100170466,0.2527093125672669,0.2350155667949525,0.5568023003639241
3.2433560000000003,0.06553325203669999,0.2480845688754933,0.2305427713630112,0.5441605922752044
3.245658,0.06293416253491955,0.2430823740924167,0.2253373336846176,0.5313538703119538
3.247959,0.059848741819344776,0.23800952820763466,0.22009366698543809,0.5179519370124175
3.250261,0.057050764627146935,0.2334747920837872,0.2149071018616096,0.5054326585725437
3.252562,0.0544289312775572,0.2280254629310131,0.2100268528157232,0.4924812470242934
3.254864,0.052004533883418295,0.2229235823469,0.20566584097620624,0.4805939572065245
3.257166,0.04958933081073421,0.2185722487404934,0.2006781635427952,0.4688397430940228
3.259467,0.04715525518348497,0.21342488046076175,0.1957146816921599,0.4562948173364066
3.261769,0.044765215516887766,0.2083931670666987,0.19080975315184207,0.4439681357354286
3.264071,0.04245356953848425,0.20381875018709886,0.1860398359634136,0.4323121556889966
