Wavelength,d_NH3_CH3OH_50_10K_I10m_Baselined,H2O_CH4_10_0.6_a_V3,H2O_CH3OH_CO_NH3_120K_NASA,all
2.85208,0.0013410958851309829,0.2343836379243153,0.054416128339090035,0.2901408621485363
2.854382,0.0013987513801926108,0.24411336609093395,0.05789871404079577,0.30341083151192233
2.8566830000000003,0.001453984375461734,0.2541304027329437,0.06165213521930363,0.3172365223277091
2.858985,0.001512608870440364,0.2641387183757005,0.06571708987112766,0.3313684171172685
2.861286,0.0015770473649210073,0.2748078919618527,0.06945936755059,0.3458443068773637
2.863588,0.0016477843588621648,0.28597028650575906,0.07342451521096281,0.361042586075584
2.8658900000000003,0.0017248198522638366,0.29651058310295003,0.07752677635959143,0.3757621793148053
2.868191,0.001811545344835529,0.3079239486253598,0.08160093651062697,0.3913364304808224
2.870493,0.0019094143364527469,0.31947394313606703,0.08570271315929713,0.4070860706318169
2.872795,0.0020097058278624696,0.33086695966021984,0.08995420029514407,0.4228308657832264
2.875096,0.002100791820060672,0.34234621717698593,0.0937885329667216,0.4382355419637681
2.877398,0.002172013313960331,0.3541975706618808,0.09776046362651344,0.4541300476023546
2.879699,0.0022345138086069696,0.36598157865254405,0.10171204528804824,0.4699281377491992
2.882001,0.00230234380279712,0.3776643261518805,0.10564618495107696,0.4856128549057546
2.884303,0.0023837397958253017,0.3885442572199807,0.10974214760024507,0.500670144616051
2.886604,0.0024728877881895,0.4011494926403032,0.11361281776871017,0.5172351981972029
2.888906,0.002561066780636696,0.4135023035822467,0.11779017641090647,0.5338535467737899
2.891208,0.002643431773581879,0.42506586409179203,0.12125289761431368,0.5489621934796876
2.893509,0.002714653267481538,0.4366236106018351,0.12553539274750472,0.5648736566168213
2.895811,0.002773277762460168,0.4481992836103429,0.1300417268615232,0.5810142882343262
2.898112,0.002831417757480297,0.4600457920956527,0.13420503500492298,0.5970822448580559
2.900414,0.00290942225079897,0.4711088641480663,0.1383455716502732,0.6123638580491385
2.902716,0.003009713742208693,0.4827906426474857,0.1427065557767414,0.6285069121664358
2.905017,0.003085780235693363,0.4935557472254212,0.147473066368475,0.6441145938295896
2.907319,0.003082388735983855,0.5050069037445942,0.1516189325133687,0.6597082249939468
2.909621,0.003013105241918201,0.5147245194122504,0.15625414361634854,0.6739917682705172
2.911922,0.002985973244242141,0.5234474566651037,0.1610657127042227,0.6874991426135686
2.9142240000000004,0.003105160234033407,0.5357707131095786,0.16589811529031248,0.7047739886339245
2.916525,0.003364852211789984,0.5455508292718814,0.17106869884743595,0.7199843803311072
2.918827,0.0036846221844006955,0.5556977119027695,0.17627658890136405,0.7356589229885342
2.921129,0.004006330156845411,0.5655626155578101,0.18138515646379946,0.7509541021784547
2.92343,0.0043827866246007475,0.5747458277712393,0.18665990751200065,0.7657885219078407
2.925732,0.0049007170802384,0.5841601464648737,0.19205675254974414,0.7811176160948563
2.928034,0.00563812601707704,0.5927367647302597,0.19806455203515752,0.7964394427824942
2.930335,0.0066565449298463045,0.6006462265527899,0.2030384286091296,0.8103412000917658
2.932637,0.00801314481364932,0.6102436862307378,0.2105985659615804,0.8288553970059676
2.9349380000000003,0.0097113171681956,0.617805277083064,0.21660345844724274,0.8441200526985023
2.93724,0.011698251498008518,0.6256939054073786,0.2225671684364325,0.8599593253418196
2.939542,0.013909509308607435,0.6333092757550985,0.2294335018483098,0.8766522869120158
2.941843,0.01619392661294002,0.6378514628660461,0.2358749287965816,0.8899203182755677
2.944145,0.01836061042735684,0.6463994956338807,0.2422480412507048,0.9070081473119422
2.946447,0.02025548976505455,0.6551907473808827,0.2483125272312628,0.9237587643772001
2.948748,0.02183786662951907,0.658198038623299,0.2540790457373426,0.9341149509901604
2.95105,0.02309272152203686,0.6668894833788498,0.2609172781516268,0.9508994830525136
2.953351,0.02403652744119696,0.6731976728385338,0.2667419366527268,0.9639761369324577
2.955653,0.024736145381272518,0.6798488882688366,0.2708456513012309,0.97543068495134
2.957955,0.02525988983641218,0.6843997963790371,0.2783927071548021,0.9880523933702514
2.960256,0.02563198580454101,0.6910592483086345,0.28322414074097496,0.9999153748541504
2.962558,0.02585049528582499,0.6950379619678454,0.2881132298222093,1.0090016870758796
2.96486,0.02590669728101112,0.7010200829554581,0.29514574671985244,1.0220725269563218
2.967161,0.02576764579292131,0.7053277720864912,0.3002208837851513,1.0313163016645641
2.969463,0.02539409632491698,0.7086025073059999,0.3061400197781589,1.040136623409076
2.971764,0.02476473087882408,0.7143099168171427,0.3110848263546209,1.0501594740505875
2.974066,0.023900382952858155,0.7197697468494914,0.31602478793149785,1.0596949177338473
2.976368,0.022829638044570773,0.7240449744833048,0.3210742464989961,1.0679488590268718
2.978669,0.021609667149065058,0.7289340635645392,0.3261188600669093,1.0766625907805136
2.980971,0.020331071758580718,0.7340193751289665,0.33112665163797644,1.0854770985255238
2.983273,0.019082030865564942,0.7378692117992162,0.3363587666898296,1.0933100093546106
2.985574,0.01792165346495486,0.7398450026299835,0.3414479542539249,1.0992146103488634
2.987876,0.016897420552683583,0.7459923381034452,0.34611078185453925,1.1090005405106682
