Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,CO_NH3_10K,H2O_CH3OH_CO_NH3_100K_NASA,all
2.85208,0.162219824788039,2.633203816721137e-05,0.07274670285190069,0.2349928596781069
2.854382,0.17146077691150338,2.8428538021288707e-05,0.07778001282151256,0.24926921827103726
2.8566830000000003,0.17987749150671412,3.0021877910387486e-05,0.08293888365660089,0.26284639704122537
2.858985,0.1899160459856625,3.0441177881202947e-05,0.08802014403546954,0.2779666311990132
2.861286,0.19877345162124388,3.027345789287677e-05,0.0939111236964266,0.29271484877556336
2.863588,0.20854274871728448,3.0021877910387486e-05,0.09883370282404348,0.3074064734192383
2.8658900000000003,0.21854256112674975,3.0189597898713678e-05,0.10372563323646528,0.32229838396111377
2.868191,0.22911720899217106,3.069275786369224e-05,0.1086180579830032,0.3377659597330379
2.870493,0.2397107436164653,3.1279777822833896e-05,0.1137606157922619,0.35350263918655
2.872795,0.25045101382892704,3.169907779364935e-05,0.11806379427246927,0.3685465071791899
2.875096,0.2615782204603514,3.161521779948626e-05,0.12301059577177255,0.3846204314499234
2.877398,0.2725688612968478,3.086047785201842e-05,0.12734491730129102,0.3999446390759909
2.879699,0.2846171606302337,2.993801791622439e-05,0.13180578836451806,0.41645288701266797
2.882001,0.2963845799598669,3.0021877910387486e-05,0.1360639824401649,0.4324785842779423
2.884303,0.30850987915635064,3.1363637816996976e-05,0.14004732674728854,0.44858856954145615
2.886604,0.3202569588995052,3.2873117711932665e-05,0.14418440896450338,0.4644742409817205
2.888906,0.3328142321707258,3.3627857659400505e-05,0.1484712744188811,0.4813191344472664
2.891208,0.34584076875856085,3.3963297636052875e-05,0.1524061739826319,0.4982809060388288
2.893509,0.3573244024292301,3.5808217507640933e-05,0.1562797761159926,0.5136399867627304
2.895811,0.3704453728114304,4.042051718661109e-05,0.16017067994341502,0.530656473272032
2.898112,0.3834728779510025,4.528439684807051e-05,0.16479171526024194,0.5483098776080926
2.900414,0.3962107861211882,4.603913679553835e-05,0.1687132678028594,0.5649700930608431
2.902716,0.4087540153922212,4.2013857075709855e-05,0.17332589943971352,0.5821219286890104
2.905017,0.42203721819038204,4.369105695897173e-05,0.17739871822184194,0.5994796274691829
2.907319,0.43429569325071404,6.33981555872987e-05,0.18177555248534066,0.6161346438916421
2.909621,0.4475517766002365,9.8619353135798e-05,0.1861948994828196,0.6338452954361921
2.911922,0.4607826776045951,0.00012637701120378196,0.19093506932161436,0.6518441239374132
2.9142240000000004,0.4740498992990941,0.00012503525129717243,0.19577460031773491,0.6699495348681263
