Wavelength,d_NH3_CH3OH_50_10K_I10m_Baselined,H2O_CH3OH_CO_NH3_120K_NASA,H2O_CH3OH_CO_NH3_100K_NASA,all
2.85208,0.0013365530271693324,0.05423179793840188,0.07105797688990828,0.12662632785547948
2.854382,0.0013940132187275516,0.05770258665201935,0.07597444470878044,0.13507104457952734
2.8566830000000003,0.0014490591165228204,0.061443293408334675,0.08101355865081047,0.14390591117566798
2.858985,0.0015074850255862196,0.06549447834256543,0.08597686376868388,0.15297882713683553
2.861286,0.0015717052396806994,0.06922407934757117,0.09173109152329982,0.1625268761105517
2.863588,0.0016422026175588508,0.07317579537876838,0.0965393989815918,0.17135739697791902
2.8658900000000003,0.0017189771592206733,0.07726416043694855,0.1013177691972232,0.1803009067933924
2.868191,0.001805408875934297,0.08132451968747849,0.1060966222716072,0.18922655083502
2.870493,0.0019029463439574927,0.08541240188690609,0.11111980187480176,0.19843515010566531
2.872795,0.0020028981057436377,0.08964948744088401,0.1153230873160984,0.20697547286272605
2.875096,0.0020936755512305726,0.09347083160888188,0.12015505485326727,0.21571956201337966
2.877398,0.002164655787861314,0.09742930766261533,0.12438876039597707,0.22398272384645374
2.879699,0.002226944566945433,0.10136750364874,0.12874607777934993,0.2323405259950353
2.882001,0.002294544792308045,0.1052883167197714,0.13290542307416084,0.2404882845862403
2.884303,0.002375665062743177,0.10937040461416793,0.1367962989025317,0.2485423685794428
2.886604,0.0024645110732197514,0.11322796318861005,0.14083734380295804,0.2565298180647878
2.888906,0.002552391366191145,0.11739117135344168,0.1450246949054192,0.26496825762505205
2.891208,0.0026344773541314586,0.12084216285820296,0.14886825057603614,0.2723448907883706
2.893509,0.0027054575907622,0.12511015137234666,0.15265193176133204,0.2804675407244409
2.895811,0.0027638834998255997,0.12960122063018695,0.15645251300296853,0.28881761713298104
2.898112,0.0028218265501364077,0.1337504258911935,0.16096627662218058,0.2975385290635105
2.900414,0.0028995668093034104,0.13787693679082827,0.16479679510647766,0.3055732987066093
2.902716,0.002999518571089557,0.14222314842289158,0.16930235012689565,0.3145250171208768
2.905017,0.0030753273952461983,0.14697351283087276,0.17328062338948527,0.3233294636156042
2.907319,0.003071947383978068,0.151105335176786,0.1775558547849178,0.3317331373456819
2.909621,0.003002898582357687,0.1557248448628153,0.18187261203307312,0.3406003554782461
2.911922,0.002975858492212643,0.1605201151347873,0.18650274461165936,0.3499987182386593
2.9142240000000004,0.003094641745349802,0.16533614833312074,0.1912299317995162,0.3596607218779868
2.916525,0.0033534540367380827,0.17048921694076205,0.19636610035081686,0.370208771328317
2.918827,0.003672140813447533,0.1756794656723528,0.20131105683609185,0.38066266332189214
2.921129,0.003992759025167344,0.18077072835966254,0.20610004994428024,0.39086353732911017
2.92343,0.004367940275929834,0.18602761159911074,0.2111039151973712,0.4014994670724118
2.925732,0.004884116282448626,0.1914061752442116,0.21646123305735807,0.4127515245840183
2.928034,0.005619027303890723,0.19739362377632852,0.22220097504939632,0.4252136261296156
