Wavelength,H2O_40K,H2O_CH3OH_CO_NH3_120K_NASA,HNCO_NH3,all
2.85208,0.10970669024386193,0.055998860207555734,0.00035150734945177614,0.16605705780086946
2.854382,0.1138639502151086,0.05958273939600873,0.00036646510900291554,0.17381315472012024
2.8566830000000003,0.11853625570689952,0.06344533150409795,0.000381422868554055,0.18236301007955152
2.858985,0.12289095810422125,0.06762851825856661,0.00039638062810519437,0.19091585699089306
2.861286,0.127495953678032,0.07147964275099998,0.00041133838765633376,0.19938693481668834
2.863588,0.1322440451515487,0.07556011955655081,0.0004262961472074732,0.20823046085530694
2.8658900000000003,0.13736458483788874,0.0797816978938674,0.0004412539067586125,0.2175875366385148
2.868191,0.14217849045343045,0.08397435789605175,0.00045621166630975193,0.2266090600157919
2.870493,0.1469205988231267,0.08819543764138331,0.0004711694258608913,0.2355872058903709
2.872795,0.1520276765258707,0.0925705823100916,0.00048612718541203077,0.24508438602137436
2.875096,0.1573112557913182,0.09651643927968216,0.0005010849449631703,0.2543287800159635
2.877398,0.162520544850995,0.10060389637302353,0.0005160427045143097,0.26364048392853284
2.879699,0.16792378619285162,0.10467041260299327,0.000531000464065449,0.2731251992599104
2.882001,0.17334198529425934,0.10871897952150167,0.0005454596316315504,0.2826064244473926
2.884303,0.17855127435393614,0.11293407616301275,0.0005604173911826899,0.2920457679081316
2.886604,0.18386377195451584,0.11691732753148118,0.0005748765587487913,0.3013559760447458
2.888906,0.18902419899965892,0.12121618762647865,0.0005898343182999308,0.3108302209444376
2.891208,0.19420456972420355,0.12477962454354508,0.0006042934858660321,0.3195884877536147
2.893509,0.1995180645087533,0.12918667909929582,0.0006192512454171715,0.3293239948534663
2.895811,0.20481460716581176,0.13382408315213407,0.0006337104129832728,0.3392724007309291
2.898112,0.2105593840174194,0.1381084840795654,0.0006486681725344125,0.3493165362695192
2.900414,0.21572330120645766,0.1423694511837,0.0006631273401005137,0.3587558797302582
2.902716,0.22045693351240836,0.14685727764102688,0.0006775865076666152,0.36799179766110185
2.905017,0.2254224110914016,0.15176242558983055,0.0006920456752327168,0.3778768823564649
2.907319,0.2304048407978861,0.1560288772058005,0.0007070034347838559,0.3871407214384705
2.909621,0.2349794222606096,0.1607989067266589,0.0007244541542601853,0.3965027831415287
2.911922,0.2402395677027603,0.16575042373007104,0.0008067218317914522,0.4067967132646228
2.9142240000000004,0.2447947040780673,0.1707233801888399,0.0008964683890982886,0.4164145526560055
2.916525,0.2493847418923269,0.1760443538531652,0.000986214946405125,0.4264153106918973
2.918827,0.2540156642493597,0.18140371910033845,0.0010754629117269237,0.43649484626142493
2.921129,0.25844216389252683,0.18666087299057893,0.001163215101093608,0.4462662519841994
2.92343,0.2625370998656438,0.1920890439316874,0.0012519644744303686,0.4558781082717616
2.925732,0.26638373703021184,0.19764286005302545,0.0013452011756324707,0.4653717982588698
2.928034,0.27088402828716457,0.2038254006674964,0.0014349477329393071,0.4761443766876002
2.930335,0.2736008560136366,0.2089439459858964,0.001518711186425688,0.4840635131859587
2.932637,0.27823975584243,0.21672397532042895,0.001649840878490677,0.4966135720413497
2.9349380000000003,0.2824284271087341,0.2229035243829897,0.0019180833664411102,0.5072500348581648
2.93724,0.28624465016221473,0.22904069312682215,0.002168875134915214,0.5174542184239522
2.939542,0.2898878617968872,0.2361067387387805,0.002430635927060154,0.5284252364627279
2.941843,0.2934797184571009,0.2427355191798604,0.0026918981272200555,0.5389071357641814
2.944145,0.2966193521868851,0.24929399815105,0.0029526617353949195,0.54886601207333
2.946447,0.3000691101313628,0.2555348740277704,0.003202954911883985,0.5588069390710171
2.948748,0.3035278427315713,0.2614691158336924,0.003474188951744647,0.5684711475170083
2.95105,0.3068429808400888,0.2685062431105185,0.003970786568842475,0.5793200105194497
2.953351,0.31011524003789304,0.2745003159546451,0.0044913166012221254,0.5891068725937603
2.955653,0.31134726083292186,0.2787233900679168,0.004924593036220132,0.5949952439370588
2.957955,0.3157433463650018,0.28648995741885336,0.005207793283721704,0.6074410970675769
2.960256,0.3191482310308261,0.2914619166936522,0.005506948474744493,0.6161170961992228
2.962558,0.3207636690623492,0.2964932084146704,0.005452103356390315,0.62270898083341
2.96486,0.3246746245929871,0.3037302710774967,0.0053618582070984406,0.6337667538775823
2.967161,0.3268968490703014,0.3089530221207696,0.005257652482225502,0.6411075236732965
2.969463,0.3303171900876619,0.3150443204019785,0.005155441125292717,0.6505169516149332
2.971764,0.33295972760836323,0.3201329502012762,0.0050646973840158035,0.6581573751936552
2.974066,0.3356591046153589,0.3252165940807234,0.0049619874350979795,0.6658376861311802
2.976368,0.3392524570515276,0.3304129197487893,0.004859776078165194,0.6745251528784821
2.978669,0.3414432702337845,0.33560425949700473,0.00476703796894813,0.6818145676997374
2.980971,0.3445106081257381,0.34075770625435725,0.004666820979955496,0.6899351353600509
2.983273,0.34719951470104804,0.3461420011007824,0.0045646096230227105,0.6979061254248531
2.985574,0.34986498745306105,0.35137921131162136,0.004476358841670987,0.7057205576063534
2.987876,0.35260225745091955,0.3561776605756269,0.004373150300768125,0.7131530683273145
2.990177,0.35530911333769066,0.361443290529613,0.00424351638465825,0.7209959202519619
2.992479,0.3580159692244619,0.3668305769279484,0.004089950053266553,0.7289364962056768
2.994781,0.3607382814627693,0.3715731838896296,0.003938378089815006,0.7362498434422139
2.997082,0.3634890134442238,0.3765147290533411,0.0037873047183484975,0.7437910472159135
2.999384,0.3662561989611846,0.38082206521208417,0.0036362313468819908,0.7507144955201507
